date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares
2003-06-30;134,382;-81,186;53,196;6,08;84,378;99,744;77,872;284,988;-;-;567,792;62,828;30,942;-;140,264;40,713;306,865;14192;-8239;242.86
2003-09-30;135,81;-76,013;59,797;1,78;79259;100,258;77,098;277,706;-;-;552,521;63,899;45687;-;156,943;11,448;290,393;21353;-10864;242.86
2003-12-31;146,645;-87,031;59,614;9,454;81,401;111,215;80,626;299,406;-;-;570,528;66,139;45,702;-;163,601;11,355;296,691;29337;-17941;242.86
2004-03-31;168,052;-100,605;67,447;9,908;95,059;124,891;70,341;316,226;-;-;592,273;79345;45480;-;184548;11,207;317563;15805;-1071;239.22
2004-06-30;147,93;-86,821;61,109;9,653;96,962;113,39;79,238;316,264;-;-;596,041;75,422;44,983;-;172,607;11,39;304,598;-32,84;20,442;239.22
2004-09-30;154,342;-88,163;66,179;6,979;77,487;113,867;82,34;300,493;-;-;571,242;79,188;14,553;10,209;163,633;828;270,968;22,892;-12,224;239.22
2004-12-31;147,335;-88,609;58,726;8,367;68,831;111,316;78,592;283,492;-;-;573,275;73,245;28,197;-;161,55;1,077;266,495;2,868;-9,945;239.22
2005-03-31;158,981;-95,224;63,757;5,441;80,619;121,652;68,585;295,94;-;-;585,429;75,866;12,424;10,503;162,988;1,832;279,619;24,627;-10,672;238.03
2005-06-30;138,474;-82,538;55,936;5,13;70,175;106,89;70,311;277,914;-;-;570,333;66,325;24,485;-;146,429;2,12;259,926;8,073;-5,906;238.03
2005-09-30;146,888;-101,557;45,331;12,819;55,606;106,259;77,673;265,765;-;-;548,301;69,526;1,675;290;130,377;1,237;194,166;15,202;-12,897;238.03
2005-12-31;157,393;-95,187;62,206;9,445;49,699;112,767;81,791;268,068;-;-;557,072;69,297;14,917;-;133,024;1,322;194,178;1,477;-10,701;238.03
2006-03-31;184,027;-110,086;73,941;9,72;52,285;136,348;74,958;292,313;-;-;589,061;85,224;2,468;296;155,66;1,049;226,124;26,947;-11,056;234.44
2006-06-30;152,963;-93,086;59,877;7,028;58,909;117,017;87,433;292,715;-;-;556,851;82,738;2,864;-;138,269;1,182;196,271;6,691;-8,739;234.44
2006-09-30;171,163;-105,469;65,694;9,67;46,554;147,101;100,089;325,27;-;-;610,426;100,084;29,869;329;194,624;1,837;253,149;4,195;-12,169;234.44
2006-12-31;186,655;-114,555;72,1;11,599;51,011;147,515;108,533;338,454;-;-;624,118;97,672;46,583;-;194,02;471;250,308;-667;-8,179;234.44
2007-03-31;213,085;-132,515;80,57;10,387;42,995;173,403;94,109;342,059;-;-;630,337;91,543;19,868;264;188,86;1,681;247,515;30,32;-15,602;230.52
2007-06-30;176,127;-111,903;64,224;6,935;44,633;157,704;101,621;335,61;-;-;631,764;89,249;19,169;-;170,75;1,42;227,215;14,087;-6,488;230.52
2007-09-30;189,983;-115,305;74,678;9,166;39,051;151,065;103,71;325,283;-;-;620,493;85,304;16,945;632;170,79;2,228;231,62;18,022;-13,446;230.52
2007-12-31;191,68;-118,053;73,627;10,205;38,44;157,333;110,28;335,95;-;-;634,638;91,146;20,343;-;171,126;1,819;234,89;8,618;-9,392;230.52
2008-03-31;205,195;-124,382;80,813;13,588;40,624;164,667;95,125;330,054;-;-;617,367;94,654;17,795;522;177,069;1,492;248,865;28,269;-8,522;221.68
2008-06-30;169,934;-108,951;60,983;3,3;42,884;146,895;105,899;329,486;-;-;622,889;90,061;24,116;665;169,056;1,709;239,17;12,775;-9,881;221.68
2008-09-30;184,736;-115,257;69,479;8,834;41,457;149,97;106,509;330,321;-;-;619,469;91,856;23,414;554;179,374;1,172;253,383;15,265;-9,902;221.68
