date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2001-03-31;5,13;-4,761;369;93;581;2,156;2,693;6,042;-;-;14,155;1,707;986;20;3,496;3,71;7,928;117;-66;631;2001-04-25
2001-06-30;5,345;-4,983;362;56;676;2,416;2,632;6,15;-;-;14,34;1,795;876;382;3,867;3,351;8,008;472;-60;631;2001-07-25
2001-09-30;5,204;-4,798;406;132;528;2,751;2,851;6,568;-;-;14,592;2,015;660;395;4,017;3,383;8,155;209;-65;647;2001-10-25
2001-12-31;5,464;-4,957;507;150;879;2,489;3,273;7,08;-;-;15,195;2,451;749;427;4,599;3,36;8,734;655;-107;647;2002-02-14
2002-03-31;5,189;-4,799;390;117;911;2,63;3,39;7,358;-;-;15,318;2,422;691;441;4,637;3,369;8,824;336;-72;647;2002-04-25
2002-06-30;6,755;-6,375;380;112;526;2,846;3,255;7,326;224;-;15,379;2,331;967;306;4,556;3,111;8,625;104;-119;647;2002-07-25
2002-09-30;6,944;-6,524;420;109;1,102;3,226;3,577;8,35;308;-;16,889;2,839;1,639;303;6,003;3,355;10,154;72;-101;645;2002-10-25
2002-12-31;7,807;-7,316;491;131;1,063;3,542;4,24;9,332;301;-;17,869;3,232;1,663;306;6,333;3,849;11,026;-266;-102;645;2003-02-14
2003-03-31;7,909;-7,494;415;117;1,251;3,273;3,947;9,035;315;-;17,555;2,869;1,597;304;5,966;3,869;10,698;539;-122;645;2003-04-25
2003-06-30;8,048;-7,646;402;95;765;3,32;3,55;8,421;345;-;17,183;2,849;1,279;31;5,147;3,872;10,114;725;-112;645;2003-07-25
2003-09-30;7,968;-7,514;454;151;766;3,673;3,761;9,096;338;-;17,686;3,096;1,19;30;5,482;3,855;10,469;156;-109;645;2003-10-25
2003-12-31;9,189;-8,584;605;221;537;4,38;5,013;11,028;343;-;19,939;3,771;2,103;30;7,243;3,865;12,333;-632;-142;651;2004-02-14
2004-03-31;9,309;-8,722;587;226;805;4,943;5,294;12,148;338;-;21,112;3,712;2,799;30;8,036;3,858;13,228;-423;-115;651;2004-04-25
2004-06-30;9,686;-9,183;503;-103;540;4,041;4,592;10,339;337;-;19,369;3,238;1,771;161;6,751;3,74;11,671;932;-143;651;2004-07-25
2004-09-30;8,972;-8,309;663;266;507;4,339;3,734;9,853;338;-;18,893;3,591;958;199;6,139;3,69;10,99;999;-142;651;2004-10-25
2004-12-31;9,064;-8,395;669;313;334;4,199;4,203;10,084;344;-;19,375;3,89;733;79;5,794;3,695;10,845;344;-142;656;2005-02-14
