date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2006-03-31;1,487;-1,289;198;6;65;1,291;1,107;2,775;-;146;4,654;809;-;441;1,761;58;2,962;-43;-55;60.45;2006-05-05
2006-06-30;1,467;-1,242;225;24;66;1,277;1,093;2,761;-;141;4,641;803;-;204;1,497;57;2,695;28;-79;60.45;2006-07-28
2006-09-30;1,387;-1,191;196;23;61;1,182;1,09;2,644;-;235;4,573;739;-;323;1,597;54;2,603;-17;-78;60.45;2006-11-09
2006-12-31;1,323;-1,158;165;-13;171;1,011;1,036;2,6;-;236;4,494;791;-;443;1,631;33;2,603;106;-124;60.45;2007-02-24
2007-03-31;1,488;-1,27;218;27;76;1,153;1,013;2,477;-;232;4,35;758;-;282;1,434;51;2,389;40;-47;60.45;2007-05-05
2007-06-30;1,489;-1,25;239;23;68;1,179;962;2,449;-;228;4,298;743;-;218;1,362;30;2,352;95;-61;60.45;2007-07-28
2007-09-30;1,38;-1,168;212;39;54;1,069;948;2,246;-;222;4,074;692;-;174;1,195;36;2,144;115;-74;60.45;2007-11-09
2007-12-31;1,318;-1,139;179;18;58;1,001;1,017;2,25;-;460;4,446;786;-;456;1,553;44;2,535;69;-143;60.45;2008-02-24
2008-03-31;1,492;-1,255;237;72;63;1,153;993;2,393;-;451;4,522;745;-;582;1,679;57;2,626;-45;-40;60.45;2008-05-05
2008-06-30;1,509;-1,27;239;61;73;1,151;1,015;2,396;-;440;4,543;737;-;598;1,673;67;2,583;135;-63;60.45;2008-07-28
2008-09-30;1,45;-1,247;203;40;71;1,123;1,082;2,421;-;450;4,667;747;-;582;1,667;69;2,602;106;-86;60.45;2008-11-09
2008-12-31;1,182;-1,068;114;-72;67;838;1,026;2,132;-;466;4,473;690;-;493;1,504;69;2,477;135;-146;60.45;2009-02-24
2009-03-31;1,092;-973;119;-35;70;764;977;1,982;-;494;4,342;597;-;425;1,331;80;2,33;142;-83;60.45;2009-05-05
2009-06-30;1,167;-1,041;126;-113;64;791;816;1,815;-;486;4,107;563;-;402;1,268;82;2,298;121;-73;60.45;2009-07-28
2009-09-30;1,103;-950;153;-3;59;733;782;1,707;-;478;3,961;547;-;332;1,177;86;2,185;132;-58;60.45;2009-11-09
2009-12-31;1,082;-947;135;-20;89;710;737;1,667;-;481;3,945;603;-;345;1,203;85;2,154;57;-87;60.45;2010-02-24
2010-03-31;1,308;-1,114;194;40;57;900;788;1,872;-;486;4,209;722;-;349;1,347;88;2,312;22;-54;61;2010-05-05
2010-06-30;1,605;-1,304;301;120;72;1,08;853;2,177;-;497;4,587;838;-;344;1,503;82;2,5;79;-69;61;2010-07-28
2010-09-30;759;-466;293;176;79;974;850;2,06;-;487;4,364;719;-;243;1,29;86;2,243;169;-62;61;2010-11-09
2010-12-31;1,197;-960;237;92;527;875;864;2,41;-;494;4,818;779;-;34;1,132;575;2,599;241;-130;61;2011-02-24
2011-03-31;1,424;-1,074;350;168;450;1,091;949;2,638;-;485;4,983;826;-;36;1,204;589;2,657;-7;-57;61;2011-05-05
2011-06-30;1,489;-1,113;376;200;549;1,143;1,054;2,892;-;483;5,246;804;-;222;1,349;581;2,784;41;-81;61;2011-07-28
2011-09-30;1,587;-1,257;330;128;213;1,165;1,193;2,749;-;681;5,542;803;-;268;1,453;599;2,925;275;-101;61;2011-11-09
2011-12-31;1,4;-1,188;212;76;252;834;945;2,193;-;777;5,332;665;-;272;1,253;580;3,142;234;-185;61;2012-02-24
2012-03-31;1,623;-1,297;326;123;215;1,003;1,005;2,374;-;944;5,716;807;-;467;1,618;583;3,475;73;-82;62;2012-05-05
2012-06-30;1,719;-1,348;371;130;107;1,068;1,039;2,374;678;284;5,859;754;-;388;1,465;809;3,644;5;-135;62;2012-07-28
2012-09-30;1,606;-1,275;331;123;221;993;1,031;2,484;-;960;5,567;716;-;412;1,536;811;3,256;231;-104;62;2012-11-09
2012-12-31;1,447;-1,217;230;45;360;920;920;2,39;670;292;5,541;683;-;189;1,248;1,068;3,259;190;-166;62;2013-02-24
2013-03-31;1,563;-1,256;307;-30;307;1,032;998;2,516;-;986;5,717;772;-;246;1,364;1,07;3,429;4;-105;63;2013-05-05
2013-06-30;1,629;-1,293;336;113;299;1,024;954;2,479;672;297;5,667;739;-;381;1,434;1,066;3,386;58;-94;63;2013-07-28
2013-09-30;1,495;-1,205;290;66;450;900;968;2,499;-;965;5,659;672;-;419;1,426;1,064;3,359;230;-107;63;2013-11-09
2013-12-31;1,411;-1,196;215;23;377;824;896;2,248;661;312;5,476;687;-;93;1,056;1,205;3,164;175;-175;63;2014-02-24
2014-03-31;1,523;-1,257;266;66;561;951;912;2,619;-;975;5,852;735;-;367;1,415;1,201;3,474;60;-140;67;2014-05-05
2014-06-30;1,52;-1,245;275;51;169;936;921;2,197;663;315;5,481;673;-;73;1,05;1,2;3,144;114;-115;67;2014-07-28
2014-09-30;1,478;-1,214;264;25;360;910;975;2,402;-;1,003;5,802;648;-;212;1,187;1,202;3,309;171;-119;67;2014-11-09
2014-12-31;1,431;-1,213;218;25;1,149;839;977;3,131;747;347;6,814;704;-;107;1,131;1,194;3,285;162;-112;67;2015-02-24
2015-03-31;1,871;-1,531;340;40;238;1,319;1,243;3,034;-;2,352;8,476;883;-;228;1,593;1,898;4,723;34;-96;74;2015-05-05
2015-06-30;2,106;-1,678;428;134;350;1,356;1,193;3,121;1,396;1,089;8,706;858;-;234;1,577;1,887;4,891;220;-131;74;2015-07-28
2015-09-30;1,946;-1,553;393;59;476;1,221;1,194;3,116;-;2,458;8,662;832;-;217;1,534;1,891;4,829;224;-85;74;2015-11-09
2015-12-31;1,76;-1,444;316;55;711;1,051;1,129;3,129;1,32;1,09;8,721;884;-;217;1,568;1,871;4,821;380;-181;74;2016-02-24
2016-03-31;1,893;-1,474;419;102;683;1,208;1,136;3,297;-;2,368;8,724;849;-;205;1,555;1,868;4,775;61;-100;75;2016-05-05
2016-06-30;1,952;-1,491;461;147;677;1,247;1,118;3,276;1,299;1,078;8,71;846;-;215;1,519;1,866;4,709;198;-118;75;2016-07-28
2016-09-30;1,838;-1,429;409;96;907;1,134;1,132;3,396;-;2,364;8,761;769;-;223;1,475;1,885;4,67;316;-138;75;2016-11-09
2016-12-31;1,852;-1,494;358;84;623;1,15;1,111;3,155;-;2,777;9,05;932;-;728;2,155;1,377;4,846;246;-126;75;2017-02-24
2017-03-31;2,152;-1,658;494;138;588;1,372;1,186;3,408;-;2,754;9,195;969;-;707;2,181;1,377;4,851;73;-108;76;2017-05-05
2017-06-30;2,198;-1,67;528;163;1,499;1,319;1,144;4,202;1,546;1,196;9,867;898;-;702;2,039;2,267;5,619;242;-100;76;2017-07-28
2017-09-30;2,019;-1,546;473;142;1,816;1,206;1,137;4,407;-;2,714;9,964;850;-;747;2,088;2,263;5,624;343;-92;76;2017-11-09
2017-12-31;1,957;-1,593;364;102;1,438;1,115;1,145;3,966;1,525;1,181;9,576;965;-;244;1,678;2,249;5,143;350;-159;76;2018-02-24
2018-03-31;2,172;-1,656;516;190;1,285;1,351;1,208;4,096;-;2,828;9,772;996;-;263;1,746;2,249;5,188;70;-92;76;2018-05-05
2018-06-30;2,27;-1,721;549;221;1,104;1,437;1,246;4,068;1,599;1,259;9,866;1,003;-;227;1,692;2,248;5,118;180;-109;76;2018-07-28
2018-09-30;2,167;-1,669;498;175;1,339;1,332;1,284;4,204;-;2,87;10,046;962;-;260;1,726;2,246;5,146;361;-133;76;2018-11-09
2018-12-31;2,207;-1,795;412;129;1,441;1,247;1,136;4,084;1,618;1,259;10,111;1,037;-;201;1,666;2,246;5,132;418;-257;76;2019-02-24
2019-03-31;2,215;-1,725;490;149;1,52;1,389;1,209;4,386;-;2,893;10,581;1,051;-;290;1,815;2,36;5,391;242;-175;85;2019-05-05
2019-06-30;2,254;-1,731;523;178;1,331;1,37;1,167;4,134;1,622;1,241;10,299;926;-;764;2,12;1,762;5,241;242;-154;85;2019-07-28
2019-09-30;2,216;-1,721;495;147;853;1,348;1,217;3,69;-;3,274;10,515;881;-;742;2,125;1,881;5,287;345;-133;85;2019-11-09
2019-12-31;2,053;-1,66;393;77;1,407;1,204;1,014;4,017;1,917;1,475;10,977;905;-;661;2,026;2,267;5,704;471;-199;85;2020-02-24
2020-03-31;2,088;-1,672;416;79;1,557;1,352;1,107;4,42;-;3,472;11,45;952;-;665;2,109;2,373;5,801;103;-145;77;2020-05-05
2020-06-30;1,902;-1,539;363;119;1,4;1,184;1,006;3,867;1,875;1,49;10,649;783;-;154;1,39;2,261;5,106;313;-125;77;2020-07-28
2020-09-30;1,909;-1,518;391;93;1,647;1,137;955;4,038;-;3,314;10,694;833;-;444;1,774;2,372;5,468;401;-138;77;2020-11-09
2020-12-31;1,985;-1,607;378;44;1,587;1,131;881;4,063;1,933;1,433;10,711;987;-;134;1,58;2,554;5,524;298;-197;77;2021-02-24
2021-03-31;2,226;-1,769;457;125;1,494;1,377;1,006;4,351;1,943;1,489;11,13;1,085;-;133;1,75;2,663;5,699;151;-172;76;2021-05-05
2021-06-30;2,395;-1,812;583;827;2,415;1,418;1,109;5,195;1,899;1,494;11,851;1,135;-;335;2,141;2,556;6,114;282;-149;76;2021-07-28
2021-09-30;2,398;-1,826;572;247;2,286;1,394;1,254;5,249;1,911;1,5;11,996;1,097;-;168;1,947;2,673;5,939;174;-154;76;2021-11-09
2021-12-31;2,5;-1,969;531;108;2,285;1,432;1,283;5,385;1,925;1,517;12,301;1,274;-;82;1,993;2,562;5,998;308;-288;76;2022-02-24
2022-03-31;2,887;-2,135;752;330;1,257;1,848;1,527;4,959;3,129;1,679;13,344;1,381;-;570;2,62;2,69;6,584;150;-191;74;2022-05-05
2022-06-30;3,184;-2,35;834;402;1,342;1,945;1,662;5,312;3,259;1,712;13,987;1,4;641;92;2,797;2,562;6,736;381;-145;74;2022-07-28
2022-09-30;2,972;-2,356;616;225;1,28;1,714;1,715;5,097;3,475;1,727;14,153;1,282;-;476;2,451;2,719;6,388;508;-152;74;2022-11-09
2022-12-31;2,507;-2,129;378;9;1,592;1,36;1,399;4,762;2,655;2,178;13,511;1,149;442;256;2,41;2,414;6,211;457;-242;74;2023-02-24
2023-03-31;2,524;-2,022;502;133;1,917;1,546;1,47;5,319;2,631;2,125;13,919;1,183;-;656;2,416;2,95;6,597;143;-196;75;2023-05-05
2023-06-30;2,442;-1,9;542;152;1,666;1,46;1,379;4,878;2,676;2,109;13,516;998;412;248;2,222;2,809;6,384;274;-152;75;2023-07-28
2023-09-30;2,326;-1,835;491;117;1,9;1,396;1,347;4,957;2,709;2,099;13,667;946;-;664;2,204;2,955;6,317;393;-149;75;2023-11-09
