date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
1994-03-31;242;-185;57;11;39;166;140;362;33;-;1,113;76;-;14;150;390;705;10;-13;133.6;1994-05-05
1994-06-30;270;-204;66;15;36;176;142;369;33;-;1,129;76;-;15;161;271;603;41;-16;133.6;1994-08-04
1994-09-30;283;-220;63;20;60;178;147;406;33;-;1,163;79;4;15;183;256;617;45;-18;133.6;1994-11-04
1994-12-31;287;-227;60;6;32;182;157;390;31;-;1,139;99;-;15;177;242;594;15;-24;133.6;1995-02-19
1995-03-31;313;-246;67;15;31;198;170;419;32;-;1,199;113;-;23;202;237;628;33;-22;132.7;1995-05-05
1995-06-30;320;-255;65;13;34;212;165;431;89;-;1,221;107;-;21;194;253;638;23;-30;132.7;1995-08-04
1995-09-30;315;-242;73;22;47;216;169;454;111;-;1,245;108;-;22;214;253;646;29;-29;132.7;1995-11-04
1995-12-31;296;-225;71;29;33;198;178;429;29;-;1,204;103;-;17;194;200;582;31;-31;132.7;1996-02-19
1996-03-31;270;-196;74;116;330;157;86;595;27;-;1,165;79;-;-;252;9;434;17;-23;117.68;1996-05-05
1996-06-30;196;-139;57;15;44;153;90;306;25;-;874;67;-;-;178;13;360;-22;-17;117.68;1996-08-04
1996-09-30;184;-139;45;8;39;138;74;270;24;-;846;54;-;8;157;30;353;23;-25;117.68;1996-11-04
1996-12-31;205;-137;68;18;14;141;84;258;23;-;846;67;-;7;148;24;341;10;-26;117.68;1997-02-19
1997-03-31;198;-132;66;20;3;146;92;259;20;-;842;61;-;-;135;35;332;16;-27;116.7;1997-05-05
1997-06-30;208;-140;68;20;4;149;91;260;19;-;850;55;-;-;121;38;322;24;-25;116.7;1997-08-04
1997-09-30;207;-144;63;19;10;150;95;272;18;-;864;53;-;-;125;38;324;28;-21;116.7;1997-11-04
1997-12-31;217;-152;64;21;34;154;90;296;18;-;888;51;-;-;113;91;371;29;-12;116.7;1998-02-19
1998-03-31;215;-147;68;23;42;147;99;307;17;-;902;56;-;-;129;89;387;53;-18;110.32;1998-05-05
