date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2004-12-31;2,34;-1,849;491;94;146;1,212;538;2,097;624;-;7,563;1,197;-;575;1,841;1,087;4,719;-64;-55;75.0;2005-01-30
2005-03-31;2,149;-1,754;395;33;74;1,31;546;2,233;560;-;7,815;1,254;478;248;2,01;1,086;4,916;-180;-72;75.0;2005-04-30
2005-06-30;1,092;-527;565;1,75;692;2,433;567;3,93;576;-;6,921;1,358;-;78;1,507;90;3,174;334;-158;75.0;2005-07-30
2005-09-30;1,714;-1,415;299;81;985;1,242;439;3,757;164;71;6,815;1,239;-;12;1,545;82;3,076;-101;105;75.0;2005-11-14
2005-12-31;1,686;-1,396;290;34;601;1,191;499;3,388;231;-;6,482;1,025;-;12;1,242;77;2,796;-147;-25;72.0;2006-01-30
2006-03-31;1,786;-1,484;302;50;476;1,279;494;3,469;230;-;6,552;1,083;-;12;1,312;77;2,858;127;-50;72.0;2006-04-30
2006-06-30;1,853;-1,538;315;42;363;1,394;519;3,617;300;-;6,933;1,159;-;18;1,486;70;3,132;130;-39;72.0;2006-07-30
2006-09-30;1,908;-1,612;296;56;1,82;1,401;532;4,25;210;100;6,59;1,302;-;12;2,041;70;3,494;232;-61;72.0;2006-11-14
2006-12-31;1,803;-1,489;314;53;516;1,341;580;3,014;260;117;5,426;1,059;-;7;1,076;70;2,548;-126;-35;64.0;2007-01-30
2007-03-31;1,915;-1,575;340;31;584;1,448;576;3,144;260;112;5,554;1,143;-;10;1,175;67;2,636;41;-31;64.0;2007-04-30
2007-06-30;1,983;-1,643;340;86;848;1,466;587;3,192;261;112;5,612;1,138;-;5;1,147;65;2,574;88;-36;64.0;2007-07-30
2007-09-30;2,085;-1,74;345;32;897;1,467;610;3,276;268;109;5,686;1,141;-;5;1,152;64;2,532;183;-52;64.0;2007-11-14
2007-12-31;1,905;-1,589;316;38;681;1,374;633;3,236;272;108;5,646;696;-;5;1,044;64;2,44;61;-42;64.0;2008-01-30
2008-03-31;2,059;-1,725;334;72;847;1,498;545;3,115;279;106;5,778;1,129;-;3;1,136;64;2,482;160;-43;64.0;2008-04-30
2008-06-30;2,201;-1,844;357;66;853;1,52;521;3,093;291;114;5,844;910;-;20;1,204;45;2,486;106;-33;64.0;2008-07-30
2008-09-30;2,216;-1,898;318;-1;886;1,441;476;3,026;283;109;5,771;918;-;21;1,23;45;2,569;143;-87;64.0;2008-11-14
2008-12-31;1,966;-1,641;325;-119;222;1,499;688;2,721;2,1;1,328;9,742;871;246;94;1,739;2,128;6,142;79;-38;73.0;2009-01-30
