date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2006-03-31;333;-;333;23;136;244;429;941;-;898;3,097;165;269;167;754;881;2063;25;-;203;2006-05-15
2006-06-30;422;-;422;40;889;652;1,268;2,985;-;1,367;7,021;496;1,169;250;1,977;1,265;4029;1;-;203;2006-08-24
2006-09-30;1,09;-;1,09;20;716;563;688;2,137;-;1,388;6,181;243;308;515;1,289;1,203;3261;551;-;203;2006-11-14
2006-12-31;887;-;887;76;1,411;429;659;2,699;-;1,385;6,846;367;381;234;1,187;1,354;3209;358;-;203;2007-02-19
2007-03-31;848;-;848;51;1,422;484;977;3,152;-;1,385;8,868;450;379;682;1,693;2,369;4615;-404;-;203;2007-05-15
2007-06-30;886;-;886;90;1,446;684;1,083;3,415;-;1,361;9,054;441;616;562;1,85;2,363;4739;89;-;203;2007-08-24
2007-09-30;1,015;-799;215;-1;1,417;505;574;2,691;-;1,318;8,46;272;230;569;1,351;2,426;4281;558;-;203;2007-11-14
2007-12-31;720;-;720;44;1,041;390;528;2,161;-;1,612;8,813;268;285;937;1,651;2,381;4584;33;-;203;2008-02-19
2008-03-31;742;-452;290;-12;865;492;689;2,268;-;1,583;8,906;387;374;647;1,584;2,599;4714;-63;-;203;2008-05-15
2008-06-30;860;-413;448;25;567;491;836;2,052;-;1,573;8,551;253;441;424;1,311;2,582;4399;-63;-;203;2008-08-24
2008-09-30;934;-571;362;47;543;604;649;1,972;-;1,714;8,872;277;327;265;1,085;2,782;4429;336;-;203;2008-11-14
2008-12-31;1,552;-856;696;103;644;1,406;2,555;5,05;-;5,843;15,985;722;907;545;2,793;5,433;10364;203;-;203;2009-02-19
2009-03-31;2,483;-1,596;887;108;669;1,277;2,564;4,859;-;5,869;15,546;725;1,087;620;2,972;4,867;9988;397;-;203;2009-05-15
2009-06-30;2,901;-1,747;1,154;438;727;1,355;2,821;5,279;-;5,693;15,832;748;1,178;620;3,032;4,61;9567;306;-;203;2009-08-24
2009-09-30;2,74;-1,802;938;107;1,474;1,146;2,652;5,605;-;5,617;15,86;810;774;632;2,689;4,409;9057;622;-;203;2009-11-14
2009-12-31;3,201;-2,058;1,143;335;1,624;1,476;2,697;6,151;-;5,599;16,291;881;697;617;2,873;4,509;9195;353;-;203;2010-02-19
2010-03-31;2,746;-1,745;1;446;1,745;1,275;3,114;6,532;-;5,646;16,79;921;680;542;2,79;4,449;9171;418;-70;203;2010-05-15
2010-06-30;3,166;-1,967;1,199;304;1,527;1,573;3,078;6,571;-;5,751;17,028;808;985;856;3,323;4,024;9325;160;-74;203;2010-08-24
2010-09-30;3,329;-2,072;1,258;383;1,327;1,329;2,89;5,907;-;5,624;16,364;916;248;859;2,701;3,896;8564;1,047;-143;203;2010-11-14
2010-12-31;3,504;-2,035;1,469;633;2,811;1,341;3,465;8,084;-;6,025;19,042;841;383;771;3,03;4,895;9931;485;-168;203;2011-02-19
2011-03-31;2,952;-1,693;1,259;383;2,493;1,308;3,762;8,078;-;5,97;18,931;889;585;1,006;3,556;3,995;9569;271;-145;203;2011-05-15
2011-06-30;3,648;-2,176;1,472;46;2,147;1,667;3,251;7,539;-;5,966;18,382;869;869;912;3,459;4,249;9571;5;-205;203;2011-08-24
2011-09-30;2,951;-1,9;1,051;23;2,329;1,24;3,045;7,095;-;6,034;18,078;830;232;885;2,854;4,314;9028;654;-174;203;2011-11-14
2011-12-31;2,61;-1,671;939;75;2,383;1,189;3,285;7,259;-;6,083;18,574;843;525;902;3,221;4,286;9374;101;-212;203;2012-02-19
2012-03-31;2,989;-1,869;1,12;228;2,666;1,417;3,224;7,761;-;6,146;19,162;912;640;626;3,019;4,791;9749;325;-155;203;2012-05-15
2012-06-30;2,593;-1,774;819;7;2,006;1,307;3,159;6,926;-;6,203;18,522;873;633;648;2,745;4,674;9344;97;-244;203;2012-08-24
2012-09-30;2,857;-1,948;909;42;2,081;1,215;2,994;7,831;-;5,989;18,259;895;711;598;2,779;4,46;9136;248;-127;203;2012-11-14
2012-12-31;2,566;-1,883;683;305;2,169;1,154;3,493;8,433;1,567;5,215;20,019;921;-;1,541;3,055;4,62;9249;227;-193;203;2013-02-19
2013-03-31;2,755;-1,652;1,103;412;2,204;1,171;3,456;8,565;-;5,97;19,164;873;402;950;2,9;4,316;10878;491;-168;203;2013-05-15
2013-06-30;2,749;-1,628;1,121;332;1,753;1,233;3,712;8,436;-;5,974;19,324;927;625;940;3,201;4,28;11111;222;-199;203;2013-08-24
2013-09-30;3,283;-1,992;1,291;86;1,867;1,297;3,515;8,97;-;5,97;20,007;1,075;477;957;3,434;4,962;10309;584;-283;203;2013-11-14
2013-12-31;3,756;-2,207;1,549;1,013;1,443;1,745;4,707;10,313;-;6,853;22,684;1,191;660;638;3,515;5,259;10524;196;-292;203;2014-02-19
2014-03-31;3,642;-2,102;1,54;118;1,993;1,515;4,093;8,096;-;7,03;21,138;1,009;313;738;3,053;4,323;9687;848;-169;203;2014-05-15
2014-06-30;3,606;-2,128;1,479;233;1,618;1,563;3,932;7,626;-;7,049;20,806;985;508;711;3,035;4,267;9579;345;-231;203;2014-08-24
2014-09-30;3,391;-2,135;1,257;34;1,992;1,462;4,027;8,082;-;7,287;21,461;1,095;476;631;3,052;4,855;10155;90;-243;203;2014-11-14
2014-12-31;3,691;-2,118;1,573;584;2,198;1,638;4,722;9,25;1,98;5,589;23,602;1,173;622;741;3,596;4,811;11241;512;-352;203;2015-02-19
2015-03-31;3,546;-2,218;1,328;-26;2,152;1,56;4,314;8,677;-;7,635;23,241;1,041;579;676;3,302;4,864;10669;425;-189;203;2015-05-15
2015-06-30;4,108;-2,427;1,681;231;2,218;1,58;4,241;8,7;-;7,539;23,246;1,074;745;808;3,499;5,225;11113;295;-219;203;2015-08-24
2015-09-30;3,791;-2,379;1,412;269;2,42;1,618;4,559;9,278;-;7,976;24,268;1,259;653;796;3,657;5,351;11544;412;-231;203;2015-11-14
2015-12-31;3,795;-2,35;1,445;809;2,47;1,655;5,539;10,286;-;8,039;25,794;1,004;878;1,078;3,945;5,322;12229;80;-486;203;2016-02-19
2016-03-31;4,412;-2,59;1,822;693;3,753;1,879;5,361;11,627;-;8,036;26,951;1,135;450;1,516;3,913;5,015;11908;790;-158;203;2016-05-15
2016-06-30;4,558;-2,649;1,909;504;4,979;1,971;5,03;12,728;-;8,05;28,039;1,186;374;1,518;4,121;4,973;12034;1,033;-273;203;2016-08-24
2016-09-30;4,611;-2,774;1,837;362;3,434;1,861;5,646;11,707;-;10,813;31,024;1,474;392;1,565;4,742;6,228;14052;609;-300;203;2016-11-14
2016-12-31;5,323;-2,51;2,813;2,149;3,745;2,34;7,879;14,699;-;11,671;35,001;1,5;788;1,351;5,557;7,065;16788;869;-411;203;2017-02-19
2017-03-31;6,075;-3,149;2,926;343;4,432;2,192;6,418;13,856;-;11,767;34,425;1,486;161;978;4,501;7,367;15826;1,731;-264;203;2017-05-15
2017-06-30;5,019;-2,398;2,621;1,398;4,048;2,218;7,341;14,407;-;11,727;35,151;1,284;287;878;3,933;8,023;16097;269;-470;203;2017-08-24
2017-09-30;4,903;-2,438;2,465;270;4,6;2,008;6,694;14,064;-;11,635;34,892;1,199;151;887;3,783;7,946;15726;1,207;-456;203;2017-11-14
2017-12-31;4,8;-2,504;2,296;-181;5,075;2,071;5,877;13,743;-;11,611;35,309;1,457;-;1,852;5,235;7,332;16137;1,012;-649;203;2018-02-19
2018-03-31;5,753;-2,804;2,949;1,872;5,75;2,28;6,828;15,649;-;11,461;37,536;1,472;428;1,418;5,334;7,577;16623;1,026;-864;203;2018-05-15
2018-06-30;6,001;-2,957;3,045;1,395;4,846;2,472;7,581;15,568;-;11,495;37,547;1,443;295;1,437;4,666;7,744;16280;312;-511;203;2018-08-24
2018-09-30;5,317;-2,754;2,563;608;4,462;2,191;8,034;15,466;-;11,471;37,633;1,487;551;1,347;4,916;6,972;15783;694;-481;203;2018-11-14
2018-12-31;5,558;-2,787;2,771;355;4,393;2,293;7,765;15,219;-;11,435;37,955;1,629;441;941;5,01;6,965;15500;1,13;-677;203;2019-02-19
2019-03-31;5,563;-2,798;2,766;593;4,165;2,455;7,496;14,984;-;11,477;39,413;1,476;754;1,03;4,793;6,885;16409;261;-438;203;2019-05-15
2019-06-30;6,079;-3,347;2,732;935;3,295;2,561;7,62;14,327;-;11,453;38,778;1,595;713;1,063;4,706;6,831;16304;838;-303;203;2019-08-24
2019-09-30;5,768;-3,373;2,395;-133;4,566;2,381;6,882;14,688;-;11,522;39,31;1,716;1,265;1,048;5,431;6,726;16767;1,259;-251;203;2019-11-14
2019-12-31;5,901;-3,046;2,855;803;4,251;2,468;7,289;14,859;-;11,43;39,831;1,704;255;1,766;5,378;5,568;16499;813;-554;203;2020-02-19
2020-03-31;5,856;-2,885;2,972;-4;4,259;2,579;6,86;14,595;-;11,837;40,875;1,54;1,061;1,083;5,302;5,994;16948;421;-635;203;2020-05-15
2020-06-30;5,306;-2,911;2,395;571;4,482;2,11;7,165;14,634;-;11,689;40,498;1,432;1,371;1,657;5,884;5,782;17336;950;-262;203;2020-08-24
2020-09-30;5,538;-3,185;2,353;363;4,173;2,048;7,248;14,143;-;11,719;39,999;1,478;674;1,719;5,207;5,666;16528;867;-338;203;2020-11-14
2020-12-31;5,734;-4,098;1,636;-109;4,463;2,045;1,569;13,998;-;11,468;39,741;1,369;1,05;1,528;5,62;5,651;16750;706;-294;203;2021-02-19
2021-03-31;5,953;-3,053;2,9;852;4,772;2,179;6,855;14,673;-;11,49;40,827;1,455;574;1,596;5,405;5,749;17047;1,134;-220;203;2021-05-15
2021-06-30;6,263;-3,182;3,081;1,159;3,694;2,348;7,997;14,896;-;11,759;41,323;1,889;878;1,071;5,617;5,939;17594;1,027;-345;203;2021-08-24
2021-09-30;7,39;-4,377;3,013;517;5,371;2,474;7,299;15,895;-;11,725;42,631;1,918;521;1,095;5,398;6,91;18398;1,553;-354;203;2021-11-14
2021-12-31;6,966;-3,497;3,469;910;5,329;2,321;1,932;16,471;-;11,679;43,781;1,921;583;1,274;5,971;6,663;18593;922;-419;203;2022-02-19
2022-03-31;6,565;-3,038;3,526;1,053;4,822;2,629;8,844;17,382;-;11,752;45,159;1,958;676;1,123;6,005;6,575;18894;296;-340;203;2022-05-15
2022-06-30;7,852;-3,959;3,893;1,752;4,349;2,861;10,957;19,198;-;12,078;47,748;2,23;1,723;1,666;8,133;6,211;20950;678;-550;203;2022-08-24
2022-09-30;9,094;-5,122;3,972;1,041;4,282;3,061;10,781;19,069;-;12,169;48,093;2,379;694;1,742;7,304;6,131;20059;1,66;-480;203;2022-11-14
2022-12-31;7,658;-4,175;3,484;439;4,34;2,909;2,956;18,928;-;11,847;48,062;2,38;1,153;1,778;7,879;5,968;19899;561;-463;203;2023-02-19
2023-03-31;8,002;-3,972;4,03;1,224;4,484;2,972;11,877;20,387;-;12,177;50,267;2,164;1,64;1,734;8,146;6,061;20460;450;-471;203;2023-05-15
2023-06-30;8,452;-4,72;3,732;-1,139;5,352;3,27;12,042;21,742;-;12,301;51,933;2,617;1,249;1,414;7,556;9,051;24871;926;-440;203;2023-08-24
2023-09-30;8,566;-5,164;3,402;-508;6,654;3,248;11,454;22,38;-;12,265;52,401;2,95;2,466;1,29;8,635;8,939;26029;1,086;-478;203;2023-11-14
2023-12-31;8,754;-4,883;3,871;767;5,475;3,106;11,865;22,616;-;12,265;52,825;2,671;1,462;1,255;8,601;8,85;25,784;740;-578;203;2024-02-19
2024-03-31;8,373;-4,149;4,224;739;5,812;3,166;12,12;22,649;-;12,558;53,645;2,608;1,744;1,344;7,738;9,188;25,59;595;-470;202.72;2024-05-13
