date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2013-03-31;206;-131;75;-34;140;88;185;736;-;157;1,389;41;-;52;373;37;428;-113;-13;26.09;2013-05-10
2013-06-30;350;-81;270;-5;294;111;233;942;-;65;1,498;84;-;9;436;76;532;195;-37;26.09;2013-08-24
2013-09-30;319;-135;184;19;149;190;218;869;-;95;1,454;89;-;9;364;75;458;-82;-66;26.09;2013-11-14
2013-12-31;338;-138;200;-27;347;110;234;900;-;105;1,452;114;-;9;389;72;476;146;-40;26.09;2014-03-04
2014-03-31;286;-144;141;1;227;130;205;772;-;113;1,332;62;-;9;269;70;354;-80;-34;26.40;2014-05-10
2014-06-30;165;-85;80;-55;115;106;236;673;-;115;1,255;87;-;9;248;68;330;-90;-25;26.40;2014-08-24
2014-09-30;225;-99;126;-18;146;184;233;671;-;120;1,264;70;-;2;292;75;382;-40;-24;26.40;2014-11-14
2014-12-31;541;-167;374;98;398;187;122;1,319;-;109;1,887;59;-;2;583;33;635;548;-23;26.40;2015-03-04
2015-03-31;235;-92;143;45;1,019;76;142;1,924;-;90;2,464;67;-;2;1,144;33;1,195;599;-9;28.6;2015-05-10
2015-06-30;389;-110;279;61;505;190;141;1,703;-;95;2,221;47;-;2;821;32;872;-293;-11;28.6;2015-08-24
2015-09-30;79;-44;36;-50;462;98;154;1,586;-;97;2,139;52;-;2;787;32;837;-36;-9;28.6;2015-11-14
2015-12-31;318;-170;148;2;374;146;91;1,404;-;108;1,989;70;-;2;590;31;647;-165;-30;28.6;2016-03-03
2016-03-31;23;-19;4;-129;185;58;115;1,249;-;121;1,863;35;-;2;594;31;650;-67;-20;30.33;2016-05-10
2016-06-30;117;-28;88;-26;459;62;193;1,845;-;132;2,482;56;-;2;622;30;677;-78;-27;30.33;2016-08-24
2016-09-30;452;-145;307;98;209;504;153;1,999;-;103;2,583;46;-;2;613;30;668;-230;-16;30.33;2016-11-14
2016-12-31;415;-106;310;87;854;141;147;2,283;-;83;2,824;72;-;2;752;30;807;642;-29;30.33;2017-03-04
2017-03-31;198;-50;148;-6;1,005;20;187;2,347;-;72;2,882;42;-;2;788;29;842;167;-8;31.88;2017-05-10
2017-06-30;397;-127;270;46;358;16;153;2,56;-;50;3,068;34;-;2;892;29;946;301;-11;31.88;2017-08-24
