date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
1999-09-30;6,057;-3,229;2,828;434;3,438;6,891;4,782;15,111;-;-;30,158;-;-;-;6,627;-;15,47;2341;-;733;1999-11-09
1999-12-31;6,498;-3,554;2,944;-134;3,14;6,909;4,992;15,041;-;-;31,279;-;-;-;6,808;-;16,273;728;-;733;2000-02-29
2000-03-31;6,962;-3,561;3,401;560;1,309;8,491;5,151;14,951;-;-;33,54;-;-;-;9,036;-;18,631;1035;-;733;2000-05-10
2000-06-30;7,537;-3,992;3,545;484;1,091;8,689;5,439;15,219;-;-;33,85;-;-;-;8,613;-;18,694;1352;-;733;2000-08-09
2000-09-30;7,302;-3,913;3,389;541;1,178;8,662;5,957;15,797;-;-;35,403;-;-;-;8,568;-;19,142;928;-;733;2000-11-09
2000-12-31;8,185;-4,483;3,702;257;704;8,895;6,095;15,694;-;-;36,451;-;-;-;9,853;-;20,311;808;-;733;2001-03-01
2001-03-31;7,503;-3,927;3,576;438;677;9,312;6,454;16,443;-;-;38,287;-;-;-;11,311;-;21,965;297;-;733;2001-05-10
2001-06-30;7,79;-4,393;3,397;566;666;9,657;6,64;16,963;-;-;39,315;-;-;-;11,582;-;22,019;534;-;733;2001-08-09
2001-09-30;6,714;-4,181;2,533;-182;1,371;8,573;6,098;16,042;-;-;37,336;-;-;-;11,06;-;21,031;1206;-;733;2001-11-09
2001-12-31;7,163;-4,246;2,917;139;771;7,862;5,818;14,451;-;-;37,039;-;-;-;9,611;-;20,117;1864;-;733;2002-03-01
2002-03-31;7,01;-4,045;2,965;524;1,144;8,898;5,852;15,894;-;-;38,162;-;-;-;11,488;-;21,399;240;-;733;2002-05-10
2002-06-30;7,271;-4,359;2,912;296;872;7,008;6,727;17,707;-;10,514;44,697;2,477;-;6,166;12,454;7,176;29,049;1093;-;733;2002-08-09
2002-09-30;7,249;-4,426;2,823;661;736;6,134;6,706;17,884;-;10,512;44,483;2,285;-;5,272;11,359;7,268;28,352;1,397;-;733;2002-11-09
2002-12-31;7,428;-4,679;2,749;-418;796;5,542;6,342;16,89;-;8,879;41,692;2,534;-;2,841;9,77;7,318;26,357;1,732;-;733;2003-03-01
2003-03-31;7,356;-3,971;3,385;593;2,19;6,288;6,593;18,381;-;8,69;42,173;2,287;-;3,098;10,78;7,291;27,131;185;-;733;2003-05-10
2003-06-30;7,256;-4,143;3,113;129;1,758;5,86;6,534;17,465;-;8,366;40,628;1,983;-;2,992;9,349;7,044;25,505;937;-;733;2003-08-09
2003-09-30;6,834;-4,191;2,643;-116;2,203;5,302;6,375;17,031;-;8,01;39,745;1,749;-;2,656;9,032;6,96;25,032;1,188;-;733;2003-11-09
2003-12-31;7,121;-4,496;2,625;-1,955;2,863;5,071;5,885;17,673;-;6,514;37,445;2,265;-;2,048;9,122;7,378;25,232;984;-;733;2004-02-29
2004-03-31;5,792;-2,807;2,985;399;2,632;4,995;4,672;14,923;-;6,416;38,193;1,527;-;1,617;8,341;6,868;26,746;-299;-185;733;2004-05-10
2004-06-30;5,89;-3,202;2,688;191;1,817;5,866;5,602;15,896;-;7,758;35,808;1,675;-;2,019;8,713;6,996;25,402;1,146;-237;733;2004-08-09
2004-09-30;5,485;-2,975;2,51;13;2,82;4,655;4,792;14,956;-;6,071;37,079;1,45;-;1,637;7,984;6,582;25,858;658;-289;733;2004-11-09
2004-12-31;6,111;-3,437;2,674;146;3,599;4,475;4,738;20,729;-;5,952;37,588;1,759;-;2,166;11,35;7,025;26,756;951;-540;733;2005-03-01
2005-03-31;6,386;-3,408;2,978;581;1,783;6,046;5,262;16,491;-;7,733;35,457;1,714;-;2,502;9,904;6,874;24,991;-454;-181;733;2005-05-10
2005-06-30;6,686;-3,642;3,044;410;1,817;5,866;5,602;15,896;-;7,758;35,808;1,675;-;2,019;8,713;6,996;25,36;1,025;-271;733;2005-08-09
2005-09-30;6,177;-3,481;2,696;457;3,04;5,414;5,668;16,533;2,597;5,143;36,404;1,571;-;2,199;8,506;7,086;25,398;1,426;-346;730.34;2005-11-09
2005-12-31;5,452;-2,881;2,571;-74;3,523;5,204;5,504;16,592;2,623;5,065;36,722;1,974;-;1,767;9,07;7,185;25,645;1,309;-591;730.34;2006-03-01
2006-03-31;6,791;-3,438;3,353;562;3,026;5,436;4,774;18,443;2,546;4,656;36,428;1,61;-;1,309;8,512;7,418;24,394;126;-419;730.34;2006-05-10
2006-06-30;6,736;-3,571;3,165;451;2,491;6,638;7,044;19,776;7,753;15,922;56,19;1,995;-;12,053;20,225;10,373;44,513;1,002;-340;730.34;2006-08-09
2006-09-30;7,459;-3,974;3,485;254;2,907;6,512;7,123;20,581;8,796;14,801;56,758;1,992;-;7,361;16,044;14,447;44,076;1,495;-325;764.34;2006-11-09
2006-12-31;7,97;-4,292;3,678;259;2,915;5,868;6,153;19,994;8,227;15,807;55,891;2,375;-;5,078;15,515;14,723;43,124;1,578;-792;764.34;2007-03-01
2007-03-31;8,335;-4,134;4,201;656;6,143;6,817;6,327;21,719;8,183;15,448;56,973;2,296;-;3,673;13,98;14,626;41,133;412;-201;764.34;2007-05-10
2007-06-30;8,217;-4,072;4,145;413;2,98;6,88;6,277;18,314;8,439;15,112;53,404;2,249;-;2,309;11,439;13,644;37,236;777;-440;764.34;2007-08-09
2007-09-30;7,793;-3,978;3,815;1,18;2,381;6,331;6,315;17,127;8,336;14,685;51,693;2,217;-;1,298;10,38;13,307;34,771;1,622;-482;764.34;2007-11-09
2007-12-31;8,04;-4,168;3,872;57;2,531;5,83;6,217;16,666;8,215;14,555;51,378;2,466;-;1,336;10,612;13,081;34,644;1,468;-737;764.34;2008-02-29
2008-03-31;8,536;-4,103;4,433;762;2,717;6,689;6,218;17,965;8,19;14,221;51,996;2,22;-;1,946;11,092;12,686;34,468;528;-288;764.34;2008-05-10
2008-06-30;8,511;-4,256;4,255;581;2,058;6,805;6,232;17,323;8,287;14,042;51,437;2,284;-;6,01;14,678;8,925;34,105;891;-347;764.34;2008-08-09
2008-09-30;7,948;-4,076;3,872;275;2,281;6,586;6,696;17,577;8,646;14,234;52,666;2,266;-;6,004;14,72;9,42;34,436;1,234;-492;764.34;2008-11-09
2008-12-31;7,923;-4,021;3,902;102;2,094;5,953;6,681;17,16;8,647;13,951;52,511;2,464;-;6,256;13,835;10,614;36,248;958;-632;764.34;2009-03-01
2009-03-31;7,895;-3,786;4,109;424;4,365;6,719;6,63;19,859;8,649;13,52;55,091;1,986;-;6,287;14,009;12,736;38,072;695;-290;764.34;2009-05-10
2009-06-30;8,009;-3,794;4,215;530;1,834;6,785;6,312;16,93;8,564;13,179;51,692;2,013;-;2,304;9,492;11,835;33,241;1,4;-370;764.34;2009-08-09
2009-09-30;7,392;-3,579;3,813;249;2,595;6,355;6,301;17,223;8,505;12,92;51,723;2,133;-;2,105;9,195;11,725;33,521;1,517;-420;826.95;2009-11-09
2009-12-31;7,872;-3,976;3,896;156;2,725;6,106;6,091;16,993;8,704;12,842;51,042;2,735;-;1,489;8,973;11,46;32,145;1,766;-495;826.95;2010-03-01
2010-03-31;8,316;-4,003;4,313;632;3,041;7,302;6,328;18,535;8,906;12,684;53,335;2,876;-;2,68;11,119;10,675;33,912;732;-230;826.95;2010-05-10
2010-06-30;9,179;-4,458;4,721;529;2,551;7,603;6,537;18,838;9,207;12,514;54,532;3,164;-;2,788;11,827;11,041;35,732;1,545;-365;826.95;2010-08-09
2010-09-30;8,581;-4,166;4,415;290;2,124;6,796;6,341;17,517;8,917;12,081;52,061;2,87;-;1,618;10,174;10,367;33,838;1,555;-395;826.95;2010-11-09
2010-12-31;9,012;-4,476;4,536;-141;2,84;6,668;6,104;18,318;9,002;11,161;51,506;3,497;-;1,889;10,835;9,944;32,673;1,941;-524;826.95;2011-03-01
2011-03-31;9,415;-4,437;4,978;683;2,686;7,691;6,133;19,627;8,87;10,748;51,822;3,247;-;1,666;11,211;9,538;32,229;801;-238;826.95;2011-05-10
2011-06-30;9,252;-4,518;4,734;746;1,797;7,502;6,219;19,474;8,865;10,513;51,055;3,497;-;3,888;13,269;7,251;32,19;1,53;-298;826.95;2011-08-09
2011-09-30;8,67;-4,278;4,392;646;1,181;7,025;6,539;19,878;9,047;10,43;51,921;3,397;-;3,721;13,213;7,521;32,972;1,577;-354;826.95;2011-11-09
2011-12-31;9,191;-4,742;4,449;397;1,771;7,06;6,37;20,077;9,148;10,284;52,746;3,785;-;3,683;13,393;7,995;33,55;1,152;-725;826.95;2012-02-29
2012-03-31;10,054;-4,755;5,299;1,041;1,276;8,776;6,554;22,364;9,106;9,893;54,296;3,456;-;3,712;14,143;7,925;34,307;237;-256;826.95;2012-05-10
