date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2002-03-31;1,757;-1,398;359;177;412;1,217;664;2,407;-;-;6,731;331;-;-;878;2,001;3,463;126;-60;58.18;2002-04-25
2002-06-30;1,776;-1,435;341;164;416;1,229;620;2,407;-;-;6,767;361;-;-;1,016;2,227;3,824;392;-126;58.18;2002-07-20
2002-09-30;1,807;-1,36;447;235;582;1,224;635;2,545;-;-;6,889;365;-;-;1,074;2,227;3,88;412;-78;58.18;2002-10-25
2002-12-31;1,737;-1,305;432;224;596;1,107;669;2,513;-;-;6,873;372;-;-;925;1,928;3,64;409;-109;58.18;2003-01-25
2003-03-31;1,846;-1,162;684;200;491;1,143;654;2,459;-;-;6,887;384;-;-;939;1,728;3,454;258;-163;54.40;2003-04-25
2003-06-30;1,733;-1,02;713;190;279;1,143;688;2,288;-;-;6,707;354;-;-;994;1,728;3,512;301;-86;54.40;2003-07-20
2003-09-30;1,732;-1,063;669;186;543;1,162;638;2,527;-;-;6,906;361;-;-;1,1;1,726;3,613;411;-56;54.40;2003-10-25
2003-12-31;1,691;-1,035;656;172;353;1,083;690;2,28;-;-;6,644;383;-;-;889;1,47;3,44;402;-76;54.40;2004-01-25
2004-03-31;1,822;-1,147;675;169;679;1,226;704;2,764;-;-;7,275;414;-;-;1,011;1,867;4,008;317;-79;51.61;2004-04-25
2004-06-30;1,766;-1,2;566;51;543;1,197;710;2,633;-;-;7,191;495;-;-;1,161;2,006;4,291;304;-153;51.61;2004-07-20
2004-09-30;1,824;-1,137;687;182;588;1,244;703;2,703;-;-;7,28;528;-;-;1,099;1,898;4,26;329;-130;51.61;2004-10-25
2004-12-31;1,756;-1,154;602;107;378;1,128;749;2,425;-;-;7,106;487;-;-;1,764;995;4,069;260;-206;51.61;2005-01-25
2005-03-31;1,741;-1,224;517;35;401;1,155;707;2,443;-;-;7,231;452;-;-;960;1,855;4,142;91;-203;51.61;2005-04-25
2005-06-30;1,707;-1,223;484;2;669;1,207;723;2,858;-;-;7,809;542;-;-;1,241;2,566;5,13;150;-237;51.61;2005-07-20
2005-09-30;1,641;-1,231;410;-281;597;1,116;691;2,653;-;-;7,775;586;-;-;1,191;2,559;5,323;225;-300;51.61;2005-10-25
2005-12-31;1,744;-1,222;522;61;182;1,204;739;2,407;-;-;7,757;555;-;-;2,206;1,786;5,231;-53;-335;51.61;2006-01-25
2006-03-31;1,793;-1,293;500;32;484;1,204;726;2,688;-;-;8,128;586;-;-;1,148;2,821;5,53;215;-218;73.88;2006-04-25
2006-06-30;1,842;-1,266;576;61;445;1,236;734;2,724;-;-;8,213;499;-;-;1,07;3,139;5,712;-29;-166;73.88;2006-07-20
2006-09-30;1,879;-1,253;626;129;641;1,227;730;2,915;-;-;8,391;653;-;-;1,272;3,043;5,773;399;-102;73.88;2006-10-25
2006-12-31;1,87;-1,248;622;90;443;1,201;727;2,654;-;-;8,193;591;-;-;2,281;1,821;5,515;209;-157;73.88;2007-01-25
2007-03-31;1,934;-1,316;618;107;575;1,304;767;2,805;-;-;8,352;567;-;-;1,294;2,836;5,622;207;-126;73.71;2007-04-25
2007-06-30;1,887;-1,42;467;-9;425;1,402;742;2,849;-;-;8,467;580;-;-;1,369;2,964;5,824;94;-197;73.71;2007-07-20
2007-09-30;1,877;-1,301;576;85;251;1,373;872;2,841;-;-;8,473;567;-;-;1,365;2,888;5,716;36;-140;73.71;2007-10-25
2007-12-31;2,072;-1,391;681;153;718;1,486;936;3,49;-;-;9,202;870;-;-;3,029;1,708;6,304;393;-194;73.71;2008-01-25
2008-03-31;2,098;-1,419;679;130;410;1,508;1,007;3,232;-;-;8,976;594;-;-;1,429;2,942;5,955;56;-165;73.71;2008-04-25
2008-06-30;1,953;-1,354;599;57;469;1,41;1,059;3,304;-;-;9,153;546;-;-;1,41;3,251;6,249;161;-216;73.71;2008-07-20
2008-09-30;2,042;-1,482;560;63;495;1,449;1,034;3,281;-;-;9,105;615;1,755;-;3,327;1,356;6,226;269;-114;73.71;2008-10-25
2008-12-31;1,714;-1,447;267;-98;542;1,294;1,091;3,197;-;-;9,021;1,019;580;-;2,525;2,396;6,383;305;-118;73.71;2009-01-25
2009-03-31;1,904;-1,472;432;-39;303;1,383;1,129;3,163;-;-;8,949;958;735;-;2,545;2,256;6,286;-160;-54;103.14;2009-04-25
2009-06-30;1,909;-1,371;538;8;397;1,311;1,046;3,128;-;-;8,84;934;1,327;-;2,956;1,591;6,046;228;-59;103.14;2009-07-20
2009-09-30;1,895;-1,36;535;38;1,226;1,139;977;3,93;-;-;9,579;973;1,093;-;2,725;1,377;5,67;449;-102;103.14;2009-10-25
2009-12-31;2,084;-1,347;737;158;818;1,152;1,065;3,526;-;-;9,081;1,056;697;-;2,429;1,08;5,086;337;-56;103.14;2010-01-25
2010-03-31;2,192;-1,481;711;156;795;1,273;1,046;3,523;-;-;9,008;1,039;500;-;2,225;1,074;4,9;261;-50;103.31;2010-04-25
2010-06-30;2,187;-1,487;700;134;422;1,322;927;3,088;-;-;8,595;926;100;-;1,75;1,112;4,446;207;-87;103.31;2010-07-20
2010-09-30;2,253;-1,504;749;190;663;1,381;944;3,493;-;-;9,008;932;200;-;2,005;949;4,603;464;-114;103.31;2010-10-25
2010-12-31;2,281;-1,417;864;225;740;1,412;1,07;3,669;-;-;9,2;1,157;150;-;2,097;798;4,563;461;-83;103.31;2011-01-25
2011-03-31;2,55;-1,712;838;235;650;1,586;1,145;3,969;-;-;9,427;970;150;-;2,092;794;4,558;-1;-83;128.22;2011-04-25
2011-06-30;2,385;-1,59;795;194;597;1,584;1,086;3,615;-;-;9,083;1,06;150;-;1,993;793;4,441;468;-129;128.22;2011-07-20
2011-09-30;2,331;-1,534;797;209;829;1,57;1,088;3,756;-;-;9,236;1,122;-;-;1,988;814;4,438;531;-121;128.22;2011-10-25
2011-12-31;2,095;-1,506;589;45;929;1,391;1,135;3,827;-;-;9,335;1,21;-;-;1,918;819;4,513;274;-133;128.22;2012-01-25
2012-03-31;2,293;-1,639;654;96;877;1,414;1,066;3,658;-;-;9,17;1,056;300;-;1,952;504;4,187;118;-165;206.81;2012-04-25
2012-06-30;2,448;-1,729;719;119;416;1,986;1,09;3,798;-;-;9,78;1,345;1,014;-;3,081;280;5,073;212;-107;206.81;2012-07-20
2012-09-30;2,635;-1,952;683;101;620;2,289;1,024;4,34;-;-;10,317;1,861;1,014;-;3,535;275;5,54;490;-243;206.81;2012-10-25
2012-12-31;3,068;-2,284;784;361;745;2,244;3,146;7,078;-;2,691;24,723;2,527;-;2,7;6,407;5,405;15,332;182;-440;206.81;2013-01-25
2013-03-31;5,181;-3,75;1,431;228;915;2,379;3,068;7,134;-;2,655;24,595;2,323;-;1,066;4,552;6,873;14,961;494;-226;207.14;2013-04-25
2013-06-30;5,005;-3,609;1,396;169;464;2,513;3,073;6,892;-;2,633;24,493;2,487;-;1,943;5,62;5,84;15,063;560;-454;207.14;2013-07-20
2013-09-30;4,748;-3,428;1,32;186;512;2,382;2,988;6,632;-;2,682;24,163;1,696;-;1,999;5,24;5,721;14,444;218;-294;207.14;2013-10-25
2013-12-31;4,755;-3,498;1,257;103;497;2,394;3,029;6,77;-;2,658;24,94;1,742;-;2,958;6,361;5,197;15,084;507;-360;207.14;2014-01-25
2014-03-31;5,41;-3,806;1,604;369;288;2,639;2,904;6,727;-;2,636;24,847;1,748;-;3,085;6,613;4,476;14,631;665;-280;207.32;2014-04-25
2014-06-30;5,128;-3,577;1,551;292;193;2,573;3,003;6,638;-;2,615;24,765;2,283;-;3,435;7,177;4,05;14,748;736;-301;207.32;2014-07-20
2014-09-30;5,191;-3,703;1,488;311;341;2,604;2,929;6,779;-;2,596;24,882;2,363;-;2,572;6,479;4,566;14,613;815;-321;207.32;2014-10-25
2014-12-31;5,124;-3,586;1,538;329;737;2,601;3,145;7,408;-;2,58;25,709;2,502;-;2,417;6,539;4,672;15,094;899;-480;207.32;2015-01-25
2015-03-31;5,634;-3,868;1,766;504;545;2,781;3,14;7,19;-;2,561;25,371;2,524;-;2,324;6,495;3,844;14,255;977;-246;206.95;2015-04-25
2015-06-30;5,489;-3,794;1,695;403;214;2,63;3,024;7,184;-;2,429;25,033;2,551;-;2,445;6,472;3,746;14,16;821;-496;206.95;2015-07-20
2015-09-30;5,478;-3,85;1,628;862;377;2,695;2,888;6,696;-;2,407;24,632;2,61;-;1,384;5,45;3,537;13,065;956;-416;206.95;2015-10-25
2015-12-31;5,213;-3,72;1,493;199;188;2,512;2,842;6,546;-;2,384;25,083;2,679;-;1,368;5,624;3,027;12,83;904;-514;206.95;2016-01-25
2016-03-31;5,357;-3,531;1,826;481;257;2,587;2,921;6,619;-;2,361;25,057;2,293;-;1,387;5,12;3,019;12,305;409;-254;207.51;2016-04-25
2016-06-30;5,439;-3,76;1,679;400;551;2,625;2,95;6,915;-;2,34;25,287;2,556;-;1,988;6,059;3,009;13,055;954;-323;207.51;2016-07-20
2016-09-30;5,393;-3,635;1,758;500;503;2,557;3,071;6,789;-;2,318;25,152;2,531;-;1,541;5,688;2,698;12,416;1,017;-322;207.51;2016-10-25
2016-12-31;5,468;-3,805;1,663;137;708;2,612;3,142;7,143;-;2,335;25,854;3,049;-;1,142;5,705;2,687;12,833;1,362;-708;207.51;2017-01-25
2017-03-31;5,636;-3,92;1,716;401;1,617;2,588;3,003;8,077;-;2,31;26,963;2,454;-;2,142;6,24;2,878;13,544;261;-533;207.46;2017-04-25
2017-06-30;5,6;-3,869;1,731;356;732;2,636;2,907;7,055;-;2,291;26,491;2,765;-;1,843;6,243;2,867;13,539;1,217;-892;207.46;2017-07-20
2017-09-30;5,544;-3,764;1,78;513;899;2,684;2,754;7,262;-;2,273;27,662;3,215;-;1,544;6,166;3,584;14,178;1,14;-1,314;207.46;2017-10-25
2017-12-31;5,565;-3,822;1,743;368;168;2,713;2,912;6,692;-;2,248;28,196;3,294;-;1,551;6,396;3,586;14,385;698;-1,457;207.46;2018-01-25
