date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares
2002-03-31;2406;2168;238;17;454;-;1417;3024;-;9;10906;-;-;4;2215;5140;8411;-196;-131;86
2002-06-30;2651;-2412;239;13;737;-;1399;3199;-;9;11095;-;-;13;2318;5285;8615;274;-99;86
2002-09-30;2196;-2026;180;22;303;-;1312;2651;-;8;10482;-;-;316;2065;5111;7972;-143;-94;86
2002-12-31;2304;-1990;314;80;768;-;1192;2845;-;9;10694;-;-;330;2038;5195;8104;562;-196;86
2003-03-31;2338;2074;264;130;798;-;1255;3120;-;9;10862;-;-;341;1881;5183;7925;174;-132;168
2003-06-30;2298;-2042;256;39;803;-;1290;3125;-;8;10925;-;-;341;1857;5174;7872;162;-148;168
2003-09-30;2326;-2084;242;81;798;-;1426;3268;-;54;11060;-;-;160;1634;5190;7736;272;-113;168
2003-12-31;2583;-2307;276;-237;1378;-;2236;5036;-;2745;19861;-;-;1502;3906;8637;13761;348;-7638;168
2004-03-31;4,498;-3,838;660;307;1,107;-;2,376;6,131;-;2,996;21,425;-;-;1,041;3,747;8,64;13,809;476;-349;245
2004-06-30;4,547;-3,927;620;323;1,161;-;2,21;4,641;-;2,968;19,948;-;-;102;2,336;8,361;12,09;434;-402;245
2004-09-30;4,265;-3,639;626;298;1,117;-;2,694;5,128;-;2,928;20,294;-;-;91;2,507;8,276;12,241;347;-358;245
2004-12-31;4,618;-3,994;624;292;874;-;2,679;4,949;-;2,915;20,176;-;-;514;2,904;6,623;11,058;295;-425;245
2005-03-31;4,458;-3,869;589;256;733;-;3,146;5,332;-;3,013;20,62;-;-;509;3,486;6,412;11,441;249;-223;289
2005-06-30;4,686;-4,098;588;166;1,031;-;3,206;5,368;-;3,216;21,169;-;-;1,573;4,856;5,468;11,894;712;-326;289
2005-09-30;4,924;-4,062;862;435;1,075;-;3,097;5,568;-;3,19;21,287;-;-;1,627;5,166;5,065;11,778;632;-309;289
2005-12-31;6,373;-4,457;1,916;1,189;1,52;-;3,984;7,334;-;3,189;22,918;-;-;1,446;5,81;5,118;12,629;947;-477;289
2006-03-31;7,337;-5,364;1,973;1,239;858;-;4,697;8,464;-;3,185;24,181;-;-;1,211;7,412;4,116;13,273;999;-441;289
2006-06-30;8,85;-6,179;2,671;1,738;1,176;-;5,192;9,405;-;3,15;24,742;-;-;1,61;8,627;2,652;12,978;2,383;-404;289
2006-09-30;9,299;-7,05;2,249;1,541;1,433;-;5,119;9,915;-;3,13;25,075;-;-;737;7,083;2,419;11,651;1,681;-428;289
2006-12-31;9,728;-7,239;2,489;1,75;3,196;-;5,351;11,723;-;3,077;26,929;-;-;228;5,752;2,302;10,84;2,947;-570;289
2007-03-31;8,455;-6,928;1,527;921;4,288;-;5,844;12,991;-;3,154;28,455;-;-;200;6,358;2,33;11,518;1,49;-373;289
2007-06-30;9,292;-6,826;2,466;1,602;1,294;-;5,623;10,353;-;3,152;26,145;-;-;716;6,653;3,573;13,115;1,139;-688;289
2007-09-30;8,166;-6,598;1,568;900;594;-;7,307;10,973;-;3,171;26,995;-;-;1,681;8,71;3,282;14,83;592;-530;289
2007-12-31;7,29;-6,358;932;363;878;-;6,904;10,508;-;3,197;27,231;-;-;1,483;6,784;4,434;14,299;509;-920;289
2008-03-31;9,303;-7,789;1,514;1,263;1,049;-;6,399;10,333;-;3,169;27,221;-;-;1,243;7,137;3,62;13,522;1,815;-617;273
2008-06-30;7,885;-7,166;719;259;982;-;5,624;9,288;-;3,188;27,212;-;-;1,243;6,806;4,389;14,099;1,607;-1,317;273
2008-09-30;7,513;-7,398;115;-135;784;-;4,952;8,115;-;3,222;27,009;-;-;1,584;5,515;4,031;12,816;1,044;-1,157;273
2008-12-31;6,287;-6,48;-193;-451;1,204;-;4,051;9,662;-;3,331;30,252;-;-;362;3,897;6,67;14,121;1,004;-1,53;273
2009-03-31;5,879;-4,836;1,043;564;428;-;5,427;9,929;-;3,425;31,438;-;-;20;3,708;8,177;15,581;-792;-1,019;273
2009-06-30;6,439;-5,506;933;432;718;-;5,045;9,703;-;3,388;32,174;-;-;315;4,328;8,476;16,524;1,449;-1,546;273
2009-09-30;6,96;-5,786;1,174;684;814;-;4,921;9,351;-;3,304;32,243;-;-;672;5,081;7,293;16,28;1,695;-1,081;273
2009-12-31;8,357;-6,829;1,528;821;825;-;5,245;9,332;-;3,359;33,259;-;-;1,055;6,621;6,624;17,011;1,622;-1,266;273
2010-03-31;8,316;-6,827;1,489;878;833;-;6,142;9,687;-;3,254;33,414;-;-;1,044;5,814;6,468;16,592;550;-598;273
2010-06-30;8,908;-7,499;1,409;755;835;-;7,238;10,89;-;3,291;34,784;-;-;1,051;6,484;6,986;18,04;1,007;-806;273
2010-09-30;9,373;-7,798;1,575;910;1,035;-;6,537;9,9;-;3,203;33,601;-;-;1,55;6,77;5,391;16,118;7,052;-566;273
2010-12-31;10,12;-7,915;2,205;1,413;821;-;7,924;10,851;-;3,181;35,128;-;-;449;7,554;4,365;16,282;-2,413;-1,026;273
2011-03-31;10,158;-8,524;1,634;961;1,197;-;6,888;10,646;-;3,156;35,073;-;-;178;6,685;4,549;15,517;1,129;-664;273
2011-06-30;9,896;-8,441;1,455;804;666;-;7,89;11,243;-;3,227;36,411;-;-;128;6,801;6,284;17,385;233;-1,02;273
2011-09-30;10,553;-9,091;1,462;837;624;-;7,095;11,263;-;3,241;36,956;-;-;216;6,631;5,419;16,519;1,79;-966;273
2011-12-31;9,716;-8,348;1,368;787;-;-;7,737;11,276;-;3,184;37,615;-;-;801;6,918;4,957;16,595;869;-1,365;273
2012-03-31;10,321;-8,519;1,802;1,117;780;-;7,262;10,756;-;3,186;37,438;-;-;1,634;7,137;3,646;16,169;1,891;-1;273
2012-06-30;10,363;-9,203;1,16;533;355;-;7,558;10,526;-;3,177;37,655;-;-;2,276;7,895;3,544;16,847;1,154;-873;273
2012-09-30;9,123;-7,66;1,463;826;361;-;8,274;10,904;-;3,119;38,057;-;-;1,907;8,014;3,498;16,734;1,014;-936;273
2012-12-31;10,194;-9,178;1,016;864;1,011;1,016;8,244;11,399;-;3,16;40,08;4,192;-;1,666;7,759;4,31;17,74;1,459;-1,366;273
2013-03-31;9,249;-8,226;1,023;508;846;1,24;8,252;11,309;-;3,079;39,877;3,889;-;1,58;7,079;4,354;16,919;796;-1,017;273
2013-06-30;8,035;-7,8;235;-100;79;1,173;7,475;10,378;-;3,138;39,98;3,139;-;3,232;7,787;4,668;17,97;33;-1,509;273
2013-09-30;8,472;-7,522;950;498;223;-;8,17;10,721;-;3,098;40,653;-;-;3,422;8,611;4,138;18,199;1,586;-1,15;273
2013-12-31;8,653;-7,933;720;391;611;1,048;8,031;11,164;-;3,13;41,841;3,636;-;3,957;9,005;4,346;18,782;1,09;-1,294;273
2014-03-31;8,551;-8,01;541;153;289;1,261;8,108;10,998;-;3,148;41,861;3,332;-;3,999;8,854;4,413;18,737;442;-867;273
2014-06-30;9,438;-8,607;831;296;1,284;1,523;7,212;11,406;-;3,197;42,542;3,421;-;4,281;9,377;4,802;19,669;1,818;-904;273
2014-09-30;9,287;-8,179;1,108;615;544;1,38;7,384;10,646;-;3,211;41,687;3,424;-;3,036;8,122;4,578;18,233;1,447;-719;273
2014-12-31;9,615;-8,109;1,506;835;865;1,344;7,885;11,57;-;3,516;43,865;3,764;-;2,845;8,823;4,819;19,898;2,105;-1,001;273
2015-03-31;10,406;-8,892;1,514;895;683;1,629;8,952;12,446;-;3,486;44,488;3,928;-;3,151;9,352;4,217;19,805;725;-705;273
2015-06-30;10,373;-8,927;1,446;810;689;1,627;8,093;11,492;-;3,451;43,429;3,629;-;3,847;9,772;2,586;18,44;2,431;-877;273
2015-09-30;9,764;-8,587;1,177;648;947;1,506;8,427;12,017;-;3,441;44,007;3,94;-;3,129;9,612;2,67;18,394;1,832;-879;273
2015-12-31;9,699;-8,948;751;289;923;1,236;7,748;11,102;-;3,366;43,022;3,142;-;3,182;8,875;2,484;17,221;1,247;-1,186;273
2016-03-31;8,85;-7,627;1,223;656;856;1,567;8,165;11,563;-;3,398;43,714;3,318;-;2,909;8,634;2,501;17,244;1,01;-799;273
2016-06-30;9,596;-8,306;1,29;621;972;1,923;8,131;11,964;-;3,441;50,427;3,708;-;3,106;9,76;8,28;24,252;2,092;-944;273
2016-09-30;9,733;-7,855;1,878;1,136;742;1,903;9,191;12,941;-;3,511;51,747;3,684;-;2,697;9,463;8,392;24,176;1,072;-976;273
2016-12-31;12,137;-9,416;2,721;1,827;1,503;2,017;10,077;15,016;-;3,508;53,877;4,239;-;1,907;9,646;8,187;24,491;2,821;-1,27;273
2017-03-31;12,73;-10,208;2,522;1,669;930;2,652;9,843;14,598;-;3,484;53,282;3,968;-;1,137;8,315;7,318;22,263;1,991;-1,093;273
2017-06-30;11,554;-9,259;2,295;1,461;1,706;2,142;9,159;14,437;-;3,471;53,469;3,622;-;2,004;9,095;6,563;22,341;3,535;-1,385;273
2017-09-30;11,628;-9,461;2,167;1,478;1,475;2,333;9,021;14,102;-;3,453;53,073;3,695;-;1,308;8,62;5,286;20,554;2,954;-1,243;273
2017-12-31;13,619;-10,06;3,559;2,248;2,51;2,324;9,5;15,836;-;3,482;55,882;4,426;-;1,336;9,88;4,004;20,838;4,257;-1,874;273
2018-03-31;13,331;-10,254;3,077;2,011;5,008;2,777;10,499;19,561;-;3,605;60,084;4,973;-;730;9,586;5,802;22,349;2,539;-1,109;273
2018-06-30;14,071;-11,123;2,948;2,038;1,398;2,713;10,34;15,84;-;3,656;57,783;4,85;-;233;9,117;4,824;21,597;3,272;-1,556;273
2018-09-30;12,51;-10,35;2,16;1,286;1,203;2,313;10,405;15,028;-;3,611;57,022;4,847;-;732;8,766;3,29;19,746;2,279;-1,459;273
