date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2009-06-30;8;-8;-1;-3;5;3;7;16;-;-;224;-;-;-;16;-;39;-4;-14;282.5;2009-08-04
2009-09-30;9;-9;1;-2;9;5;8;26;-;-;241;-;-;-;13;-;31;1;8;282.5;2009-11-04
2009-12-31;4;-5;-1;-17;3;5;10;23;-;-;247;-;1;-;12;9;48;-7;-42;282.5;2010-02-19
2010-03-31;17;-16;1;-4;22;11;12;47;-;-;283;-;0;15;30;-;58;1;-15;337.6;2010-05-05
2010-06-30;23;-19;5;-8;14;10;18;44;-;-;285;-;0;17;33;-;60;-1;-9;337.6;2010-08-04
2010-09-30;40;-24;16;28;38;11;17;67;-;-;301;-;0;-;16;-;41;15;-7;337.6;2010-11-04
2010-12-31;47;-26;21;4;70;5;19;101;-;-;335;-;0;-;17;-;45;20;-11;337.6;2011-02-19
2011-03-31;54;-29;24;11;77;8;16;107;-;-;357;-;0;-;18;-;54;26;-19;344.8;2011-05-05
2011-06-30;55;-28;27;15;79;9;18;116;-;-;384;-;0;-;20;-;61;25;-27;344.8;2011-08-04
2011-09-30;51;-25;26;9;74;8;25;117;-;-;404;-;0;-;23;-;67;18;-25;344.8;2011-11-04
2011-12-31;67;-33;34;21;102;6;27;150;-;-;563;-;-;-;8;-;92;34;-24;344.8;2012-02-19
2012-03-31;64;-32;32;15;98;6;27;147;-;-;591;-;0;-;28;-;92;25;-33;391.9;2012-05-05
2012-06-30;57;-29;28;12;77;8;28;131;-;-;600;-;0;-;20;-;85;16;-28;391.9;2012-08-04
2012-09-30;67;-34;33;15;73;9;33;133;-;-;641;-;0;-;26;-;93;29;-30;391.9;2012-11-04
2012-12-31;71;-37;34;11;68;8;42;136;-;-;677;-;-;-;44;-;117;34;-50;391.9;2013-02-19
2013-03-31;155;-121;34;0;121;26;78;244;137;-;1,978;-;-;49;131;17;438;50;-43;663.8;2013-05-05
2013-06-30;123;-87;36;33;96;27;73;212;137;-;2,026;-;-;10;91;61;445;24;-110;663.8;2013-08-04
2013-09-30;129;-88;41;8;284;18;73;392;152;-;2,275;-;-;9;78;291;679;36;-94;663.8;2013-11-04
2013-12-31;138;-102;36;26;253;26;76;375;202;-;2,31;-;-;13;99;283;646;38;-77;663.8;2014-02-19
2014-03-31;129;-92;37;-24;184;18;82;314;202;-;2,312;-;-;23;76;322;664;18;-95;741.1;2014-05-05
2014-06-30;120;-98;22;-12;135;18;80;266;202;-;2,334;-;-;11;70;373;690;24;-88;741.1;2014-08-04
2014-09-30;115;-99;16;-274;179;15;83;298;-;-;2,599;-;-;8;82;390;762;34;-63;741.1;2014-11-04
2014-12-31;122;-104;19;-357;133;14;96;260;-;-;2,119;-;-;11;85;369;649;41;-66;741.1;2015-02-19
2015-03-31;139;-116;23;6;128;12;80;235;-;-;2,06;-;-;14;92;370;610;59;-57;922.1;2015-05-05
2015-06-30;137;-117;20;-23;110;12;87;221;-;-;2,074;-;-;12;85;396;640;34;-64;922.1;2015-08-04
2015-09-30;139;-116;23;-14;87;10;89;201;-;-;2,077;-;-;14;89;406;657;34;-78;922.1;2015-11-04
2015-12-31;139;-118;21;-115;85;12;86;203;-;-;2,024;-;-;12;99;452;721;49;-91;922.1;2016-02-19
2016-03-31;144;-102;43;7;109;10;94;230;-;-;2,11;-;-;14;106;406;788;172;-89;955.1;2016-05-05
2016-06-30;165;-111;54;-12;100;11;100;229;-;-;2,15;-;-;14;123;448;830;68;-83;955.1;2016-08-04
2016-09-30;193;-122;71;36;124;10;114;266;-;-;2,234;-;-;18;151;430;818;90;-94;955.1;2016-11-04
2016-12-31;181;-139;43;8;145;11;105;277;-;-;2,336;-;-;14;176;473;891;82;-123;955.1;2017-02-19
2017-03-31;146;-109;37;-5;103;12;115;248;-;-;2,399;-;-;20;185;507;937;40;-116;991.4;2017-05-05
2017-06-30;164;-132;33;19;88;11;111;234;-;-;2,479;-;-;21;188;562;985;48;-122;991.4;2017-08-04
2017-09-30;154;-117;37;12;90;15;118;242;-;-;2,579;-;-;27;207;634;1,066;42;-121;991.4;2017-11-04
2017-12-31;174;-131;43;35;148;21;206;396;-;-;2,685;-;-;303;495;400;1,133;26;-67;991.4;2018-02-19
2018-03-31;298;-173;126;66;168;21;215;425;-;-;2,688;-;-;299;513;344;1,073;147;-71;1047.3;2018-05-05
2018-06-30;242;-152;91;28;107;26;235;385;-;-;2,638;-;-;290;496;288;999;75;-47;1047.3;2018-08-04
2018-09-30;280;-188;92;39;355;25;224;618;-;-;2,848;-;-;289;486;458;1,191;150;-54;1047.3;2018-11-04
2018-12-31;231;-159;72;2;103;13;234;363;-;-;2,548;-;-;25;207;455;937;78;-100;1047.3;2019-02-19
2019-03-31;264;-171;93;35;142;21;226;404;-;-;2,593;-;-;30;199;453;933;86;-58;1022.9;2019-05-05
2019-06-30;267;-170;97;45;114;15;195;504;-;-;2,596;-;-;27;232;421;883;83;-37;1022.9;2019-08-04
2019-09-30;311;-179;132;50;146;18;205;561;-;-;2,641;-;-;26;234;340;833;159;-58;1022.9;2019-11-04
