date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date;
2001-03-31;607;-465;142;22;16;203;154;436;1,191;-;2,768;-;-;56;516;739;1,664;2;-17;239.10528;2001-05-05;
2001-06-30;602;-453;150;25;24;197;143;412;1,179;-;2,721;-;-;27;492;707;1,609;107;-33;239.10528;2001-08-04;
2001-09-30;560;-430;130;20;39;200;146;436;1,173;-;2,77;-;-;41;526;696;1,634;73;-43;239.10528;2001-11-04;
2001-12-31;583;-443;140;4;33;204;144;442;1,161;-;2,771;-;-;36;456;701;1,667;56;-48;239.10528;2002-02-14;
2002-03-31;634;-504;130;33;22;250;144;477;814;-;2,505;-;-;54;502;643;1,654;32;-26;242.74048;2002-05-05;
2002-06-30;712;-561;151;47;30;296;156;545;822;-;2,616;-;-;17;502;651;1,68;89;-29;242.74048;2002-08-04;
2002-09-30;684;-556;128;34;46;292;172;587;823;-;2,673;-;-;13;511;648;1,688;46;-26;242.74048;2002-11-04;
2002-12-31;701;-487;214;43;37;292;180;567;827;-;2,683;-;-;14;451;632;1,702;94;-57;242.74048;2003-02-14;
2003-03-31;776;-624;152;46;26;359;189;629;829;-;2,748;-;-;15;471;634;1,723;29;-25;253.00992;2003-05-05;
2003-06-30;770;-623;147;47;73;367;193;697;843;-;2,856;-;-;11;481;628;1,738;126;-40;253.00992;2003-08-04;
2003-09-30;725;-596;129;38;107;381;198;753;844;-;2,94;-;-;13;487;635;1,76;65;-39;253.00992;2003-11-04;
2003-12-31;799;-640;159;52;113;415;201;838;852;-;3,141;-;-;10;484;646;1,88;86;-68;253.00992;2004-02-14;
2004-03-31;903;-731;173;54;79;516;216;930;852;-;3,17;-;-;9;595;603;1,83;67;-41;256.59968;2004-05-05;
2004-06-30;893;-723;170;58;144;491;216;964;851;-;3,195;-;-;9;576;574;1,813;155;-44;256.59968;2004-08-04;
2004-09-30;840;-695;145;47;189;497;221;1,019;852;-;3,287;-;-;7;562;583;1,838;99;-43;256.59968;2004-11-04;
2004-12-31;889;-726;164;70;230;499;223;1,074;861;-;3,529;-;-;17;664;568;1,995;106;-126;256.59968;2005-02-14;
2005-03-31;1,084;-870;214;79;163;655;331;1,228;1,037;-;4,206;-;-;231;969;685;2,629;45;-49;259.9168;2005-05-05;
2005-06-30;1,111;-879;232;44;147;641;351;1,222;1,018;-;4,137;-;-;185;977;644;2,573;141;-50;259.9168;2005-08-04;
2005-09-30;1,051;-843;208;67;140;661;348;1,239;1,017;-;4,16;-;-;174;954;627;2,534;75;-80;259.9168;2005-11-04;
2005-12-31;1,048;-849;200;69;90;626;332;1,169;1,03;-;4,089;-;161;139;1,122;441;2,445;136;-113;259.9168;2006-02-14;
2006-03-31;1,155;-932;223;68;57;704;341;1,254;1,037;-;4,206;-;123;139;1,077;511;2,472;48;-53;263.41568;2006-05-05;
2006-06-30;1,169;-938;231;76;67;717;357;1,291;1,053;-;4,297;-;95;139;1,082;452;2,453;185;-60;263.41568;2006-08-04;
2006-09-30;1,06;-877;183;45;67;696;380;1,345;1,103;-;4,377;-;112;139;1,076;513;2,5;38;-79;263.41568;2006-11-04;
2006-12-31;1,202;-990;212;48;123;744;387;1,438;1,087;-;4,584;-;152;-;1,035;569;2,709;171;-76;263.41568;2007-02-14;
2007-03-31;1,278;-1,062;216;66;118;795;425;1,534;1,091;-;4,705;-;113;-;1,053;582;2,753;83;-58;264.4608;2007-05-05;
2007-06-30;1,364;-1,117;248;83;119;848;425;1,583;1,095;-;4,776;-;88;-;1,049;558;2,751;141;-64;264.4608;2007-08-04;
2007-09-30;1,314;-1,085;229;89;137;870;451;1,635;1,113;-;4,854;-;37;-;1,034;564;2,659;143;-72;264.4608;2007-11-04;
2007-12-31;1,373;-1,115;258;79;189;802;448;1,581;1,168;-;4,959;-;64;-;1,084;573;2,637;237;-99;264.4608;2008-02-14;
2008-03-31;1,499;-1,215;284;96;203;955;472;1,767;1,2;-;5,287;-;144;139;1,337;447;2,808;75;-75;262.48416;2008-05-05;
2008-06-30;1,517;-1,238;279;92;226;951;498;1,812;1,271;-;5,441;-;58;138;1,348;613;2,887;193;-87;262.48416;2008-08-04;
