date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2004-09-30;1,239;-985;254;-76;819;826;565;2,877;528;406;7,066;583;-;127;1,742;2,973;7,119;109;-100;99.37;2004-11-09
2004-12-31;1,194;-927;267;70;838;843;604;3,151;747;400;7,41;716;-;144;1,995;3,243;7,522;-166;-54;99.37;2005-02-21
2005-03-31;1,478;-1,106;372;5;1,738;998;640;4,111;779;396;8,402;778;-;139;2,799;3,3;8,342;42;-40;166.2;2005-05-10
2005-06-30;1,489;-1,145;344;82;959;955;586;3,207;813;389;7,396;682;-;140;1,812;3,253;7,27;148;-46;166.2;2005-08-09
2005-09-30;1,526;-1,24;286;50;401;947;625;2,61;1,042;393;7,34;698;-;181;1,932;3,315;7,281;323;-46;166.2;2005-11-09
2005-12-31;1,54;-1,24;300;176;390;919;650;2,568;949;481;7,445;811;-;155;2,013;3,282;7,21;188;-71;166.2;2006-02-21
2006-03-31;1,42;-1,096;324;87;312;1,017;678;2,684;928;487;7,521;750;-;212;1,985;3,306;7,179;-1;-43;171.81;2006-05-10
2006-06-30;1,457;-1,121;336;96;354;997;655;2,71;906;488;7,568;744;-;174;1,898;3,32;7,15;168;-70;171.81;2006-08-09
2006-09-30;1,471;-1,133;338;109;513;987;639;2,84;876;469;7,626;741;-;205;1,947;3,244;7,08;277;-58;171.81;2006-11-09
2006-12-31;1,43;-1,119;311;31;791;1,001;653;3,111;875;463;7,895;830;-;309;2,216;3,189;7,108;307;-73;171.81;2007-02-21
2007-03-31;1,555;-1,196;359;121;1,115;910;584;3,237;869;451;7,887;731;-;184;1,741;3,305;6,908;12;-49;171.23;2007-05-10
2007-06-30;1,556;-1,219;337;-124;470;857;575;2,496;869;437;7,355;667;-;187;1,604;3,198;6,699;67;-67;171.23;2007-08-09
2007-09-30;1,573;-1,236;337;130;531;953;575;2,59;875;432;7,541;675;-;243;1,791;3,252;6,867;200;-101;171.23;2007-11-09
2007-12-31;1,76;-1,348;412;209;825;1,009;636;3,063;866;425;8,058;818;-;272;2,031;3,284;6,996;287;-92;171.23;2008-02-21
2008-03-31;1,846;-1,428;418;145;763;1,079;709;3,13;890;457;8,315;822;-;253;2,084;3,351;7,196;166;-109;163.47;2008-05-10
2008-06-30;1,868;-1,472;396;202;983;1,061;754;3,301;897;437;8,614;829;-;252;1,973;3,371;7,382;180;-89;163.47;2008-08-09
2008-09-30;1,823;-1,49;333;164;584;1,013;743;2,82;816;389;7,972;754;-;302;1,698;3,318;6,943;-1;-136;163.47;2008-11-09
2008-12-31;1,286;-1,177;109;-140;676;631;577;2,284;779;364;7,166;523;-;233;1,369;3,3;6,984;241;-125;163.47;2009-02-21
2009-03-31;1,146;-946;200;-16;1,15;624;522;2,589;758;335;7,337;504;-;195;1,299;3,274;7,292;199;-114;157.12;2009-05-10
2009-06-30;1,244;-996;248;110;1,145;702;473;2,778;788;328;7,623;557;-;224;1,342;3,268;7,377;100;-129;157.12;2009-08-09
2009-09-30;1,304;-1,038;266;398;1,293;728;467;2,862;806;315;8,25;558;-;265;1,473;3,312;7,566;109;-135;157.12;2009-11-09
2009-12-31;1,388;-1,099;289;2;1,254;721;522;2,856;798;294;8,41;649;-;242;1,607;3,259;7,826;188;-149;157.12;2010-02-21
2010-03-31;1,388;-1,17;218;13;1,139;801;545;2,851;765;266;8,202;626;-;258;1,54;3,233;7,628;55;-129;158.37;2010-05-10
2010-06-30;1,517;-1,214;303;163;1,081;862;522;2,822;736;269;8,105;607;-;265;1,51;3,162;7,416;164;-100;158.37;2010-08-09
2010-09-30;1,506;-1,16;346;147;884;897;578;2,767;785;271;8,394;640;-;261;1,637;3,01;7,477;144;-112;158.37;2010-11-09
2010-12-31;1,507;-1,194;313;103;740;827;610;2,668;774;252;8,281;673;-;228;1,542;2,99;7,355;89;-172;158.37;2011-02-21
2011-03-31;1,589;-1,238;351;138;722;950;688;2,851;804;252;8,622;740;-;219;1,61;3,003;7,486;132;-131;158.95;2011-05-10
2011-06-30;1,753;-1,343;410;205;741;1,027;779;3,014;813;238;8,919;786;-;155;1,641;2,893;7,546;184;-134;158.95;2011-08-09
2011-09-30;1,807;-1,406;401;167;704;978;777;2,898;780;213;8,711;713;-;161;1,613;2,893;7,255;165;-150;158.95;2011-11-09
2011-12-31;1,614;-1,342;272;96;682;871;712;2,703;760;197;8,518;673;106;38;1,385;2,873;7,177;157;-138;158.95;2012-02-21
2012-03-31;1,633;-1,359;274;193;727;928;753;2,817;783;202;8,823;758;-;155;1,471;2,875;7,282;215;-127;159.79;2012-05-10
2012-06-30;1,675;-1,34;335;221;800;957;726;2,866;756;184;8,779;688;-;131;1,34;2,845;7,002;187;-91;159.79;2012-08-09
2012-09-30;1,609;-1,281;328;129;928;932;711;2,968;768;174;8,965;685;-;141;1,395;2,839;7,05;259;-95;159.79;2012-11-09
2012-12-31;1,501;-1,257;244;-167;959;827;711;2,839;777;165;9,001;649;108;60;1,355;2,93;7,27;61;-97;159.79;2013-02-21
2013-03-31;1,605;-1,272;333;141;978;916;758;2,986;762;155;9,068;659;-;112;1,351;2,959;7,233;147;-77;159.33;2013-05-10
2013-06-30;1,653;-1,334;319;133;1,107;929;738;3,18;772;152;9,322;716;101;123;1,544;2,86;7,337;229;-78;159.33;2013-08-09
2013-09-30;1,636;-1,29;346;171;1,1;949;753;3,228;787;147;9,512;739;-;224;1,597;2,87;7,428;232;-110;159.33;2013-11-09
2013-12-31;1,616;-1,249;367;656;984;867;804;3,182;798;142;9,018;799;153;24;1,545;2,887;6,319;154;-112;159.33;2014-02-21
2014-03-31;1,705;-1,327;378;195;998;986;816;3,246;798;145;9,129;790;134;23;1,51;2,881;6,317;164;-148;156.17;2014-05-10
2014-06-30;1,769;-1,361;408;258;1,064;1,045;816;3,339;794;140;9,333;839;135;23;1,543;2,88;6,378;253;-125;156.17;2014-08-09
2014-09-30;1,769;-1,333;436;257;1,51;1,016;771;3,687;756;131;9,71;816;140;625;2,189;2,639;6,766;379;-191;156.17;2014-11-09
2014-12-31;1,559;-1,165;394;-83;780;801;782;2,698;749;132;8,796;757;112;25;1,338;2,586;5,978;166;-214;156.17;2015-02-21
2015-03-31;1,45;-1,069;381;234;851;804;744;2,696;700;123;8,626;664;103;25;1,195;2,536;5,765;270;-162;152.29;2015-05-10
2015-06-30;1,477;-1,102;375;203;988;873;762;2,923;716;125;8,988;736;97;26;1,268;2,552;5,912;283;-165;152.29;2015-08-09
2015-09-30;1,413;-1,11;303;151;952;793;738;2,796;716;122;8,908;608;437;26;1,516;2,541;6,142;173;-104;152.29;2015-11-09
2015-12-31;1,334;-1,075;259;-301;967;706;682;2,787;705;125;8,586;587;457;56;1,55;2,468;6,208;136;-89;152.29;2016-02-21
2016-03-31;1,404;-1,014;390;258;716;830;667;2,503;722;125;8,392;574;58;58;1,095;2,487;5,747;287;-70;145.67;2016-05-10
2016-06-30;1,351;-1,013;338;223;735;792;636;2,456;711;121;8,248;551;61;58;1,087;2,464;5,646;349;-58;145.67;2016-08-09
2016-09-30;1,323;-968;355;266;1,252;791;652;2,978;712;119;8,757;591;73;19;1,098;2,923;6,047;304;-58;145.67;2016-11-09
2016-12-31;1,311;-989;322;161;638;801;720;2,472;796;194;8,357;625;91;27;1,077;2,89;5,769;-47;-60;145.67;2017-02-21
2017-03-31;1,471;-1,121;350;184;501;886;717;2,389;800;192;8,288;615;73;34;1,015;2,851;5,677;192;-62;138.32;2017-05-10
2017-06-30;1,51;-1,145;365;241;511;985;771;2,583;975;302;8,883;666;341;43;1,424;2,931;6,189;298;-54;138.32;2017-08-09
2017-09-30;1,566;-1,183;383;232;461;989;809;2,613;995;303;9,062;695;376;59;1,55;2,954;6,347;255;-64;138.32;2017-11-09
2017-12-31;1,593;-1,18;413;295;576;986;900;2,792;1,003;301;9,538;807;263;63;1,559;3,315;6,651;58;-87;138.32;2018-02-21
2018-03-31;1,851;-1,336;515;367;490;1,205;955;3,006;1,107;336;9,78;797;363;62;1,602;3,343;6,527;143;-86;135.42;2018-05-10
2018-06-30;1,844;-1,323;521;345;708;1,156;917;3,153;1,069;325;9,789;819;298;68;1,61;3,228;6,409;585;-79;135.42;2018-08-09
2018-09-30;1,771;-1,255;516;397;703;1,086;1,033;3,18;1,064;317;9,824;819;155;74;1,532;3,196;6,283;467;-79;135.42;2018-11-09
2018-12-31;1,689;-1,269;420;102;439;1,017;1,046;2,874;1,057;310;9,313;819;194;367;1,779;2,97;6,329;363;-93;135.42;2019-02-21
2019-03-31;1,687;-1,234;453;339;441;1,015;1,009;2,884;1,075;332;9,574;699;380;363;1,822;2,794;6,527;307;-79;124.65;2019-05-10
2019-06-30;1,592;-1,169;423;211;491;971;1,011;2,876;1,083;327;9,506;764;293;26;1,408;3,312;6,642;424;-65;124.65;2019-08-09
2019-09-30;1,586;-1,172;414;270;497;947;994;2,843;1,054;314;9,414;764;342;26;1,533;3,237;6,667;397;-82;124.65;2019-11-09
2019-12-31;1,432;-1,116;316;44;463;850;1,038;2,765;1,074;312;9,476;780;468;28;1,754;3,291;6,969;326;-144;124.65;2020-02-21
2020-03-31;1,46;-1,112;348;227;570;853;1,036;2,855;1,056;302;9,545;724;723;26;1,928;3,224;7,097;259;-119;118.48;2020-05-10
2020-06-30;1,193;-951;242;112;539;729;1,031;2,709;1,098;317;9,506;599;618;427;2,262;2,989;7,019;379;-88;118.48;2020-08-09
2020-09-30;1,411;-1,084;327;211;615;716;1,001;2,771;1,128;317;9,769;699;529;429;2,409;3,14;7,261;431;-72;118.48;2020-11-09
2020-12-31;1,591;-1,215;376;1,454;955;792;978;3,763;1,166;319;10,909;797;65;431;1,973;3,056;7,383;274;-85;118.48;2021-02-21
2021-03-31;1,798;-1,313;485;324;791;959;1,025;3,71;1,134;308;10,756;906;66;431;1,935;3,135;7,214;116;-92;112.08;2021-05-10
