date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2007-03-31;851;-662;189;-18;438;260;802;1,696;81;-;4,201;-;4;66;553;577;2,034;-557;-18;261.9;2007-04-28
2007-06-30;877;-662;215;-21;464;264;585;1,493;74;-;3,965;-;1;50;418;532;1,854;22;-21;261.9;2007-07-28
2007-09-30;837;-649;188;-25;404;235;515;1,357;70;-;3,894;-;2;16;432;493;1,838;103;-24;261.9;2007-10-28
2007-12-31;711;-611;101;-231;296;200;472;1,219;69;-;3,508;-;-;15;404;482;1,691;-51;-27;261.9;2008-02-24
2008-03-31;649;-574;74;-63;242;208;494;1,094;71;-;3,393;-;4;79;458;417;1,684;-6;-19;213.8;2008-04-28
2008-06-30;706;-447;259;73;298;213;420;1,119;71;-;3,398;-;5;139;469;357;1,627;77;-17;213.8;2008-07-28
2008-09-30;668;-459;209;-89;334;203;421;1,126;72;-;3,321;-;4;146;499;371;1,641;65;-22;213.8;2008-10-28
2008-12-31;589;-473;116;-242;362;106;405;1,08;86;-;3,2;-;25;168;549;429;1,706;15;-22;213.8;2009-02-24
2009-03-31;475;-431;44;-70;155;147;454;943;87;-;3,041;-;18;116;494;400;1,602;-127;-19;142.5;2009-04-28
2009-06-30;530;-374;157;12;153;162;345;774;81;-;2,817;-;16;38;333;369;1,388;39;-8;142.5;2009-07-28
2009-09-30;521;-379;142;4;153;150;323;726;76;-;2,732;-;0;35;297;342;1,319;33;-22;142.5;2009-10-28
2009-12-31;550;-402;148;-9;133;137;311;717;73;-;2,678;-;1;34;274;333;1,291;-14;-10;142.5;2010-02-24
2010-03-31;578;-358;220;35;94;170;400;777;71;-;2,708;-;1;33;315;291;1,314;28;-17;142.6;2010-04-28
2010-06-30;635;-384;251;44;227;178;323;822;75;-;2,75;-;-;88;369;253;1,325;187;-33;142.6;2010-07-28
2010-09-30;589;-365;224;37;223;170;333;850;72;-;2,763;-;-;85;396;245;1,341;67;-45;142.6;2010-10-28
2010-12-31;629;-407;222;57;260;147;326;815;85;547;2,594;-;-;83;407;236;1,374;100;-47;142.6;2011-02-24
2011-03-31;624;-409;215;32;173;167;402;824;81;542;2,547;-;-;97;420;180;1,317;-6;-49;142.7;2011-04-28
2011-06-30;619;-399;220;26;130;178;319;727;81;538;2,446;-;-;48;337;179;1,221;70;-56;142.7;2011-07-28
2011-09-30;602;-400;203;-10;101;158;328;732;86;534;2,517;-;-;52;424;193;1,349;61;-79;142.7;2011-10-28
2011-12-31;576;-420;156;-38;29;105;348;568;-;613;2,402;-;-;51;373;188;1,274;38;-128;142.7;2012-02-24
2012-03-31;594;-418;176;-13;9;131;464;676;81;565;2,574;-;94;-;419;285;1,471;-52;-54;142.7;2012-04-28
2012-06-30;685;-458;227;5;6;137;359;609;82;564;2,5;-;17;76;427;212;1,408;117;-44;142.7;2012-07-28
2012-09-30;664;-449;214;19;-;117;394;602;78;559;2,493;-;24;74;429;208;1,401;24;-54;142.7;2012-10-28
2012-12-31;700;-452;248;25;-;103;431;690;-;635;2,491;-;44;184;524;100;1,378;28;-50;142.7;2013-02-24
2013-03-31;786;-492;294;68;6;150;531;842;-;634;2,615;-;40;188;575;100;1,431;56;-46;142.7;2013-04-28
2013-06-30;843;-508;335;114;172;152;408;831;-;634;2,631;-;-;116;475;103;1,317;260;-49;142.7;2013-07-28
2013-09-30;756;-508;248;34;90;126;448;760;-;630;2,642;-;-;113;475;103;1,303;75;-75;142.7;2013-10-28
2013-12-31;810;-529;281;35;90;113;472;752;-;628;2,693;-;75;-;441;153;1,319;99;-68;139.9;2014-02-24
2014-03-31;742;-479;263;59;88;119;648;957;-;630;2,885;-;182;-;573;153;1,481;-50;-53;139.9;2014-04-28
2014-06-30;907;-587;320;64;108;147;482;820;-;626;2,733;-;143;-;495;153;1,413;206;-63;139.9;2014-07-28
2014-09-30;838;-544;294;58;146;111;506;861;-;624;2,814;-;145;-;494;153;1,427;120;-64;139.9;2014-10-28
2014-12-31;860;-592;269;41;158;91;518;903;81;543;2,847;-;68;-;255;229;1,46;110;-55;135.3;2015-02-24
2015-03-31;930;-626;304;47;214;137;640;1,113;-;652;3,133;-;183;-;616;229;1,822;33;-46;135.3;2015-04-28
2015-06-30;952;-690;262;24;144;149;535;983;-;693;3,059;-;142;-;543;229;1,739;134;-49;135.3;2015-07-28
2015-09-30;990;-709;281;1;87;125;548;906;-;704;3,057;-;201;-;682;179;1,718;62;-61;135.3;2015-10-28
2015-12-31;1,053;-756;297;20;98;192;587;991;-;756;3,295;-;158;-;635;456;1,964;25;-84;132.8;2016-02-24
2016-03-31;1,068;-750;318;42;133;197;643;1,097;-;769;3,358;-;205;-;745;440;2,043;51;-47;132.8;2016-04-28
2016-06-30;1,022;-715;307;51;158;199;542;1,04;-;774;3,344;-;129;-;699;439;2,026;223;-66;132.8;2016-07-28
2016-09-30;1,101;-754;347;66;142;204;534;1,019;-;768;3,304;-;96;-;595;442;1,883;149;-57;132.8;2016-10-28
2016-12-31;1,044;-728;315;44;157;164;549;987;-;772;3,277;-;28;-;502;448;1,793;161;-63;132.8;2017-02-24
2017-03-31;1,105;-749;356;78;164;227;658;1,176;-;766;3,42;-;40;0;558;447;1,852;73;-39;132.8;2017-04-28
2017-06-30;1,16;-736;424;91;303;209;555;1,173;-;759;3,398;-;-;0;488;440;1,786;254;-62;132.8;2017-07-28
2017-09-30;1,143;-763;380;73;279;210;553;1,144;-;748;3,36;-;-;0;499;430;1,767;127;-58;132.8;2017-10-28
2017-12-31;1,156;-712;444;149;288;193;629;1,207;-;746;3,488;-;-;0;520;385;1,757;157;-94;128.6;2018-02-24
2018-03-31;1,234;-751;483;142;296;247;771;1,43;-;752;3,725;-;-;0;582;393;1,857;72;-56;128.6;2018-04-28
2018-06-30;1,46;-855;605;199;573;300;638;1,634;-;761;3,994;-;-;0;623;398;1,942;370;-88;128.6;2018-07-28
2018-09-30;1,323;-814;510;145;591;252;673;1,622;-;754;4,035;-;-;0;621;394;1,93;201;-117;128.6;2018-10-28
2018-12-31;1,028;-825;203;-46;253;182;763;1,349;-;772;3,845;-;-;0;512;408;1,789;-107;-140;125.2;2019-02-24
2019-03-31;1,149;-904;245;-79;72;382;1,052;1,712;-;980;4,931;-;405;30;1,117;644;3,092;-149;-75;125.2;2019-04-28
2019-06-30;1,313;-983;330;-41;50;361;903;1,565;-;931;4,755;-;359;30;1,045;636;2,986;205;-82;125.2;2019-07-28
2019-09-30;1,091;-864;227;-104;106;322;812;1,51;-;920;4,658;-;441;37;1,056;687;2,995;18;-76;125.2;2019-10-28
2019-12-31;1,105;-793;312;-39;60;260;804;1,411;-;893;4,527;-;382;34;967;682;2,882;127;-70;125.2;2020-02-24
2020-03-31;1,171;-946;225;-65;117;307;876;1,551;-;907;4,691;-;458;37;1,073;715;3,058;-7;-53;125.2;2020-04-28
2020-06-30;1,115;-730;386;62;162;289;756;1,434;-;1,005;4,582;-;301;43;896;700;2,891;298;-31;125.2;2020-07-28
2020-09-30;1,55;-898;652;216;193;334;743;1,42;-;983;4,556;-;14;42;688;683;2,673;423;-23;125.2;2020-10-28
2020-12-31;1,618;-1,006;612;347;419;359;868;1,793;-;975;5,109;-;12;38;848;663;2,901;360;-94;125.2;2021-02-24
2021-03-31;1,942;-993;949;453;385;495;1,115;2,149;-;950;5,358;-;28;33;954;432;2,774;310;-66;124.4;2021-04-28
2021-06-30;2,495;-1,103;1,392;785;1,185;561;930;2,838;-;941;6,014;-;19;33;1,049;240;2,734;1,088;-59;124.4;2021-07-28
2021-09-30;1,677;-1,019;658;257;1,461;478;1,027;3,154;-;943;6,368;-;16;81;1,2;195;2,853;420;-129;124.4;2021-10-28
2021-12-31;1,571;-1,059;513;-36;1,355;430;1,174;3,163;-;828;6,174;-;19;22;1,082;246;2,69;96;-175;124.4;2022-02-24
2022-03-31;2,213;-1,113;1,101;571;1,107;610;1,466;3,406;-;924;6,815;-;22;22;1,21;243;2,845;304;-81;121.1;2022-04-28
2022-06-30;2,172;-1,245;927;415;1,534;530;1,224;3,512;-;917;6,964;-;17;23;1,077;249;2,704;677;-113;121.1;2022-07-28
2022-09-30;1,666;-1,295;371;106;1,602;423;1,147;3,401;-;927;7,104;-;32;25;987;261;2,676;184;-139;121.1;2022-10-28
2022-12-31;1,373;-1,141;233;-231;1,269;336;1,181;3,065;-;890;6,739;-;28;72;884;214;2,518;-53;-292;121.1;2023-02-24
2023-03-31;1,385;-1,238;148;-144;950;413;1,258;3,004;-;886;6,655;-;22;72;938;214;2,576;-226;-80;120.99;2023-04-28
2023-06-30;1,446;-1,139;308;-49;861;389;992;2,648;-;864;6,287;-;64;72;882;160;2,368;184;-142;118.9;2023-07-28
2023-09-30;1,312;-1,076;237;-35;838;356;917;2,445;-;867;6,328;-;84;75;927;163;2,399;206;-193;118.9;2023-10-28
2023-12-31;1,283;-1,067;216;-122;627;298;995;2,258;-;866;6,131;-;111;75;905;115;2,313;-8;-172;118.9;2024-02-24
2024-03-31;1,468;-1,117;351;-64;421;395;1,122;2,274;-;861;6,156;-;116;77;986;118;2,394;-81;-103;118.9;2024-04-29
2024-06-30;1,381;-1,174;207;-186;411;392;928;2,127;-;854;6,027;-;185;80;1,067;119;2,436;116;-170;118.6;2024-07-22
2024-09-30;1,202;-1,002;200;-423;526;349;923;2,132;-;844;5,728;-;101;78;973;118;2,105;52;-116;118.4;2024-10-21
2024-12-31;1,201;-1,013;188;-63;259;318;929;1,819;-;852;5,571;-;107;82;977;72;1,988;87;-138;118.6;2025-02-20
