date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
1996-03-31;977;-160;817;82;-;840;184;1,122;-;-;5,923;-;190;16;1,287;1,304;3,552;16;-34;956.3;1996-04-25
1996-06-30;1,018;-156;862;125;-;766;185;1,042;-;-;5,85;-;147;16;1,268;1,302;3,371;128;-72;956.3;1996-07-25
1996-09-30;960;-139;821;101;-;755;169;1,011;-;-;5,908;-;73;18;1,25;1,365;3,345;148;-156;956.3;1996-10-25
1996-12-31;1,204;-163;1,041;-182;106;694;158;1,243;-;-;6,84;-;-;27;1,233;1,499;3,752;283;-30;956.3;1997-01-25
1997-03-31;1,023;-168;855;71;97;707;173;1,268;-;-;7,344;-;-;34;1,187;1,503;3,668;68;-85;1024.8;1997-04-25
1997-06-30;1,119;-140;979;152;207;646;172;1,364;-;-;7,472;-;-;30;1,118;1,492;3,661;233;-117;1024.8;1997-07-25
1997-09-30;1,062;-120;942;135;259;645;135;1,397;-;-;7,622;-;-;30;1,108;1,455;3,692;297;-188;1024.8;1997-10-25
1997-12-31;1,148;-223;925;63;365;681;150;1,549;-;-;7,075;-;-;43;1,205;1,64;3,658;60;-3;1024.8;1998-01-25
1998-03-31;1,059;-232;827;104;190;656;150;1,288;-;-;10,478;-;1,135;58;2,278;2,862;6,343;201;-74;1148.8;1998-04-25
1998-06-30;1,021;-279;742;128;352;343;163;1,137;-;-;11,369;-;-;136;1,132;3,927;6,257;432;-174;1148.8;1998-07-25
1998-09-30;963;-209;754;-265;261;402;120;1,068;-;-;10,772;-;-;124;1,339;4,072;6,601;52;-205;1148.8;1998-10-25
1998-12-31;1,058;-239;819;142;263;404;132;1,05;-;-;10,864;-;-;134;1,392;4,009;6,573;268;-41;1148.8;1999-01-25
1999-03-31;1,275;-282;993;131;104;783;175;1,364;-;-;14,413;-;-;200;1,682;4,805;10,027;2;-147;1204.1;1999-04-25
1999-06-30;1,306;-265;1,041;142;198;752;167;1,391;-;-;14,302;-;-;180;1,555;4,012;9,064;237;-169;1204.1;1999-07-25
1999-09-30;1,288;-264;1,024;155;159;739;141;1,355;-;-;14,382;-;-;138;1,537;3,925;9,022;277;-145;1204.1;1999-10-25
1999-12-31;1,392;-349;1,043;175;307;803;116;1,527;-;-;14,757;-;-;272;1,777;3,961;9,251;446;-185;1204.1;2000-01-25
2000-03-31;1,379;-322;1,057;250;182;757;142;1,407;-;-;14,741;-;-;271;1,65;3,964;9,216;222;-104;1146.1;2000-04-25
2000-06-30;1,337;-303;1,034;187;77;895;148;1,434;-;-;14,993;-;-;373;1,776;3,964;9,469;221;-138;1146.1;2000-07-25
2000-09-30;1,334;-318;1,016;161;247;839;124;1,519;-;-;15,302;-;-;436;1,79;4,038;9,718;357;-166;1146.1;2000-10-25
2000-12-31;1,396;-365;1,031;176;19;737;110;1,125;-;-;15,119;-;-;434;1,915;3,886;9,48;328;-231;1146.1;2001-01-25
2001-03-31;1,398;-355;1,043;271;40;736;137;1,18;-;-;15,584;-;-;458;1,803;4,034;9,627;62;-87;1073.9;2001-04-25
2001-06-30;1,392;-332;1,06;40;30;662;136;1,109;-;-;15,162;-;-;281;1,63;3,873;9,232;375;-181;1073.9;2001-07-25
2001-09-30;1,325;-309;1,016;177;830;759;124;2,009;-;-;16,552;-;-;148;1,511;4,968;10,372;193;-120;1073.9;2001-10-25
2001-12-31;1,537;-300;1,237;239;53;645;133;1,164;-;-;18,788;-;-;163;1,638;5,764;12,427;602;-250;1073.9;2002-01-25
2002-03-31;1,509;-326;1,183;208;51;699;156;1,23;-;-;18,788;-;-;558;2,019;5,168;12,217;225;-71;1166.5;2002-04-25
2002-06-30;1,551;-344;1,207;207;93;675;163;1,229;-;-;18,26;-;-;832;2,27;4,5;11,571;350;-133;1166.5;2002-07-25
2002-09-30;1,503;-347;1,156;182;24;715;150;1,159;-;-;18,721;-;-;699;2,147;4,699;11,826;294;-157;1166.5;2002-10-25
2002-12-31;1,547;-350;1,197;-44;25;722;127;1,163;-;-;18,924;-;-;574;2,134;5,003;12,297;304;-210;1166.5;2003-01-25
2003-03-31;1,496;-343;1,153;180;84;706;160;1,257;-;-;18,251;-;-;949;2,484;4,544;11,921;308;-73;1129.2;2003-04-25
2003-06-30;1,463;-339;1,124;177;130;605;152;1,17;-;-;17,342;-;-;559;2,014;4,552;11,129;378;-154;1129.2;2003-07-25
2003-09-30;1,413;-302;1,111;208;122;567;145;1,11;-;-;17,392;-;-;537;1,993;4,473;11,061;387;-165;1129.2;2003-10-25
2003-12-31;1,512;-366;1,146;169;130;529;120;1,092;-;-;17,15;-;-;483;1,977;4,175;10,67;427;-191;1129.2;2004-01-25
2004-03-31;1,438;-312;1,126;219;175;519;155;1,175;-;-;17,237;-;-;149;1,582;4,367;10,559;305;-125;1139.5;2004-04-25
2004-06-30;1,665;-304;1,361;338;135;617;169;1,193;-;-;18,738;-;-;256;1,811;4,568;11,726;590;-259;1139.5;2004-07-25
2004-09-30;1,709;-322;1,387;367;132;743;155;1,29;-;919;19,152;-;-;257;1,657;5,141;11,83;556;-323;1139.5;2004-10-25
2004-12-31;1,736;-336;1,4;373;147;793;127;1,654;-;-;19,271;-;-;578;2,259;4,586;11,924;688;-365;1139.5;2005-01-25
2005-03-31;1,706;-372;1,334;296;202;727;178;1,65;-;855;19,292;-;-;225;1,888;4,956;11,969;583;-153;1073.4;2005-04-25
2005-06-30;1,838;-375;1,463;423;155;662;187;1,374;-;912;19,345;-;-;83;1,742;5,034;12,045;785;-318;1073.4;2005-07-25
2005-09-30;1,81;-369;1,441;430;119;643;175;1,151;-;930;18,908;-;-;370;1,914;4,608;11,61;643;-321;1073.4;2005-10-25
2005-12-31;1,886;-423;1,463;454;62;623;151;1,149;-;66;22,188;-;-;408;1,958;4,677;12,939;697;-388;1073.4;2006-01-25
2006-03-31;1,897;-462;1,435;362;173;551;224;1,198;-;947;22,32;-;-;402;1,906;4,86;13,118;619;-155;1025.1;2006-04-25
2006-06-30;2,001;-474;1,526;729;207;957;235;1,588;-;970;22,482;-;-;127;1,715;5,294;13,248;405;-287;1025.1;2006-07-25
2006-09-30;2,032;-485;1,547;497;56;1,035;205;1,483;-;976;22,675;-;-;151;1,891;5,164;13,413;854;-384;1025.1;2006-10-25
2006-12-31;2,001;-498;1,502;499;179;692;189;1,336;-;65;24,004;-;-;218;2,114;5,386;14,18;1,072;-472;1025.1;2007-01-25
2007-03-31;1,906;-495;1,411;324;106;508;208;1,089;-;1,646;23,723;-;-;244;1,754;5,602;13,913;263;-203;987.8;2007-04-25
2007-06-30;2,027;-512;1,515;516;241;425;204;1,102;-;1,664;23,167;-;-;366;1,855;5,193;13,376;766;-344;987.8;2007-07-25
2007-09-30;2,023;-498;1,525;485;214;641;206;1,446;-;1,576;22,905;-;-;293;1,554;5,342;13,246;446;-350;987.8;2007-10-25
2007-12-31;1,941;-566;1,375;833;310;370;162;1,048;-;1,999;23,46;-;-;254;1,59;5,363;13,283;942;-490;987.8;2008-01-25
2008-03-31;1,927;-595;1,332;311;334;621;212;1,345;-;2,065;24,164;-;-;269;1,602;6,064;14,091;165;-177;905.3;2008-04-25
2008-06-30;2,098;-682;1,416;459;161;843;217;1,376;-;2,113;24,353;-;-;85;1,374;6,389;14,244;409;-352;905.3;2008-07-25
2008-09-30;2,257;-658;1,599;552;288;657;213;1,358;-;2,134;24,964;-;-;449;1,778;6,264;14,666;957;-415;905.3;2008-10-25
2008-12-31;2,2;-605;1,595;573;413;913;200;1,756;-;1,761;26,72;-;-;506;1,892;7,405;16,161;500;-480;905.3;2009-01-25
2009-03-31;1,859;-473;1,386;424;349;940;273;1,777;-;1,787;27,511;-;-;527;1,807;7,836;16,608;318;-187;947;2009-04-25
2009-06-30;1,781;-452;1,329;387;431;865;258;1,763;-;1,814;26,737;-;-;506;1,776;7,093;15,631;632;-309;947;2009-07-25
2009-09-30;1,845;-432;1,413;461;233;849;237;1,449;-;1,849;25,752;-;-;89;1,248;6,511;14,349;650;-342;947;2009-10-25
2009-12-31;1,882;-490;1,392;582;352;797;170;1,49;-;1,056;25,176;-;-;70;1,237;6,391;13,943;679;-564;947;2010-01-25
2010-03-31;1,965;-511;1,454;511;748;781;235;1,947;-;1,166;25,382;-;-;108;1,337;6,189;13,87;597;-134;940.2;2010-04-25
2010-06-30;2,093;-505;1,588;534;896;794;255;2,105;-;1,221;26,127;-;-;210;1,551;6,345;14,45;859;-301;940.2;2010-07-25
2010-09-30;2,122;-495;1,627;556;548;810;271;1,811;-;1,571;26,028;-;-;109;1,302;6,117;14,171;488;-389;940.2;2010-10-25
2010-12-31;2,117;-573;1,544;503;490;775;210;1,59;-;699;25,206;-;-;540;1,906;5,531;13,922;1,055;-762;940.2;2011-01-25
2011-03-31;2,084;-613;1,471;668;593;770;228;1,714;-;821;25,212;-;-;474;1,815;5,451;13,754;499;-220;908.8;2011-04-25
2011-06-30;2,26;-621;1,639;538;175;825;240;1,841;-;840;25,47;-;-;530;1,982;5,432;13,999;899;-377;908.8;2011-07-25
2011-09-30;2,307;-621;1,686;659;192;801;272;1,868;-;899;26,567;-;-;525;2,09;5,878;14,911;987;-415;908.8;2011-10-25
2011-12-31;2,377;-677;1,7;592;101;820;201;1,848;-;261;26,026;-;-;135;1,715;6,441;15,346;591;-613;908.8;2012-01-25
2012-03-31;2,346;-675;1,671;775;182;769;261;1,893;-;299;25,873;-;-;895;2,237;5,892;14,875;125;-224;875.4;2012-04-25
2012-06-30;2,543;-684;1,859;631;345;833;277;2,059;-;329;26,466;-;-;784;2,393;5,991;15,302;1,211;-389;875.4;2012-07-25
2012-09-30;2,497;-673;1,824;664;175;845;272;1,925;-;349;26,278;-;-;678;2,309;5,77;14,973;1;-508;875.4;2012-10-25
2012-12-31;2,534;-740;1,794;610;155;831;230;1,869;-;249;26,659;-;-;577;2,203;6,323;15,641;724;-610;875.4;2013-01-25
2013-03-31;2,466;-733;1,733;555;128;900;289;1,999;-;260;26,992;-;-;1,466;2,798;5,945;15,88;321;-228;846.1;2013-04-25
2013-06-30;2,666;-743;1,923;717;87;876;330;1,905;-;335;27,545;-;-;1,322;2,791;6,141;16,16;1,063;-418;846.1;2013-07-25
2013-09-30;2,698;-708;1,99;705;182;868;317;2,037;-;377;27,797;-;-;1,488;2,987;6,01;16,23;1,066;-539;846.1;2013-10-25
2013-12-31;2,745;-786;1,959;635;214;815;274;1,977;-;-;30,163;-;-;1,021;2,498;6,819;17,21;1,098;-788;846.1;2014-01-25
2014-03-31;2,693;-856;1,837;623;198;899;331;2,178;-;-;30,893;-;-;912;2,459;7,287;17,797;645;-248;823.5;2014-04-25
2014-06-30;3,116;-874;2,242;847;127;925;355;2,042;-;-;30,634;-;-;621;2,222;7,04;17,291;1,273;-482;823.5;2014-07-25
2014-09-30;3,118;-824;2,294;853;176;939;372;2,108;-;-;31,673;-;-;485;2,203;7,356;17,926;1,328;-620;823.5;2014-10-25
2014-12-31;3,207;-890;2,317;844;52;928;335;1,993;-;298;31,687;-;-;544;2,201;7,828;18,217;1,135;-947;823.5;2015-01-25
2015-03-31;3,098;-818;2,28;704;178;924;429;2,292;-;-;33,496;-;-;1,083;2,821;8,32;19,752;992;-468;805.1;2015-04-25
2015-06-30;3,125;-761;2,364;886;86;910;463;2,159;-;-;33,605;-;-;1,502;3,098;7,842;19,651;1,203;-659;805.1;2015-07-25
