date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2000-06-30;213;-87;126;32;161;101;56;370;86;17;586;87;8;1;155;16;208;52;-6;1161.6;2000-09-08
2000-12-31;221;-94;126;20;167;89;49;389;83;17;599;68;11;1;130;15;200;52;-6;1161.6;2001-03-26
2001-06-30;233;-97;135;22;137;109;68;384;158;20;687;78;88;2;222;13;286;33;-3;1161.6;2001-09-08
2001-12-31;261;-114;147;41;177;113;64;426;152;18;741;87;112;2;245;13;312;55;-10;1161.6;2002-03-26
2002-06-30;306;-126;180;32;63;137;89;335;449;19;963;97;293;2;446;12;533;55;-17;1161.6;2002-09-08
2002-12-31;354;-150;204;55;103;145;95;384;437;16;1,025;134;120;2;310;11;546;61;-39;1161.6;2003-03-26
2003-06-30;332;-134;198;28;55;166;104;366;427;15;1,005;116;120;2;301;10;511;21;-16;1161.6;2003-09-08
2003-12-31;382;-279;103;52;133;174;106;472;552;19;1,24;128;30;0;236;0;692;55;-12;1161.6;2004-03-10
2004-06-30;367;-148;219;45;173;178;126;536;536;30;1,298;148;50;3;271;23;748;47;-9;1161.6;2004-09-23
2004-12-31;412;-116;243;24;246;181;114;568;576;3;1,355;142;57;14;267;27;727;47;-9;1161.6;2005-03-11
2005-06-30;364;-150;214;53;220;208;146;595;694;5;1,487;158;117;16;349;74;868;47;-9;1161.6;2005-09-23
2005-12-31;445;-195;250;70;247;237;135;647;751;4;1,6;150;112;17;340;122;905;50;-9;1138.8;2006-03-11
2006-06-30;417;-181;236;58;361;229;186;802;839;4;1,844;147;353;16;579;138;1,119;40;-10;1139.28;2006-09-23
2006-12-31;515;-229;286;62;240;257;170;709;816;4;1,726;162;209;21;455;70;927;81;-9;1156.2;2007-03-11
2007-06-30;440;-185;255;57;187;232;180;641;813;4;1,654;132;113;22;350;72;811;71;-13;1160.4;2007-09-08
2007-12-31;517;-222;295;68;199;279;167;687;812;5;1,708;157;114;21;386;72;830;99;-20;1166.56;2008-03-25
2008-06-30;431;-193;237;60;110;266;172;584;861;5;1,663;136;86;20;321;97;771;49;-22;1157.4;2008-09-08
2008-12-31;511;-235;277;66;172;272;166;647;920;5;1,803;152;107;26;385;57;847;122;-26;1153.84;2009-03-26
2009-06-30;441;-192;249;60;146;217;263;662;1,21;5;2,202;198;29;25;358;294;1,225;184;-36;1152.76;2009-09-08
2009-12-31;567;-243;324;77;129;236;271;668;1,199;5;2,378;179;25;17;339;77;1,331;87;-25;1152.04;2010-03-26
2010-06-30;515;-216;299;69;142;233;316;881;1,338;7;2,631;183;46;13;353;15;1,406;93;-37;1154.92;2010-09-08
2010-12-31;648;-280;367;88;260;269;316;852;1,409;19;2,651;187;23;38;374;34;1,398;137;-29;1159.12;2011-03-11
2011-06-30;589;-242;346;75;238;265;295;854;1,352;21;2,586;188;33;26;368;55;1,365;83;-18;1154.24;2011-09-23
2011-12-31;685;-297;388;85;414;278;331;1,067;1,448;21;2,901;167;145;103;548;37;1,533;119;-22;1154.9;2012-03-10
2012-06-30;618;-255;363;78;380;305;379;1,112;1,465;21;2,966;196;124;112;549;22;1,547;65;-19;1154.98;2012-09-23
2012-12-31;722;-316;406;79;442;311;433;1,277;1,659;21;3,443;211;121;35;521;35;2,01;159;-36;1152.6;2013-03-11
2013-06-30;698;-325;373;58;386;282;462;1,188;1,641;21;3,34;199;107;67;494;31;1,959;72;-38;1139.74;2013-09-23
2013-12-31;826;-388;437;92;444;288;442;1,257;1,556;26;3,302;198;122;44;485;1,127;1,906;148;-27;1151.36;2014-03-11
2014-06-30;686;-320;365;57;272;312;496;1,141;1,762;28;3,433;193;175;44;548;1,129;2,019;77;-18;1154.14;2014-09-23
2014-12-31;874;-408;467;73;230;313;477;1,088;1,842;30;3,514;223;36;117;509;1,086;1,934;206;-38;1153.84;2015-03-11
2015-06-30;757;-345;412;78;270;271;538;1,15;1,922;30;3,664;189;80;228;631;1,086;2,001;98;-22;1146.06;2015-09-23
2015-12-31;899;-394;505;98;844;295;496;1,746;1,906;26;4,224;217;29;465;849;1,276;2,478;207;-32;1158.16;2016-03-10
2016-06-30;743;-317;426;67;507;235;592;1,417;2,445;25;4,606;263;38;419;865;1,272;2,881;227;-20;1158.92;2016-09-23
2016-12-31;983;-425;559;99;354;306;536;1,25;2,49;26;4,549;262;106;58;580;992;2,649;168;-44;1158.92;2017-03-11
2017-06-30;844;-339;505;108;324;248;546;1,211;2,378;30;4,435;231;89;69;530;995;2,612;121;-31;1158.94;2017-09-23
2017-12-31;972;-402;570;248;514;317;491;1,393;2,302;33;4,419;225;13;62;465;995;2,476;190;-55;1152.55;2018-03-11
2018-06-30;778;-306;472;147;558;233;592;1,393;2,316;37;4,453;187;7;69;433;996;2,437;129;-23;1151.42;2018-09-23
2018-12-31;933;-378;556;149;613;285;565;1,549;2,341;43;4,582;216;5;52;658;778;2,419;200;-60;1146.62;2019-03-11
2019-06-30;848;-322;526;123;768;284;628;1,748;2,349;42;4,866;195;5;91;677;928;2,627;106;-26;1151.74;2019-09-23
2019-12-31;994;-399;595;185;704;316;618;1,712;2,423;49;4,836;242;34;81;1,153;349;2,449;257;-66;1147.9;2020-03-10
2020-06-30;768;-316;453;73;787;282;695;1,842;2,426;43;4,99;233;253;47;1,292;349;2,774;28;-28;1135.73;2020-09-23
2020-12-31;1,004;-430;573;114;548;281;656;1,555;1,354;1,001;4,556;321;244;32;753;895;2,557;244;-57;1119.41;2021-03-11
2021-06-30;1,001;-397;603;159;668;331;713;1,806;1,384;1,014;4,916;316;241;36;870;845;2,725;166;-80;1126.78;2021-09-23
2021-12-31;1,171;-478;693;124;791;290;742;1,91;1,416;1,028;5,093;394;198;74;944;845;2,717;318;-66;1132.49;2022-03-11
2022-06-30;1,256;-490;766;199;533;352;883;1,902;1,495;1,187;5,387;455;188;74;963;845;2,733;93;-68;1126.41;2022-09-23
2022-12-31;1,441;-619;822;132;435;308;1,004;1,853;1,878;1,235;6,015;541;107;32;925;846;3,337;287;-287;1121.65;2023-03-11
2023-06-30;1,457;-585;872;217;623;433;1,237;2,456;1,873;1,224;6,638;549;75;29;1,212;845;3,793;-73;-95;1130.53;2023-09-23
2023-12-31;1,461;-633;828;115;620;374;1,237;2,415;1,85;1,211;6,675;521;130;58;1,222;845;3,748;229;-220;1131.98;2024-03-10
2024-06-30;1,523;-625;897;216;555;497;1,773;3,011;2,454;1,426;8,341;534;235;68;1,151;1,576;4,54;185;-228;1202.09;2024-09-23
