date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2004-03-31;1414;-1284;130;41;314;513;615;2058;41;52;4668;885;-;244;1157;1085;2327;127;-58;80.87;2004-05-10
2004-06-30;1927;-1730;197;81;316;330;711;2056;41;52;4721;941;-;156;1129;1084;2298;157;-100;80.91;2004-08-09
2004-09-30;1715;-1537;178;69;184;482;750;2174;41;52;4918;1091;-;156;1288;1083;2455;155;-64;81.11;2004-11-09
2004-12-31;2096;-1866;230;100;802;371;621;2435;42;52;5243;1438;-;6;1487;1081;2692;39;-118;81.05;2005-02-14
2005-03-31;1519;-1391;128;35;54;575;802;2035;42;52;4969;1050;-;206;1610;670;2380;141;-78;81.30;2005-05-10
2005-06-30;2032;-1813;219;92;172;416;735;1979;42;52;4977;979;-;205;1214;970;2285;176;-65;81.80;2005-08-09
2005-09-30;1904;-1695;209;84;193;511;902;2466;45;52;5473;1200;-;205;1448;1171;2725;195;-105;82.09;2005-11-09
2005-12-31;2319;-2050;269;120;838;653;676;2981;46;52;5056;1546;-;204;1821;1171;3145;114;-143;81.87;2006-02-14
2006-03-31;1572;-1424;148;48;256;571;898;2399;46;52;5270;1036;-;4;1061;1170;2429;155;-84;81.48;2006-05-10
2006-06-30;2247;-2008;239;103;93;382;782;2177;46;52;5057;1026;-;4;1058;1170;2427;199;-77;81.59;2006-08-09
2006-09-30;2023;-1802;221;95;2;562;1000;2478;46;52;5503;1262;-;3;1431;1169;2797;91;-145;81.61;2006-11-09
2006-12-31;2427;-2182;245;108;741;340;667;2541;46;52;5805;1580;-;3;1663;1168;3019;395;-223;81.58;2007-02-14
2007-03-31;1743;-1574;169;65;-;577;886;2144;50;52;5426;1186;-;3;1233;1166;2596;168;-125;81.50;2007-05-10
2007-06-30;2317;-2052;265;122;-;364;811;2063;50;52;5434;1156;-;153;1326;1013;2535;202;-139;81.48;2007-08-09
2007-09-30;2053;-1816;237;106;-;519;1072;2651;50;52;6136;1566;-;153;1938;1014;3158;196;-156;81.52;2007-11-09
2007-12-31;2508;-2243;265;124;-;707;757;3116;52;52;6743;1848;-;156;2110;1341;3649;175;-169;81.50;2008-02-14
2008-03-31;1825;-1645;180;67;289;515;1021;2733;62;226;6432;1236;-;157;1681;1356;3239;109;-126;81.52;2008-05-10
2008-06-30;2451;-2227;224;98;29;363;997;2473;63;224;6209;1200;-;6;1362;1362;2936;139;-100;81.50;2008-08-09
2008-09-30;2256;-2024;232;109;2;584;1301;3396;72;233;7077;1417;-;11;1982;1370;3704;140;-100;81.51;2008-11-09
2008-12-31;2589;-2304;285;101;429;824;918;3979;71;248;7784;1444;-;15;2000;1373;4219;200;-34;81.52;2009-02-14
2009-03-31;1758;-1598;160;50;520;731;1104;4112;71;255;7962;1158;-;11;1910;1374;4404;144;-76;81.63;2009-05-10
2009-06-30;2325;-2066;259;104;1346;479;991;4919;71;263;8730;1160;-;160;2299;1423;5143;170;-43;81.68;2009-08-09
2009-09-30;2166;-1940;226;85;876;683;1217;5392;72;262;9147;1397;-;454;2856;1116;5523;168;-49;81.7;2009-11-09
2009-12-31;2437;-2184;253;96;786;836;934;5112;72;265;8790;1391;-;309;2564;1102;5102;213;-52;81.68;2010-02-14
2010-03-31;1889;-1302;587;52;845;565;1089;6663;-;334;11179;1045;-;687;3730;1220;7506;231;-60;81.96;2010-05-10
