date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
1996-03-31;85;-56;29;1;13;2;73;92;48;-;174;33;19;-;62;67;132;-17;-4;311.7;1996-05-05
1996-06-30;103;-67;36;4;6;2;87;99;47;-;183;34;21;-;64;42;111;-8;-4;311.7;1996-08-04
1996-09-30;111;-69;42;6;4;2;112;123;47;-;209;38;37;-;86;40;131;-13;-4;311.7;1996-11-04
1996-12-31;195;-119;76;23;3;2;75;86;46;-;171;35;-;-;62;3;70;78;-6;311.7;1997-02-19
1997-03-31;118;-77;41;4;4;1;90;100;46;-;192;33;-;5;52;30;86;-21;-9;318.6;1997-05-05
1997-06-30;129;-83;46;6;5;1;103;114;45;-;220;35;-;-;48;53;106;-3;-16;318.6;1997-08-04
1997-09-30;142;-89;54;9;5;1;133;146;45;-;264;47;-;13;76;60;140;-3;-18;318.6;1997-11-04
1997-12-31;246;-149;97;30;45;-;109;166;44;-;303;54;-;9;105;31;142;97;-18;318.6;1998-02-19
1998-03-31;181;-117;64;8;4;-;129;143;44;-;278;44;-;-;67;40;113;-42;-10;321.3;1998-05-05
1998-06-30;205;-131;74;12;5;1;156;172;44;-;311;43;-;9;73;53;132;-12;-10;321.3;1998-08-04
1998-09-30;210;-132;78;12;5;1;185;204;43;-;358;53;-;40;110;50;166;-11;-19;321.3;1998-11-04
1998-12-31;348;-209;139;39;75;-;143;232;43;-;405;53;-;17;117;30;156;151;-18;321.3;1999-02-19
1999-03-31;258;-168;90;14;18;-;174;205;42;-;382;41;-;19;83;30;121;-48;-10;323.7;1999-05-05
1999-06-30;288;-184;104;15;37;-;187;240;42;-;423;60;-;25;108;24;141;25;-17;323.7;1999-08-04
1999-09-30;299;-192;107;16;19;-;252;284;41;-;482;72;-;28;121;25;181;-30;-14;323.7;1999-11-04
1999-12-31;507;-310;197;60;182;-;193;396;42;-;611;72;-;31;168;49;260;182;-14;323.7;2000-02-19
2000-03-31;327;-214;114;14;81;-;255;352;42;-;562;64;-;28;121;24;180;-87;-18;335.4;2000-05-05
2000-06-30;385;-247;138;21;55;-;285;361;41;-;603;79;-;28;136;18;190;28;-26;335.4;2000-08-04
2000-09-30;377;-238;139;22;24;-;350;408;41;-;666;89;-;45;161;18;214;-31;-27;335.4;2000-11-04
2000-12-31;599;-365;234;65;181;-;259;477;40;-;747;75;-;29;174;18;228;197;-23;335.4;2001-02-19
2001-03-31;387;-256;131;11;66;-;355;457;40;-;741;82;-;29;155;18;210;-89;-26;338.7;2001-05-05
2001-06-30;440;-283;157;22;91;-;335;465;39;-;772;95;-;29;170;12;218;67;-37;338.7;2001-08-04
2001-09-30;445;-291;154;15;45;-;438;515;39;-;845;136;-;29;224;12;277;-9;-35;338.7;2001-11-04
2001-12-31;715;-442;273;76;237;-;296;561;38;-;902;69;-;29;201;12;250;210;-24;338.7;2002-02-19
2002-03-31;490;-317;173;23;181;-;372;583;38;-;941;103;-;29;197;12;251;-37;-32;343.8;2002-05-05
2002-06-30;499;-318;180;25;159;-;381;591;38;-;966;95;-;29;172;6;220;15;-36;343.8;2002-08-04
2002-09-30;514;-331;183;20;81;-;534;645;38;-;1,04;134;-;29;221;6;272;-52;-37;343.8;2002-11-04
