date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares
2000-03-31;17;-2;16;6;9;-;-;32;13;-;144;-;-;4;28;13;69;1;-;50.2
2000-06-30;18;-2;16;2;6;-;-;20;12;-;143;-;-;-;24;13;64;10;-;50.2
2000-09-30;18;-3;15;-1;24;-;-;42;11;-;171;-;-;19;55;-;82;9;-;50.2
2000-12-31;22;-4;18;-1;10;-;-;39;15;-;182;-;-;12;37;17;91;-4;-;50.2
2001-03-31;32;-7;26;4;6;-;-;34;14;-;211;-;-;11;57;26;119;24;-;51.6
2001-06-30;34;-6;28;3;51;-;-;68;13;-;246;-;-;-;40;72;151;15;-;51.6
2001-09-30;36;-6;30;5;25;-;-;56;14;-;262;-;-;-;42;73;159;19;-;51.6
2001-12-31;30;-9;22;4;18;-;-;39;17;-;263;-;-;-;36;73;158;12;-;51.6
2002-03-31;41;-11;30;3;18;-;-;45;17;-;280;-;-;-;25;83;171;-2;-;54.2
2002-06-30;56;-13;43;-8;18;-;-;58;19;-;296;-;-;-;19;83;177;12;-;54.2
2002-09-30;58;-12;47;6;28;-;-;73;19;-;315;-;-;-;37;83;185;22;-;54.2
2002-12-31;58;-10;48;-11;12;-;-;38;8;-;278;-;-;-;35;80;162;22;-58;54.2
2003-03-31;82;-34;48;15;37;-;-;74;7;-;312;-;-;-;54;80;183;41;-17;55.7
2003-06-30;68;-35;33;8;31;-;-;69;7;-;327;-;-;7;64;63;181;26;-27;55.7
2003-09-30;64;-36;28;-6;-;-;-;65;7;-;344;-;-;7;69;88;209;-3;-29;55.7
2003-12-31;70;-40;30;2;21;-;-;56;7;-;373;-;-;7;59;117;235;6;-26;55.7
2004-03-31;37;-12;25;3;139;-;1;166;-;-;276;-;-;55;98;-;115;14;-4;877.2
2004-06-30;35;-11;24;2;158;-;1;181;-;-;249;-;-;6;36;42;83;-7;-10;877.2
2004-09-30;-1;-2;-3;-2;116;-;1;146;-;-;223;-;-;7;36;53;96;-10;-8;877.2
2004-12-31;26;-13;13;-12;123;-;2;141;-;-;224;-;-;16;30;77;118;3;-14;877.2
2005-03-31;25;-15;10;24;141;11;-;168;-;-;280;-;-;32;104;79;193;3;-11;881.4
2005-06-30;25;-13;12;-3;174;10;-;199;-;-;324;-;-;24;86;135;235;-2;-20;881.4
2005-09-30;36;-18;17;0;162;13;-;189;-;-;351;-;-;24;93;135;246;8;-30;881.4
