date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares
2007-06-30;971;-737;234;34;112;653;503;1,482;1,199;21;3,535;256;15;-;769;1,234;2,235;33;-25;47
2007-09-30;966;-716;250;38;172;644;561;1,575;1,199;20;3,619;297;-;30;876;1,179;2,286;48;-91;47
2007-12-31;1,125;-809;316;59;202;546;500;1,455;1,199;29;3,514;305;-;-;787;1,092;2,098;302;8;47
2008-03-31;969;-705;264;45;114;520;556;1,394;1,119;32;3,446;295;-;-;735;1,042;1,997;-7;-31;47
2008-06-30;1,012;-752;260;57;128;548;556;1,428;1,199;29;3,491;304;-;-;749;1,094;2,066;80;-37;47
2008-09-30;973;-715;258;52;93;700;619;1,592;1,199;27;3,649;285;-;-;753;1,188;2,165;-94;-18;47
2008-12-31;1,145;-848;297;36;249;731;542;1,704;1,199;25;3,811;358;-;-;887;1,151;2,267;295;-59;47
2009-03-31;1,007;-755;252;37;83;726;528;1,508;1,199;23;3,596;274;-;-;760;1,045;2,033;-27;-23;47
2009-06-30;1,035;-766;269;68;135;722;448;1,458;1,199;34;3,545;275;-;-;765;1,002;1,994;197;-31;47
2009-09-30;1,021;-734;287;99;153;670;448;1,425;1,199;32;3,494;285;-;-;771;840;1,836;190;-27;47
2009-12-31;1,157;-799;358;132;230;640;382;1,415;1,199;29;3,489;344;-;-;802;682;1,7;266;-44;47
2010-03-31;960;-712;248;51;103;630;413;1,273;1,199;27;3,35;281;-;-;691;603;1,506;-41;-45;47
2010-06-30;970;-724;246;66;89;651;449;1,337;1,199;32;3,445;283;-;-;731;712;1,651;71;-89;47
2010-09-30;943;-698;245;72;84;610;506;1,407;1,199;41;3,51;270;-;-;736;695;1,638;32;-47;47
2010-12-31;1,098;-785;313;117;122;634;437;1,367;1,199;44;3,487;315;-;-;755;530;1,496;234;-59;47
2011-03-31;867;-640;227;40;97;600;491;1,318;1,199;42;3,433;242;-;-;626;569;1,404;-30;-39;47
2011-06-30;960;-720;240;59;91;704;467;1,404;1,199;49;3,572;311;-;-;730;710;1,649;115;-82;47
2011-09-30;917;-669;248;63;127;670;534;1,492;1,199;46;3,677;315;-;-;770;706;1,698;100;-59;47
2011-12-31;1,063;-747;316;98;85;663;470;1,352;1,199;57;3,681;302;-;635;1,361;26;1,599;177;-200;47
2012-03-31;856;-629;227;37;142;584;485;1,339;1,199;54;3,688;287;-;681;1,316;24;1,606;42;-41;47
2012-06-30;934;-689;245;57;107;636;469;1,347;1,199;57;3,681;282;-;754;1,422;17;1,716;83;-28;47
2012-09-30;849;-642;207;48;123;604;481;1,324;1,199;55;3,64;270;-;-;647;699;1,632;82;-21;47
2012-12-31;1,03;-764;266;-18;181;682;387;1,318;1,199;51;3,531;301;-;-;695;575;1,546;222;-25;47
2013-03-31;852;-633;219;36;164;590;432;1,315;1,199;51;3,486;282;-;-;657;535;1,459;9;-14;47
2013-06-30;914;-675;239;66;182;669;450;1,441;1,199;49;3,607;261;-;-;681;731;1,688;44;-15;47
2013-09-30;936;-697;239;58;151;632;488;1,416;1,27;51;3,619;285;-;-;766;604;1,621;159;-14;47
2013-12-31;1,102;-793;309;106;225;731;434;1,465;1,249;78;3,695;348;-;-;841;490;1,596;251;-40;47
2014-03-31;921;-680;241;51;223;619;478;1,438;1,249;74;3,641;318;-;-;776;448;1,494;59;-10;47
2014-06-30;1,017;-755;262;73;215;748;531;1,602;1,493;273;4,364;330;-;-;864;1,134;2,343;63;-22;47
2014-09-30;1,1;-803;297;87;210;758;559;1,643;1,488;264;4,375;342;-;1,007;1,921;-;2,284;149;-20;47
2014-12-31;833;-498;335;91;205;743;503;1,563;1,463;311;4,328;341;-;818;1,731;11;2,135;262;-38;47
2015-03-31;985;-698;287;70;175;710;536;1,53;1,462;296;4,258;341;-;706;1,57;17;2,003;75;-19;47
2015-06-30;1,002;-718;284;68;185;686;531;1,495;1,459;289;4,185;325;-;-;833;838;2,055;133;-33;47
2015-09-30;1,043;-731;312;99;175;727;571;1,583;1,461;282;4,29;311;-;-;897;793;2,057;117;-54;47
2015-12-31;1,17;-812;358;109;203;660;500;1,494;1,455;274;4,178;352;-;-;920;553;1,833;298;-58;47
2016-03-31;959;-687;272;55;94;612;538;1,359;1,459;273;4,043;301;-;-;771;516;1,652;-26;-33;47
2016-06-30;1,013;-728;285;73;143;680;531;1,464;1,466;270;4,176;290;-;-;776;807;1,968;65;-51;47
2016-09-30;1,064;-751;313;94;135;723;602;1,569;1,576;312;4,471;323;-;-;861;827;2,191;158;-31;47
2016-12-31;1,234;-873;361;114;186;730;548;1,588;1,577;304;4,487;373;-;-;922;673;2,082;249;-63;47
2017-03-31;1,004;-719;285;58;128;703;622;1,569;1,58;295;4,512;326;-;-;809;752;1,958;-39;-89;47
2017-06-30;1,101;-800;301;73;225;767;619;1,737;1,613;309;4,729;348;-;1,063;1,928;15;2,348;129;-34;47
2017-09-30;1,082;-778;304;81;187;772;652;1,738;1,605;295;4,699;346;-;956;1,845;14;2,252;97;-44;47
2017-12-31;1,253;-881;372;121;227;853;627;1,791;1,617;294;4,833;428;-;197;1,197;653;2,324;262;-70;47
2018-03-31;1,08;-785;295;58;128;777;712;1,775;1,654;303;4,891;385;-;201;1,129;678;2,302;-17;-29;47
2018-06-30;1,197;-885;312;66;177;832;700;1,863;1,66;299;5,002;350;-;108;1,055;1,042;2,595;79;-57;47
2018-09-30;1,19;-882;308;67;602;829;768;2,363;1,656;291;5,497;382;-;103;1,095;1,441;3,021;90;-57;47
2018-12-31;1,46;-1,087;373;58;260;921;771;2,161;2,073;509;5,954;424;-;103;1,209;1,399;3,429;191;-61;47
2019-03-31;1,264;-963;301;52;174;861;863;2,125;2,148;543;6,229;367;-;217;1,197;1,511;3,629;-26;-28;47
2019-06-30;1,348;-1,028;320;68;165;929;833;2,203;2,148;529;6,285;366;-;219;1,258;1,559;3,749;144;-36;47
2019-09-30;1,377;-1,038;339;81;246;952;850;2,369;2,171;525;6,477;408;-;226;1,379;1,52;3,87;178;-30;47
2019-12-31;1,557;-1,116;441;74;311;915;781;2,287;2,054;502;6,245;505;-;221;1,463;1,187;3,682;369;-89;47
2020-03-31;1,249;-958;291;22;513;836;864;2,48;2,047;485;6,436;416;-;233;1,34;1,7;3,854;-17;-27;47
2020-06-30;2,069;-1,746;323;-79;360;583;878;2,076;2,042;462;5,935;352;-;288;1,281;1,337;3,463;114;-33;47
2020-09-30;1,251;-973;278;48;391;803;863;2,32;2,037;440;6,152;401;-;660;1,854;998;3,657;52;-;47
2020-12-31;1,181;-966;215;35;364;599;861;2,024;2,011;408;5,78;422;-;270;1,299;1,216;3,239;133;-22;47
2021-03-31;932;-828;104;-51;297;554;937;2,039;2,045;408;5,81;374;-;116;1,071;1,492;3,281;-144;-11;47
2021-06-30;1,124;-930;194;18;360;717;920;2,305;2,02;381;5,987;400;-;417;1,464;1,279;3,455;-31;-13;47
2021-09-30;1,453;-1,117;336;101;305;891;1,033;2,541;2,016;361;6,204;506;-;767;2,043;837;3,588;105;-13;47
2021-12-31;1,552;-1,255;297;9;396;860;1,253;2,734;2,01;344;6,396;723;-;1,455;2,874;159;3,767;136;-40;47
2022-03-31;1,443;-1,171;272;6;220;914;1,459;2,84;2,04;338;6,53;583;-;577;1,883;1,236;3,84;-319;-21;47
2022-06-30;1,724;-1,441;283;49;287;1,074;1,483;3,143;2,06;329;6,846;586;-;391;1,816;1,566;4,074;8;-23;47
2022-09-30;1,834;-1,471;363;87;295;1,162;1,669;3,457;2,08;319;7,165;668;-;407;2,012;1,584;4,273;128;-23;47
2022-12-31;1,974;-1,573;401;59;372;1,137;1,727;3,458;2,136;305;7,339;840;-;393;2,076;1,173;4,127;231;-64;47
2023-03-31;1,877;-1,486;391;90;323;1,196;1,578;3,378;2,126;287;7,304;623;-;347;1,854;1,298;4,028;4;-22;47
2023-06-30;1,936;-1,496;440;120;419;1,259;1,469;3,488;2,16;274;7,492;601;-;362;2,073;1,23;4,191;355;-19;47
2023-09-30;1,935;-1,442;493;150;345;1,234;1,337;3,257;2,137;253;7,211;577;-;353;2,099;832;3,821;371;-65;47
2023-12-31;1,971;-1,441;530;83;488;1,125;1,251;3,082;2,11;230;6,913;719;-;342;2,046;610;3,491;460;-59;47
