date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
1995-09-30;833;-193;640;49;224;568;426;1,398;-;42;1,846;156;-;162;902;64;1,127;-60;-17;466.4;1995-11-01
1995-12-31;861;-210;650;63;313;495;411;1,347;-;153;1,826;154;-;83;867;44;1,082;232;-21;466.4;1996-02-01
1996-03-31;764;-163;601;32;244;538;403;1,308;-;150;1,774;148;-;57;809;42;1,02;-13;-14;466.4;1996-05-02
1996-06-30;737;-164;573;31;255;434;453;1,291;-;147;1,779;175;-;106;823;22;1,025;14;-12;466.4;1996-08-19
1996-09-30;873;-200;673;56;203;621;468;1,452;-;142;1,942;148;-;154;948;20;1,147;-66;-18;474.2;1996-11-01
1996-12-31;942;-218;724;75;289;604;391;1,442;-;138;1,939;148;-;56;893;-;1,094;220;-13;474.2;1997-02-01
1997-03-31;791;-167;624;41;265;571;358;1,355;-;180;1,904;134;-;54;821;-;1,013;45;-28;474.2;1997-05-02
1997-06-30;776;-180;596;38;256;472;441;1,312;92;70;1,873;166;-;31;759;-;965;54;-24;474.2;1997-08-19
1997-09-30;901;-204;696;64;198;568;427;1,349;-;156;1,911;146;-;46;772;-;971;-34;-20;479;1997-11-01
1997-12-31;1,001;-229;772;87;293;570;422;1,45;-;494;2,39;161;-;310;1,165;-;1,378;216;-31;479;1998-02-01
1998-03-31;872;-195;676;47;283;557;424;1,437;499;72;2,484;152;-;7;859;405;1,45;58;-40;479;1998-05-02
1998-06-30;845;-191;654;44;278;498;513;1,455;496;67;2,513;209;-;12;837;425;1,456;18;-31;479;1998-08-19
1998-09-30;997;-230;767;72;204;686;498;1,548;493;62;2,604;166;-;29;882;426;1,479;-59;-19;482.4;1998-11-01
1998-12-31;1,091;-250;841;97;403;649;450;1,683;490;58;2,751;183;-;6;904;426;1,544;278;-29;482.4;1999-02-01
1999-03-31;965;-216;749;54;370;613;413;1,572;562;54;2,717;157;-;6;838;426;1,468;93;-35;482.4;1999-05-02
1999-06-30;909;-204;704;50;348;534;513;1,571;558;51;2,747;223;-;7;863;423;1,462;41;-35;482.4;1999-08-19
1999-09-30;1,094;-252;842;83;250;699;510;1,648;648;45;2,927;215;-;112;969;425;1,578;-49;-33;485;1999-11-01
1999-12-31;1,235;-283;952;114;348;687;464;1,696;665;41;3,021;228;-;7;952;422;1,57;294;-43;485;2000-02-01
2000-03-31;1,039;-231;808;60;368;607;445;1,609;664;36;2,957;189;-;7;853;422;1,473;100;-45;485;2000-05-02
2000-06-30;999;-207;792;57;320;550;546;1,618;708;31;3,043;237;-;7;902;418;1,523;98;-60;485;2000-08-19
2000-09-30;1,178;-263;914;95;234;726;522;1,703;706;26;3,138;222;-;7;930;418;1,557;-27;-39;484.4;2000-11-01
2000-12-31;1,339;-425;914;127;424;663;498;1,801;705;23;3,245;223;-;7;918;414;1,557;262;-49;484.4;2001-02-01
2001-03-31;1,104;-298;806;66;384;682;489;1,769;700;22;3,223;188;-;6;862;414;1,491;9;-46;484.4;2001-05-02
2001-06-30;988;-14;1,002;21;347;581;630;1,739;700;21;3,219;240;-;6;857;411;1,507;61;-59;484.4;2001-08-19
2001-09-30;1,195;-345;850;98;157;794;648;1,795;708;21;3,301;229;-;17;870;414;1,525;-104;-50;482.2;2001-11-01
2001-12-31;1,298;-343;955;93;442;664;561;1,866;688;19;3,357;153;-;6;869;407;1,534;366;-48;482.2;2002-02-01
2002-03-31;1,122;-318;803;51;469;677;515;1,854;687;19;3,35;192;-;5;864;404;1,516;104;-42;482.2;2002-05-02
