date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares
2013-03-31;638;-20;658;130;56;494;164;1,022;197;114;7,836;304;74;359;932;3,395;5,666;92;-64;132
2013-06-30;507;-11;496;55;41;420;189;988;204;116;7,994;291;5;66;553;3,649;5,631;141;-81;132
2013-09-30;491;-8;484;39;90;373;212;1,049;200;115;8,072;276;69;161;708;3,581;5,718;202;-83;132
2013-12-31;594;-14;581;31;57;548;246;1,163;207;118;8,877;383;441;328;1,53;3,364;6,269;129;-90;132
2014-03-31;1,05;-10;1,041;213;126;664;230;1,412;214;119;9,29;430;453;330;1,519;3,196;6,204;146;-81;143
2014-06-30;567;-37;530;35;72;439;239;1,186;207;117;9,07;309;436;327;1,361;2,984;5,824;264;-55;143
2014-09-30;562;-32;531;49;105;418;270;1,27;217;122;9,407;298;326;272;1,309;3,272;6,153;175;-117;143
2014-12-31;793;-23;770;155;160;486;295;1,412;222;134;9,853;371;259;95;1,123;3,66;6,455;177;-176;143
2015-03-31;889;-3;891;174;236;603;283;1,646;242;140;10,192;384;8;93;905;3,8;6,5;120;-83;146
2015-06-30;527;-28;499;22;107;427;293;1,306;238;157;9,887;306;9;92;806;3,614;6,208;230;-107;146
2015-09-30;643;-21;622;57;721;430;287;1,932;256;162;10,973;365;2;726;1,604;3,678;7,216;212;-103;146
2015-12-31;698;-10;708;199;1,073;538;314;2,596;264;-;12,039;394;18;274;1,367;4,416;7,839;112;-134;146
2016-03-31;877;-20;857;55;260;572;261;2,289;248;191;11,449;372;13;954;1,76;3,714;7,357;181;-87;171
2016-06-30;500;-25;475;216;4,717;448;266;10,079;248;207;18,989;414;6;273;1,162;11,683;14,744;295;-144;171
2016-09-30;1,387;-10;1,377;-76;353;790;477;2,057;6,021;-;27,954;1,102;802;300;3,137;14,338;21,8;391;-362;171
2016-12-31;1,513;-35;1,478;71;404;972;472;2,511;6,213;-;29,221;1,242;961;476;3,724;14,276;22,517;186;-487;171
2017-03-31;1,857;-21;1,836;322;255;996;442;2,308;6,165;-;28,946;970;1,007;473;3,249;14,273;22,016;166;-305;213
2017-06-30;1,469;-10;1,459;110;217;923;469;2,159;6,005;-;28,584;963;1,039;1,175;3,805;13,446;21,744;315;-418;213
2017-09-30;1,427;-6;1,421;99;221;896;452;2,028;5,775;-;27,882;1,07;939;1,105;3,98;13,059;21,34;560;-361;213
2017-12-31;1,473;-2;1,471;85;438;1,071;418;2,526;5,805;-;28,806;1,161;1,241;741;3,946;13,14;21,694;152;-445;213
2018-03-31;1,807;-3;1,804;278;367;1,24;404;2,327;5,967;-;29,287;948;1,302;763;3,805;13,375;21,822;433;-349;233
2018-06-30;1,423;-;1,423;97;330;1,129;423;2,213;6,093;-;30,07;1,106;1,447;708;3,987;13,455;22,163;431;-611;233
2018-09-30;1,495;-2;1,493;141;393;1,229;430;2,396;5,99;-;30,309;1,159;1,121;857;4,273;13,642;22,597;529;-584;233
2018-12-31;1,799;-11;1,788;231;316;1,129;474;2,832;6,313;-;32,314;1,289;1,186;1,119;4,553;14,292;23,997;297;-618;233
2019-03-31;1,818;-;1,818;324;979;1,473;399;3,243;6,031;-;31,799;962;1,35;1,502;4,717;13,029;23,348;402;-557;240
2019-06-30;1,378;-;1,378;116;333;1,209;442;2,367;5,909;-;30,86;939;1,298;824;3,939;13,088;22,474;405;-565;240
2019-09-30;1,299;-;1,299;78;273;1,246;479;2,368;5,979;-;31,565;1,061;958;717;4,015;13,66;23,227;503;-525;240
2019-12-31;1,616;-;1,616;192;222;960;467;2,486;5,835;-;31,842;1,118;1,537;501;4,166;13,679;23,276;215;-848;240
2020-03-31;1,637;-;1,637;535;1,553;846;431;3,867;6,373;-;33,856;1,022;2,211;379;4,623;14,398;24,187;428;-654;248
2020-06-30;1,169;-;1,169;81;285;747;474;2,318;6,122;-;31,879;996;1,394;716;4,054;13,588;22,651;313;-669;248
2020-09-30;1,163;-;1,163;84;286;752;475;2,31;5,993;-;31,918;1,094;1,545;700;4,284;13,385;22,65;499;-612;248
2020-12-31;1,537;-;1,537;284;220;834;453;2,178;5,72;-;31,234;1,148;1,625;1,382;4,875;12,339;22,03;397;-688;248
2021-03-31;1,612;-;1,612;285;234;864;417;2,191;5,649;-;31,371;1,018;742;1,394;3,889;13,334;22,009;299;-477;257
2021-06-30;1,137;-;1,137;-6;174;798;475;2,145;5,568;-;31,362;1,061;1,223;123;3,209;13,934;21,957;332;-522;257
2021-09-30;1,148;-;1,148;-56;440;909;531;2,809;5,724;-;33,242;1,438;1,35;567;4,63;13,869;23,492;475;-597;257
