date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
1999-03-31;1,043;-;1,043;24;336;226;200;1,068;-;-;10,385;319;225;406;1,21;3,218;8,014;302;-86;132.03;1999-05-05
1999-06-30;1,039;-;1,039;6;220;343;198;1,067;-;-;10,349;480;258;323;1,27;3,151;7,998;168;-79;132.03;1999-08-04
1999-09-30;1,241;-;1,241;37;335;332;205;1,176;-;-;10,265;335;251;530;1,443;2,947;7,897;140;-61;132.03;1999-11-04
1999-12-31;1,149;-;1,149;-10;255;310;173;1,07;24;-;9,688;347;278;622;1,57;2,372;7,347;4;-95;132.03;2000-02-14
2000-03-31;1,382;-;1,382;79;370;448;174;1,378;345;-;10,741;437;984;461;2,196;2,444;8,121;114;-68;142.97;2000-05-05
2000-06-30;1,415;-;1,415;16;302;488;172;1,448;337;-;10,762;548;1,104;591;2,532;2,211;8,245;153;-98;142.97;2000-08-04
2000-09-30;1,582;-;1,582;68;238;480;171;1,361;336;-;10,565;481;1,127;653;2,574;2,043;8,001;149;-91;142.97;2000-11-04
2000-12-31;1,497;-;1,497;56;200;473;164;1,151;324;-;10,217;539;1,31;340;2,589;2,03;7,847;183;-150;142.97;2001-02-14
2001-03-31;1,801;-;1,801;137;1,472;703;94;2,613;333;-;11,246;738;1,111;244;2,81;3,587;8,811;230;-101;135.92;2001-05-05
2001-06-30;1,339;-;1,339;49;198;784;103;1,39;325;-;10,161;685;455;24;1,424;4,049;7,922;-25;-114;135.92;2001-08-04
2001-09-30;1,531;-;1,531;36;131;698;104;1,266;335;-;10,292;635;437;24;1,446;4,049;8,042;194;-103;135.92;2001-11-04
2001-12-31;2,204;-;2,204;51;97;660;109;1,477;333;-;10,332;609;291;50;1,326;4,311;8,098;-97;-133;135.92;2002-02-14
2002-03-31;1,285;-;1,285;20;107;734;109;1,29;335;-;10,15;502;230;314;1,337;4,075;7,895;221;-97;129.34;2002-05-05
2002-06-30;1,142;-;1,142;30;94;844;121;1,384;332;-;10,315;655;290;52;1,285;4,275;8,055;126;-115;129.34;2002-08-04
2002-09-30;1,414;-;1,414;50;71;665;132;1,412;344;-;10,316;572;316;52;1,312;4,208;8,011;125;-115;129.34;2002-11-04
2002-12-31;1,396;-;1,396;57;67;767;120;1,531;321;25;10,765;776;56;57;1,344;4,186;8,438;143;-183;129.34;2003-02-14
2003-03-31;1,584;-;1,584;62;99;703;111;1,563;345;-;10,273;688;95;56;1,31;4,181;7,927;126;-97;127.24;2003-05-05
2003-06-30;1,33;-;1,33;28;57;626;124;1,428;344;-;10,42;653;63;58;1,182;4,282;8,089;86;-137;127.24;2003-08-04
2003-09-30;1,64;-;1,64;45;118;637;160;1,534;344;-;10,598;787;40;59;1,284;4,278;8,228;249;-148;127.24;2003-11-04
