date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2000-09-30;2,427;-;2,427;123;417;-;758;3,067;-;-;15,276;-;-;-;3,069;4,561;10,342;422;-1,62;845.6;2000-11-09
2000-12-31;3,082;-;3,082;146;437;-;746;3,116;-;-;14,828;-;-;-;2,688;4,463;9,806;2;904;845.6;2001-03-01
2001-03-31;2,889;-;2,889;179;430;-;683;3,204;-;-;14,537;-;-;-;2,746;4,161;9,56;447;-123;845.6;2001-05-10
2001-06-30;2,503;-;2,503;168;495;-;654;2,865;-;-;14,282;-;-;-;2,606;4,044;9,147;297;-171;845.6;2001-08-09
2001-09-30;2,482;-;2,482;109;377;-;639;2,887;-;-;13,819;-;-;-;2,66;3,561;8,646;145;-189;845.6;2001-11-09
2001-12-31;2,536;-;2,536;86;602;-;598;2,921;-;-;14,294;-;-;-;2,757;3,516;8,809;256;-174;845.6;2002-03-01
2002-03-31;2,571;-;2,571;204;523;-;591;3,165;-;-;19,021;-;-;-;4,554;5,447;13,543;325;-81;845.7;2002-05-10
2002-06-30;2,682;-;2,682;262;428;-;622;2,688;-;-;17,556;-;-;-;3,13;5,402;11,874;450;-169;845.7;2002-08-09
2002-09-30;2,605;-;2,605;66;259;-;671;2,45;-;-;17,269;-;-;-;2,857;5,367;11,54;202;-1,908;845.7;2002-11-09
2002-12-31;3,29;-;3,29;207;592;-;504;3,091;-;-;17,96;-;-;-;3,934;4,599;12,064;374;1,509;845.7;2003-03-01
2003-03-31;3,593;-2,641;952;303;339;1,096;536;2,813;-;165;16,487;-;1,428;-;3,257;3,988;10,603;344;-83;848.8;2003-05-10
2003-06-30;2,435;-1,739;696;156;665;871;539;2,586;-;159;16,494;-;1,522;-;3,086;3,981;10,467;716;-161;848.8;2003-08-09
2003-09-30;2,527;-1,883;644;140;277;846;541;1,975;-;151;16,164;-;1,192;-;2,708;3,844;9,991;321;-126;848.8;2003-11-09
2003-12-31;2,837;-1,791;1,046;260;439;951;551;2,39;-;146;16,562;-;1,225;-;2,688;5,186;10,156;196;-180;848.8;2004-02-29
2004-03-31;1,129;-446;683;222;193;1,527;578;2,298;-;160;16,971;-;1,251;-;3,169;5,003;10,67;453;-57;852.6;2004-05-10
2004-06-30;857;-340;517;185;194;1,281;596;2,071;-;143;16,915;-;1,154;-;2,754;4,552;10,314;594;-71;852.6;2004-08-09
2004-09-30;765;-301;464;104;219;1,348;701;2,268;-;122;17,231;-;1,163;-;2,786;5,01;10,269;256;-73;852.6;2004-11-09
2004-12-31;1,084;-420;664;192;145;1,294;654;2,354;-;116;17,567;-;790;-;2,466;4,45;10,067;455;-134;852.6;2005-03-01
2005-03-31;1,133;-418;715;270;158;1,129;231;2,875;-;85;16,045;-;973;-;2,408;4,566;9,361;151;-49;872.6;2005-05-10
2005-06-30;858;-294;564;152;552;961;234;1,747;-;82;14,632;-;321;-;1,267;3,826;7,968;498;-74;872.6;2005-08-09
2005-09-30;774;-258;516;173;782;859;258;1,899;-;82;14,841;-;287;-;1,27;3,828;7,979;331;-84;872.6;2005-11-09
2005-12-31;1,112;-355;757;341;788;882;256;2,055;-;80;15,13;-;828;-;2,048;3,118;7,979;424;-139;872.6;2006-03-01
2006-03-31;1,343;-526;817;372;207;1,167;221;1,595;-;85;14,701;-;980;-;2,349;3,709;8,434;303;-71;881.2;2006-05-10
2006-06-30;948;-322;626;227;677;895;237;2,002;-;93;16,729;-;612;-;2,006;4,373;9,829;483;-103;881.2;2006-08-09
2006-09-30;946;-372;574;160;811;1,004;274;2,272;-;88;16,904;-;608;-;2,242;4,362;9,881;273;-123;881.2;2006-11-09
2006-12-31;1,254;-453;801;361;157;1,052;329;1,736;-;96;16,839;-;442;-;1,568;4,06;8,931;92;-188;881.2;2007-03-01
2007-03-31;1,34;-486;854;552;1,067;1,099;286;2,781;-;89;17,739;-;1,483;-;3,619;3,516;10,416;497;-100;890.0;2007-05-10
2007-06-30;959;-316;643;236;879;863;301;2,224;-;79;17,451;-;924;-;1,869;4,565;9,715;573;-113;890.0;2007-08-09
2007-09-30;860;-287;573;427;815;718;321;1,979;-;76;17,669;-;688;-;1,609;4,583;9,45;255;-128;890.0;2007-11-09
2007-12-31;1,32;-483;837;393;427;1,034;285;1,886;-;85;17,674;-;605;-;1,763;4,288;9,315;345;-251;890.0;2008-02-29
2008-03-31;1,44;-521;919;476;2,237;1,34;297;4,059;-;416;21,491;-;832;-;2,113;6,633;13,036;542;-164;887.2;2008-05-10
2008-06-30;1,322;-465;857;245;1,247;1,015;316;2,838;-;426;20,531;-;958;-;2,453;6,543;13,364;497;-215;887.2;2008-08-09
2008-09-30;1,272;-479;793;268;663;1,144;358;3,049;-;427;20,546;-;923;-;2,411;6,776;12,967;401;-301;887.2;2008-11-09
2008-12-31;1,602;-652;950;607;733;1,235;444;3,761;-;395;20,278;-;980;-;2,09;6,52;12,324;562;-338;887.2;2009-03-01
2009-03-31;1,632;-656;976;423;2,206;1,176;388;5,323;-;370;21,709;-;1,697;-;2,774;6,978;13,418;822;-180;888.3;2009-05-10
2009-06-30;1,194;-411;783;294;1,008;806;431;3,048;-;363;19,473;-;383;-;1,287;7,061;11,997;704;-171;888.3;2009-08-09
2009-09-30;1,046;-352;694;203;420;712;463;2,37;-;365;19,559;-;325;-;1,406;6,531;11,663;342;-228;888.3;2009-11-09
2009-12-31;1,563;-608;955;431;493;1,03;447;2,549;-;391;19,841;-;857;-;2,133;6,002;11,807;396;-266;888.3;2010-03-01
2010-03-31;1,947;-917;1,03;583;1,103;1,217;356;3,239;-;413;21,318;-;1,344;-;3,757;5,833;13,359;521;-223;888.3;2010-05-10
2010-06-30;1,295;-544;751;271;300;853;418;2,107;-;411;20,606;-;1,519;-;2,974;5,681;12,446;422;-263;888.3;2010-08-09
2010-09-30;1,152;-475;677;240;971;784;455;2,347;-;382;21,202;-;1,124;-;2,698;6,464;12,963;273;-216;888.3;2010-11-09
2010-12-31;1,902;-910;992;260;285;1,284;387;2,529;-;421;21,964;-;862;-;3,384;6,52;13,754;221;-432;888.3;2011-03-01
2011-03-31;2,034;-951;1,083;746;1,171;1,189;318;3,12;-;435;22,617;-;1,139;-;3,799;6,557;14,358;454;-206;888.3;2011-05-10
2011-06-30;1,316;-518;798;478;680;787;410;2,201;-;416;21,519;-;776;-;1,916;6,818;12,696;410;-297;888.3;2011-08-09
2011-09-30;1,144;-438;706;194;566;724;471;2,171;-;393;21,509;-;713;-;1,789;6,901;12,579;277;-361;888.3;2011-11-09
2011-12-31;1,667;-659;1,008;444;731;1,02;528;2,788;-;433;22,998;-;925;-;2,438;6,845;13,366;472;-421;888.3;2012-02-29
2012-03-31;1,901;-801;1,1;536;1,574;1,079;479;3,517;-;455;24,04;-;905;-;2,421;7,192;13,838;553;-272;888.3;2012-05-10
2012-06-30;1,284;-532;752;191;404;745;470;1,977;301;110;22,541;-;558;-;1,768;7,266;13,215;319;-305;888.3;2012-08-09
2012-09-30;1,14;-483;657;120;1,117;739;487;2,669;-;418;24,066;-;604;-;1,954;8,277;14,543;111;-342;888.3;2012-11-09
2012-12-31;1,834;-732;1,102;665;961;1,044;298;2,537;-;427;23,495;-;-;1,071;2,494;7,647;13,456;399;-503;888.3;2013-03-01
2013-03-31;1,654;-738;916;404;1,716;1,054;244;3,224;313;115;24,398;-;1,801;-;3,339;7,291;13,896;466;-210;888.3;2013-05-10
2013-06-30;1,205;-512;693;314;1,025;749;285;2,563;291;111;22,955;-;-;1,953;3;7,048;13,283;283;-201;888.3;2013-08-09
2013-09-30;1,06;-476;584;30;1,094;668;286;2,221;285;123;22,816;-;-;1,866;2,915;7,061;13,215;401;-259;888.3;2013-11-09
2013-12-31;1,39;-544;846;464;1,25;869;264;3,863;275;109;23,348;-;-;2,103;3,732;6,936;13,325;398;-334;888.3;2014-03-01
2014-03-31;1,208;-551;657;312;2,989;852;237;4,46;256;125;23,673;-;-;924;1,991;6,903;11,563;566;-123;888.3;2014-05-10
2014-06-30;886;-388;498;197;2,157;597;262;3,331;265;99;22,03;-;-;338;1,228;6,828;10,606;456;-134;888.3;2014-08-09
2014-09-30;861;-414;447;58;2,178;588;257;3,211;247;99;21,64;-;-;1,015;1,853;5,954;10,385;288;-165;888.3;2014-11-09
2014-12-31;1,133;-473;660;523;2,009;830;256;4,301;170;106;21,375;-;287;816;2,067;5,881;10,511;452;-200;888.3;2015-03-01
2015-03-31;1,04;-433;607;295;1,773;637;247;7,212;197;80;22,182;-;214;824;3,698;5,944;11,761;603;-101;888.3;2015-05-10
2015-06-30;794;-363;431;118;2,774;612;270;9,857;197;65;24,548;-;176;1,56;2,543;5,029;9,659;296;-108;888.3;2015-08-09
2015-09-30;661;-312;349;-658;2,39;574;258;9,238;168;64;22,599;-;250;836;1,836;5,01;8,793;151;-138;888.3;2015-11-09
2015-12-31;964;-407;557;18;3,289;822;231;9,61;-;222;22,767;-;204;838;2,042;4,965;8,973;331;-180;888.3;2016-02-29
2016-03-31;989;-456;533;331;4,44;878;205;9,549;-;289;23,095;-;203;1,138;2,191;4,729;8,904;375;-113;888.3;2016-05-10
2016-06-30;768;-380;388;57;3,303;489;234;7,638;-;286;21,243;-;-;683;1,503;4,533;7,985;-5;-131;888.3;2016-08-09
2016-09-30;732;-394;338;-31;1,762;501;241;6,894;-;432;21,338;-;174;496;1,605;4,515;8,238;101;-123;888.3;2016-11-09
2016-12-31;1,143;-600;543;148;1,679;844;233;7,046;-;467;21,964;-;140;499;1,876;4,468;8,506;150;-232;888.3;2017-03-01
2017-03-31;1,232;-604;628;340;2,738;841;215;6,93;-;507;22,192;-;173;646;1,93;4,056;8,135;282;-180;888.3;2017-05-10
2017-06-30;937;-483;454;-69;2,829;615;234;5,511;-;486;20,283;-;197;572;1,581;3,942;7,648;232;-128;888.3;2017-08-09
2017-09-30;919;-466;453;355;2,853;732;233;5,6;-;1,076;21,46;-;203;593;1,855;4,155;8,497;185;-162;888.3;2017-11-09
2017-12-31;1,432;-747;685;257;3,182;997;216;5,918;-;1,064;21,753;-;206;560;2,078;4,119;8,705;294;-187;888.3;2018-03-01
2018-03-31;1,585;-825;760;399;3,42;1,158;218;5,77;-;1,094;21,272;-;184;882;3,384;3,338;9,155;273;-133;888.3;2018-05-10
2018-06-30;1,087;-555;532;216;701;1,041;243;3,148;-;1,11;22,045;-;190;821;2,663;5,03;10,195;361;-119;888.3;2018-08-09
2018-09-30;971;-545;426;46;699;1,06;252;3,088;-;1,097;22,082;-;126;822;2,571;5,027;10,096;133;-142;888.3;2018-11-09
2018-12-31;1,599;-870;729;198;557;1,62;233;3,344;-;1,087;22,409;-;283;803;2,973;5,007;10,568;37;-185;888.3;2019-03-01
2019-03-31;1,69;-917;773;359;1,655;1,279;235;3,975;-;1,119;23,363;-;768;53;3,198;5,866;11,689;751;-150;888.3;2019-05-10
2019-06-30;1,144;-526;618;607;1,2;938;247;3,168;-;1,113;22,813;-;484;51;1,753;6,087;10,438;740;-219;888.3;2019-08-09
2019-09-30;1,06;-533;527;173;1,294;844;245;3,247;-;1,102;22,858;-;564;32;1,794;6,105;10,457;262;-160;888.3;2019-11-09
2019-12-31;1,553;-745;808;367;1,356;1,176;230;3,486;-;1,143;23,364;-;478;92;1,766;6,029;10,381;-178;-166;888.3;2020-02-29
2020-03-31;1,357;-576;781;938;3,963;7,642;1,825;32,436;724;1,461;68,55;-;2,655;192;27,887;7,554;54,774;562;-110;888.3;2020-05-10
2020-06-30;12,33;-11,424;906;403;2,236;5,67;2,094;22,251;750;1,2;57,984;-;1,597;714;19,087;7,073;44,787;440;-241;888.3;2020-08-09
2020-09-30;14,049;-13,17;879;102;2,117;7,124;1,822;19,329;724;1,193;53,645;-;1,403;658;16,608;7,052;41,123;790;-331;888.3;2020-11-09
2020-12-31;21,279;-19,127;2,152;394;1,898;8,906;1,936;22,567;1,069;1,199;57,81;-;1,513;695;10,926;7,891;44,857;763;-419;888.3;2021-03-01
2021-03-31;1721;-900;821;1310;3,259;8,852;1,579;25,808;1,015;1,697;63,416;-;2,137;657;23,17;7,542;49,113;831;-293;888.3;2021-05-10
2021-06-30;1233;-629;604;-659;1,377;7,805;2,045;42,898;1,014;1,355;87,6;-;3,503;388;42,805;7,207;74,806;289;-277;888.3;2021-08-09
