date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2006-03-31;1;-1;0;-1;10;1;0;11;-;-;22;-;-;-;1;-;2;-1;-2;5.1;2006-05-05
2006-06-30;2;-2;1;-3;15;3;1;20;-;-;101;-;-;12;17;12;53;0;-4;5.1;2006-08-04
2006-09-30;4;-3;1;-3;8;5;1;15;-;-;138;-;-;30;35;13;82;-2;-4;5.1;2006-11-04
2006-12-31;7;-7;0;-4;15;1;1;23;-;-;159;-;-;12;21;12;69;-1;-7;5.1;2007-02-19
2007-03-31;9;-6;3;-3;8;3;2;18;-;-;165;-;-;12;23;12;73;-2;-5;5.9;2007-05-05
2007-06-30;10;-7;3;-1;16;3;2;29;-;-;187;-;-;13;21;0;60;-1;-7;5.9;2007-08-04
2007-09-30;10;-6;4;-2;12;3;2;24;-;-;185;-;-;14;25;-;63;3;-9;5.9;2007-11-04
2007-12-31;12;-7;5;-1;13;3;3;27;-;-;186;-;-;16;26;-;62;4;-8;5.9;2008-02-19
2008-03-31;13;-7;6;1;52;4;3;67;-;-;240;-;-;16;29;-;66;5;-9;6.8;2008-05-05
2008-06-30;11;-8;4;0;45;2;4;61;-;-;253;-;-;4;35;-;76;6;-9;6.8;2008-08-04
2008-09-30;10;-8;3;0;28;3;5;47;-;-;237;-;-;3;33;-;71;-2;-19;6.8;2008-11-04
2008-12-31;8;-7;1;-5;14;2;4;28;-;-;190;-;-;13;29;-;61;-4;1;6.8;2009-02-19
2009-03-31;12;-7;5;1;26;2;4;39;-;-;201;-;-;14;27;-;59;-;-3;8.6;2009-05-05
2009-06-30;11;-8;3;1;20;1;3;32;-;-;218;-;-;15;30;-;62;-1;-8;8.6;2009-08-04
2009-09-30;13;-7;5;2;7;2;3;21;-;-;210;-;-;3;15;-;45;2;-10;8.6;2009-11-04
2009-12-31;17;-8;9;2;5;2;4;19;-;-;239;-;-;4;15;3;50;5;-10;8.6;2010-02-19
2010-03-31;18;-9;9;1;8;9;4;23;-;-;194;12;-;4;17;3;37;6;-4;6.5;2010-05-05
2010-06-30;26;-12;14;11;15;9;5;31;-;-;202;-;-;3;17;3;35;11;-4;6.5;2010-08-04
2010-09-30;33;-14;18;10;25;8;7;42;-;-;225;-;-;4;18;-;39;19;-10;6.5;2010-11-04
2010-12-31;40;-13;27;14;35;3;9;60;-;-;259;6;-;1;14;-;46;22;-12;6.5;2011-02-19
2011-03-31;55;-17;39;24;53;5;9;107;-;-;317;6;-;2;23;-;62;34;-10;107.3;2011-05-05
2011-06-30;68;-18;50;31;105;5;10;137;-;-;372;7;-;5;36;-;77;38;-19;107.3;2011-08-04
2011-09-30;61;-16;46;28;106;6;12;140;-;-;415;10;-;5;40;-;89;35;-32;107.3;2011-11-04
2011-12-31;61;-16;44;21;91;6;15;138;-;-;443;7;-;5;28;-;93;20;-35;107.3;2012-02-19
2012-03-31;58;-17;41;26;85;7;18;142;-;-;481;10;-;5;34;-;101;39;-33;112.8;2012-05-05
2012-06-30;55;-19;36;15;71;6;19;129;-;-;510;10;-;8;34;-;113;23;-33;112.8;2012-08-04
2012-09-30;64;-21;43;25;73;8;25;138;25;-;729;17;-;8;54;-;163;26;-39;112.8;2012-11-04
2012-12-31;71;-24;47;22;112;7;24;173;25;-;813;21;-;16;57;44;220;48;-70;112.8;2013-02-19
2013-03-31;67;-24;43;27;97;10;24;174;25;-;849;23;-;19;66;37;224;45;-43;116.9;2013-05-05
2013-06-30;48;-24;25;0;69;7;32;146;25;-;870;24;-;24;66;33;244;26;-50;116.9;2013-08-04
