date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
1999-03-31;144;-;144;11;4;59;6;80;41;-;1,028;-;5;-;131;427;687;35;-16;52;1999-05-05
1999-06-30;121;-;121;8;4;54;7;75;40;-;1,025;-;9;-;126;425;681;16;-17;52;1999-07-28
1999-09-30;105;-;105;5;9;45;7;61;40;-;1,047;-;14;-;128;439;704;32;-44;52;1999-10-28
1999-12-31;135;-;135;6;11;64;17;92;39;-;1,239;-;93;11;230;538;895;2;-10;52;2000-02-09
2000-03-31;166;-;166;11;11;68;17;96;38;-;1,329;-;173;15;316;485;978;23;-19;56;2000-05-05
2000-06-30;143;-;143;12;7;61;18;137;38;-;1,322;-;164;9;306;497;965;19;-22;56;2000-07-28
2000-09-30;126;-;126;7;11;59;17;139;37;-;1,338;-;165;9;318;496;978;30;-20;56;2000-10-28
2000-12-31;145;-;145;9;18;77;17;166;36;-;1,479;-;34;12;224;728;1,066;27;-96;56;2001-02-09
2001-03-31;179;-;179;16;13;91;19;177;35;-;1,606;-;155;12;331;680;1,18;12;-19;60;2001-05-05
2001-06-30;157;-;157;17;18;81;15;120;35;-;1,518;-;145;16;251;685;1,087;17;-26;60;2001-07-28
2001-09-30;138;-;138;13;12;67;17;96;34;-;1,563;-;180;17;295;674;1,12;39;-59;60;2001-10-28
2001-12-31;154;-;154;11;14;102;18;134;33;-;1,625;-;130;21;272;796;1,175;27;-46;60;2002-02-09
2002-03-31;183;-;183;16;16;114;17;147;33;-;1,683;-;159;18;300;766;1,221;20;-47;64;2002-05-05
2002-06-30;167;-;167;18;64;106;16;186;33;-;1,76;-;115;19;250;792;1,198;33;-63;64;2002-07-28
2002-09-30;170;-;170;20;38;122;16;176;56;-;1,861;-;110;19;261;856;1,283;45;-43;64;2002-10-28
2002-12-31;196;-;196;15;26;136;18;180;60;26;1,987;-;157;24;334;941;1,401;37;-76;64;2003-02-09
2003-03-31;235;-;235;21;28;164;18;210;60;25;2,08;-;244;28;436;927;1,488;25;-33;68;2003-05-05
2003-06-30;206;-;206;22;34;142;17;193;65;24;2,067;-;118;28;286;934;1,344;36;-33;68;2003-07-28
2003-09-30;191;-;191;21;79;131;17;227;65;23;2,153;-;88;30;267;1,023;1,419;54;-51;68;2003-10-28
2003-12-31;211;-;211;18;65;94;16;192;65;22;2,164;-;104;38;295;1,031;1,426;41;-90;68;2004-02-09
2004-03-31;251;-;251;23;45;111;17;203;65;21;2,214;-;55;33;241;1,031;1,413;22;-28;104;2004-05-05
2004-06-30;255;-;255;28;51;158;29;277;515;20;3,88;-;1,058;36;1,364;1,178;2,729;48;-51;104;2004-07-28
2004-09-30;304;-;304;30;40;148;28;216;514;19;3,726;-;851;37;1,158;1,176;2,419;111;-70;104;2004-10-28
