date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2008-03-31;350;-209;141;-56;183;144;953;1,334;138;837;2,988;146;345;55;585;955;1,797;59;-;112;2008-05-15
2008-06-30;344;-181;163;51;81;170;1,046;1,343;133;880;3,127;172;343;51;616;990;1,886;46;-;112;2008-08-14
2008-09-30;436;-238;198;1;83;198;1,106;1,445;133;892;3,314;194;433;60;746;997;2,047;-12;-;112;2008-11-14
2008-12-31;358;-223;134;-340;68;158;1,118;1,401;88;840;3,139;215;497;843;1,714;235;2,21;15;-;112;2009-02-14
2009-03-31;284;-115;169;124;64;123;1,247;1,475;88;826;3,186;134;486;53;812;1,043;2,161;13;-;112;2009-05-15
2009-06-30;474;-207;267;192;255;160;1,544;2,014;88;838;3,782;179;486;74;914;1,016;2,316;41;-;112;2009-08-14
2009-09-30;385;-172;213;-174;115;134;1,315;1,62;88;823;3,346;172;453;91;816;936;2,059;-109;-;112;2009-11-14
2009-12-31;478;-248;230;88;140;188;1,416;1,821;88;824;3,569;233;483;123;935;923;2,194;122;-;112;2010-02-14
2010-03-31;619;-301;318;258;287;224;1,516;2,08;88;827;3,866;131;481;131;869;914;2,217;247;-;112;2010-05-15
2010-06-30;581;-169;413;138;238;201;1,625;2,121;91;849;3,995;204;311;88;796;898;2,185;245;-98;112;2010-08-14
2010-09-30;586;-254;332;-14;147;203;1,485;1,897;91;857;3,773;241;240;130;746;839;2,036;58;-85;112;2010-11-14
2010-12-31;670;-219;451;248;144;265;1,622;2,075;91;929;4,058;253;260;121;702;830;2,075;44;-;112;2011-02-14
2011-03-31;509;-154;355;214;174;163;1,81;2,189;102;987;4,249;159;244;122;636;807;2,068;216;-67;112;2011-05-15
2011-06-30;568;-197;371;-259;114;211;1,339;1,729;105;978;3,844;216;360;118;783;795;2,102;115;-80;112;2011-08-14
2011-09-30;467;-255;212;-121;174;190;1,344;1,787;105;985;3,979;358;500;121;1,071;798;2,348;22;-89;112;2011-11-14
2011-12-31;515;-284;231;43;153;224;67;1,914;105;992;4,179;303;700;125;1,207;614;2,488;-138;-84;112;2012-02-14
2012-03-31;540;-298;242;1;212;176;1,345;1,791;105;987;4,08;206;700;71;1,094;840;2,412;168;-75;112;2012-05-15
2012-06-30;518;-244;274;-3;272;148;1,333;1,806;105;992;4,126;235;700;104;1,154;806;2,441;133;-50;112;2012-08-14
2012-09-30;424;-246;178;-113;120;127;1,389;1,692;105;989;4,003;375;600;128;1,216;777;2,438;17;-36;112;2012-11-14
