date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2004-09-30;2,935;-2,567;368;32;239;1,396;1,133;2,936;3;265;8,994;920;-;55;1,684;6,146;8,882;10;-51;220;2004-11-01
2004-12-31;3,117;-2,72;397;-79;243;1,586;1,254;3,186;3;246;9,424;1,001;-;38;1,829;6,262;9,231;125;-82;220;2005-02-21
2005-03-31;3,349;-2,76;589;-54;256;1,782;1,381;3,591;2;237;9,686;1,416;-;28;2,098;4,869;8,033;241;-60;220;2005-05-02
2005-06-30;2,184;-1,828;356;99;252;1,516;1,311;3,209;3;228;9,082;1,003;-;78;1,727;4,629;7,418;214;-69;220;2005-08-01
2005-09-30;2,588;-2,184;404;77;200;1,403;1,335;3,063;3;214;8,788;1,008;-;44;1,736;4,397;7,176;254;-73;220;2005-11-01
2005-12-31;2,556;-2,29;266;-38;143;1,475;1,309;3,096;91;216;8,871;1,094;-;45;1,888;4,413;7,35;259;-137;220;2006-02-21
2006-03-31;2,299;-1,941;358;58;150;1,353;1,311;3,017;91;209;8,827;994;-;44;1,67;4,466;7,205;80;-104;220;2006-05-02
2006-06-30;2,389;-1,994;395;75;200;1,686;1,546;3,638;91;203;9,443;1,134;-;173;2,004;4,259;7,504;243;-107;220;2006-08-01
2006-09-30;2,313;-1,965;348;25;246;1,398;1,422;3,751;91;195;9,304;1,047;-;227;2,223;4,099;7,485;287;-116;220;2006-11-01
2006-12-31;1,73;-1,409;321;38;263;1,243;1,52;3,332;90;188;8,445;1,018;-;188;2,073;3,461;6,708;282;-223;220;2007-02-21
2007-03-31;2,252;-1,861;391;48;144;1,385;1,582;3,406;92;186;8,613;1,117;-;179;2,126;3,516;6,829;-31;-105;233;2007-05-02
2007-06-30;2,471;-2,084;388;60;168;1,439;1,348;3,376;92;176;8,515;1,096;-;259;2,187;3,525;6,785;116;-178;233;2007-08-01
2007-09-30;2,424;-2,024;400;-147;151;1,294;1,459;3,171;93;178;8,321;1,058;-;152;2,122;3,56;6,694;-42;-184;233;2007-11-01
2007-12-31;2,504;-2,143;361;83;154;1,253;1,452;3,095;93;173;8,166;1,018;-;69;1,975;3,505;6,339;-95;-198;233;2008-02-21
2008-03-31;2,54;-2,173;367;22;166;1,269;1,648;3,334;95;171;8,68;1,127;-;234;2,264;3,587;6,741;-10;-109;234;2008-05-02
2008-06-30;2,896;-2,514;382;13;141;1,386;1,565;3,326;95;166;8,747;1,103;-;385;2,366;3,573;6,813;30;-115;234;2008-08-01
2008-09-30;2,731;-2,381;350;-22;107;1,285;1,541;3,178;93;160;8,411;1,005;-;451;2,336;3,511;6,679;26;-110;234;2008-11-01
2008-12-31;2,048;-1,883;165;463;657;905;1,5;3,24;92;153;8,058;747;-;205;1,605;3,683;6,448;721;-84;234;2009-02-21
2009-03-31;1,68;-1,531;149;-290;470;820;1,333;2,785;92;144;7,27;584;-;161;1,305;3,618;6,05;-38;-61;238;2009-05-02
2009-06-30;1,846;-1,613;233;408;2,295;941;1,162;4,549;94;138;9,153;636;-;691;2,133;3,995;7,417;1,047;-39;238;2009-08-01
2009-09-30;2,075;-1,733;342;-74;1,619;1,154;1,113;4,08;94;133;8,71;747;-;198;1,613;4,033;7,026;-102;-40;238;2009-11-01
2009-12-31;2,064;-1,71;354;81;1,745;1,018;1,184;4,14;94;125;8,626;755;-;431;1,811;3,786;6,782;197;-49;238;2010-02-21
2010-03-31;2,094;-1,813;281;-159;1,11;1,371;1,248;3,953;94;120;8,387;898;-;316;1,78;3,864;6,77;-408;-37;236;2010-05-02
2010-06-30;2,343;-1,958;385;54;766;1,468;1,324;3,773;94;107;8,065;847;-;168;1,585;3,703;6,418;-34;-41;236;2010-08-01
2010-09-30;2,401;-1,986;415;57;1,003;1,611;1,375;4,245;94;112;8,866;845;-;384;1,857;3,957;7,037;92;-54;236;2010-11-01
2010-12-31;2,412;-2,032;380;39;966;1,413;1,396;4,008;94;105;8,714;887;-;519;2,053;3,631;6,924;292;-104;236;2011-02-21
2011-03-31;2,679;-2,219;460;80;632;1,759;1,608;4,315;94;99;9,04;1,112;-;200;2,044;3,861;7,098;-124;-60;242;2011-05-02
2011-06-30;2,934;-2,433;501;124;683;1,836;1,746;4,58;111;109;9,476;1,132;-;289;2,199;3,89;7,377;125;-64;242;2011-08-01
2011-09-30;2,976;-2,486;490;-42;453;1,762;1,687;4,274;110;99;9,008;977;-;230;1,958;3,851;7,208;24;-93;242;2011-11-01
2011-12-31;2,632;-2,243;389;89;554;1,529;1,539;3,946;114;91;8,657;912;-;212;1,826;3,734;6,995;340;-113;242;2012-02-21
2012-03-31;2,913;-2,363;550;167;463;1,801;1,638;4,209;108;87;8,953;1,128;-;193;1,986;3,632;7,049;190;-81;241;2012-05-02
2012-06-30;2,914;-2,387;527;130;452;1,677;1,645;4,109;106;78;8,729;1,009;-;143;1,848;3,605;6,841;158;-82;241;2012-08-01
2012-09-30;2,741;-2,204;537;120;435;1,626;1,807;4,242;107;74;8,946;1,057;-;130;1,905;3,553;6,854;208;-85;241;2012-11-01
2012-12-31;2,619;-2,199;420;-39;387;1,534;1,819;4,119;117;68;8,884;1,15;-;288;2,181;3,418;7,124;218;-164;241;2013-02-21
2013-03-31;2,702;-2,353;349;-15;247;1,594;1,797;4,003;116;63;8,719;1,135;-;298;2,123;3,493;7,024;-74;-89;242;2013-05-02
2013-06-30;2,83;-2,379;451;54;172;1,685;1,698;3,932;130;59;8,654;1,031;-;317;2,091;3,458;6,961;72;-92;242;2013-08-01
2013-09-30;2,842;-2,335;507;72;397;1,674;1,695;4,126;131;55;9,021;1,075;-;295;2,097;3,579;7,214;390;-115;242;2013-11-01
2013-12-31;2,705;-2,259;446;43;520;1,542;1,741;4,159;131;87;9,188;1,113;-;277;2,159;3,639;7,216;320;-175;242;2014-02-21
2014-03-31;2,755;-2,305;450;69;277;1,691;1,911;4,228;130;82;9,227;1,185;-;270;2,215;3,626;7,211;-67;-107;246;2014-05-02
2014-06-30;2,988;-2,483;505;124;403;1,819;1,847;4,448;130;75;9,442;1,162;-;257;2,144;3,814;7,3;50;-107;246;2014-08-01
2014-09-30;2,884;-2,369;515;194;582;1,639;1,788;4,494;126;71;9,409;1,176;-;274;2,122;3,758;7,19;360;-137;246;2014-11-01
2014-12-31;2,951;-2,502;449;-34;860;1,665;2,025;5,039;122;95;10,923;1,275;-;267;2,332;4,86;9,168;417;-250;246;2015-02-21
2015-03-31;2,589;-2,139;450;17;994;1,633;1,869;4,887;119;94;10,751;1,191;-;529;2,474;4,835;9,184;34;-149;245;2015-05-02
2015-06-30;2,74;-2,191;549;41;599;1,721;1,938;4,595;119;92;10,578;1,209;-;127;2,122;4,927;8,948;147;-147;245;2015-08-01
2015-09-30;2,638;-2,165;473;63;433;1,596;1,85;4,251;117;86;10,236;1,068;-;158;2,065;4,716;8,663;206;-158;245;2015-11-01
2015-12-31;2,332;-1,956;376;9;257;1,42;1,692;3,834;116;86;9,82;1,061;-;170;1,917;4,626;8,406;188;-209;245;2016-02-21
2016-03-31;2,355;-1,939;416;63;208;1,558;1,689;3,83;123;106;9,84;1,027;-;103;1,782;4,725;8,367;88;-99;240;2016-05-02
