date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
1995-02-01;13;0;13;1;12;1;-;16;-;72;141;-;-;11;15;109;138;5;-1;9.084;1995-03-08
1995-05-01;12;0;12;1;16;1;-;20;-;69;140;-;-;12;16;105;135;6;0;9.084;1995-06-05
1995-08-01;12;0;11;-2;22;1;-;27;-;67;143;-;-;17;22;98;134;3;0;9.084;1995-09-05
1995-12-31;11;0;11;0;19;4;-;26;-;60;137;-;-;12;18;96;129;3;0;9.084;1996-02-29
1996-03-31;11;0;11;-1;23;-;-;29;-;58;135;-;-;13;20;93;127;4;0;10.858;1996-05-05
1996-06-30;11;0;11;-1;20;-;-;25;-;58;131;-;-;13;19;89;123;4;0;10.858;1996-08-04
1996-09-30;11;0;11;0;14;-;-;21;-;56;123;-;-;13;16;84;115;0;0;10.858;1996-11-04
1996-12-31;42;-21;21;-5;43;57;101;250;-;1,66;2,116;95;-;43;273;271;957;2;-1;10.858;1997-03-01
1997-03-31;280;-159;121;3;42;53;113;249;-;1,643;2,099;110;-;15;243;269;935;30;-9;112.244;1997-05-05
1997-06-30;266;-150;116;3;31;54;127;250;-;1,627;2,084;87;-;10;206;292;913;-13;-7;112.244;1997-08-04
1997-09-30;326;-156;170;3;106;98;156;407;-;1,962;2,637;211;-;11;351;429;1,196;1;-14;112.244;1997-11-04
1997-12-31;390;-181;209;6;116;97;151;421;-;1,973;2,671;185;-;13;360;448;1,223;30;-15;112.244;1998-03-01
1998-03-31;523;-255;269;38;162;283;400;910;-;6,125;7,713;212;-;35;834;1,863;5,821;60;-19;297.012;1998-05-05
1998-06-30;703;-345;358;13;136;284;397;882;-;6,584;8,182;272;-;57;884;1,285;5,715;81;-18;297.012;1998-08-04
1998-09-30;641;-346;294;17;292;286;445;1,087;-;6,45;8,267;250;-;69;1,074;748;5,81;5;-27;297.012;1998-11-04
1998-12-31;767;-577;191;87;445;372;422;1,296;-;6,443;8,316;258;-;221;853;1,186;5,745;90;-12;297.012;1999-03-01
1999-03-31;729;-416;313;82;509;368;415;1,371;-;6,418;8,397;220;-;242;853;1,154;5,783;60;-16;367.927;1999-05-05
1999-06-30;847;-392;455;19;257;451;419;1,198;-;6,694;8,714;260;-;358;1,095;1,091;6,05;129;-37;367.927;1999-08-04
