date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2010-03-31;1,383;-823;559;242;406;1,106;1,134;2,998;-;546;6,128;453;-;38;1,254;1,308;3,313;220;-88;1271.60;2010-05-10
2010-06-30;1,495;-833;662;297;281;987;1,058;2,654;-;526;5,737;500;-;19;1,132;1,453;3,351;521;-78;1271.60;2010-08-09
2010-09-30;1,394;-810;584;244;308;969;1,054;2,728;-;549;5,935;502;-;26;1,139;1,456;3,423;370;-80;1271.60;2010-11-09
2010-12-31;1,421;-794;627;246;401;950;1,114;3,123;-;544;6,381;521;-;53;1,459;1,51;3,761;427;-104;1271.60;2011-03-01
2011-03-31;1,528;-890;638;281;437;1,164;1,172;3,205;-;699;6,713;571;-;183;1,587;1,527;3,925;142;-87;1272.95;2011-05-10
2011-06-30;1,929;-1,058;871;430;271;1,412;1,233;3,347;-;833;7,142;723;-;342;1,702;1,573;4,114;284;-126;1272.95;2011-08-09
2011-09-30;1,898;-1,027;871;439;384;1,351;1,269;3,461;-;778;7,249;672;-;1,138;2,47;841;4,177;499;-161;1272.95;2011-11-09
2011-12-31;1,712;-937;776;374;330;1,328;1,411;3,443;-;746;7,283;665;-;367;1,753;1,558;4,206;344;-141;1272.95;2012-02-29
2012-03-31;1,499;-901;598;290;173;1,28;1,397;3,247;-;749;7,136;616;-;242;1,767;1,307;4,001;321;-146;1270.12;2012-05-10
2012-06-30;1,907;-1,066;840;408;167;1,403;1,286;3,247;-;724;7,195;628;-;375;1,557;1,419;3,923;376;-214;1270.12;2012-08-09
2012-09-30;1,763;-991;772;396;352;1,216;1,27;3,176;-;731;7,263;574;-;423;1,6;1,275;3,834;716;-212;1270.12;2012-11-09
2012-12-31;1,303;-802;501;209;206;1,035;1,406;3,063;-;735;7,345;640;-;552;1,809;1,145;3,98;314;-151;1270.12;2013-03-01
