date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2009-03-31;560;-338;222;47;88;418;452;1,051;666;60;2,62;95;-;90;346;1,125;1,982;-14;-8;79.1;2009-05-05
2009-06-30;568;-340;228;48;164;472;441;1,187;666;58;2,776;118;-;73;408;1,141;2,063;102;-11;79.1;2009-08-04
2009-09-30;613;-364;249;53;155;477;436;1,192;666;56;2,791;141;-;2;358;1,156;2,035;113;-11;79.1;2009-11-04
2009-12-31;586;-350;235;47;80;444;445;1,128;666;55;2,645;161;-;77;485;935;1,876;92;-37;79.1;2010-03-01
2010-03-31;654;-384;270;64;90;469;447;1,172;666;53;2,678;154;-;81;475;934;1,865;32;-13;80.4;2010-05-05
2010-06-30;666;-381;285;67;111;476;455;1,224;666;52;2,727;155;-;49;496;935;1,882;95;-24;80.4;2010-08-04
2010-09-30;673;-388;285;77;131;452;532;1,325;714;-;2,872;-;-;134;661;788;1,869;81;-17;80.4;2010-11-04
2010-12-31;630;-378;252;56;131;452;532;1,325;666;49;2,872;200;-;134;661;788;1,873;107;-53;80.4;2011-03-01
2011-03-31;714;-417;297;84;112;520;560;1,388;666;47;2,947;185;-;185;634;787;1,848;-35;-19;81.4;2011-05-05
2011-06-30;716;-431;284;76;123;546;568;1,439;666;46;3,009;166;-;216;628;767;1,824;37;-26;81.4;2011-08-04
2011-09-30;714;-435;278;82;107;519;535;1,384;666;44;2,954;181;-;155;576;757;1,758;115;-29;81.4;2011-11-04
2011-12-31;644;-400;244;24;88;472;544;1,316;666;43;2,966;209;-;117;565;778;1,861;72;-53;81.4;2012-02-29
2012-03-31;711;-425;285;81;77;522;555;1,346;666;41;3,013;189;-;93;521;778;1,816;53;-29;81.8;2012-05-05
2012-06-30;721;-420;301;89;105;517;539;1,365;666;40;3,025;170;-;87;507;777;1,802;83;-25;81.8;2012-08-04
2012-09-30;709;-407;302;16;97;535;548;1,389;666;38;3,06;161;-;227;653;677;1,813;2;-30;81.8;2012-11-04
2012-12-31;681;-394;287;68;324;499;541;1,572;666;37;3,246;199;-;150;630;881;1,997;186;-42;81.8;2013-03-01
2013-03-31;728;-417;311;91;300;528;516;1,535;666;35;3,201;159;-;100;540;916;1,894;19;-30;81.9;2013-05-05
2013-06-30;758;-424;334;102;366;542;513;1,634;666;34;3,309;177;-;100;567;933;1,939;99;-31;81.9;2013-08-04
2013-09-30;742;-417;325;99;343;554;521;1,634;666;32;3,325;176;-;-;509;933;1,889;139;-26;81.9;2013-11-04
2013-12-31;725;-412;314;62;406;524;534;1,653;666;31;3,332;227;-;-;561;933;1,869;150;-48;81.9;2014-03-01
2014-03-31;770;-429;341;107;269;575;552;1,57;676;83;3,321;209;-;2;484;932;1,805;35;-34;81.5;2014-05-05
2014-06-30;788;-436;353;110;327;583;555;1,644;675;80;3,401;195;-;3;468;933;1,802;119;-26;81.5;2014-08-04
2014-09-30;774;-434;340;107;405;563;556;1,713;675;78;3,477;207;-;10;517;934;1,837;164;-38;81.5;2014-11-04
2014-12-31;756;-428;328;90;479;494;569;1,711;675;77;3,495;216;-;8;518;934;1,976;201;-45;81.5;2015-03-01
2015-03-31;775;-429;346;128;444;525;536;1,754;675;75;3,507;216;-;8;487;935;1,94;32;-19;80.9;2015-05-05
2015-06-30;768;-423;345;105;377;566;562;1,722;753;156;3,654;242;-;9;525;989;2,031;135;-19;80.9;2015-08-04
2015-09-30;765;-418;347;106;272;570;589;1,639;932;323;3,912;254;-;133;687;1,058;2,32;128;-29;80.9;2015-11-04
2015-12-31;716;-403;313;79;182;538;572;1,437;941;306;3,702;286;-;132;725;935;2,112;139;-34;80.9;2016-02-29
2016-03-31;783;-423;360;119;529;610;601;1,892;951;302;4,162;277;-;134;714;1,37;2,532;40;-23;79.9;2016-05-05
2016-06-30;794;-428;366;117;540;621;584;1,929;941;289;4,155;255;-;133;688;1,358;2,481;132;-21;79.9;2016-08-04
2016-09-30;777;-431;346;90;499;587;585;1,857;942;285;4,097;259;-;258;856;1,11;2,403;170;-27;79.9;2016-11-04
2016-12-31;763;-439;324;80;324;551;592;1,61;1;366;4,017;275;-;259;899;1,067;2,391;208;-56;79.9;2017-03-01
2017-03-31;828;-465;363;116;300;638;604;1,712;1,12;390;4,252;277;107;258;985;1,186;2,626;19;-27;79.0;2017-05-05
2017-06-30;843;-470;373;110;491;666;624;1,994;1,145;426;4,619;266;-;258;862;1,636;2,945;39;-20;79.0;2017-08-04
2017-09-30;873;-493;380;110;316;691;620;1,85;1,154;424;4,52;271;40;8;696;1,626;2,763;142;-31;79.0;2017-11-04
2017-12-31;855;-499;356;99;368;664;649;1,896;1,156;416;4,599;338;-;7;769;1,632;2,915;191;-52;79.0;2018-03-01
2018-03-31;931;-525;406;130;305;734;688;1,97;1,166;414;4,681;324;-;37;716;1,676;2,908;-11;-33;87.5;2018-05-05
2018-06-30;920;-521;399;99;322;724;695;2,026;1,149;391;4,673;316;-;7;700;1,717;2,924;67;-34;87.5;2018-08-04
2018-09-30;908;-507;401;88;5,274;701;720;6,947;1,153;386;9,616;312;-;46;758;4,331;5,584;147;-35;87.5;2018-11-04
2018-12-31;1,219;-742;478;56;635;938;1,079;2,943;5,378;3,039;12,889;471;-;49;1,128;4,504;6,856;236;-71;87.5;2019-03-01
2019-03-31;1,297;-766;531;111;484;1,004;1,114;2,926;5,434;2,974;13,211;476;-;84;1,143;4,421;7,068;47;-58;111.9;2019-05-05
2019-06-30;1,292;-745;546;139;427;1,046;1,164;2,99;5,506;2,945;13,348;464;-;84;1,15;4,429;7,149;138;-61;111.9;2019-08-04
2019-09-30;1,267;-734;533;130;495;943;1,126;2,899;5,381;2,83;12,985;417;-;385;1,413;4,008;6,929;198;-47;111.9;2019-11-04
2019-12-31;1,284;-782;502;80;607;876;1,123;2,943;5,498;2,852;13,287;510;-;385;1,552;3,997;7,07;316;-76;111.9;2020-02-29
2020-03-31;1,347;-782;566;127;433;943;1,076;2,818;5,268;2,677;12,689;456;-;386;1,427;3,947;6,861;17;-48;114.0;2020-05-05
2020-06-30;1,199;-717;482;87;497;962;1,166;3,013;5,349;2,681;12,989;551;1;184;1,344;4,182;7,001;192;-32;114.0;2020-08-04
2020-09-30;1,268;-744;524;86;470;929;1,151;2,947;5,427;2,675;13,085;505;2;439;1,616;3,891;7,007;207;-44;114.0;2020-11-04
2020-12-31;1,27;-756;514;67;650;929;1,132;3,06;5,593;2,727;13,556;556;2;633;1,905;3,779;7,245;299;-68;114.0;2021-03-01
2021-03-31;2,465;-1,711;754;-40;872;2,023;2,589;6,174;17,104;11,652;40,817;1,337;11;617;3,261;11,33;19,175;358;-93;243.0;2021-05-05
2021-06-30;3,089;-2,179;910;30;935;2,059;2,464;6,297;17,25;11,448;40,864;1,389;9;607;3,227;11,354;19,103;340;-72;243.0;2021-08-04
2021-09-30;3,071;-1,981;1,09;197;672;1,975;2,401;7,132;16,59;10,959;40,252;1,332;206;506;3,289;10,818;18,826;428;-81;243.0;2021-11-04
2021-12-31;3,031;-2,05;981;92;711;1,906;2,516;6,987;16,414;10,506;39,658;1,532;331;306;3,363;10,768;18,576;311;-151;243.0;2022-03-01
2022-03-31;3,226;-2,081;1,145;246;657;2,16;2,795;7,507;16,298;10,25;39,747;1,629;639;305;3,765;10,738;18,814;-4;-134;255.0;2022-05-05
2022-06-30;3,307;-2,171;1,136;109;569;2,18;2,993;7,73;16,071;9,867;39,304;1,576;796;959;4,466;10,363;19,044;-47;-104;255.0;2022-08-04
2022-09-30;3,063;-2,062;1,001;-2,195;538;2,031;3,122;6,494;13,305;9,386;34,537;1,527;209;309;3,358;10,26;17,65;240;-108;255.0;2022-11-04
2022-12-31;2,844;-1,975;869;-24;483;1,818;3,151;7,432;13,355;9,082;35,504;1,418;193;404;3,472;10,373;17,849;208;-160;255.0;2023-03-01
2023-03-31;3,027;-2,063;964;-8;590;1,899;2,946;7,442;13,458;8,968;35,47;1,197;589;1,482;4,585;9,22;17,712;127;-175;255.0;2023-05-05
2023-06-30;2,929;-1,996;933;27;638;1,887;2,79;6,436;13,498;8,813;34,459;1,227;159;1,203;3,63;9,208;16,836;248;-115;255.0;2023-08-04
2023-09-30;2,82;-1,896;924;27;629;1,831;2,549;6,391;13,031;8,381;33,395;1,112;-;1,142;3,42;9,159;16,417;420;-100;255.0;2023-11-04
2023-12-31;2,703;-1,843;860;-2,609;709;1,726;2,477;6,293;10,635;8,357;30,978;1,378;-;885;3,758;9,186;16,336;644;-113;255.0;2024-02-29
