date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
1993-03-31;2,024;-718;1,306;549;3,308;1,241;527;5,416;-;-;9,074;324;-;288;1,835;312;2,695;530;-368;7056;1993-04-28
1993-06-30;2,13;-765;1,365;569;3,121;1,32;611;5,401;-;-;9,459;335;-;271;1,92;316;3,057;693;-448;7056;1993-07-28
1993-09-30;2,24;-833;1,407;585;3,295;1,477;723;5,824;-;-;10,46;392;-;369;2,126;417;3,448;700;-488;7056;1993-10-27
1993-12-31;2,389;-935;1,454;594;3,136;1,448;838;5,802;-;-;11,344;427;-;497;2,433;426;3,844;878;-629;7056;1994-01-27
1994-04-01;2,66;-1,124;1,536;617;2,887;1,531;989;5,82;-;-;11,926;524;-;397;2,361;429;3,784;608;-538;6992;1994-04-28
1994-07-01;2,77;-1,156;1,614;640;2,32;1,588;1,197;5,526;-;-;12,286;543;-;539;2,605;303;3,958;753;-603;6992;1994-07-28
1994-10-01;2,863;-1,273;1,59;659;2,291;1,909;1,378;6,055;-;-;13,272;500;-;640;2,796;392;4,22;490;-540;6992;1994-10-28
1994-12-31;3,228;-2,023;1,205;372;2,41;1,978;1,169;6,167;-;-;13,816;575;-;517;3,024;392;4,549;1,086;-760;6992;1995-01-27
1995-04-01;3,557;-1,609;1,948;889;2,51;2,34;1,324;6,824;-;-;14,91;714;-;639;3,276;402;4,901;735;-793;7072;1995-04-28
1995-07-01;3,894;-1,805;2,089;879;1,988;2,884;1,527;7,004;-;-;15,473;736;-;507;3,373;411;4,806;800;-821;7072;1995-07-28
1995-09-30;4,171;-2,008;2,163;931;1,954;3,361;2,11;8,024;-;-;17,002;941;-;927;4,162;401;5,876;615;-956;7072;1995-10-27
1995-12-31;4,58;-2,389;2,191;867;1,463;3,116;2,004;8,097;-;-;17,504;864;-;346;3,619;400;5,364;1,866;-980;7072;1996-01-27
1996-03-31;4,644;-2,421;2,223;894;3,425;3,101;1,544;8,632;-;-;18,219;761;-;426;3,51;398;5,318;1,585;-832;7101;1996-04-27
1996-06-30;4,621;-2,15;2,471;1,041;2,809;2,9;1,479;9,625;-;-;19,3;756;-;241;3,513;399;5,416;2,237;-772;7101;1996-07-27
1996-09-30;5,142;-2,201;2,941;1,312;3,513;3,488;1,37;11,215;-;-;21,072;790;-;409;4,006;702;6,108;1,664;-630;7101;1996-10-27
1996-12-31;6,44;-2,392;4,048;1,91;4,165;3,723;1,293;13,684;-;-;23,735;969;-;389;4,863;728;6,863;3,257;-790;7101;1997-01-27
1997-03-31;6,448;-2,307;4,141;1,983;3,824;3,984;1,373;14,581;-;-;25,102;1,044;-;713;5,501;481;7,994;2,222;-789;7179;1997-04-27
1997-06-30;5,96;-2,343;3,617;1,645;4,002;3,95;1,443;14,189;-;-;25,147;1,022;-;181;4,635;468;7,741;1,911;-969;7179;1997-07-27
1997-09-30;6,155;-2,604;3,551;1,574;4,985;3,921;1,507;15,14;-;-;27,201;1,197;-;297;5,164;386;7,255;2,4;-1,159;7179;1997-10-27
1997-12-31;6,507;-2,691;3,816;1,743;4,102;3,438;1,697;15,867;-;-;28,88;1,407;-;322;6,02;448;9,585;3,475;-1,584;7179;1998-01-27
1998-03-31;6,001;-2,749;3,252;1,273;5,073;3,092;1,821;16,272;-;-;30,229;1,324;-;365;5,854;441;8,644;2,069;-1,129;7035;1998-04-27
1998-06-30;5,927;-3,027;2,9;1,172;1,887;3,126;1,703;13,368;-;-;28,418;1,092;-;242;4,254;472;6,685;404;-1,077;7035;1998-07-27
1998-09-30;6,731;-3,176;3,555;1,559;2,9;3,636;1,578;14,713;-;-;29,388;1,205;-;192;5,256;583;7,589;2,988;-722;7035;1998-10-27
1998-12-31;7,614;-3,136;4,478;2,064;2,038;3,527;1,582;13,475;111;-;31,471;1,244;-;159;5,804;702;8,094;3,986;-629;7035;1999-01-27
1999-03-31;7,103;-2,894;4,209;1,999;2,503;3,319;1,708;16,449;-;-;33,093;1,449;-;182;6,216;699;8,367;2,901;-675;6940;1999-04-27
1999-06-30;6,746;-2,74;4,006;1,749;3,599;3,265;1,763;16,473;-;-;32,801;1,354;-;135;5,117;666;7,329;1,609;-766;6940;1999-07-27
1999-09-30;7,328;-3,026;4,302;1,458;3,512;3,494;1,626;17,916;3,114;-;38,938;1,566;-;164;6,389;884;9,756;3,937;-982;6940;1999-10-27
1999-12-31;8,212;-3,176;5,036;2,108;3,695;3,7;1,478;17,819;4,934;-;43,849;1,37;-;230;7,099;955;11,314;3,687;-980;6940;2000-01-27
2000-04-01;7,993;-2,989;5,004;2,696;6,204;3,678;1,537;17,408;5,978;-;47,811;1,76;-;373;7,09;868;11,708;3,281;-1,074;6986;2000-04-28
2000-07-01;8,3;-3,283;5,017;3,137;7,308;4,333;1,607;20,55;6,24;-;48,52;1,968;-;385;8,336;870;11,9;3,156;-1,252;6986;2000-07-28
2000-09-30;8,731;-3,148;5,583;2,509;6,434;4,574;1,936;21,51;6,163;-;49,013;2,36;-;336;8,525;610;11,308;3,012;-1,925;6986;2000-10-27
2000-12-31;8,702;-3,23;5,472;2,193;2,976;4,129;2,241;21,15;5,941;-;47,945;2,387;-;378;8,65;707;10,623;3,378;-2,423;6986;2001-01-27
2001-03-31;6,677;-3,225;3,452;485;2,861;3,432;2,652;18,739;6,071;-;46,249;2,369;-;479;7,387;704;9,331;1,181;-2,664;6879;2001-04-27
2001-06-30;6,334;-3,307;3,027;196;3,205;2,904;2,826;17,305;6,277;-;45,624;2,03;-;411;6,813;928;8,886;2,254;-2,144;6879;2001-07-27
2001-09-30;6,545;-3,553;2,992;106;4,864;3,043;2,351;16,867;5,602;-;44,231;1,792;-;302;6,193;972;8,329;2,059;-1,365;6879;2001-10-27
2001-12-31;6,983;-3,402;3,581;504;7,97;2,607;2,253;17,633;5,127;-;44,395;1,769;-;409;6,57;1,05;8,565;3,295;-1,136;6879;2002-01-27
2002-03-31;6,781;-3,301;3,48;936;6,524;2,883;2,48;17,489;5,031;-;44,389;1,925;-;412;6,605;1,064;8,529;1,528;-1,43;6759;2002-04-27
2002-06-30;6,319;-3,35;2,969;446;6,068;2,907;2,505;17,201;4,338;-;43,498;1,658;-;383;5,748;1,081;7,918;1,689;-1,115;6759;2002-07-27
2002-09-30;6,504;-3,331;3,173;686;6,678;3,089;2,481;18,045;4,334;-;43,636;1,621;-;317;6,281;1;8,329;2,391;-955;6759;2002-10-27
2002-12-31;7,16;-3,464;3,696;1,049;7,404;2,574;2,276;18,925;4,33;-;44,224;1,543;-;436;6,595;929;8,756;3,521;-1,203;6759;2003-01-27
2003-03-31;6,751;-3,239;3,512;915;7,134;2,964;2,164;19,076;4,328;-;43,806;1,631;-;393;6,279;829;8,405;1,71;-954;6621;2003-04-27
2003-06-30;6,816;-3,348;3,468;896;8,382;2,85;2,152;20,102;4,314;-;44,465;1,603;-;385;6,699;914;8,975;2,649;-923;6621;2003-07-27
2003-09-30;7,833;-3,275;4,558;1,657;9,406;3,29;2,225;22,338;4,317;-;47,003;1,657;-;352;7,269;882;9,642;3,188;-1,072;6621;2003-10-27
2003-12-31;8,741;-3,185;5,556;2,173;7,971;2,96;2,519;22,882;3,705;-;47,143;1,66;-;224;6,879;936;9,297;3,968;-707;6621;2004-01-27
2004-03-31;8,091;-3,221;4,87;1,73;7,539;3,374;2,796;23,091;3,705;-;47,088;1,617;-;296;6,416;927;8,978;1,769;-680;6494;2004-04-27
2004-06-30;8,049;-3,269;4,78;1,757;7,153;3,183;3,223;24,758;3,73;-;48,672;1,9;-;216;7,538;898;10,079;4,065;-1,026;6494;2004-07-27
2004-09-30;8,471;-3,752;4,719;1,906;6,533;3,266;3,18;23,99;3,734;-;47,8;1,895;-;213;7,81;882;9,605;3,17;-1,106;6494;2004-10-27
2004-12-31;9,598;-4,221;5,377;2,123;8,407;2,999;2,621;24,058;3,719;-;48,143;1,943;-;201;8,006;703;9,564;4,115;-1,031;6494;2005-01-27
2005-04-01;9,434;-3,836;5,598;2,178;9,279;3,226;2,808;23,478;3,716;-;47,566;2,081;-;222;8,573;464;9,855;3,756;-1,788;6178;2005-04-28
2005-07-01;9,231;-4,028;5,203;2,038;8,975;3,448;2,739;22,19;3,805;-;46,513;1,993;-;318;7,78;430;8,899;2,972;-1,389;6178;2005-07-28
2005-10-01;9,96;-4,012;5,948;1,995;8,857;3,748;2,815;21,724;3,814;-;47,36;2,077;-;252;9,499;432;10,684;4,366;-1,282;6178;2005-10-28
2005-12-31;10,201;-3,901;6,3;2,453;7,324;3,914;3,126;21,194;3,873;-;48,314;2,249;-;313;9,234;2,106;12,132;3,757;-1,412;6178;2006-01-27
2006-04-01;8,94;-3,997;4,943;1,357;3,948;3,912;3,567;18,027;3,873;1,114;47,194;2,411;-;224;9,843;2,04;12,836;2,096;-1,762;5880;2006-04-28
2006-07-01;8,009;-3,838;4,171;885;3,436;3,178;4,332;16,755;3,871;1,069;46,088;2,478;-;287;8,422;2,054;11,292;1,542;-1,762;5880;2006-07-28
2006-09-30;8,739;-4,445;4,294;1,301;4,469;3,358;4,477;17,604;3,861;1,008;46,855;2,401;-;196;9,057;2,06;11,838;2,811;-1,188;5880;2006-10-27
2006-12-31;9,694;-4,884;4,81;1,501;6,598;2,709;4,314;18,28;3,861;987;48,368;2,256;-;180;8,514;1,848;11,616;4,183;-1,148;5880;2007-01-27
2007-03-31;8,852;-4,42;4,432;1,636;4,472;2,78;4,366;17,694;3,861;974;48,756;2,273;-;139;6,626;1,848;11,23;1,552;-1,361;5936;2007-04-27
2007-06-30;8,68;-4,605;4,075;1,278;4,709;2,531;4,127;19,648;3,861;925;50,294;2,179;-;221;6,464;1,848;10,596;2,455;-1,278;5936;2007-07-27
2007-09-30;10,09;-4,919;5,171;1,791;5,844;2,933;3,538;21,426;3,917;1,019;53,039;2,338;-;137;7,763;1,853;12,137;3,884;-1,088;5936;2007-10-27
2007-12-31;10,712;-4,486;6,226;2,271;7,307;2,576;3,37;23,885;3,916;960;55,651;2,361;-;142;8,571;1,98;12,889;4,734;-1,273;5936;2008-01-27
2008-03-31;9,673;-4,466;5,207;1,443;5,883;2,725;3,272;22,064;3,916;903;53,387;2,338;-;189;8,668;1,99;12,727;2,215;-907;5748;2008-04-27
2008-06-30;9,47;-4,221;5,249;1,602;4,079;2,399;3,265;19,778;3,915;872;52,392;2,379;-;175;8,032;1,892;12,031;2,828;-1,151;5748;2008-07-27
2008-09-30;10,217;-4,198;6,019;2,013;3,704;2,737;3,398;21,423;3,924;799;52,719;2,507;-;467;10,068;1,889;13,808;3,287;-1,374;5748;2008-10-27
2008-12-31;8,226;-3,857;4,369;234;3,35;1,712;3,744;19,871;3,932;775;50,472;2,39;-;102;7,818;1,185;10,926;2,596;-1,765;5748;2009-01-27
2009-03-31;7,145;-3,907;3,238;629;3,536;2,086;3,045;18,142;3,932;738;48,454;1,669;-;31;6,341;1,17;9,39;378;-1,509;5645;2009-04-27
2009-06-30;8,024;-3,945;4,079;-398;3,826;1,938;2,805;18,467;3,932;666;49,061;1,726;-;24;7,079;1,174;10,014;3,384;-981;5645;2009-07-27
2009-09-30;9,389;-3,985;5,404;1,856;4,109;2,025;2,49;19,247;4,421;972;50,996;1,907;-;23;7,749;2,201;11,963;4,003;-944;5645;2009-10-27
2009-12-31;10,569;-3,729;6,84;2,282;3,987;2,273;2,935;21,157;4,421;883;53,095;1,883;-;172;7,591;2,049;11,391;3,405;-1,081;5645;2010-01-27
2010-03-31;10,299;-3,77;6,529;2,442;4,988;2,192;2,986;23,724;4,452;845;55,773;1,912;-;330;8,912;2,052;12,873;4,079;-928;5696;2010-04-27
2010-06-30;10,765;-3,53;7,235;2,887;5,514;2,43;3,345;26,464;4,481;782;57,691;2,126;-;215;7,937;2,058;11,85;3,486;-1,048;5696;2010-07-27
2010-09-30;11,102;-3,781;7,321;2,955;5,517;2,911;3,423;29,499;4,481;769;60,588;1,903;-;259;8,837;2,073;12,892;3,577;-1,362;5696;2010-10-27
2010-12-31;11,457;-4,051;7,406;3,18;5,498;2,867;3,757;31,611;4,531;860;63,186;2,29;-;38;9,327;2,077;13,756;5,55;-1,869;5696;2011-01-27
2011-04-01;12,847;-4,962;7,885;3,16;4,188;3,542;4,099;22,795;9,069;6,872;65,552;2,757;-;54;11,565;2,083;18,203;4,013;-2,723;5411;2011-04-28
2011-07-01;13,032;-5,13;7,902;2,954;4,635;3,359;4,03;23,102;9,141;6,7;66,089;2,742;-;71;10,354;2,09;17,366;3,971;-2,484;5411;2011-07-28
2011-10-01;14,233;-5,215;9,018;3,468;7,057;3,821;3,959;26,698;9,138;6,445;70,551;2,999;-;66;11,909;7,076;24,434;6,349;-2,713;5411;2011-10-28
2011-12-31;13,887;-4,935;8,952;3,36;5,065;3,65;4,096;25,872;9,254;6,267;71,119;2,956;-;247;12,028;7,084;25,208;6,63;-2,91;5411;2012-01-27
2012-03-31;12,906;-4,641;8,265;2,738;4,429;4,037;4,489;25,421;9,388;6,064;71,817;2,993;-;362;11,941;7,088;25,057;2,972;-2,977;5160;2012-04-27
2012-06-30;13,501;-4,947;8,554;2,827;5,223;3,544;4,904;25,785;9,442;5,974;72,352;3,269;-;92;10,538;7,093;23,573;4,739;-2,747;5160;2012-07-27
2012-09-30;13,457;-4,942;8,515;2,972;3,52;3,938;5,319;23,014;9,623;6,221;74,441;3,188;-;56;11,953;7,1;25,172;5,147;-3,364;5160;2012-10-27
2012-12-31;13,477;-5,66;7,817;2,468;8,478;3,833;4,734;31,358;9,71;6,235;84,351;3,023;-;312;12,898;13,136;33,148;6,026;-2,754;5160;2013-01-27
2013-03-31;12,58;-5,514;7,066;2,045;5,698;3,536;4,358;28,677;9,756;5,807;83,083;2,654;-;88;11,798;13,143;31,889;4,285;-2,207;5097;2013-04-27
2013-06-30;12,811;-5,341;7,47;2;3,778;3,474;4,542;29,048;10,005;5,62;85,661;2,864;-;263;11,389;13,15;31,821;4,722;-2,724;5097;2013-07-27
2013-09-30;13,483;-5,069;8,414;2,95;4,881;3,719;4,533;31,35;10,467;5,434;90,551;2,996;-;350;13,875;13,157;35,099;5,731;-2,868;5097;2013-10-27
2013-12-31;13,834;-5,263;8,571;2,625;5,674;3,582;4,172;32,084;10,513;5,15;92,358;2,969;-;281;13,568;13,165;34,102;6,038;-2,948;5097;2014-01-27
2014-03-31;12,764;-5,151;7,613;1,93;4,777;3,505;3,763;30,554;10,617;4,963;91,932;3,01;-;36;13,552;13,172;33,894;3,501;-2,689;5056;2014-04-27
2014-06-30;13,831;-4,914;8,917;2,796;3,049;3,489;3,943;29,006;10,621;4,697;91,793;2,96;-;14;12,251;13,18;32,546;5,453;-2,828;5056;2014-07-27
2014-09-30;14,554;-5,096;9,458;3,317;3,143;3,647;4,115;27,509;10,556;4,379;90,616;2,597;-;1,164;14,904;12,103;34,543;5,693;-2,445;5056;2014-10-27
2014-12-31;14,721;-5,1;9,621;3,661;2,561;4,427;4,273;27,73;10,861;4,446;91,9;2,748;508;1,088;16,011;12,059;36,035;5,771;-2,235;5056;2015-01-27
2015-03-31;12,781;-5,051;7,73;1,992;4,244;3,246;4,418;26,466;10,766;4,211;89,566;2,775;-;1,121;15,035;12,112;33,734;4,415;-2,025;4894;2015-04-27
2015-06-30;13,195;-4,947;8,248;2,706;4,454;3,86;4,818;26,71;11,037;4,226;90,492;2,359;23;1,095;13,529;12,116;31,892;3,44;-1,767;4894;2015-07-27
2015-09-30;14,465;-5,354;9,111;3,109;7,065;4,101;4,965;36,205;11,026;4,022;98,552;2,449;33;1,096;15,08;20,059;40,55;5,735;-1,206;4894;2015-10-27
2015-12-31;14,914;-5,324;9,59;3,613;15,308;4,787;5,167;38,32;11,332;3,933;101,459;2,063;32;2,602;15,646;20,036;39,477;5,427;-2,448;4894;2016-01-27
2016-04-01;13,702;-5,572;8,13;2,046;3,061;4,216;5,751;27,397;16,942;11,14;105,467;3,163;988;2,606;17,526;21,775;43,399;4,055;-1,346;4875;2016-04-28
2016-07-01;13,533;-5,56;7,973;1,33;3,885;4,426;5,8;31,188;16,992;10,821;109,831;3,42;1,449;3,111;18,711;24,053;47,574;3,845;-2,286;4875;2016-07-28
2016-10-01;15,778;-5,795;9,983;3,378;4,752;4,952;5,783;36,216;13,868;9,524;112,217;3,181;458;3,115;20,093;24,043;48,216;5,758;-2,463;4875;2016-10-28
2016-12-31;16,374;-6,227;10,147;3,562;5,56;4,69;5,553;35,508;14,099;9,494;113,327;2,475;16;4,618;20,302;20,649;46,219;8,15;-3,53;4875;2017-01-27
2017-04-01;14,796;-5,636;9,16;2,964;4,934;4,921;5,801;36,058;14,099;9,157;115,648;3,221;-;5,073;21,305;20,678;47,926;3,898;-2,067;4835;2017-04-28
2017-07-01;14,763;-5,667;9,096;2,808;11,687;5,397;6,324;40,617;14,102;8,867;122,107;3,671;5;4,125;18,782;27,855;52,608;4,707;-2,663;4835;2017-07-28
2017-09-30;16,149;-6,085;10,064;4,516;9,075;5,954;6,929;33,154;24,389;13,058;127,088;3,554;13;4,129;20,689;27,498;55,282;6,264;-2,979;4835;2017-10-27
2017-12-31;17,053;-6,275;10,778;4,713;3,433;5,607;6,983;29,5;24,389;12,745;123,249;2,928;37;1,739;17,421;25,037;53,364;7,241;-4,069;4835;2018-01-27
2018-03-31;16,066;-6,335;9,731;4,454;3,554;4,879;7,146;31,63;24,346;12,355;128,596;4,415;-;3,842;19,961;24,77;57,63;6,284;-2,91;4701;2018-04-27
2018-06-30;16,962;-6,543;10,419;4,825;2,614;4,636;7,344;27,603;24,351;12,098;125,972;4,143;-;3,51;17,571;24,632;55,271;7,413;-4,53;4701;2018-07-27
2018-09-30;19,163;-6,803;12,36;6,285;3,407;5,457;7,401;29,59;24,506;12,007;128,242;3,593;-;3,051;19,574;24,823;56,244;8,835;-3,851;4701;2018-10-27
2018-12-31;18,657;-7,43;11,227;5,189;3,019;6,722;7,253;28,787;24,513;11,836;127,963;3,824;-;1,261;16,626;25,098;52,981;6,9;-3,89;4701;2019-01-27
2019-03-31;16,061;-6,972;9,089;3,974;3,154;6,957;7,765;29,06;24,521;11,457;129,458;4,059;-;2,75;18,911;25,737;55,522;4,959;-3,321;4473;2019-04-27
2019-06-30;16,505;-6,627;9,878;4,179;2,867;6,233;8,696;29,239;24,583;11,249;130,759;4,682;-;3,726;19,705;25,089;55,565;7,587;-3,554;4473;2019-07-27
2019-09-30;19,19;-7,895;11,295;5,99;3,935;6,88;8,638;29,957;24,727;11,019;133,768;4,809;-;5,2;25,064;23,707;59,36;10,711;-4,672;4473;2019-10-27
2019-12-31;20,209;-8,331;11,878;6,905;4,194;7,659;8,744;31,239;26,276;10,827;136,524;4,128;-;3,693;22,31;25,308;58,865;9,888;-4,666;4473;2020-01-27
2020-03-31;19,828;-7,812;12,016;5,661;11,38;8,455;9,246;41,501;26,276;10,429;147,71;4,638;-;3,464;23,895;36,455;71,356;6,158;-3,268;4232;2020-04-27
2020-06-30;19,728;-9,221;10,507;5,105;8,736;7,441;8,969;44,39;26,943;10,303;152,539;5,045;-;2,254;22,481;36,093;70,529;11,157;-3,408;4232;2020-07-27
2020-09-30;18,333;-8,592;9,741;4,276;3,356;7,14;9,273;36,785;26,955;9,881;145,261;5,159;-;504;22,112;36,059;70,707;8,179;-3,716;4232;2020-10-27
2020-12-31;19,978;-8,63;11,348;5,857;5,865;6,782;8,427;47,249;26,971;9,026;153,091;5,581;-;2,504;24,754;33,897;72,053;9,89;-4,061;4232;2021-01-27
2021-03-31;19,673;-8,819;10,854;3,361;5,192;7,208;8,487;45,773;26,971;8,408;150,622;5,434;-;2,647;24,151;33,237;70,815;5,348;-4,388;4090;2021-04-27
2021-06-30;19,631;-8,425;11,206;5,061;4,746;7,46;8,817;49,372;26,768;8,018;154,597;5,917;-;3,695;24,836;31,714;69,39;8,801;-3,868;4090;2021-07-27
2021-09-30;19,192;-8,446;10,746;6,823;7,87;8,4;9,798;61,304;26,786;7,684;167,962;6,792;-;4,694;29,572;35,61;77,875;9,904;-4,441;4090;2021-10-27
2021-12-31;20,528;-9,519;11,009;4,623;4,827;9,457;10,776;58,558;26,963;7,27;168,406;5,747;-;4,591;27,462;33,51;73,015;5,938;-7,632;4090;2022-01-27
