date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2005-03-31;1,729;-1,287;442;71;130;1,191;1,279;3,004;-;62;4,717;756;-;1,252;2,543;112;3,546;-10;-51;84.62;2005-05-10
2005-06-30;1,859;-1,419;440;24;178;1,212;1,319;3,104;-;60;4,807;735;-;794;2,076;634;3,597;130;-48;84.62;2005-08-09
2005-09-30;1,776;-1,4;376;-48;127;1,119;1,219;2,819;-;57;4,561;637;-;310;1,572;628;3,156;242;-52;84.62;2005-11-09
2005-12-31;1,786;-1,431;355;-101;136;1,065;1,068;2,506;-;53;4,341;694;-;172;1,509;644;3,102;262;-100;84.62;2006-03-01
2006-03-31;1,836;-1,399;437;83;88;1,042;1,04;2,486;-;50;4,269;618;-;96;1,384;639;2,95;36;-37;84.19;2006-05-10
2006-06-30;1,751;-1,32;431;78;135;1,029;1,098;2,529;-;45;4,259;604;-;107;1,317;618;2,865;61;-44;84.19;2006-08-09
2006-09-30;1,691;-1,329;362;38;182;984;1,099;2,512;-;47;4,224;552;-;65;1,241;620;2,81;149;-66;84.19;2006-11-09
2006-12-31;1,666;-1,356;310;3;171;924;1,047;2,475;-;41;4,205;602;-;84;1,223;632;2,802;163;-120;84.19;2007-03-01
2007-03-31;1,711;-1,315;396;92;213;1,001;1,076;2,562;-;41;4,287;611;-;38;1,224;623;2,787;107;-47;84.62;2007-05-10
2007-06-30;1,727;-1,332;395;-58;200;983;1,112;2,603;-;40;4,35;625;-;66;1,366;595;2,912;112;-64;84.62;2007-08-09
2007-09-30;1,705;-1,335;370;74;154;834;964;2,345;-;38;4,13;516;-;36;1,088;609;2,622;121;-59;84.62;2007-11-09
2007-12-31;1,465;-1,165;300;4;189;809;895;2,243;-;33;3,984;487;-;59;1,068;601;2,586;130;-114;84.62;2008-02-29
2008-03-31;1,535;-1,158;377;104;307;914;932;2,558;-;32;4,29;525;-;198;1,221;596;2,737;42;-34;83.20;2008-05-10
2008-06-30;1,765;-1,343;422;56;183;1,08;1,047;2,758;-;143;4,85;616;-;251;1,366;826;3,302;85;-66;83.20;2008-08-09
2008-09-30;1,814;-1,41;404;59;244;1,051;1,129;2,825;-;130;4,975;601;-;313;1,529;829;3,408;182;-69;83.20;2008-11-09
2008-12-31;1,462;-1,205;257;-48;249;725;1,048;2,423;-;145;4,592;484;-;168;1,3;930;3,269;183;-173;83.20;2009-03-01
2009-03-31;1,054;-857;197;-14;283;613;945;2,182;-;150;4,366;365;-;87;1,076;983;3,068;125;-52;83.20;2009-05-10
2009-06-30;1,238;-977;261;17;954;679;821;2,766;-;159;4,985;391;-;71;964;1,634;3,626;164;-57;83.20;2009-08-09
2009-09-30;1,373;-1,05;323;23;873;750;819;2,765;-;192;5,122;435;-;128;1,033;1,567;3,714;154;-52;83.20;2009-11-09
2009-12-31;1,392;-1,072;320;13;715;733;849;2,686;-;196;5,068;486;-;94;1,119;1,377;3,636;122;-114;83.20;2010-03-01
2010-03-31;1,613;-1,219;394;105;613;905;949;2,883;-;202;5,319;511;-;109;1,234;1,418;3,774;-6;-39;83.20;2010-05-10
2010-06-30;1,828;-1,354;474;131;437;1,024;1,099;2,974;-;214;5,549;595;-;74;1,373;1,337;3,941;71;-60;83.20;2010-08-09
2010-09-30;1,847;-1,387;460;119;582;941;1,096;3,034;-;202;5,58;552;-;146;1,323;1,327;3,885;206;-107;83.20;2010-11-09
2010-12-31;1,832;-1,421;411;26;524;942;1,094;2,928;-;226;5,666;664;-;176;1,451;1,302;3,92;234;-295;83.20;2011-03-01
2011-03-31;2,073;-1,551;522;167;494;1,141;1,142;3,118;-;238;5,837;636;-;181;1,475;1,309;3,936;30;-68;83.20;2011-05-10
2011-06-30;2,243;-1,704;539;181;595;1,227;1,364;3,532;-;355;6,588;764;-;587;2,023;1,393;4,57;212;-109;83.20;2011-08-09
2011-09-30;2,336;-1,805;531;154;589;1,237;1,491;3,614;-;350;6,744;736;-;599;2,092;1,385;4,679;161;-148;83.20;2011-11-09
2011-12-31;2,123;-1,705;418;5;528;1,146;1,386;3,389;-;373;6,878;766;-;633;2,089;1,465;4,82;299;-354;83.20;2012-02-29
2012-03-31;2,388;-1,796;592;192;560;1,301;1,446;3,645;-;365;7,141;755;-;604;2,092;1,535;4,932;129;-92;83.20;2012-05-10
