date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2014-03-31;11736;-;11736;1207;4654;6896;1298;19182;-;4818;76525;-;-;3164;16542;11696;34110;1874;-2113;21.98;2014-05-05
2014-06-30;11949;-;11949;2304;3411;7147;1307;13306;-;3360;70972;-;-;2735;11262;11272;28498;1749;-1908;21.98;2014-08-04
2014-09-30;12169;-;12169;1495;5163;6928;1305;14340;-;3264;72489;-;-;2690;11880;11609;29428;2722;-2698;21.98;2014-11-04
2014-12-31;11715;-;11715;189;3507;4077;1139;16225;-;2818;68844;-;-;1412;9602;10913;26619;2416;-1911;21.98;2015-02-09
2015-03-31;10547;-;10547;1572;3078;11036;1034;16103;-;2852;69001;-;-;1336;15627;10369;32053;1950;-1985;21.55;2015-05-05
2015-06-30;10526;-;10526;1086;1780;6413;977;10608;-;2813;64015;-;-;1083;9161;10573;25779;1777;-1893;21.55;2015-08-04
2015-09-30;10110;-;10110;778;3233;6069;882;11106;-;2834;64684;-;-;1138;8918;11050;26042;2194;-1590;21.55;2015-11-04
2015-12-31;9125;-;9125;-2511;4008;3476;781;11018;-;1922;62408;-;-;1335;9491;11408;26669;2048;-1664;21.55;2016-02-09
2016-03-31;8539;-;8539;224;3627;6117;707;11269;-;3508;64239;-;-;1921;9610;13387;28435;250;-1352;20.82;2016-05-05
2016-06-30;8861;-;8861;118;3158;6019;793;10726;-;3614;63299;-;-;1853;9286;13676;28581;940;-1098;20.82;2016-08-04
2016-09-30;7073;-;7073;438;3360;5961;858;11089;-;3659;63442;-;-;1616;9400;13805;28233;-508;966;20.82;2016-11-04
2016-12-31;2793;-;2793;-2677;4105;3814;862;11143;-;3620;61118;-;-;2015;10733;13320;29028;582;-514;20.82;2017-02-09
2017-03-31;8963;-;8963;253;2873;5969;950;9960;-;3685;60428;-;-;2041;10168;13019;28112;870;-1624;20.82;2017-05-05
2017-06-30;9604;-;9604;-264;3644;6435;998;11294;-;3644;61310;-;-;2207;10839;13443;28961;1410;-1211;20.82;2017-08-04
2017-09-30;8046;-;8046;-1539;2936;6035;746;25305;-;2783;60260;-;-;2907;14909;12909;29306;-852;-71;20.82;2017-11-04
2017-12-31;4332;-;4332;386;2171;3864;974;24081;-;4365;63227;-;-;2437;14757;15076;31802;1168;-693;20.82;2018-02-09
2018-03-31;9312;-;9312;2746;3205;5964;963;20715;-;4320;61622;-;-;1693;10277;13127;27327;450;-1359;20.82;2018-05-05
2018-06-30;9577;-;9577;7;2628;6089;1174;20965;-;4308;61166;-;-;1800;10376;13176;27613;338;-782;20.82;2018-08-04
2018-09-30;10153;-;10153;396;4310;6154;1231;22410;-;4297;61790;-;-;3179;12135;11538;27671;1076;-409;20.82;2018-11-04
2018-12-31;10238;-;10238;60;2863;3815;1073;17976;-;4278;56622;-;-;1586;11399;8036;23242;1364;-669;20.82;2019-02-09
2019-03-31;9540;-;9540;-656;4998;5176;1059;16601;-;4338;61701;-;-;1356;12136;7484;28858;1482;-778;20.82;2019-05-05
2019-06-30;9627;-;9627;153;4961;5529;1101;11645;-;4320;56555;-;-;1478;10283;7757;27558;1170;-445;20.82;2019-08-04
2019-09-30;10055;-;10055;520;4835;5544;1129;11562;-;4265;55662;-;-;731;9525;7782;26783;1732;-343;20.82;2019-11-04
2019-12-31;9668;-;9668;-61;4768;3531;1430;11700;-;4219;55399;-;-;721;9835;7455;26562;1535;-469;20.82;2020-02-09
2020-03-31;9,571;-;9,571;209;4,041;5,523;1,126;10,845;-;4,189;53,99;-;-;2,054;9,77;6,953;26,76;1,216;-310;20.03;2020-05-05
2020-06-30;8,997;-;8,997;443;5,243;5,411;946;11,735;-;4,961;55,319;-;-;2,472;9,705;7,621;27,792;1,867;-362;20.03;2020-08-04
2020-09-30;9,917;-;9,917;947;5,854;5,252;1,037;12,289;-;5,317;56,162;-;-;2,098;9,642;7,384;27,647;2,176;-280;20.03;2020-11-04
2020-12-31;11,255;-;11,255;1,301;5,865;5,603;1,049;12,736;-;5,145;56,117;-;-;2,149;10,054;5,868;26,267;2,569;-370;20.03;2021-02-09
