date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2004-11-30;1,078;-1,017;61;-24;122;537;668;1,449;2,175;-;7,922;417;-;186;1,019;2,353;4,812;69;-47;360.4;2005-01-21
2005-02-28;1,145;-1,008;137;19;110;556;784;1,523;2,232;-;8,094;412;-;139;904;2,516;4,931;-84;-66;360.4;2005-04-04
2005-05-31;1,45;-1,204;246;86;245;672;753;1,732;2,16;-;8,444;463;-;205;1,107;2,464;5,231;271;-104;360.4;2005-07-05
2005-08-31;1,404;-1,155;249;64;201;665;775;1,758;2,21;-;8,607;457;-;153;1,085;2,445;5,148;81;-91;382.2;2005-10-05
2005-11-30;1,493;-1,284;209;44;166;571;786;1,651;2,304;-;8,696;462;-;129;1,103;2,423;5,112;86;-91;382.2;2006-01-21
2006-02-28;1,077;-1,064;13;-73;165;428;786;1,481;2,331;-;8,704;381;-;252;1,014;2,407;5,079;-76;-83;382.2;2006-04-04
2006-05-31;1,332;-1,165;166;-200;173;506;761;1,58;2,347;-;8,721;420;153;69;1,126;2,388;5,19;188;-125;382.2;2006-07-05
2006-08-31;1,289;-1,092;196;107;215;467;772;1,618;2,335;-;8,746;410;127;220;1,286;2,225;5,102;151;-85;441.32;2006-10-05
2006-11-30;1,522;-1,362;161;52;268;570;655;1,627;2,306;-;8,653;811;75;218;1,234;2,211;5,005;142;-29;441.32;2007-01-21
2007-02-28;1,279;-1,166;113;37;460;523;675;1,78;2,271;-;8,723;874;59;86;1,142;2,427;5,087;148;-62;441.32;2007-04-04
2007-05-31;1,684;-1,228;456;187;421;557;787;1,956;2,284;-;9,164;434;139;404;1,609;1,818;4,98;268;-116;441.32;2007-07-05
2007-08-31;2,003;-1,482;522;295;639;537;818;2,17;2,207;-;9,313;386;153;476;1,604;1,586;4,765;438;-82;445.7;2007-10-05
2007-11-30;2,195;-1,572;623;352;642;614;867;2,278;2,16;-;9,694;516;106;199;1,417;1,383;4,504;543;-79;445.7;2008-01-21
2008-02-28;2,147;-1,419;728;492;1,134;700;1,037;3,167;2,1;-;10,601;552;231;44;1,714;1,378;4,765;528;-87;445.7;2008-04-03
2008-05-31;3,467;-2,179;1,288;829;1,961;1,039;1,351;4,81;1,875;-;11,82;1,022;133;43;2,151;1,375;5,089;1,038;-124;445.7;2008-07-05
2008-08-31;4,323;-2,674;1,649;1,129;2,19;1,586;1,945;6,177;1,808;-;13,01;1,267;109;69;2,628;1,311;5,342;562;-187;446.2;2008-10-05
2008-11-30;3,007;-2,233;774;933;2,812;918;1,614;5,971;1,682;-;12,428;768;111;30;1,721;1,273;4,575;387;-223;446.2;2009-01-21
2009-02-28;1,376;-1,235;140;52;2,529;633;1,435;5,22;1,66;-;11,773;296;90;30;1,218;1,268;3,998;-11;-197;446.2;2009-04-04
2009-05-31;1,594;-1,389;204;143;2,703;598;1,126;5,308;1,734;-;12,676;384;93;43;1,616;1,257;4,183;306;-174;446.2;2009-07-05
2009-08-31;1,457;-1,235;222;100;2,599;486;1,047;5,003;1,733;-;12,479;430;107;30;1,311;1,253;3,889;172;-236;446.6;2009-10-05
2009-11-30;1,71;-1,403;307;121;2,648;580;969;5,012;1,757;-;12,697;506;140;16;1,866;1,25;4,47;175;-191;446.6;2010-01-21
2010-02-28;1,732;-1,255;477;232;2,292;595;940;4,792;1,765;-;12,278;475;96;17;1,21;1,246;3,813;477;-209;446.6;2010-04-04
2010-05-31;1,86;-1,173;688;390;2,523;615;1,002;4,975;1,763;-;12,708;567;83;15;1,301;1,246;3,986;532;-275;446.6;2010-07-05
2010-08-31;2,188;-1,684;505;295;2,363;572;1,045;4,755;1,759;-;13,072;559;76;13;1,38;1,244;4,041;556;-295;447.5;2010-10-05
2010-11-30;2,675;-1,907;768;1,026;3,659;672;817;5,524;1,794;-;14,199;539;55;466;1,77;788;3,958;532;-291;447.5;2011-01-21
