date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2007-12-31;1,423;-1,308;115;50;86;194;1,072;1,571;-;29;2,226;302;-;148;759;154;1,154;-9;-18;40.87;2008-02-14
2008-03-31;1,983;-1,843;140;60;140;522;1,794;2,903;-;47;3,858;836;-;432;1,796;596;2,785;257;-25;40.87;2008-05-10
2008-06-30;2,633;-2,459;174;61;41;519;1,923;2,925;-;48;3,888;854;-;496;1,81;558;2,751;-82;-29;40.87;2008-08-09
2008-09-30;2,408;-2,306;102;-1;187;391;1,402;2,292;-;47;3,249;444;-;410;1,254;523;2,113;290;-44;40.87;2008-12-06
2008-12-31;1,501;-1,777;-277;-257;108;316;947;1,895;-;47;2,917;389;-;275;1,274;530;2,039;150;-87;40.87;2009-02-14
2009-03-31;1,542;-1,314;228;96;48;412;1,107;1,932;-;41;2,931;543;-;248;1,276;495;2,05;98;-18;40.87;2009-05-10
2009-06-30;1,669;-1,528;141;48;136;357;1,034;1,732;-;41;2,744;572;-;152;1,015;484;1,787;230;-28;40.87;2009-08-09
2009-09-30;2,007;-1,868;139;68;257;270;1,094;1,803;-;42;2,837;601;-;165;1,054;451;1,812;167;-31;40.87;2009-12-06
2009-12-31;2,087;-1,843;244;121;34;410;1,465;2,103;-;102;3,217;750;-;241;1,299;444;2,073;-207;-84;40.87;2010-02-14
2010-03-31;2,474;-2,332;142;54;84;441;1,603;2,306;-;102;3,413;895;-;362;1,563;340;2,252;84;-17;40.87;2010-05-10
2010-06-30;2,514;-2,361;153;55;31;422;1,799;2,417;-;102;3,514;882;-;425;1,602;337;2,321;-85;-24;40.87;2010-08-09
2010-09-30;2,838;-2,632;207;96;148;437;1,387;2,18;-;102;3,531;793;-;291;1,369;333;2,142;293;-27;40.87;2010-12-06
2010-12-31;2,741;-2,53;210;97;159;393;2,223;3,027;-;102;4,135;1,213;-;477;1,96;334;2,728;-137;-30;44.96;2011-02-14
2011-03-31;3,747;-3,441;306;160;347;569;1,912;2,981;-;96;4,083;931;-;57;1,267;656;2,385;189;-22;44.96;2011-05-10
2011-06-30;3,305;-3,116;189;80;524;458;1,903;3,088;-;96;4,185;971;-;49;1,277;653;2,408;219;-26;44.96;2011-08-09
2011-09-30;3,665;-3,522;143;37;491;564;1,769;3,114;-;94;4,531;868;-;43;1,416;686;2,66;147;-38;44.96;2011-12-06
2011-12-31;3,151;-2,863;288;153;471;405;2,282;3,335;-;93;4,758;1,05;-;54;1,451;683;2,741;19;-40;44.96;2012-02-14
2012-03-31;3,648;-3,37;278;136;484;610;2,317;3,585;-;92;5,012;1,227;-;62;1,604;680;2,9;91;-22;44.96;2012-05-10
2012-06-30;3,436;-3,303;133;6;578;536;2,345;3,618;-;90;5,026;1,252;-;81;1,638;669;2,909;123;-31;44.96;2012-08-09
2012-09-30;3,572;-3,34;232;82;669;525;2,06;3,442;-;90;4,889;1,024;234;42;1,531;540;2,695;150;-76;44.96;2012-12-06
2012-12-31;3,395;-3,3;96;10;667;385;2,096;3,315;-;90;4,746;939;-;192;1,434;536;2,604;88;-38;44.96;2013-02-14
2013-03-31;3,313;-3,19;122;27;396;566;2,159;3,319;-;90;4,753;1,117;-;183;1,591;432;2,644;-60;-31;44.96;2013-05-10
2013-06-30;2,923;-3,173;-250;-246;306;476;1,823;2,827;-;90;4,276;926;-;182;1,461;418;2,404;-30;-37;44.96;2013-08-09
2013-09-30;2,716;-2,552;163;58;33;395;1,94;2,567;-;84;4,035;818;-;84;1,158;429;2,089;-85;-79;44.96;2013-12-06
2013-12-31;2,793;-2,783;9;-52;233;239;1,89;2,511;-;84;4,013;927;-;30;1,235;418;2,118;300;-48;44.96;2014-02-14
2014-03-31;2,902;-2,868;35;-34;559;378;1,759;2,855;-;84;4,344;1,025;-;504;1,796;288;2,544;57;-28;44.96;2014-05-10
2014-06-30;2,603;-2,376;226;102;123;352;1,913;2,558;-;83;4,039;884;-;237;1,367;288;2,139;-138;-21;44.96;2014-08-09
2014-09-30;2,944;-2,819;125;29;187;414;1,717;2,458;-;83;3,943;797;-;156;1,244;-;2,068;183;-32;44.96;2014-12-06
2014-12-31;2,635;-2,516;118;25;254;207;1,931;2,518;-;83;3,978;883;-;151;1,261;305;2,115;102;-21;44.96;2015-02-14
2015-03-31;2,884;-2,66;224;106;296;430;1,813;2,758;-;84;4,218;893;-;45;1,249;530;2,353;7;-26;44.96;2015-05-10
2015-06-30;2,948;-2,794;154;51;479;404;1,816;2,871;-;84;4,332;954;-;20;1,289;510;2,33;239;-22;44.96;2015-08-09
2015-09-30;2,529;-2,507;22;-48;453;307;1,626;2,581;-;84;4,045;761;-;25;1,102;508;2,079;17;-42;44.96;2015-12-06
2015-12-31;2,398;-2,35;48;-25;391;241;1,667;2,42;-;85;3,901;693;-;26;990;507;1,957;-23;-34;44.96;2016-02-14
2016-03-31;2,327;-2,168;160;54;175;338;1,813;2,471;-;86;3,944;799;-;32;1,024;504;2,031;-136;-32;44.96;2016-05-10
2016-06-30;2,351;-2,212;139;43;312;347;1,731;2,537;-;84;4,011;850;-;12;1,055;499;2,082;203;-41;44.96;2016-08-09
2016-09-30;2,399;-2,248;151;51;472;242;1,7;2,541;-;85;4,027;798;-;158;1,142;337;2,039;194;-37;44.96;2016-12-06
2016-12-31;2,462;-2,278;185;78;342;293;1,921;2,714;-;133;4,254;930;-;154;1,298;335;2,158;-41;-79;44.96;2017-02-14
