date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2006-03-31;52,019;-;52,019;4,708;20,762;-;15,23;88,136;-;-;239,643;-;-;3,855;69,923;20,814;146,508;15,497;-3,587;1241;2006-04-25
2006-06-30;48,816;-;48,816;5,769;7,725;-;15,985;83,4;-;-;233,854;-;-;3,545;68,926;19,942;143,418;7,178;-3,584;1241;2006-07-25
2006-09-30;24,303;-;24,303;-4,833;16,49;-;16,31;93,086;-;-;247,428;-;-;3,346;75,765;20,653;152,092;18,349;-3,885;1241;2006-10-25
2006-12-31;23,514;-;23,514;323;6,609;-;14,22;183,67;-;-;234,46;-;-;2,509;120,424;367;138,628;-19,997;8,048;1241;2007-02-14
2007-03-31;26,754;-;26,754;3,257;21,78;-;14,38;195,454;-;-;245,059;-;-;2,502;126,07;335;145,047;14,841;-3,289;1209;2007-04-25
2007-06-30;25,43;-;25,43;2,58;20,735;-;13,611;187,946;-;-;232,586;-;-;2,227;115,574;307;133,635;-5,097;2,027;1209;2007-07-25
2007-09-30;22,239;-;22,239;2,792;33,948;-;12,579;192,209;-;-;236,101;-;-;2,153;119,141;270;136,648;13,323;-852;1209;2007-10-25
2007-12-31;21,985;-;21,985;526;9,33;-;12,227;47,571;-;-;92,045;-;-;1,045;20,376;263;37,996;-21,593;-1,371;1209;2008-02-14
2008-03-31;21,547;-;21,547;1,443;11,735;-;13,417;47,981;-;-;93,356;-;-;1,162;19,66;233;38,633;4,472;-572;1206;2008-04-25
2008-06-30;24,706;-;24,706;903;7,985;-;13,495;44,073;-;-;90,96;-;-;1,152;20,257;215;41,41;3,533;-740;1206;2008-07-25
2008-09-30;21,965;-;21,965;233;3,583;-;15,654;43,435;-;-;93,871;-;-;1,041;20,875;308;41,424;835;-879;1206;2008-10-25
2008-12-31;20,375;-;20,375;-5,845;3,333;-;16,293;40,107;-;-;95,156;-;-;1,169;23,344;279;42,349;-844;-1,294;1206;2009-02-14
2009-03-31;16,29;-;16,29;-280;3,128;-;13,264;34,121;-;-;86,957;-;-;1,953;19,462;1,106;37,924;-1,111;-546;1271;2009-04-25
2009-06-30;17,798;-;17,798;281;4,86;-;10,654;31,941;-;-;84,405;-;-;2,245;16,326;1,094;34,955;2,01;-601;1271;2009-07-25
2009-09-30;17,019;-;17,019;1;2,986;-;9,884;29,123;-;-;79,285;-;-;1,997;15,01;104;32,142;1,616;-605;1271;2009-10-25
2009-12-31;15,6;-;15,6;-584;2,573;-;10,03;27,802;-;-;77,599;-;-;2,01;15,042;88;31,432;2,031;-991;1271;2010-02-14
2010-03-31;18,092;-;18,092;925;2,502;-;9,678;29,31;-;-;79,918;-;-;972;14,523;2,574;33,461;186;-436;1419;2010-04-25
2010-06-30;19,85;-;19,85;597;2,192;-;10,273;31,114;-;-;83,438;-;-;1,48;16,389;2,142;34,816;1,6;-394;1419;2010-07-25
2010-09-30;18,24;-;18,24;-62;8,658;-;10,431;36,344;-;-;87,222;-;-;974;15,051;123;31,249;973;-453;1419;2010-10-25
2010-12-31;19,534;-;19,534;656;10,929;-;10,971;36,818;-;-;88,789;-;-;940;15,91;328;32,371;3,604;-855;1419;2011-02-14
2011-03-31;25,672;-13,194;12,478;5,153;3,698;-;13,827;39,284;-;7,377;135,059;-;-;2,482;19,54;4,539;55,343;-617;-515;1965;2011-04-25
2011-06-30;24,819;-;24,819;1,546;3,831;-;14,254;37,688;-;7,365;136,324;-;-;4,281;21,18;4,224;56,778;1,066;-944;1965;2011-07-25
2011-09-30;9,276;-;9,276;697;6,863;-;14,343;39,981;-;6,859;134,204;-;-;4,353;22,007;4,232;56,051;3,422;-805;1965;2011-10-25
2011-12-31;17,604;-10,233;7,371;-145;8,365;-;14,157;38,185;-;7,93;132,68;-;-;4,248;21,216;4,19;55,223;2,934;-1,122;1965;2012-02-14
2012-03-31;17,044;-10,189;6,855;586;8,786;-;13,201;38,461;-;7,646;129,798;-;-;5,08;21,679;3,736;53,985;488;-828;2037;2012-04-25
2012-06-30;16,829;-11,712;5,117;-1,648;7,234;-;12,411;36,195;-;7,245;124,353;-;-;5,61;21,409;3,743;53,33;404;-696;2037;2012-07-25
2012-09-30;14,723;-9,792;4,931;-90;8,654;-;12,14;36,183;-;6,933;120,259;-;-;6,336;20,357;8,18;51,915;1,247;-727;2037;2012-10-25
2012-12-31;15,585;-9,866;5,719;335;7,034;-;9,812;30,165;-;5,721;118,342;-;-;5,987;17,464;3,674;48,679;2,61;-1,005;2037;2013-02-14
2013-03-31;16,109;-10,647;5,462;254;6,411;-;10,266;30,748;-;5,994;123,364;-;-;5,345;17,894;4,245;50,781;-370;-615;2038;2013-04-25
2013-06-30;16,052;-10,63;5,422;-713;7,399;-;9,669;28,6;-;5,743;120,182;-;-;5,805;17,087;4,178;49,519;1,167;-623;2038;2013-07-25
2013-09-30;16,145;-10,611;5,534;188;8,397;-;9,758;30,731;-;5,647;116,541;-;-;6,22;17,632;4,148;46,124;1,185;-586;2038;2013-10-25
2013-12-31;16,571;-11,288;5,283;-757;8,412;-;10,07;30,681;-;5,562;116,324;-;-;6,22;18,85;3,986;46,343;2,789;-1,043;2038;2014-02-14
2014-03-31;18,282;-12,287;5,995;462;6,476;-;9,599;30,597;-;5,598;115,724;-;-;6,255;18,33;3,941;45,191;-890;-585;2039;2014-04-25
2014-06-30;18,272;-12,526;5,746;269;6,617;-;10,213;29,799;-;5,828;116,647;-;-;6,141;17,684;4,093;46,106;1,179;-705;2039;2014-07-25
2014-09-30;19,698;-12,97;6,728;666;6,045;-;10,334;29,75;-;5,481;114,275;-;-;5,007;16,5;4,85;45,159;1,151;-871;2039;2014-10-25
2014-12-31;21,656;-13,697;7,959;-166;9,253;-;12,642;35,927;-;5,947;126,273;-;-;6,039;19,116;5,128;52,243;4,386;-1,133;2039;2015-02-14
2015-03-31;23,29;-14,662;8,628;1,071;7,172;-;13,392;38,413;-;5,332;123,145;-;-;4,239;19,204;5,722;51,077;1,095;-847;2041;2015-04-25
2015-06-30;22,436;-14,374;8,062;2,064;8,142;-;12,722;37,252;-;5,547;123,326;-;-;3,683;17,957;5,013;48,589;4,449;-1,122;2041;2015-07-25
2015-09-30;21,594;-14,361;7,233;-1,344;9,372;-;11,996;38,036;-;4,773;119,665;-;-;3,509;18,061;4,408;48,381;4,427;-1,182;2041;2015-10-25
2015-12-31;20,374;-12,933;7,441;542;6,917;-;12,192;36,16;-;5,121;122,544;-;-;3,562;17,399;3,969;48,374;4,402;-2,103;2041;2016-02-14
2016-03-31;20,138;-12,729;7,409;2,381;5,946;-;11,684;35,936;-;5,132;122,515;-;-;3,753;16,474;3,735;47,991;-242;-1,395;2042;2016-04-25
2016-06-30;20,391;-13,145;7,246;2,077;9,22;-;11,82;35,911;-;5,622;126,749;-;-;3,593;17,135;3,474;49,464;3,703;-1,345;2042;2016-07-25
2016-09-30;20,174;-12,886;7,288;1,119;7,952;-;11,517;35,605;-;5,469;124,672;-;-;3,562;16,885;3,409;48,795;2,31;-1,611;2042;2016-10-25
2016-12-31;21,25;-13,391;7,859;1,009;8,037;-;12,381;36,371;-;5,811;130,793;-;-;3,283;17,106;3,397;48,886;4,247;-2,562;2042;2017-02-14
2017-03-31;23,026;-14,822;8,204;1,839;8,333;-;12,557;38,445;-;5,919;134,276;-;-;3,481;17,041;3,373;49,324;668;-1,396;2044;2017-04-25
2017-06-30;24,591;-15,848;8,743;1,563;7,993;-;12,94;39,584;-;5,577;131,84;-;-;3,741;17,124;3,183;49,497;4,33;-1,35;2044;2017-07-25
2017-09-30;22,799;-14,768;8,031;2,184;17,853;-;13,585;46,834;-;5,427;137,557;-;-;9,065;22,954;3,077;54,873;2,95;-1,501;2044;2017-10-25
2017-12-31;38,804;-24,411;14,393;3,6;11,828;-;20,711;54,631;-;12,712;163,273;-;-;8,245;33,337;9,012;76,242;6,399;-3,049;2044;2018-02-14
2018-03-31;39,971;-25,196;14,775;2,077;9,371;-;20,626;54,631;-;12,133;158,781;-;-;5,269;30,742;8,746;72,548;1,989;-1,369;2046;2018-04-25
2018-06-30;41,254;-26,496;14,758;2,072;5,682;-;22,337;53,575;-;11,66;155,159;-;-;4,969;31,296;9,377;72,483;1,518;-1,537;2046;2018-07-25
2018-09-30;39,766;-25,667;14,099;924;6,846;-;23,916;54,403;-;10,695;155,261;-;-;6,607;32,41;7,886;72,249;2,574;-1,796;2046;2018-10-25
2018-12-31;38,386;-25,164;13,222;-751;5,995;-;26,483;54,998;-;11,443;164,928;-;-;9,373;35,817;9,342;79,108;944;-2,517;2046;2019-02-14
2019-03-31;37,583;-25,136;12,447;-124;6,099;-;25,004;56,268;-;11,133;164,644;-;-;8,913;35,732;10,559;79,953;779;-1,631;2047;2019-04-25
2019-06-30;39,176;-25,92;13,256;-191;10,59;-;22,718;58,055;-;11,485;166,978;-;-;8,177;32,879;18,62;85,834;2,6;-2,231;2047;2019-07-25
2019-09-30;37,517;-24,09;13,427;-1,391;10,581;-;21,679;56,897;-;11,695;167,025;-;-;6,074;29,885;19,985;86,75;3,491;-1,971;2047;2019-10-25
