date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2000-03-31;18;-7;11;7;10;-;-;18;-;-;267;-;-;-;13;-;13;9;0;30.8;2000-05-10
2000-06-30;13;-6;7;4;6;-;-;13;-;-;260;-;-;-;9;-;9;7;0;30.8;2000-08-09
2000-09-30;13;-6;7;3;6;-;-;14;-;-;259;-;-;-;9;-;9;1;0;30.8;2000-11-09
2000-12-31;18;-7;11;7;-;-;-;15;-;-;258;-;-;2;9;-;10;6;0;30.8;2001-02-24
2001-03-31;21;-8;13;8;7;7;1;15;-;-;256;-;-;-;7;-;7;18;0;30.8;2001-05-10
2001-06-30;16;-8;8;5;8;6;2;17;-;-;254;-;-;-;7;-;7;8;0;30.8;2001-08-09
2001-09-30;14;-7;7;3;2;8;2;13;-;-;248;-;-;-;5;-;6;1;0;30.8;2001-11-09
2001-12-31;18;-8;10;5;-;12;1;14;-;-;247;-;-;-;9;-;9;6;0;30.8;2002-02-24
2002-03-31;21;-9;12;8;2;12;1;16;-;-;246;-;-;-;6;-;7;10;0;30.8;2002-05-10
2002-06-30;15;-7;7;4;2;9;2;14;-;-;243;-;-;-;7;-;8;8;0;30.8;2002-08-09
2002-09-30;16;-8;8;3;-;10;2;13;-;-;239;-;-;2;9;-;9;6;0;30.8;2002-11-09
2002-12-31;21;-8;13;5;2;20;2;27;-;-;326;-;-;2;18;80;98;8;-19;30.8;2003-02-24
2003-03-31;25;-10;15;7;34;15;2;55;-;-;347;-;-;1;15;35;50;14;0;37.8;2003-05-10
2003-06-30;20;-10;11;3;33;16;2;54;-;-;338;-;-;1;13;35;48;9;-1;37.8;2003-08-09
2003-09-30;22;-11;10;4;34;12;2;51;-;-;332;-;-;2;13;34;47;10;0;37.8;2003-11-09
2003-12-31;25;-10;15;5;13;9;2;28;-;-;435;-;-;2;14;34;48;8;-1;37.8;2004-02-24
2004-03-31;23;-10;13;11;11;11;2;27;-;-;433;-;-;2;13;33;46;12;0;47.9;2004-05-10
2004-06-30;21;-10;11;10;12;9;2;27;-;-;431;-;-;2;13;34;46;12;-;47.9;2004-08-09
2004-09-30;21;-10;11;1;22;12;2;45;-;-;488;-;-;2;17;98;114;6;-41;47.9;2004-11-09
2004-12-31;25;-10;15;5;19;22;2;73;-;-;576;-;-;4;18;191;209;17;-27;47.9;2005-02-24
2005-03-31;32;-13;19;17;25;14;2;66;-;-;572;-;-;4;23;177;200;25;-11;48.9;2005-05-10
2005-06-30;28;-12;15;10;16;16;2;53;-;-;566;-;-;5;28;167;194;12;-10;48.9;2005-08-09
2005-09-30;32;-13;19;5;18;13;2;38;-;-;548;-;-;5;16;149;168;13;-5;48.9;2005-11-09
2005-12-31;37;-13;23;12;14;23;6;48;-;18;549;-;-;5;19;148;170;6;0;48.9;2006-02-24
2006-03-31;36;-14;22;12;40;17;9;72;-;-;753;-;-;8;23;167;203;26;-;62.1;2006-05-10
2006-06-30;41;-17;24;4;24;14;9;53;-;-;743;-;-;8;21;166;200;18;-;62.1;2006-08-09
2006-09-30;41;-18;23;6;21;24;10;62;-;-;739;-;6;8;29;164;205;8;0;62.1;2006-11-09
2006-12-31;48;-18;30;13;13;30;10;60;-;143;731;-;-;9;30;158;199;18;0;62.1;2007-02-24
2007-03-31;52;-19;33;17;36;19;9;71;-;139;726;-;-;13;31;153;204;40;-;62.4;2007-05-10
2007-06-30;43;-18;25;-77;29;15;9;59;-;135;697;-;-;10;25;147;269;19;-;62.4;2007-08-09
2007-09-30;41;-18;23;2;20;25;10;64;-;131;684;-;2;10;27;147;271;6;0;62.4;2007-11-09
2007-12-31;49;-19;30;31;28;32;10;79;-;129;691;-;-;10;32;143;264;34;-;62.4;2008-02-24
2008-03-31;52;-20;32;16;27;31;4;70;-;125;682;-;-;10;25;138;257;22;-;62.4;2008-05-10
2008-06-30;45;-20;25;11;42;15;4;68;-;122;672;-;-;10;23;138;253;35;-;62.4;2008-08-09
2008-09-30;44;-21;23;15;45;12;5;71;-;118;665;-;-;10;24;133;248;26;-;62.4;2008-11-09
2008-12-31;51;-21;30;23;46;18;5;79;-;115;674;-;-;10;31;132;253;21;0;62.4;2009-02-24
2009-03-31;53;-21;32;17;42;20;4;75;-;111;667;-;-;11;27;127;246;23;-;83.5;2009-05-10
2009-06-30;45;-20;24;-3;42;18;4;73;-;108;650;-;-;11;26;127;249;19;0;83.5;2009-08-09
2009-09-30;38;-20;19;-5;31;29;5;79;88;312;1,556;-;-;12;82;642;923;6;-108;83.5;2009-11-09
2009-12-31;58;-23;35;26;116;71;5;203;116;260;1,695;-;-;41;105;683;989;16;-35;83.5;2010-02-24
2010-03-31;63;-25;38;-61;89;70;5;188;252;272;1,835;61;-;48;115;741;1,062;36;-37;72.1;2010-05-10
2010-06-30;78;-32;46;-37;103;70;8;209;122;254;1,693;-;-;50;119;740;1,013;32;-46;72.1;2010-08-09
2010-09-30;79;-34;45;-135;107;74;8;279;122;249;1,875;-;-;54;163;730;1,099;42;-129;72.1;2010-11-09
2010-12-31;93;-34;58;27;112;78;8;275;250;251;2,024;91;-;43;141;770;1,817;32;-123;72.1;2011-02-24
2011-03-31;96;-41;56;55;100;76;7;251;250;247;2,075;93;-;44;144;816;1,235;39;-94;110;2011-05-10
2011-06-30;80;-35;45;-24;99;67;7;205;250;244;2,103;94;-;47;148;844;1,291;35;-93;110;2011-08-09
2011-09-30;81;-38;43;-72;61;102;8;197;250;242;2,197;104;-;72;183;920;1,478;29;-115;110;2011-11-09
2011-12-31;99;-40;59;-23;50;121;7;205;242;217;2,254;101;8;76;192;975;1,574;24;-74;110;2012-02-24
2012-03-31;101;-34;66;50;68;108;7;218;242;223;2,294;79;5;90;184;1,029;1,586;53;-48;120;2012-05-10
2012-06-30;85;-31;54;-35;101;102;7;247;242;244;2,359;68;-;39;117;1,062;1,591;53;-55;120;2012-08-09
2012-09-30;83;-33;50;-22;56;113;8;237;242;202;2,452;81;-;41;132;1,164;1,726;11;-123;120;2012-11-09
2012-12-31;93;-33;60;-2;32;126;7;206;223;200;2,519;93;1;40;144;1,398;1,818;45;-138;120;2013-02-24
2013-03-31;106;-38;68;24;47;118;8;202;223;192;2,571;85;10;36;142;1,456;1,862;52;-76;133.5;2013-05-10
2013-06-30;124;-51;74;80;57;129;12;225;223;213;2,806;195;7;48;263;1,507;2,038;51;-171;133.5;2013-08-09
2013-09-30;152;-53;100;41;110;107;13;267;223;179;2,898;108;-;53;175;1,64;2,003;76;-99;133.5;2013-11-09
