date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
1994-03-31;444;-309;135;32;15;335;420;917;-;685;2,248;112;257;99;784;409;1,363;34;-12;315.6;1994-04-27
1994-06-30;493;-333;169;44;15;335;420;917;-;685;2,488;112;257;99;784;409;1,363;-8;-14;315.6;1994-07-27
1994-09-30;553;-374;179;58;15;335;420;918;-;704;2,488;112;257;99;784;409;1,363;117;-14;315.6;1994-10-27
1994-12-31;584;-387;197;62;15;335;420;918;-;704;2,488;112;257;99;784;409;1,363;95;-26;315.6;1995-02-14
1995-03-31;556;-389;167;36;10;313;465;932;-;677;2,511;111;249;99;781;409;1,361;31;-18;286.78;1995-04-27
1995-06-30;621;-431;189;55;13;405;491;1,033;-;682;2,58;107;141;59;620;604;1,393;-7;-23;286.78;1995-07-27
1995-09-30;651;-444;207;65;17;378;455;974;-;705;2,517;88;137;52;562;550;1,28;114;-12;286.78;1995-10-27
1995-12-31;670;-451;219;66;59;390;509;1,132;-;888;2,931;114;177;59;680;761;1,631;138;-29;286.78;1996-02-14
1996-03-31;618;-436;181;33;46;369;547;1,133;-;878;2,95;102;171;58;647;805;1,642;57;-15;281.48;1996-04-27
1996-06-30;735;-499;236;68;45;460;541;1,209;-;892;3,037;122;136;47;643;850;1,683;30;-14;281.48;1996-07-27
1996-09-30;762;-518;244;74;52;452;521;1,177;-;908;3,027;98;148;41;635;805;1,613;108;-25;281.48;1996-10-27
1996-12-31;757;-512;246;81;4;404;509;1,108;-;923;3,005;105;135;33;637;672;1,516;172;-40;281.48;1997-02-14
1997-03-31;629;-440;189;38;5;369;534;1,084;-;1,026;3,099;87;102;33;577;799;1,589;42;-15;281.65;1997-04-27
1997-06-30;801;-535;265;78;23;563;648;1,416;-;1,37;3,925;139;366;16;943;1,116;2,34;-5;-9;281.65;1997-07-27
1997-09-30;889;-603;287;84;21;554;669;1,407;-;1,42;3,976;117;151;15;700;1,349;2,333;174;-24;281.65;1997-10-27
1997-12-31;915;-610;305;90;36;524;625;1,381;-;1,364;3,943;132;118;12;664;783;2,229;176;-50;281.65;1998-02-14
1998-03-31;747;-523;223;149;13;456;662;1,334;-;1,477;3,717;114;98;1;707;523;1,959;59;-28;291.88;1998-04-27
1998-06-30;923;-615;307;89;68;630;696;1,662;-;1,611;4,251;138;152;10;909;770;2,429;-63;-17;291.88;1998-07-27
1998-09-30;957;-631;326;99;42;670;776;1,766;-;1,763;4,604;180;37;5;1,06;1,413;2,718;120;-61;291.88;1998-10-27
1998-12-31;1,093;-779;314;59;57;652;714;1,591;-;1,657;4,327;164;149;7;821;866;2,415;186;-41;291.88;1999-02-14
1999-03-31;1,516;-1,093;423;-79;70;1,06;1,077;2,455;-;1,837;6,235;270;75;7;1,094;2,091;3,537;-96;-78;281.8;1999-04-27
1999-06-30;1,597;-1,177;421;30;49;1,166;1,078;2,531;-;1,872;6,308;323;51;7;1,247;2,05;3,626;120;-11;281.8;1999-07-27
1999-09-30;1,61;-1,165;445;73;34;1,208;1,038;2,54;-;1,908;6,299;333;82;1;1,415;1,862;3,605;264;-51;281.8;1999-10-27
1999-12-31;1,69;-1,238;453;72;102;1,178;1,035;2,739;-;2,025;6,724;377;97;150;1,63;1,956;4,027;266;-60;281.8;2000-02-14
2000-03-31;1,55;-1,142;408;76;8;1,13;1,168;2,694;-;2,037;6,678;362;167;150;1,558;2,377;4,375;-26;-81;268.5;2000-04-27
2000-06-30;1,711;-1,224;487;128;16;1,224;1,201;2,848;-;2,025;6,819;341;72;150;1,53;2,508;4,476;129;-78;268.5;2000-07-27
2000-09-30;1,686;-1,217;468;123;21;1,237;1,171;2,854;-;1,973;6,789;344;20;100;1,442;2,565;4,41;182;-81;268.5;2000-10-27
2000-12-31;1,988;-1,52;468;94;23;1,183;1,263;2,896;-;2,19;7,262;342;23;204;1,55;2,82;4,813;339;-76;268.5;2001-02-14
2001-03-31;1,611;-1,216;395;38;20;1,132;1,31;2,873;-;2,15;7,168;366;14;214;1,546;2,818;4,824;124;-60;267;2001-04-27
2001-06-30;1,725;-1,271;454;72;16;1,247;1,272;2,937;-;2,156;7,201;429;26;174;1,665;2,716;4,844;236;-65;267;2001-07-27
2001-09-30;1,768;-1,278;490;83;9;1,316;1,185;2,933;-;2,171;7,227;446;24;915;2,485;1,865;4,809;217;-60;267;2001-10-27
2001-12-31;1,806;-1,275;532;71;7;1,298;1,114;2,85;2,07;284;7,266;501;19;808;2,534;1,865;4,833;289;-65;267;2002-02-14
2002-03-31;1,597;-1,171;426;-464;10;1,191;1,147;2,776;-;1,745;6,61;526;30;553;2,211;2,065;4,725;123;-36;268;2002-04-27
2002-06-30;1,895;-1,374;521;89;10;1,429;1,291;3,162;1,851;298;7,397;656;30;300;2,169;2,717;5,372;176;-65;268;2002-07-27
2002-09-30;1,948;-1,393;555;76;7;1,363;1,277;3,094;1,801;381;7,398;685;30;406;2,423;2,49;5,349;271;-84;268;2002-10-27
2002-12-31;2,014;-1,456;557;96;55;1,378;1,196;3,081;1,847;362;7,404;687;25;424;2,615;2,372;5,341;300;-67;268;2003-02-14
2003-03-31;1,736;-1,273;463;16;10;1,276;1,285;3,008;2,218;366;7,759;737;25;228;2,28;2,878;5,537;41;-93;274.1;2003-04-27
2003-06-30;1,976;-1,426;550;74;35;1,455;1,365;3,279;2,308;368;8,128;863;37;130;2,357;3,047;5,805;101;-95;274.1;2003-07-27
2003-09-30;1,944;-1,422;522;75;77;1,393;1,271;3,162;2,298;374;7,967;816;32;31;2,198;3,039;5,641;279;-59;274.1;2003-10-27
2003-12-31;2,094;-1,562;532;-212;144;1,397;885;3,001;1,989;448;7,481;695;22;14;2,023;2,869;5,464;353;-53;274.1;2004-02-14
2004-03-31;1,541;-1,129;411;33;52;1,253;992;2,817;1,991;446;7,209;664;13;14;1,851;2,871;5,298;-7;-37;274.4;2004-04-27
2004-06-30;1,736;-1,249;486;58;111;1,309;1,015;2,72;1,984;419;6,865;658;13;174;1,902;2,484;4,965;144;-33;274.4;2004-07-27
2004-09-30;1,672;-1,198;473;-235;355;1,137;1,032;2,877;1,794;302;6,606;613;14;215;1,954;2,44;4,979;285;-25;274.4;2004-10-27
2004-12-31;1,799;-1,282;517;28;506;1,199;918;3,012;1,823;299;6,667;637;21;186;1,871;2,424;4,903;238;-27;274.4;2005-02-14
2005-03-31;1,393;-1,015;379;87;430;1,014;1,031;2,787;1,82;309;6,332;608;19;195;1,632;2,384;4,599;56;-23;275.4;2005-04-27
2005-06-30;1,641;-1,133;508;104;212;1,074;938;2,64;1,727;283;6,084;536;13;25;1,455;2,381;4,379;36;-23;275.4;2005-07-27
2005-09-30;1,598;-1,098;500;54;486;958;876;2,763;1,725;295;6,131;485;6;25;1,492;2,377;4,412;359;-24;275.4;2005-10-27
2005-12-31;1,71;-1,202;508;111;116;1,108;794;2,474;2,304;402;6,446;591;4;163;1,798;2,43;4,803;190;-22;275.4;2006-02-14
2006-03-31;1,484;-1,026;458;56;176;1,043;998;2,452;2,373;408;6,37;542;2;411;1,776;2,326;4,711;-12;-25;276.8;2006-04-27
2006-06-30;1,696;-1,122;574;136;116;1,158;937;2,679;2,42;416;6,536;612;21;409;1,95;2,246;4,808;104;-32;276.8;2006-07-27
2006-09-30;1,586;-1,051;535;113;137;1,08;946;2,704;2,412;438;6,513;605;22;406;2,048;2,029;4,691;312;-37;276.8;2006-10-27
2006-12-31;1,435;-932;503;166;201;1,114;851;2,478;2,436;459;6,311;550;24;254;1,897;1,972;4,42;239;-44;276.8;2007-02-14
2007-03-31;1,384;-910;475;65;218;979;934;2,354;2,442;472;6,237;555;22;2;1,296;2,321;4,344;15;-33;287.6;2007-04-27
2007-06-30;1,693;-1,088;606;143;163;1,215;974;2,588;2,497;484;6,504;639;21;2;1,449;2,232;4,478;158;-36;287.6;2007-07-27
2007-09-30;1,687;-1,086;601;170;170;1,127;1,001;2,57;2,586;499;6,591;619;21;775;2,299;1,332;4,427;283;-41;287.6;2007-10-27
2007-12-31;1,643;-1,067;576;101;329;1,166;940;2,651;2,609;502;6,683;617;15;972;2,563;1,197;4,436;199;-47;287.6;2008-02-14
2008-03-31;1,434;-943;491;58;752;1,03;1,092;3,104;2,665;508;7,206;572;11;900;2,302;1,947;4,956;-123;-40;279.9;2008-04-27
2008-06-30;1,825;-1,202;623;93;211;1,313;1,141;2,912;3,087;657;7,564;657;28;1,066;2,693;1,96;5,26;2;-38;279.9;2008-07-27
