date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2009-03-31;13,448;-12,597;921;-355;3,761;11,685;8,637;34,008;-;17,72;94,608;-;-;2,659;14,459;27,977;47,85;580;-325;1028.93;2009-05-05
2009-06-30;13,652;-12,731;921;243;3,704;11,465;8,029;33,353;-;17,78;94,405;-;-;3,702;14,184;28,329;47,604;1,502;-305;1028.93;2009-07-14
2009-09-30;14,088;-12,661;1,427;481;3,865;10,938;7,58;32,715;-;17,29;94,522;-;-;3,499;13,417;28,755;47,333;1,863;-200;1028.93;2009-10-25
2009-12-31;13,497;-11,871;1,626;1,272;4,153;16,568;7,531;39,339;-;14,731;94,686;-;-;1,746;12,38;29,042;46,131;3,03;-343;1028.93;2010-02-09
2010-03-31;14,893;-13,566;1,327;-3,612;3,546;13,3;8,043;36,629;-;14,724;86,702;-;-;2,764;14,177;22,549;41,233;250;-300;1028.93;2010-05-05
2010-06-30;16,002;-14,424;1,578;-2,027;3,15;14,622;8,551;37,605;-;14,969;87,65;-;-;3,533;15,453;26,578;46,59;485;-430;1028.93;2010-07-14
2010-09-30;16,263;-14,475;1,788;3,112;3,337;14,418;8,541;38,428;-;15,787;90,155;-;-;2,88;15,101;26,354;45,965;1,105;-422;1028.93;2010-10-25
2010-12-31;15,884;-14,094;1,79;1,713;2,819;10,38;7,102;31,975;-;12,96;87,541;-;-;1,38;14,709;21,82;40,975;2,245;-497;1028.93;2011-02-09
2011-03-31;15,001;-13,736;1,265;1,741;2,378;25,335;7,582;46,408;-;12,799;88,804;-;-;2,472;14,429;21,204;39,754;0;-634;1028.93;2011-05-05
2011-06-30;15,897;-14,355;1,542;-2,638;6,659;11,631;7,927;35,685;-;12,848;73,497;-;-;897;11,954;15,571;31,553;-284;-556;1028.93;2011-07-14
2011-09-30;7,233;-6,132;1,101;440;8,205;11,019;8,094;34,756;-;13,082;72,167;-;-;1,021;12,88;16,114;32,838;1,919;-642;1028.93;2011-10-25
2011-12-31;8,124;-7,006;1,118;1,29;5,451;10,548;8,047;29,939;-;12,46;66,194;-;-;1,472;13,341;15,302;32,758;1,301;-605;1028.93;2012-02-09
2012-03-31;14,792;-13,458;1,334;1,305;6,517;11,206;8,276;30,966;-;12,674;66,552;-;-;1,568;13,233;15,227;31,857;149;-541;1018.93;2012-05-05
2012-06-30;15,145;-13,69;1,455;300;4,909;11,189;7,936;27,7;-;12,616;63,141;-;-;1,103;12,473;15,35;31,227;943;-649;1018.93;2012-07-14
2012-09-30;7,223;-6,132;1,091;945;2,748;6,777;4,542;35,84;-;10,139;59,885;-;-;2,732;14,195;11,629;29,032;596;-287;1018.93;2012-10-25
2012-12-31;8,457;-7,116;1,341;501;7,196;5,357;4,243;34,137;-;10,069;57,493;-;-;3,46;14,322;9,531;27,312;2,031;-322;1018.93;2013-02-09
2013-03-31;7219;-6380;839;740;5,411;5,525;4,341;32,694;-;10,43;57,151;-;-;2,033;12,604;9,651;26,022;169;-188;1018.93;2013-05-05
2013-06-30;7905;-6989;916;394;2,369;6,375;4,981;28,931;-;15,054;59,538;-;-;2,34;14,614;12,499;31,368;606;-201;1018.93;2013-07-14
2013-09-30;7508;-6434;1074;463;1,337;6,515;4,971;13,858;-;15,273;52,274;-;-;1,664;8,409;10,215;22,8;667;-222;1018.93;2013-10-25
2013-12-31;8125;-6947;1178;216;1,805;6,291;4,836;14,02;-;15,368;52,115;-;-;2,837;9,925;8,041;21,636;1512;-100;1018.93;2014-02-09
2014-03-31;8306;-7270;1036;489;2,388;5,898;4,989;14,389;-;15,277;51,867;-;-;2,481;9,372;8,057;21,198;816;-223;1018.93;2014-05-05
2014-06-30;8459;-7427;1032;730;1,681;6,164;4,853;13,948;-;15,221;51,731;-;-;1,512;8,525;10,135;22,476;601;-181;1018.93;2014-07-14
2014-09-30;7487;-6384;1103;664;1,653;5,208;4,194;16,388;-;13,782;51,051;-;-;990;8,412;9,411;21,568;710;-228;1018.93;2014-10-25
2014-12-31;8119;-6863;1256;322;2,615;4,413;4,073;13,004;-;14,499;50,112;3,221;-;598;6,599;8,51;19,053;1336;-368;1018.93;2015-02-09
2015-03-31;7541;-6578;963;640;2,116;4,83;4,24;12,874;-;14,993;50,939;3,486;-;665;6,89;8,503;19,28;382;-276;1018.93;2015-05-05
2015-06-30;7705;-6643;1062;1,125;839;4,557;4,452;11,774;-;15,238;48,894;3,4;-;481;6,421;8,375;18,756;768;-185;1018.93;2015-07-14
2015-09-30;8381;-7123;1258;829;1,105;5,242;5,012;13,159;-;17,45;53,452;3,711;-;370;6,947;10,31;21,751;1,014;-331;1018.93;2015-10-25
2015-12-31;9571;-8188;1383;774;721;5,267;4,839;13,01;-;17,611;54,238;3,869;-;399;7,579;8,722;20,909;1,68;-435;1018.93;2016-02-09
2016-03-31;8610;-7514;1096;1,116;1,464;5,556;5,39;13,55;-;18,389;55,809;4,134;-;903;8,109;9,414;22,245;486;-430;1018.93;2016-05-05
2016-06-30;9433;-8152;1281;1059;954;5,668;5,501;13,106;-;18,393;55,565;4,264;-;645;7,92;11,055;23,683;752;-437;1018.93;2016-07-14
2016-09-30;9429;-7961;1468;1,093;904;5,691;5,647;13,162;-;18,255;55,049;4,308;-;390;7,748;10,588;22,929;1,25;-329;1018.93;2016-10-25
2016-12-31;10286;-8687;1599;1107;1,204;5,597;5,265;13,075;-;18,241;55,604;4,329;-;2,496;10,41;7,172;22,13;1,63;-171;1018.93;2017-02-09
2017-03-31;9081;-7893;1188;798;1,044;5,789;5,616;13,27;-;18,69;56,607;4,396;-;310;8,438;8,91;21,893;829;-361;1018.93;2017-05-05
2017-06-30;9771;-8446;1325;782;1,029;6,048;5,787;21,834;-;19,548;57,338;4,537;-;1,051;9,45;9,59;23,735;2,475;-438;1018.93;2017-07-14
2017-09-30;9858;-8297;1561;1,022;1,541;6,037;5,796;26,136;-;19,363;60,943;4,563;-;3,001;11,489;6,808;23,379;1,413;-313;1018.93;2017-10-25
2017-12-31;10851;-9106;1745;989;4,834;6,165;5,797;17,696;-;19,921;53,408;4,94;-;359;9,016;4,82;19,001;1,35;-475;1018.93;2018-02-09
2018-03-31;9711;-8516;1195;710;4,124;6,349;5,814;17,16;-;19,899;52,496;4,713;-;294;8,392;4,713;18,113;168;-443;1018.93;2018-05-05
2018-06-30;10017;-8594;1423;857;877;6,037;5,924;13,742;-;19,854;49,517;4,796;-;302;8,291;4,673;17,894;960;-641;1018.93;2018-07-14
2018-09-30;10126;-8477;1649;1,041;1,27;6,088;5,995;14,228;-;19,859;50,041;4,58;-;687;8,665;4,663;18,184;1,23;-428;1018.93;2018-10-25
2018-12-31;10983;-9259;1724;746;1,978;5,99;6,007;14,802;-;20,61;52,509;4,907;-;455;9,028;4,775;18,88;2,03;-782;1018.93;2019-02-09
