date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2012-12-31;247;-162;85;-32;346;21;267;972;199;-;3,395;56;-;13;174;41;684;82;-65;152;2013-02-24
2013-03-31;243;-168;75;20;245;141;278;1,002;192;-;3,349;53;-;7;177;37;645;32;-40;152;2013-05-10
2013-06-30;176;-172;4;-187;238;119;284;884;7;-;3,122;58;19;5;157;35;625;0;-44;152;2013-08-09
2013-09-30;214;-180;34;14;208;129;288;856;7;-;3,088;53;17;5;125;34;595;41;-42;152;2013-11-09
2013-12-31;192;-173;19;-293;250;24;284;872;7;-;2,768;52;20;4;154;34;585;46;-34;152;2014-02-24
2014-03-31;210;-178;32;7;178;136;276;838;7;-;2,731;55;15;5;124;35;561;36;-37;152;2014-05-10
2014-06-30;201;-191;10;-6;179;136;263;831;7;-;2,729;54;3;5;150;36;583;49;-37;152;2014-08-09
2014-09-30;178;-191;-12;-20;160;105;251;782;7;-;2,673;46;14;4;146;34;565;39;-28;152;2014-11-09
2014-12-31;163;-185;-21;-526;146;64;253;731;3;-;2,018;53;18;39;174;-;455;1;-30;152;2015-02-24
2015-03-31;178;-176;3;-20;110;102;240;687;3;-;1,982;48;23;39;172;-;457;12;-32;152;2015-05-10
2015-06-30;174;-175;-1;-7;183;107;237;668;3;-;1,96;58;24;37;175;-;449;21;-30;152;2015-08-09
2015-09-30;159;-185;-26;-68;155;102;216;619;3;-;1,876;59;20;38;175;-;440;33;-31;152;2015-11-09
2015-12-31;163;-171;-8;-137;134;60;204;552;3;-;1,715;54;20;2;131;36;418;23;-54;152;2016-02-24
2016-03-31;158;-142;17;2;120;114;206;533;3;-;1,711;45;18;2;119;36;412;1;-45;152;2016-05-10
2016-06-30;192;-148;45;34;150;112;218;561;3;-;1,761;42;17;3;131;36;427;66;-53;152;2016-08-09
2016-09-30;234;-145;88;43;210;120;229;616;3;-;1,862;38;5;3;140;36;485;102;-48;152;2016-11-09
2016-12-31;191;-142;49;22;181;129;237;613;3;-;1,898;45;-;4;136;36;502;46;-57;152;2017-02-24
2017-03-31;199;-166;33;20;184;122;226;581;3;-;1,901;44;-;4;118;36;478;39;-45;153;2017-05-10
2017-06-30;201;-157;45;36;161;124;231;584;3;-;1,922;42;3;5;119;36;467;43;-49;153;2017-08-09
2017-09-30;191;-143;48;18;136;117;243;576;3;-;1,909;38;-;5;129;-;441;64;-32;153;2017-11-09
2017-12-31;226;-183;43;50;176;110;219;595;3;-;1,993;47;3;6;155;-;477;79;-37;153;2018-02-24
2018-03-31;207;-152;55;48;167;116;236;602;3;-;1,996;43;-;7;120;-;437;34;-33;211;2018-05-10
2018-06-30;217;-162;55;37;187;94;237;614;3;-;2,03;43;-;7;127;-;439;67;-43;211;2018-08-09
2018-09-30;188;-192;-4;-9;186;87;220;599;3;-;2,004;44;-;6;134;-;428;42;-34;211;2018-11-09
2018-12-31;173;-178;-5;-64;139;96;215;548;3;-;1,938;52;-;5;118;-;429;12;-42;211;2019-02-24
2019-03-31;254;-238;16;3;91;182;296;1,044;3;-;3,416;90;-;13;230;335;1,014;-13;-41;210;2019-05-10
2019-06-30;341;-289;51;19;92;174;283;1,05;4;-;3,422;82;-;14;229;335;1,009;84;-66;210;2019-08-09
2019-09-30;352;-288;64;38;95;169;329;720;5;-;3,456;76;-;17;212;315;1,011;82;-50;210;2019-11-09
2019-12-31;404;-321;83;21;121;169;347;789;5;-;3,462;67;-;14;212;275;999;129;-50;210;2020-02-24
2020-03-31;358;-308;50;-77;148;136;326;738;5;-;3,366;63;-;15;191;260;987;114;-56;210;2020-05-10
2020-06-30;250;-201;48;19;188;127;279;703;5;-;3,296;54;-;14;182;200;906;63;-30;210;2020-08-09
2020-09-30;300;-176;124;65;150;122;359;753;5;-;3,305;61;-;12;216;96;859;115;-39;210;2020-11-09
2020-12-31;431;-293;137;169;167;128;406;857;4;-;3,434;80;-;13;267;-;831;171;-54;210;2021-02-24
2021-03-31;368;-278;90;-8;134;124;459;838;4;-;3,363;77;-;12;224;-;783;30;-48;210;2021-05-10
2021-06-30;382;-279;103;71;157;129;521;937;4;-;3,455;85;3;12;245;14;819;87;-63;210;2021-08-09
2021-09-30;460;-361;99;20;258;129;498;984;4;-;3,479;68;-;14;263;13;844;157;-62;210;2021-11-09
2021-12-31;422;-346;76;15;284;128;500;1,001;4;-;3,519;77;-;14;280;12;887;118;-70;210;2022-02-24
2022-03-31;440;-373;67;77;272;140;473;983;5;-;3,54;75;-;15;254;11;857;69;-61;210;2022-05-10
2022-06-30;340;-372;-32;-174;195;135;435;872;5;-;3,324;65;-;21;224;23;851;21;-72;210;2022-08-09
2022-09-30;339;-361;-22;-71;153;114;438;798;6;-;3,2;75;-;25;253;22;842;54;-69;210;2022-11-09
2022-12-31;375;-340;35;-172;107;137;472;804;6;-;3,248;89;-;27;381;180;1,053;-112;-72;210;2023-02-24
