date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares
2015-03-31;205;-87;118;76;25;170;-;231;-;100;333;11;-;-;138;-;144;28;-25;105.6
2015-06-30;182;-74;108;53;147;69;-;260;-;99;360;7;-;-;144;-;150;175;-21;105.6
2015-09-30;91;-39;51;25;161;24;-;228;-;106;356;5;-;-;115;-;121;54;-36;105.6
2015-12-31;127;-63;64;35;50;49;-;226;-;162;409;17;-;-;108;-;139;38;-69;105.6
2016-03-31;93;-42;52;19;57;18;-;142;-;164;326;6;-;-;77;-;107;32;-15;105.6
2016-06-30;235;-60;175;111;143;108;-;263;-;171;454;10;-;-;93;-;124;62;-25;105.6
2016-09-30;127;-47;81;42;215;49;-;304;-;178;501;12;-;-;98;-;129;103;-31;105.6
2016-12-31;198;-77;122;68;247;71;-;373;-;192;583;12;-;-;95;-;143;91;-59;105.6
2017-03-31;121;-47;74;29;288;39;-;387;-;211;614;15;-;-;98;-;145;86;-45;105.6
2017-06-30;289;-62;227;126;253;85;-;393;-;247;656;18;-;-;118;-;166;140;-69;105.6
2017-09-30;181;-74;107;41;244;67;-;362;-;299;676;19;-;-;86;-;146;70;-44;105.6
2017-12-31;222;-80;143;69;320;73;-;443;-;326;782;22;-;-;106;-;182;140;-64;105.6
2018-03-31;267;-73;194;109;324;110;-;525;-;368;923;33;-;-;136;-;213;144;-74;105.6
2018-06-30;299;-113;186;78;329;94;-;458;-;497;984;44;-;-;167;-;296;182;-60;105.6
2018-09-30;225;-91;134;53;344;83;-;468;-;534;1,032;27;-;-;165;-;292;97;-82;105.6
2018-12-31;337;-94;242;114;327;136;-;503;-;667;1,197;31;-;-;171;-;343;151;-168;105.6
2019-03-31;238;-99;139;49;379;77;-;511;-;720;1,302;30;-;13;199;-;396;156;-102;105.6
2019-06-30;387;-130;257;120;396;111;-;579;-;762;1,407;55;-;9;291;-;487;233;-105;105.6
2019-09-30;283;-115;167;74;435;144;-;674;-;725;1,473;46;-;5;279;-;474;73;-112;105.6
2019-12-31;381;-124;257;131;554;250;-;871;-;781;1,942;45;-;42;474;-;817;265;-136;105.6
2020-03-31;400;-157;243;128;625;162;-;852;-;888;2,025;43;-;39;426;-;765;248;-166;105.723
2020-06-30;465;-163;302;155;637;130;-;854;-;976;2,096;63;-;36;469;-;793;279;-147;105.723
2020-09-30;495;-191;304;149;600;328;-;1,001;21;1,201;2,496;72;-;34;638;-;1,032;213;-155;105.723
2020-12-31;434;-228;206;60;768;177;-;1,021;20;1,225;2,518;67;-;34;648;-;1,01;387;-173;105.723
2021-03-31;365;-168;196;77;718;129;-;933;21;1,297;2,493;61;-;34;549;-;901;146;-189;106.153
2021-06-30;403;-197;206;88;651;118;-;844;20;1,387;2,484;94;-;35;579;-;918;262;-212;106.153
2021-09-30;289;-144;146;-33;552;110;-;775;21;1,34;2,361;64;-;35;505;-;819;59;-151;106.153
2021-12-31;391;-170;220;116;600;134;-;834;22;1,431;2,523;97;-;35;563;-;861;269;-196;106.153
2022-03-31;476;-215;261;169;671;113;-;898;21;1,488;2,634;68;-;34;512;-;799;236;-157;105.619
2022-06-30;459;-197;262;170;595;137;-;851;22;1,606;2,697;93;-;33;510;-;787;262;-219;105.619
2022-09-30;458;-197;261;176;666;197;-;963;22;1,7;2,899;68;-;36;531;-;800;242;-168;105.619
2022-12-31;580;-253;327;194;748;260;-;1,104;22;1,81;3,141;52;-;36;607;-;849;344;-252;105.619
2023-03-31;483;-253;229;124;813;189;-;1,152;23;1,837;3,214;53;-;37;563;-;792;245;-170;105.799
2023-06-30;737;-338;400;239;844;236;-;1,257;24;1,89;3,328;67;-;37;652;-;868;422;-226;105.799
2023-09-30;426;-255;172;69;735;219;-;1,341;23;1,913;3,434;74;-;33;695;-;905;260;-161;105.799
2023-12-31;996;-536;459;98;1,098;358;-;1,845;22;1,569;3,58;52;-;33;740;-;960;526;-149;105.799
