date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2011-03-31;9;0;9;1;80;6;-;132;-;-;221;-;-;-;31;-;34;9;-18;117.42;2011-05-05
2011-06-30;10;-1;9;-5;116;12;3;145;60;-;594;-;-;-;43;61;198;13;-23;117.42;2011-08-04
2011-09-30;50;-3;47;15;64;19;10;136;61;-;619;-;-;-;58;57;208;35;-55;117.42;2011-11-09
2011-12-31;89;-7;82;5;74;26;17;162;61;-;660;-;-;-;70;60;242;64;-54;117.42;2012-02-29
2012-03-31;120;-8;113;27;91;25;16;187;61;-;703;-;-;-;70;62;256;77;-59;109.51;2012-05-05
2012-06-30;104;-9;96;21;51;18;11;102;61;-;769;-;-;-;102;62;298;64;-93;109.51;2012-08-04
2012-09-30;123;-25;98;8;27;34;10;111;61;-;790;-;-;-;120;65;310;72;-51;109.51;2012-11-09
2012-12-31;140;-32;108;-16;32;58;8;148;61;-;821;-;-;-;161;75;356;42;-65;109.51;2013-03-01
2013-03-31;147;-43;104;11;27;65;15;159;61;-;828;-;-;-;142;85;350;47;-47;124.16;2013-05-05
2013-06-30;127;-14;113;8;45;42;10;127;61;-;824;-;-;-;118;92;339;56;-78;124.16;2013-08-04
2013-09-30;137;-15;122;-28;26;86;10;168;61;-;821;-;-;-;149;85;361;80;-50;124.16;2013-11-09
2013-12-31;148;-19;129;62;57;92;9;192;61;-;855;-;-;-;168;75;370;25;-59;124.16;2014-03-01
2014-03-31;155;-19;137;11;40;123;5;211;61;-;882;-;-;-;174;69;383;35;-61;136.14;2014-05-05
2014-06-30;158;-25;133;12;63;110;9;244;61;-;1,227;-;-;-;213;124;542;53;-122;136.14;2014-08-04
2014-09-30;204;-41;163;17;34;181;14;281;61;-;1,267;-;-;-;236;42;463;40;-30;136.14;2014-11-09
2014-12-31;144;-39;105;-126;39;74;11;187;74;-;1,034;-;-;-;183;35;374;121;-83;136.14;2015-03-01
2015-03-31;124;-28;96;-15;33;68;8;172;74;-;1,01;-;-;-;162;40;362;-4;-27;151.83;2015-05-05
2015-06-30;144;-31;112;2;104;45;8;212;74;-;1,051;-;-;-;122;-;289;62;-37;151.83;2015-08-04
