date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2004-06-30;1,573;-544;1,029;173;120;868;2,163;3,646;193;2,007;6,906;892;-;929;1,976;1,503;4,092;231;-38;70.5;2004-08-30
2004-12-31;1,999;-677;1,323;323;193;1,468;2,017;3,864;-;2,111;6,948;1,14;-;-;1,145;2,253;3,997;223;-;70.5;2005-02-15
2005-06-30;1,674;-579;1,095;161;135;855;2,179;3,492;216;1,995;7,008;-;-;934;2,515;1,009;4,478;254;-145;149.5;2005-08-30
2005-12-31;3,268;-1,323;1,945;459;1,046;2,939;3,309;12,7;3,746;8,207;27,404;-;-;3,073;9,871;6,741;21,673;325;-188;149.5;2006-02-15
2006-06-30;2,798;-1,165;1,633;152;447;1,16;3,327;5,542;3,527;8,028;19,76;1,731;500;-;3,611;6,239;14,06;389;-150;214.40;2006-08-30
2006-12-31;3,507;-1,419;2,088;513;554;2,101;3,32;6,214;3,532;7,905;20,337;2,479;-;-;3,5;6,714;14,198;-211;-85;214.40;2007-02-15
2007-06-30;2,936;-1,197;1,739;342;383;1,228;3,564;5,462;3,477;7,836;19,472;1,773;311;64;2,858;6,449;13,181;280;-157;214.98;2007-08-30
2007-12-31;3,713;-1,464;2,249;601;435;1,827;3,482;5,986;3,367;7,477;19,291;1,919;427;801;3,607;5,738;12,91;7;-82;215.32;2008-02-15
2008-06-30;2,876;-1,127;1,749;268;421;1,146;3,716;5,546;3,203;7,138;18,431;1,65;-;950;3,147;5,405;12,01;261;-191;217.23;2008-08-30
2008-12-31;4,212;-1,71;2,502;619;530;1,698;3,615;6,106;4,896;11,566;25,632;2,039;-;-;3,168;12,88;19,785;567;-116;220.04;2009-02-15
2009-06-30;2,991;-1,285;1,706;339;520;936;3,715;5,436;4,888;11,31;24,867;1,759;-;17;2,809;10,82;17,444;559;-125;236.49;2009-08-30
2009-12-31;3,789;-1,526;2,263;614;768;1,404;3,67;6,054;4,897;11,271;25,283;1,98;-;-;3,147;10,223;17,19;521;-71;264.67;2010-02-15
2010-06-30;3,292;-1,337;1,955;363;701;944;4,007;5,918;5,393;12,364;27,107;1,871;-;934;3,975;9,818;17,985;685;-113;264.86;2010-08-30
2010-12-31;4,282;-1,678;2,604;684;1,007;1,481;3,815;6,546;5,18;11,84;26,882;2,152;-;940;4,027;9,312;17,403;678;-83;264.76;2011-02-15
2011-06-30;3,361;-1,355;2,006;391;774;1,222;3,874;6,066;4,746;11,291;25,722;1,884;-;82;2,953;9,386;16,416;456;-140;265.03;2011-08-30
2011-12-31;4,614;-1,751;2,863;819;895;1,655;4,049;6,748;5,329;12,001;28,002;2,373;-;172;3,295;9,883;17,543;662;-101;264.36;2012-02-15
2012-06-30;3,601;-1,418;2,183;355;787;1,289;4,295;6,522;5,126;12,235;28,375;2,13;-;153;3,707;9,296;17,572;454;-170;265.15;2012-08-30
2012-12-31;4,907;-1,81;3,097;857;878;1,938;4,281;7,251;5,01;11,861;28,445;2,262;-;225;3,911;7,852;17,154;465;-143;266.23;2013-02-15
2013-06-30;3,668;-1,414;2,254;334;597;1,159;4,484;6,499;4,973;11,78;27,537;1,546;-;1,568;4,418;7,712;16,523;619;-161;266.35;2013-08-30
2013-12-31;4,57;-1,662;2,908;839;653;1,695;4,568;7,188;4,844;11,447;27,817;1,572;-;1,225;3,947;8,05;16,35;433;-140;265.76;2014-02-15
2014-06-30;3,375;-1,296;2,079;188;477;1,051;4,861;6,646;4,907;11,542;27,616;1,463;-;1,219;3,905;7,674;15,995;507;-133;265.82;2014-08-30
2014-12-31;4,621;-1,732;2,889;795;581;1,729;4,962;7,565;5,241;12,281;30,028;1,669;-;1,379;4,209;8,303;17,248;503;-139;266.04;2015-02-15
2015-06-30;3,937;-1,53;2,407;85;545;1,152;5,351;7,419;5,494;12,212;30,398;1,696;-;2,052;5,138;7,458;17,277;532;-184;266.04;2015-08-30
2015-12-31;4,958;-1,88;3,078;896;524;1,789;5,311;8,007;5,543;12,3;31,294;1,887;298;1,539;4,956;7,877;17,614;607;-166;265.63;2016-02-15
2016-06-30;3,724;-1,431;2,293;359;569;1,068;5,294;7,282;5,486;12,085;30,598;1,688;45;1,982;4,955;7,335;17,261;729;-167;265.63;2016-08-30
2016-12-31;5,061;-1,903;3,158;923;728;1,924;5,194;8,232;5,626;12,326;31,752;2,01;30;2,235;5,409;7,427;17,902;800;-152;265.44;2017-02-15
2017-06-30;3,949;-1,504;2,445;497;677;1,134;5,305;7,521;5,397;11,755;30,088;1,826;630;535;4,256;7,38;16,382;842;-215;265.42;2017-08-30
2017-12-31;4,937;-1,91;3,027;1,163;886;1,841;5,251;8,412;5,265;11,426;29,797;2,032;730;270;4,205;7,266;15,425;925;-135;265.47;2018-02-15
2018-06-30;3,785;-1,523;2,262;440;754;1,122;5,472;7,821;5,319;11,539;29,558;1,951;280;173;3,743;7,24;14,761;851;-239;265.42;2018-08-30
2018-12-31;5,185;-1,946;3,239;1,035;910;1,991;5,515;8,797;5,371;11,627;30,779;2,214;505;291;4,137;7,32;15,3;729;-136;265.48;2019-02-15
2019-06-30;3,997;-1,587;2,41;448;923;1,226;5,756;8,375;5,391;11,683;31,045;2,187;-;1,121;4,676;6,434;15,058;989;-252;265.42;2019-08-30
2019-12-31;5,474;-2,055;3,419;1,047;1,152;2,159;6,046;9,776;5,598;12,042;32,755;2,429;-;1,267;5,082;7,699;17,068;732;-175;265.26;2020-02-15
2020-06-30;2,974;-1,306;1,668;-693;1,935;906;6,167;9,485;5,611;10,965;31,525;1,877;299;892;4,563;8,791;17,557;447;-190;260.04;2020-08-30
2020-12-31;4,985;-1,964;3,021;986;1,955;1,829;6,139;10,363;5,401;10,552;31,772;2,345;232;615;4,497;8,762;17,337;988;-174;261.48;2021-02-15
2021-06-30;3,839;-1,567;2,272;337;2,078;1,126;6,555;10,321;5,505;10,725;32,147;2,337;7;288;4,218;8,895;17,318;1,01;-259;261.51;2021-08-30
2021-12-31;5,959;-2,319;3,64;1,408;1,997;2,233;6,694;11,38;5,819;11,038;34,07;2,976;170;1,053;5,663;8,33;18,313;1,478;-177;260.83;2022-02-15
2022-06-30;4,742;-1,909;2,833;619;2,527;1,388;7,37;11,896;6,145;11,512;36,012;3,019;180;1,175;6,107;9,417;20,068;815;-329;259.72;2022-08-30
2022-12-31;7,116;-2,747;4,369;1,817;1,796;2,469;7,567;12,386;6,993;11,313;36,875;3,222;401;832;5,964;9,939;20,46;1,124;-268;257.37;2023-02-15
2023-06-30;5,021;-2,144;2,877;470;1,609;1,814;8,104;12,008;6,75;12,25;37,676;3,461;801;834;6,935;9,851;21,959;909;-434;256.88;2023-08-30
2023-12-31;6,59;-2,509;4,081;1,601;1,639;2,458;8,252;12,923;6,756;12,119;38,737;3,068;1,16;1,017;6,772;10,446;22,544;692;-393;253.39;2024-02-15
2024-06-30;5,008;-2,114;2,894;-87;2,691;1,581;8,255;13,065;-;19,039;39,185;2,931;1,874;374;7,091;11,5;22,237;-;-;253.19;2024-08-26
2024-12-31;6,176;-2,403;3,773;1,214;1,935;2,203;8,423;13,079;-;19,33;39,795;2,727;1,206;1,224;6,625;11,157;21,983;-;-;251.92;2025-02-06
