date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2012-06-30;1135;-675;460;319;143;61;123;327;-;-;2370;2457;-;-;2784;116;3568;293;-189;572;2012-08-29
2012-12-31;886;-652;233;45;34;64;106;204;-;-;2299;2001;259;-;2500;233;3427;32;-190;572;2013-04-15
2013-06-30;1007;-644;363;32;206;89;34;334;-;-;2066;225;49;-;336;345;1259;373;-157;572;2013-08-29
2013-12-31;1007;-608;399;145;144;94;18;262;-;-;1940;200;48;-;347;144;1022;295;-145;748;2014-04-15
2014-06-30;920;-594;327;50;114;75;27;223;69;-;2530;280;52;-;415;120;1174;234;-126;792;2014-08-29
2014-12-31;1093;-729;364;89;49;86;28;168;64;-;2415;235;48;-;309;226;1119;140;-174;915;2015-03-21
2015-06-30;861;-663;199;7;70;86;32;189;61;-;2308;235;45;-;325;261;1111;116;-131;914;2015-08-29
2015-12-31;920;-622;298;35;46;105;26;177;47;-;1819;178;128;-;344;116;854;157;-131;920;2016-04-24
2016-06-30;956;-605;359;6;59;145;38;242;66;-;2233;264;257;-;556;221;1257;161;-115;925;2016-08-29
2016-12-31;1172;-805;367;217;71;420;49;563;68;-;3048;379;55;-;456;601;1828;139;-168;1420;2017-04-25
2017-06-30;1455;-1210;245;-364;500;395;227;1174;516;-;6324;548;580;-;1137;1733;4464;83;-188;1485;2017-08-29
2017-12-31;1995;-1531;464;31;167;501;285;971;518;-;6155;542;134;-;683;1941;4213;123;-270;2255;2018-04-25
2018-06-30;1942;-1596;347;7;153;460;309;1031;511;-;5906;498;24;-;557;2065;4048;190;-249;2287;2018-08-29
2018-12-31;1884;-1540;344;-197;178;476;369;1059;480;-;5918;548;431;-;1020;1276;4195;732;-286;2266;2019-03-31
2019-06-30;1657;-1455;202;-13;426;363;1005;1829;489;-;7043;794;386;-;1449;1537;4896;94;-182;2342;2019-08-29
2019-12-31;3386;-2717;669;42;401;331;1107;1869;490;-;7220;819;3;-;1023;1693;4996;561;-351;2741;2020-03-30
2020-06-30;3301;-2470;831;584;694;249;970;1942;482;-;6929;681;73;-;989;1447;4277;863;-248;2947;2020-08-29
2020-12-31;4439;-2595;1844;1277;1378;467;1699;3557;488;-;9130;899;60;-;1191;1191;4316;786;-336;2833;2021-04-25
2021-06-30;6182;-3570;2612;1740;1829;544;2063;4472;489;-;10262;1040;459;-;1637;745;4424;913;-384;2979;2021-08-29
2021-12-31;5461;-3821;1640;544;1900;465;1573;4067;485;-;9598;951;7;-;1290;1267;4496;1267;-477;2877;2022-04-25
2022-06-30;4570;-3263;1307;803;1673;437;1658;3879;490;-;9736;883;7;-;1152;1275;4249;285;-399;2831;2022-08-29
2022-12-31;3878;-2945;933;359;1531;440;1549;3567;489;-;9783;919;7;-;1187;1327;4441;664;-572;2831;2023-04-25
2023-06-30;3326;-2728;598;427;1176;425;1364;3005;485;-;9569;816;7;-;957;1336;4260;272;-596;2831;2023-08-29
2023-12-31;2846;-2689;157;-2459;1376;479;1420;3328;27;-;7696;887;834;-;1962;1343;4919;113;-621;2831;2024-04-24
