date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
1998-01-01;125;-84;41;-6;20;148;210;402;-;414;988;62;94;-;244;325;608;-89;-8;37.4;1998-02-10
1998-04-01;430;-260;171;34;11;414;194;650;-;430;1,272;105;3;-;254;567;861;-95;-6;37.4;1998-05-11
1998-07-01;367;-236;131;24;30;165;165;389;-;436;1,019;78;4;-;216;332;589;277;-9;37.4;1998-08-10
1998-09-30;191;-136;55;-15;11;147;178;367;-;435;1,035;78;13;-;232;359;631;-22;-20;37.4;1998-11-29
1999-01-01;184;-115;70;-10;8;207;298;566;-;609;1,446;113;24;-;248;755;1,054;-163;-14;36.6;1999-02-10
1999-04-01;632;-351;281;55;19;590;335;1,018;-;787;2,106;178;214;-;613;1,003;1,674;-97;-13;36.6;1999-05-11
1999-07-01;586;-340;246;42;34;319;281;693;-;778;1,772;127;41;-;391;856;1,306;351;-13;36.6;1999-08-10
1999-09-30;246;-155;92;-17;30;201;313;642;-;794;1,77;134;56;-;367;894;1,326;-12;-27;36.6;1999-11-29
2000-01-01;186;-121;66;-31;16;225;442;772;-;774;1,875;150;120;-;423;1,007;1,493;-169;-7;59.2;2000-02-10
2000-04-01;694;-400;294;63;30;649;366;1,135;-;796;2,27;282;183;-;753;1,015;1,829;-45;-13;59.2;2000-05-11
2000-07-01;581;-341;241;53;79;374;294;794;-;759;1,898;196;50;-;505;836;1,402;379;-17;59.2;2000-08-10
2000-09-30;248;-155;93;-12;33;216;308;644;-;743;1,761;153;49;-;410;813;1,284;7;-35;59.2;2000-11-29
2000-12-31;147;-119;28;-51;22;209;450;768;-;747;1,894;173;164;-;489;919;1,459;-202;-13;60.8;2001-02-09
2001-03-31;714;-409;305;85;18;693;402;1,208;-;770;2,347;304;298;-;868;910;1,828;-106;-14;60.8;2001-05-10
2001-06-30;599;-363;235;45;73;358;359;878;-;762;2,004;234;61;-;546;836;1,437;374;-10;60.8;2001-08-09
2001-09-30;237;-184;53;-63;19;221;368;694;-;771;1,843;151;71;-;445;817;1,337;0;-27;60.8;2001-11-29
2001-12-31;161;-135;26;-47;10;196;474;771;-;737;1,9;171;173;-;530;849;1,453;-138;-13;63.4;2002-02-09
2002-03-31;599;-355;243;65;38;547;427;1,108;-;744;2,24;270;206;-;730;921;1,723;-61;-9;63.4;2002-05-10
2002-06-30;689;-401;288;96;76;435;302;911;-;765;2,07;197;69;-;590;767;1,448;353;-12;63.4;2002-08-09
2002-09-30;300;-203;97;-13;100;250;269;730;-;792;1,901;134;98;-;452;731;1,308;86;-23;63.4;2002-11-29
2002-12-31;181;-150;31;-47;16;219;417;764;-;803;1,953;175;63;-;441;832;1,402;-126;-19;61.8;2003-02-09
2003-03-31;676;-413;263;62;12;724;400;1,26;384;420;2,454;264;288;-;829;873;1,834;-254;-13;61.8;2003-05-10
2003-06-30;710;-412;298;91;57;521;323;1,019;393;426;2,225;225;-;61;622;755;1,508;423;-9;61.8;2003-08-09
2003-09-30;343;-223;120;-3;156;291;276;813;407;429;2,03;149;-;55;448;702;1,302;174;-11;61.8;2003-11-29
2003-12-31;181;-140;42;-71;26;229;442;791;413;436;2,015;181;31;-;378;810;1,349;-188;-4;64.6;2004-02-09
2004-03-31;724;-426;297;73;14;776;419;1,316;423;432;2,541;279;28;-;593;1,04;1,796;-204;-7;64.6;2004-05-10
2004-06-30;769;-439;330;100;39;549;336;1,036;421;430;2,252;238;-;25;617;612;1,392;450;-5;64.6;2004-08-09
