date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2018-03-31;2,817;-2,242;575;94;23;1612;1421;3254;-;425;4834;1888;-;239;2694;416;3240;-34;-40;7.30;2018-05-05
2018-06-30;2733;-2176;557;1;27;1512;1426;3027;-;431;4588;1742;-;277;2464;412;3004;-41;-34;7.30;2018-08-09
2018-09-30;2539;-2026;513;55;13;1610;1441;3121;-;423;4693;1739;-;314;2512;411;3048;-20;-30;7.30;2018-11-04
2018-12-31;3356;-2574;782;168;65;1452;1521;3117;-;382;4633;1883;-;117;2452;411;2995;319;-43;7.30;2019-02-09
2019-03-31;2,957;-2,457;500;-18;60;1,732;1,57;3,425;-;373;5,164;1,971;-;511;2,936;405;3,649;-137;-31;7.30;2019-05-05
2019-06-30;2,868;-2,376;492;48;47;1,679;1,635;3,451;-;360;5,243;1,848;-;645;2,978;401;3,691;-17;-33;7.30;2019-08-09
2019-09-30;2,777;-2,297;480;-22;61;1,684;1,634;3,46;-;342;5,151;1,851;-;572;2,932;398;3,639;144;-33;7.30;2019-11-04
2019-12-31;3,077;-2,525;552;58;56;1,428;1,666;3,234;-;315;4,99;1,814;-;590;2,895;156;3,398;305;-48;7.30;2020-02-09
2020-03-31;3,045;-2,51;535;30;72;1,664;1,52;3,349;-;304;4,985;1,752;-;806;3,089;154;3,544;-43;-26;7.31;2020-05-05
2020-06-30;2,745;-2,244;501;141;138;1,496;1,551;3,267;-;307;5,002;1,664;-;639;2,931;151;3,388;282;-16;7.31;2020-08-09
2020-09-30;2,618;-2,115;503;83;155;1,474;1,537;3,227;-;300;4,922;1,648;-;496;2,737;201;3,234;142;-18;7.31;2020-11-04
2020-12-31;3,057;-2,475;582;-32;404;1,271;1,531;3,268;-;157;4,607;1,693;-;144;2,413;199;2,911;432;-23;7.31;2021-02-09
2021-03-31;3,004;-2,421;583;100;235;1,631;1,572;3,5;-;156;4,842;1,859;-;312;2,725;179;3,223;-88;-23;7.32;2021-05-05
2021-06-30;3,098;-2,485;613;148;252;1,701;1,513;3,569;-;157;4,954;1,934;-;240;2,836;124;3,293;351;-62;7.32;2021-08-09
2021-09-30;2,872;-2,281;591;124;226;1,721;1,708;3,724;-;159;5,117;1,861;-;347;2,887;122;3,333;-38;-65;7.32;2021-11-04
2021-12-31;3,38;-2,691;689;159;481;1,502;1,855;3,89;-;159;5,305;2,098;-;121;2,918;120;3,353;558;-51;7.32;2022-02-09
2022-03-31;3,462;-2,758;704;168;143;2,042;1,849;4,088;-;186;5,575;2,1;-;436;3,314;118;3,767;-192;-75;7.33;2022-05-05
2022-06-30;3,451;-2,752;699;147;99;1,957;1,991;4,122;-;183;5,679;2,092;-;858;3,573;116;4,079;-10;-75;7.33;2022-08-09
2022-09-30;3,266;-2,569;697;176;114;2,031;2,184;4,392;-;176;5,937;2,029;-;963;3,682;114;4,173;-14;-37;7.33;2022-11-04
2022-12-31;3,684;-2,925;759;169;166;1,859;2,248;4,337;-;173;5,901;1,902;-;673;3,261;293;3,97;232;-39;7.33;2023-02-09
2023-03-31;3,656;-2,928;728;145;276;2,134;2,362;4,858;-;340;6,614;2,149;-;1,222;4,118;291;4,904;101;-50;7.33;2023-05-05
2023-06-30;3,25;-2,611;639;77;262;1,922;2,276;4,556;-;328;6,317;1,933;-;1,074;3,613;439;4,556;78;-55;7.33;2023-08-09
2023-09-30;2,965;-2,409;556;71;241;1,939;2,178;4,456;-;335;6,265;1,864;-;994;3,478;437;4,404;190;-102;7.33;2023-11-04
2023-12-31;3,16;-2,552;608;55;441;1,648;2,029;4,219;-;348;6,112;1,77;-;844;3,222;434;4,18;486;-65;7.33;2024-02-09
2024-03-31;3,03;-2,404;626;-6;334;1,846;1,893;4,205;-;366;6,082;1,863;-;1049;3,465;432;4,356;7;-57;7.36;2024-04-29
2024-06-30;3,1;-2,469;631;25;381;1,896;1,91;4,339;-;386;6,219;2,086;-;995;3,568;430;4,449;202;-60;7.36;2024-08-05
