date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2015-09-30;1,741;-910;831;139;291;-;3,093;4,59;-;8,08;14,231;-;8;-;1,177;3,311;5,542;467;-48;100.0;2015-11-09
2015-12-31;1,767;-945;822;174;609;-;2,999;4,827;-;8,136;14,544;-;-;-;1,153;3,338;5,546;389;-64;100.0;2016-03-05
2016-03-31;1,499;-760;739;138;406;790;3,107;4,677;4,388;3,559;14,208;327;-;2;938;3,292;5,326;-148;-60;99.87;2016-05-10
2016-06-30;1,699;-860;840;208;364;799;3,034;4,522;4,45;3,547;14,162;338;-;-;953;3,423;5,502;452;-87;99.87;2016-08-24
2016-09-30;1,74;-943;797;152;632;662;2,893;4,471;4,441;3,537;14,046;371;-;-;1,063;3,088;5,258;671;-51;99.87;2016-11-09
2016-12-31;1,807;-958;850;183;570;700;2,824;4,494;4,592;3,55;14,264;386;-;-;1,259;2,731;4,991;383;-37;99.87;2017-03-06
2017-03-31;1,379;-731;648;75;618;625;3,01;4,57;4,554;3,511;14,235;382;-;-;1,227;2,717;4,938;73;-27;99.74;2017-05-10
2017-06-30;1,673;-887;786;167;542;685;2,741;4,259;4,375;3,405;13,58;325;-;-;1,152;2,874;5,026;270;-21;99.74;2017-08-24
2017-09-30;1,721;-875;846;224;661;755;2,594;4,223;4,295;3,347;13,363;348;-;-;1,13;2,62;4,75;373;-27;99.74;2017-11-09
2017-12-31;1,691;-875;815;247;605;713;2,421;3,977;4,256;3,295;12,99;365;-;-;1,07;2,606;4,542;332;-34;99.74;2018-03-06
2018-03-31;1,285;-672;613;88;671;654;2,501;4,159;4,176;3,236;13,033;409;-;-;1,042;2,727;4,641;-45;-33;99.80;2018-05-10
2018-06-30;1,78;-927;853;205;155;700;2,716;3,906;4,498;3,403;13,309;377;-;-;1,058;3,008;4,96;245;-34;99.80;2018-08-24
2018-09-30;1,887;-971;916;221;286;760;2,665;4,037;4,519;3,384;13,45;365;-;-;1,104;2,83;4,822;359;-34;99.80;2018-11-09
2018-12-31;1,765;-946;819;151;311;854;2,599;4,028;4,562;3,307;13,403;377;-;-;1,109;2,658;4,585;226;-24;99.80;2019-03-06
2019-03-31;1,464;-779;684;93;368;764;2,826;4,222;4,616;3,292;13,866;348;-;78;1,175;2,676;4,833;89;-19;99.94;2019-05-10
2019-06-30;1,782;-950;832;205;285;843;2,742;4,15;4,578;3,251;13,66;316;-;72;1,171;2,962;5,113;274;-33;99.94;2019-08-24
2019-09-30;1,808;-954;854;172;607;851;2,674;4,407;4,708;3,255;13,939;340;-;67;1,176;2,82;4,947;532;-31;99.94;2019-11-09
2019-12-31;1,699;-889;810;278;898;801;2,53;4,458;4,63;3,167;13,872;334;-;67;1,079;2,682;4,769;404;-39;99.94;2020-03-05
2020-03-31;1,756;-975;781;21;429;986;3,155;4,854;5,192;3,587;15,388;405;-;74;1,429;4,298;6,843;154;-35;99.67;2020-05-10
2020-06-30;2,097;-1,157;940;254;296;965;3,023;4,521;5,119;3,539;14,911;475;-;152;1,479;3,644;6,247;494;-71;99.67;2020-08-24
2020-09-30;2,231;-1,108;1,124;356;95;901;2,86;4,061;4,995;3,464;14,203;463;-;63;1,491;2,937;5,542;660;-53;99.67;2020-11-09
2020-12-31;1,922;-1,055;867;48;117;830;2,816;4,03;4,895;3,385;13,996;525;-;55;1,664;2,844;5,624;277;-43;99.67;2021-03-06
2021-03-31;1,883;-928;955;324;168;883;3,103;4,412;5,019;3,398;14,547;504;-;48;1,617;3,012;5,748;132;-46;95.69;2021-05-10
2021-06-30;2,156;-1,085;1,071;376;225;937;3,006;4,394;4,981;3,356;14,455;550;-;45;1,611;3,423;6,132;489;-61;95.69;2021-08-24
2021-09-30;2,182;-1,08;1,102;383;123;937;2,918;4,333;5,052;3,288;14,384;421;-;41;1,643;2,951;5,698;635;-76;95.69;2021-11-09
2021-12-31;2,012;-1,027;985;307;174;852;2,936;4,323;5,143;3,352;14,584;505;-;49;1,466;2,918;5,616;311;-58;95.69;2022-03-06
2022-03-31;1,938;-918;1,019;328;118;906;3,167;4,556;5,203;3,346;15,057;410;-;57;1,486;2,9;5,776;190;-67;90.85;2022-05-10
2022-06-30;2,278;-1,204;1,074;310;75;987;3,246;4,699;5,403;3,424;15,582;485;-;49;1,454;3,673;6,527;258;-120;90.85;2022-08-24
