date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date;;
2005-05-31;1,252;-;1,252;69;-;895;2,001;3,447;-;1,795;7,925;1,304;-;280;1,849;1,429;4,192;-109;-128;174.8;2005-07-12;;
2005-08-31;1,409;-;1,409;82;-;1,135;836;3,241;-;1,722;7,525;724;-;720;1,794;1,32;4,047;549;-210;189.4;2005-10-12;;
2005-11-30;1,348;-;1,348;99;-;1,071;2,234;4,739;-;1,721;9,031;1,893;-;730;3,05;1,324;5,253;639;-323;189.4;2006-01-11;;
2006-02-28;1,337;-;1,337;54;-;894;2,001;3,447;-;1,794;7,925;1,304;-;280;1,849;1,429;4,192;-766;19;189.4;2006-05-10;;
2006-05-31;1,468;-;1,468;75;-;1,017;1,384;2,862;-;1,794;7,32;698;-;258;1,178;1,467;3,562;-310;-91;189.4;2006-07-12;;
2006-08-31;1,451;-;1,451;81;-;1,076;1,365;3,301;-;1,881;7,882;1,052;-;300;1,53;1,497;4,186;557;-191;189.4;2006-10-12;;
2006-11-30;1,44;-;1,44;99;-;1,001;2,213;4,345;-;1,795;8,832;1,918;-;277;2,452;1,523;4,954;740;-253;189.4;2007-01-11;;
2007-02-28;1,406;-;1,406;-501;-;896;2,086;3,981;-;1,34;7,932;1,883;-;258;2,205;1,518;4,569;-122;-1;189.4;2007-05-08;;
2007-05-31;1,338;-;1,338;26;-;1,01;1,66;3,282;-;1,332;7,334;1,186;-;328;1,597;1,471;3,935;-311;-91;189.4;2007-07-12;;
2007-08-31;1,483;-;1,483;52;-;1,122;1,151;3,096;-;1,33;7,191;1,054;-;326;1,559;1,468;3,885;187;-232;189.4;2007-10-11;;
2007-11-30;1,534;-;1,534;-13;-;1,061;2,534;4,399;-;1,314;8,491;2,177;-;440;2,86;1,472;5,202;183;-355;189.4;2008-01-15;;
2008-02-29;1,424;-;1,424;35;-;967;2,295;3,654;-;1,162;7,917;1,716;-;669;2,586;1,232;4,587;-276;181;189.4;2008-05-15;;
2008-05-31;1,469;-;1,469;121;-;1,069;1,77;3,126;-;1,161;7,556;929;-;985;2,109;1,223;4,138;-348;-66;189.4;2008-07-10;;
2008-08-31;1,527;-;1,527;4;-;1,318;1,142;2,895;-;1,163;7,206;929;-;775;1,875;1,248;3,887;208;-167;189.4;2008-10-15;;
2008-11-30;1,572;-;1,572;37;-;1,154;2,132;3,68;-;1,16;8,019;1,769;-;911;2,866;1,098;4,723;260;-269;189.4;2009-01-14;;
2009-02-28;1,303;-;1,303;21;-;667;1,996;3,638;-;1,18;7,708;767;-;890;2,539;1,154;4,478;174;118;189.4;2009-05-15;;
2009-05-31;1,41;-;1,41;65;-;774;1,523;3,336;-;1,181;7,404;329;-;949;1,981;1,326;4,109;-192;-36;189.4;2009-07-15;;
2009-08-31;1,524;-;1,524;74;-;1,111;976;2,871;-;1,18;6,93;848;-;581;1,56;1,252;3,596;827;-101;189.4;2009-10-15;;
2009-11-30;1,502;-;1,502;78;-;1,052;1,741;3,569;-;1,185;7,641;1,532;-;607;2,279;1,186;4,225;972;-150;189.4;2010-01-14;;
2010-02-28;1,282;-;1,282;59;-;687;1,751;3,286;-;1,189;7,397;807;-;641;1,973;1,118;3,895;-782;71;189.4;2010-05-11;;
2010-05-31;1,532;-;1,532;93;-;729;1,322;2,983;-;1,188;7,097;402;-;651;1,598;1,112;3,486;45;-46;189.4;2010-07-14;;
2010-08-31;1,535;-;1,535;72;-;740;1,025;2,606;-;1,186;6,695;433;-;330;1,259;1,082;3,117;535;-110;189.4;2010-10-14;;
2010-11-30;1,599;-;1,599;94;-;775;1,71;3,486;-;1,187;7,536;1,081;-;301;1,951;1,123;3,882;124;-48;189.4;2011-01-13;;
2011-02-28;1,494;-;1,494;87;-;719;1,709;3,213;-;1,188;7,259;813;-;812;2,211;547;3,572;-114;-41;189.4;2011-05-05;;
2011-05-31;1,639;-;1,639;129;-;781;1,441;3,35;-;1,185;7,389;414;-;795;1,815;941;3,578;-28;-49;189.4;2011-07-14;;
2011-08-31;1,698;-;1,698;85;-;912;1,166;3,399;-;1,193;7,443;414;-;1,06;2,074;824;3,664;385;-113;189.4;2011-10-13;;
2011-11-30;1,906;-;1,906;153;-;845;2,226;4,49;-;1,188;8,475;1,368;-;891;2,986;855;4,612;155;-76;189.4;2012-01-12;;
2012-02-29;1,748;-;1,748;147;-;805;2,323;4,252;-;1,191;8,288;1,234;-;574;2,514;931;4,318;-14;-38;189.4;2012-05-03;;
2012-05-31;1,886;-;1,886;263;-;921;1,866;3,678;-;1,188;7,92;456;-;732;1,879;980;3,754;-180;-58;189.3;2012-07-12;;
2012-08-31;2,03;-;2,03;220;-;1,108;1,512;3,524;-;1,196;7,849;490;-;452;1,63;1,003;3,544;719;-94;189.3;2012-10-11;;
2012-11-30;2,129;-;2,129;151;-;1,149;2,595;4,859;-;1,193;9,155;1,559;-;463;2,764;744;4,428;223;-87;189.2;2013-01-10;;
2013-02-28;1,834;-;1,834;100;-;1,026;2,568;4,492;-;1,189;8,806;1,317;-;287;2,292;808;4,075;234;-99;204.18;2013-04-22;;
2013-05-31;1,979;-;1,979;168;-;1,076;2,084;4,134;-;1,185;8,447;575;-;588;1,844;750;3,584;250;-63;204.2;2013-07-11;;
2013-08-31;2,015;-;2,015;144;-;1,091;1,571;3,654;-;1,186;8,086;578;-;344;1,57;755;3,319;698;-105;204.2;2013-10-10;;
2013-11-30;1,928;-;1,928;142;-;1,084;2,418;4,759;-;1,185;9,189;1,458;-;392;2,602;688;4,297;329;-111;204.2;2014-01-13;;
2014-02-28;1,813;-;1,813;-64;-;931;2,387;4,3;-;1,193;8,728;1,16;-;531;2,438;687;4,065;-588;-104;204.18;2014-04-22;;
2014-05-31;1,773;-;1,773;77;-;987;1,897;3,855;-;1,189;8,303;500;-;725;1,92;674;3,6;152;-66;204.2;2014-07-10;;
2014-08-31;1,709;-;1,709;42;-;960;1,437;3,396;-;1,188;7,921;493;-;538;1,635;671;3,412;94;-102;204.2;2014-10-09;;
2014-11-30;1,752;-;1,752;9;-;955;2,105;4,091;-;1,186;8,624;1,313;-;391;2,301;679;4,092;138;-99;204.2;2015-01-13;;
2015-02-28;1,544;-;1,544;-54;-;870;2,128;3,964;-;1,187;8,474;956;-;500;2,128;774;4,013;5;-120;204.18;2015-04-24;;
2015-05-31;1,629;-;1,629;41;-;998;1,777;3,679;-;1,185;8,197;467;-;681;1,795;771;3,682;102;-73;204.2;2015-07-09;;
2015-08-31;1,703;-;1,703;45;-;991;1,316;3,2;-;1,183;7,701;482;-;377;1,442;773;3,258;115;-95;204.2;2015-10-08;;
2015-11-30;1,618;-;1,618;66;-;973;1,948;3,856;-;1,185;8,417;1,123;-;290;2,102;731;3,885;126;-94;204.2;2016-01-13;;
2016-02-29;1,437;-;1,437;29;-;783;1,897;3,599;-;1,189;8,133;801;-;425;1,849;1,189;3,66;137;-109;204.18;2016-04-25;;
2016-05-31;1,608;-;1,608;77;-;941;1,614;3,425;-;1,186;7,963;403;-;627;1,631;716;3,423;125;-59;204.2;2016-07-07;;
2016-08-31;1,597;-;1,597;78;-;936;1,257;3,119;-;1,194;7,761;427;-;416;1,435;708;3,324;142;-83;204.2;2016-10-13;;
2016-11-30;1,7;-;1,7;100;-;1,03;1,989;4,181;-;1,193;8,89;1,234;-;262;2,168;1,001;4,284;264;-76;204.2;2017-01-12;;
2017-02-28;1,571;-;1,571;57;-;881;2,053;3,956;-;1,24;8,736;917;-;221;1,808;917;3,848;17;-111;204.18;2017-04-24;;
2017-05-31;1,783;-;1,783;120;-;1,012;1,659;3,737;-;1,24;8,475;446;-;616;1,767;556;3,446;25;-62;204.2;2017-07-03;;
2017-08-31;1,71;-;1,71;86;-;980;1,309;3,449;-;1,272;8,251;436;-;535;1,669;539;3,322;163;-94;204.2;2017-10-12;;
2017-11-30;1,809;-;1,809;55;-;1,031;1,859;4,527;-;1,27;9,317;1,103;-;459;2,208;1,028;4,355;194;-95;204.2;2018-01-11;;
2018-02-28;1,681;-;1,681;57;-;972;2,119;4,181;-;1,659;9,334;946;-;456;2,059;1,117;3,368;119;-110;204.18;2018-04-23;;
2018-05-31;1,741;-;1,741;40;-;1,084;1,76;3,761;-;1,67;8,932;688;-;310;1,641;1,096;3,877;123;-66;204.2;2018-07-12;;
2018-08-31;1,734;-;1,734;24;-;1,041;1,439;3,511;-;1,667;8,707;468;-;429;1,533;1,081;3,788;293;-101;204.2;2018-10-01;;
2018-11-30;1,717;-;1,717;-28;-;1,015;1,832;3,716;-;1,676;8,952;859;-;254;1,727;1,138;4,041;69;-87;204.2;2019-01-10;;
2019-02-28;1,562;-;1,562;-841;-;973;1,977;3,717;-;1,001;8,188;786;-;501;1,772;1,126;4,17;-223;-125;204.18;2019-04-24;;
2019-05-31;1,68;-;1,68;11;-;1,088;1,733;3,594;-;1,005;8,178;627;-;571;1,686;1,22;4,218;104;-72;204.2;2019-07-11;;
2019-08-31;1,635;-;1,635;10;-;1,001;1,542;3,332;-;1,003;7,929;470;-;376;1,337;1,408;4,223;190;-79;204.2;2019-10-10;;
2019-11-30;1,713;-;1,713;-56;-;1,035;2,094;3,907;-;1,001;8,403;941;-;434;1,858;1,436;4,639;-54;-74;204.2;2020-01-14;;
2020-02-29;1,643;-;1,643;-20;-;978;2,176;3,911;-;1,001;8,415;818;-;625;1,9;1,429;4,742;-85;-110;204.18;2020-04-22;;
2020-05-31;1,669;-;1,669;43;-;1,038;1,907;3,693;-;989;8,164;703;-;501;1,643;1,425;4,374;223;-52;204.2;2020-07-12;;
2020-08-31;1,68;-;1,68;23;-;1,011;1,675;3,413;-;960;7,812;487;-;517;1,464;1,41;4,212;144;-75;204.2;2020-10-12;;
2020-11-30;1,74;-;1,74;-119;-;1,014;2,043;3,759;-;954;8,013;866;-;379;1,704;1,454;4,544;171;-67;204.2;2021-01-11;;
2021-02-28;1,59;-;1,59;17;-;948;2,134;3,792;-;947;7,973;824;-;476;1,754;1,438;4,437;-57;-91;204.18;2021-04-26;;
2021-05-31;1,753;-;1,753;28;-;1,096;1,841;3,652;-;940;7,827;715;-;394;1,584;1,437;4,249;146;-55;204.2;2021-07-12;;
2021-08-31;1,844;-;1,844;51;-;1,069;1,558;3,449;-;950;7,653;519;-;380;1,397;1,422;4,096;247;-69;204.2;2021-10-12;;
2021-11-30;2,043;-;2,043;42;-;1,169;2,056;4,106;-;961;8,254;1,075;-;278;1,902;1,433;4,613;163;-75;204.2;2022-01-11;;
2022-02-28;1,959;-;1,959;2;-;1,14;2,317;4,347;-;934;8,441;1,116;-;562;2,19;1,322;4,742;-78;-133;204.18;2022-04-26;;
2022-05-31;2,275;-;2,275;132;-;1,296;2,085;4,319;-;988;8,511;960;-;442;2,019;1,315;4,443;221;-65;204.2;2022-07-12;;
2022-08-31;2,349;-;2,349;73;-;1,293;1,955;4,37;-;973;8,59;710;-;679;1,956;1,344;4,321;47;-99;204.2;2022-10-12;;
2022-11-30;2,482;-;2,482;170;-;1,364;2,999;5,539;-;953;9,733;1,663;-;883;3,073;1,381;5,468;22;-107;204.2;2023-01-11;;
2023-02-28;2,392;-;2,392;154;-;1,409;3,161;5,453;-;942;9,698;1,609;-;660;2,816;1,623;5,499;-46;-196;204.13;2023-04-26;;
2023-05-31;2,518;-;2,518;198;-;1,458;2,925;5,287;-;934;9,561;1,081;-;742;2,467;1,668;5,308;-3;-79;204.1;2023-07-12;;
2023-08-31;2,56;-;2,56;211;-;1,48;2,479;4,908;-;922;9,184;652;-;910;2,167;1,571;4,82;371;-120;204.1;2023-10-12;;
2023-11-30;2,701;-;2,701;187;-;1,546;3,315;5,69;-;917;9,984;1,664;-;496;2,783;1,564;5,442;416;-129;204.1;2024-01-11;;
2024-02-29;2,51;-;2,51;52;-;1,456;3,511;5,833;-;917;10,278;1,97;-;513;3,152;1,707;6,005;289;-218;204.1;2024-04-26;;
2024-05-31;2,551;-;2,551;94;-;1,48;2,912;5,169;-;913;9,656;1,361;-;350;2,387;1,701;5,228;289;-113;204.1;2024-07-12;;
