date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2006-06-30;698;-118;579;36;185;323;2;575;332;13;1,065;57;0;143;379;224;631;59;-31;56.38;2006-07-28
2006-12-31;694;-119;575;38;459;302;0;833;336;12;1,332;60;0;245;493;85;606;83;-31;56.38;2007-02-14
2007-06-30;751;-127;624;47;389;359;0;823;432;14;1,44;62;0;87;367;127;522;59;-30;56.38;2007-07-28
2007-12-31;876;-143;734;54;369;390;1;842;510;50;1,603;75;0;101;482;136;650;118;-41;56.38;2008-02-14
2008-06-30;893;-139;754;56;308;437;1;840;517;15;1,588;75;77;67;484;98;625;-22;-38;55.69;2008-07-28
2008-12-31;916;-155;760;63;281;434;1;825;571;71;1,683;77;42;174;547;37;642;121;-33;55.69;2009-02-14
2009-06-30;953;0;953;52;247;433;1;807;610;47;1,676;72;33;139;531;29;599;96;-36;56.54;2009-07-28
2009-12-31;909;0;909;36;239;446;1;816;628;84;1,774;88;23;168;586;26;663;94;-32;56.54;2010-02-14
2010-06-30;989;0;989;40;226;466;1;852;718;74;1,914;106;20;135;588;29;668;90;-32;56.38;2010-07-28
2010-12-31;1,079;0;1,079;34;118;464;0;745;701;107;1,862;93;0;88;551;24;638;88;-71;56.38;2011-02-14
2011-06-30;1,066;0;1,066;35;110;463;1;751;679;96;1,827;80;0;110;549;23;633;48;-49;56.28;2011-07-28
2011-12-31;1,067;0;1,067;60;160;451;1;752;710;98;1,871;83;13;96;514;26;598;136;-48;56.28;2012-02-14
2012-06-30;1,127;0;1,127;46;148;474;0;769;728;96;1,909;82;8;98;484;26;579;61;-42;56.17;2012-07-28
2012-12-31;1,22;0;1,22;83;170;480;0;784;712;88;1,923;80;10;66;473;13;546;142;-68;56.17;2013-02-14
2013-06-30;1,196;0;1,196;53;153;483;0;777;697;84;1,904;78;4;68;441;17;518;69;-57;56.74;2013-07-28
2013-12-31;1,237;0;1,237;76;164;498;0;788;674;78;1,891;87;4;52;429;20;499;121;-70;56.74;2014-02-14
2014-06-30;1,245;0;1,245;57;177;515;0;862;681;77;1,996;97;8;84;493;17;562;91;-77;57.25;2014-07-28
2014-12-31;1,513;0;1,513;95;216;693;0;1,11;1,019;323;2,927;123;2;201;767;424;1,332;109;-83;57.25;2015-02-14
2015-06-30;1,658;0;1,658;84;261;699;0;1,174;1,12;287;3,101;119;0;240;819;450;1,406;190;-88;57.97;2015-07-28
2015-12-31;1,74;0;1,74;119;257;754;0;1,197;1,123;281;3,099;117;0;151;745;468;1,341;201;-86;57.97;2016-02-14
2016-06-30;1,689;0;1,689;87;255;734;0;1,196;1,097;264;3,055;115;5;172;797;416;1,336;196;-76;58.31;2016-07-28
2016-12-31;1,96;0;1,96;130;282;871;0;1,323;1,938;1,172;4,995;126;3;218;929;1,688;3,084;263;-116;58.31;2017-02-14
2017-06-30;2,081;0;2,081;117;308;797;0;1,308;1,816;1,036;4,692;127;8;181;916;1,537;2,876;273;-68;58.76;2017-07-28
2017-12-31;2,099;0;2,099;197;285;896;0;1,374;1,676;946;4,49;141;2;116;932;1,387;2,58;243;-80;58.76;2018-02-14
2018-06-30;2,07;0;2,07;123;340;890;0;1,469;1,714;927;4,602;158;4;3;992;1,412;2,651;257;-82;59.17;2018-07-28
2018-12-31;2,371;0;2,371;190;336;1,048;0;1,762;2,304;1,231;5,888;147;3;83;1,111;2,224;3,671;266;-115;59.17;2019-02-14
2019-06-30;2,564;0;2,564;145;408;1,079;0;1,909;2,325;1,187;6,657;163;7;466;1,349;2,173;4,373;394;-101;58.74;2019-07-28
2019-12-31;2,791;0;2,791;255;418;1,223;0;2,049;2,34;1,142;6,89;173;9;427;1,369;2,083;4,322;427;-151;58.74;2020-02-14
2020-06-30;2,66;0;2,66;63;675;1,143;0;2,181;2,256;1,081;6,824;192;45;597;1,597;2,044;4,453;441;-120;58.72;2020-07-28
2020-12-31;3,072;0;3,072;261;996;1,307;0;2,68;2,106;951;7,024;227;3;559;1,641;2,196;4,615;548;-138;58.72;2021-02-14
2021-06-30;3,431;0;3,431;255;851;1,46;0;2,713;2,736;935;7,647;276;1;523;1,803;2,456;5,003;557;-100;59.53;2021-07-28
2021-12-31;3,684;0;3,684;302;837;1,58;0;2,776;2,8;1,422;8,346;280;2;716;2,039;2,27;5,189;584;-132;59.53;2022-02-14
2022-06-30;3,946;0;3,946;274;756;1,642;0;2,841;2,989;1,466;8,765;242;0;640;2,01;2,201;5,164;616;-151;59.71;2022-07-28
2022-12-31;4,208;0;4,208;371;817;1,707;0;2,91;3,177;1,345;8,864;232;4;884;2,288;2,021;5,192;678;-147;59.71;2023-02-14
2023-06-30;3,96;0;3,96;271;727;1,715;0;2,925;3,138;1,256;8,769;216;2;949;2,271;1,878;5,049;590;-112;59.10;2023-07-28
2023-12-31;4,385;0;4,385;331;882;2,132;0;3,603;5,147;1,297;11,754;334;15;1;2,708;3,822;7,522;785;-121;59.10;2024-03-05
