date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares
2001-03-31;9,402;-7,769;1,633;50;890;6,109;7,128;15,946;-;4,408;36,238;2,976;-;-;16,312;9,656;27,591;775;-480;514.49
2001-06-30;9,598;-7,908;1,69;272;1,07;6,274;7,244;16,522;-;4,37;36,66;3,109;-;-;16,649;9,429;27,685;177;-491;514.49
2001-09-30;9,646;-7,755;1,891;93;1,234;5,721;6,525;15,141;-;4,169;34,649;3,248;-;-;16,616;7,665;25,863;1,76;-643;514.49
2001-12-31;8,339;-6,951;1,388;18;1,053;5,423;6,753;15,097;-;4,275;34,804;2,783;-;-;16,102;8,243;25,865;-270;-390;514.49
2002-03-31;9,015;-7,481;1,534;70;834;5,69;6,821;15,158;-;4,308;34,835;3,034;-;-;16,438;8,182;26,128;305;-356;514.49
2002-06-30;9,599;-7,791;1,808;221;843;5,471;6,547;14,655;-;3,971;33,17;2,872;-;-;16,065;7,156;24,647;915;-315;514.49
2002-09-30;8,975;-7,376;1,599;300;921;5,353;6,001;13,652;-;3,691;31,16;3,128;-;-;16,272;5,683;22,873;1,504;-474;514.49
2002-12-31;8,641;-7,115;1,526;93;920;4,883;6,216;13,4;-;3,563;30,526;2,727;-;-;15,538;5,806;22,224;65;-313;514.49
2003-03-31;9,165;-7,593;1,572;148;777;5,232;6,124;13,642;-;3,499;30,568;2,903;-;-;15,735;5,726;22,419;462;-296;514.49
2003-06-30;8,798;-7,179;1,619;221;926;5,167;6,181;13,786;-;3,483;30,548;2,977;-;-;15,82;5,816;22,641;563;-286;514.49
2003-09-30;8,723;-7,129;1,594;151;690;5,301;5,787;13,04;-;3,473;30,201;3,051;-;-;16,841;4,944;22,53;937;-387;514.49
2003-12-31;8,327;-6,853;1,474;108;956;5,09;5,982;13,565;-;3,464;30,385;2,838;-;-;16,068;5,531;22,771;-23;-303;514.49
2004-03-31;9,198;-7,567;1,631;239;877;5,744;5,977;13,94;-;3,474;30,683;3,355;-;-;16,467;5,176;22,978;465;-358;514.49
2004-06-30;10,067;-8,24;1,827;322;747;6,01;6,179;14,256;-;3,454;30,888;3,287;-;-;16,46;5,028;22,902;391;-295;514.49
2004-09-30;9,711;-7,995;1,716;221;1,35;5,764;6,274;14,406;-;3,554;31,141;3,644;-;-;17,573;4,232;22,814;1,726;-475;514.49
2004-12-31;10,088;-8,204;1,884;322;854;5,516;6,903;14,712;-;3,419;30,887;3,344;-;-;17,235;4,303;22,456;-449;-345;514.49
2005-03-31;10,61;-8,8;1,81;257;3,013;6,075;7,55;17,972;-;4,61;34,214;3,546;-;-;18,332;4,732;24,879;324;-333;514.49
2005-06-30;11,253;-9,274;1,979;344;3,182;6,571;6,945;18,061;-;4,774;34,307;3,7;-;-;17,886;5,02;24,599;334;-323;514.49
2005-09-30;10,976;-9,417;1,559;-457;4,625;6,668;6,862;20,149;-;4,589;35,301;3,976;-;-;14,194;3,085;27,746;2,142;-566;514.49
2005-12-31;10,942;-9,209;1,733;255;4,437;6,448;6,973;19,536;-;4,637;34,813;3,634;-;-;13,19;3,16;26,788;59;-384;514.49
2006-03-31;11,786;-9,796;1,99;441;4,563;7,072;6,677;20,154;-;4,752;35,065;3,89;-;-;13,898;2,932;27,039;883;-362;514.49
2006-06-30;12,138;-9,995;2,143;468;4,489;7,317;6,669;20,281;-;4,708;34,898;4,083;-;-;13,449;2,979;26,521;1,004;-387;514.49
2006-09-30;12,259;-10,142;2,117;540;4,446;7,105;8,069;21,543;-;4,703;36,462;4,571;-;-;15,051;2,946;27,949;1,521;-488;514.49
2006-12-31;12,332;-9,964;2,368;661;3,317;7,074;8,516;20,703;-;4,663;35,81;4,474;-;-;14,288;2,674;26,761;-568;-769;514.49
2007-03-31;13,114;-10,711;2,403;244;2,616;7,966;8,809;21,499;-;4,651;36,551;4,815;-;-;15,345;2,661;27,833;500;-528;514.49
