date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2003-09-30;172;-50;121;-34;48;23;33;248;120;173;556;34;-;75;142;145;288;34;-42;85.58;2003-10-30
2004-03-31;437;-128;309;25;77;96;35;372;117;153;657;63;-;71;189;173;363;105;-53;91.59;2004-05-15
2004-09-30;186;-55;131;-33;55;52;29;180;78;210;566;35;-;92;161;133;312;23;-;97.70;2004-10-30
2005-03-31;452;-123;329;58;202;141;22;435;77;195;786;101;-;138;313;138;469;170;-;97.70;2005-05-15
2005-09-30;212;-58;155;-11;140;87;28;296;80;219;702;58;-;85;191;138;351;21;-;98.78;2005-10-30
2006-03-31;468;-129;339;23;137;91;24;320;80;234;732;71;-;147;271;55;350;130;-;98.78;2006-05-15
2006-09-30;249;-70;179;-20;101;61;21;250;80;300;741;48;-;170;272;56;351;52;-;91.01;2006-10-30
2007-03-31;596;-171;425;61;127;88;25;343;77;302;822;119;-;49;246;23;300;238;-;91.01;2007-05-15
2007-09-30;351;-94;257;16;80;55;36;356;84;329;830;60;-;38;180;24;244;79;-;92.44;2007-10-30
2008-03-31;768;-218;550;94;229;84;40;520;84;398;1,05;178;-;57;345;23;416;339;-;92.44;2008-05-15
2008-09-30;344;-145;200;24;125;110;56;433;94;499;1,073;172;-;30;312;23;376;76;-;93.85;2008-10-30
2009-03-31;825;-271;554;45;237;70;62;481;100;481;1,134;137;-;62;295;23;382;228;-30;93.85;2009-05-15
2009-09-30;166;-97;69;-52;78;68;56;349;97;590;1,141;108;-;124;299;22;410;-50;-;96.53;2009-10-30
2010-03-31;705;-261;444;8;185;69;48;450;106;526;1,184;144;-;122;363;23;423;291;-20;96.53;2010-05-15
2010-09-30;261;-114;146;-90;125;44;47;320;105;540;1,092;105;-;184;365;22;417;46;-13;96.96;2010-10-30
2011-03-31;778;-251;527;38;193;49;35;377;108;452;1,058;111;-;93;308;2;344;347;-9;96.96;2011-05-15
2011-09-30;248;-90;158;-37;135;59;49;338;135;569;1,188;118;-;236;473;1;504;-4;-16;95.63;2011-10-30
2012-03-31;813;-253;560;74;176;-13;20;295;148;520;1,099;79;-;90;292;1;336;362;-10;95.63;2012-05-15
2012-09-30;279;-87;193;-32;176;64;42;378;150;648;1,347;114;-;328;564;1;609;-54;-11;97.31;2012-10-30
2013-03-31;977;-256;721;97;238;37;18;421;146;547;1,257;76;-;109;337;24;419;457;-14;97.31;2013-05-15
2013-09-30;293;-91;202;-62;155;121;40;417;139;642;1,374;123;231;1;470;64;581;-52;-16;107.34;2013-10-30
2014-03-31;714;-194;520;-3;238;73;21;426;138;599;1,339;94;122;65;417;63;529;343;-27;107.34;2014-05-15
2014-09-30;484;-106;378;12;164;21;39;339;139;673;1,354;102;-;145;370;63;494;191;-28;113.29;2014-10-30
2015-03-31;980;-231;749;75;657;24;18;830;130;572;1,752;95;-;183;436;276;773;464;-28;113.29;2015-05-15
2015-09-30;207;-53;154;-75;273;27;50;472;125;738;1,606;108;-;159;376;275;714;-99;-24;114.19;2015-10-30
