date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
1999-12-31;467;-159;308;22;71;209;84;408;-;660;2,233;122;-;184;459;1,035;1,954;-29;-14;122.85;2000-02-04
2000-03-31;610;-215;395;39;60;219;66;389;-;659;2,214;104;7;101;395;1,043;1,908;104;-16;122.85;2000-05-05
2000-06-30;336;-119;217;-4;91;152;92;372;-;678;2,23;111;2;183;450;1,035;1,942;43;-20;122.85;2000-08-04
2000-09-30;349;-135;214;-10;94;176;117;430;-;676;2,276;157;4;216;539;1,03;2,009;15;-21;122.85;2000-11-19
2000-12-31;737;-265;472;27;109;390;122;694;665;7;2,567;297;10;225;712;1,053;2,259;-16;-18;123.3;2001-02-04
2001-03-31;944;-343;600;46;58;375;88;558;655;7;2,443;178;10;179;542;1,074;2,117;33;-18;123.3;2001-05-05
2001-06-30;412;-121;291;-4;52;204;101;407;-;653;2,282;119;5;139;444;1,066;1,984;90;-18;123.3;2001-08-04
2001-09-30;375;-107;268;-16;88;192;129;460;641;31;2,55;167;10;156;567;1,197;2,275;97;-24;123.3;2001-11-19
2001-12-31;619;-199;420;25;109;259;122;548;640;30;2,642;212;10;189;644;1,157;2,35;29;-23;125.55;2002-02-04
2002-03-31;764;-225;539;54;140;285;75;556;639;29;2,641;170;11;154;540;1,155;2,29;92;-20;125.55;2002-05-05
2002-06-30;446;-255;191;4;135;181;87;452;645;28;2,556;142;8;135;475;1,149;2,207;78;-20;125.55;2002-08-04
2002-09-30;384;-221;163;-6;194;166;109;524;645;26;2,614;166;9;196;587;1,127;2,277;48;-31;125.55;2002-11-19
2002-12-31;740;-243;497;37;274;327;117;775;650;25;2,871;255;11;324;785;1,135;2,347;-4;-26;129.6;2003-02-04
2003-03-31;1,136;-361;775;70;149;447;83;794;654;34;2,911;303;10;152;731;1,133;2,389;155;-25;129.6;2003-05-05
2003-06-30;623;-430;193;-2;122;249;97;586;665;38;2,772;177;13;127;554;1,116;2,166;54;-21;129.6;2003-08-04
2003-09-30;527;-346;181;-6;142;221;137;603;672;35;2,795;203;16;106;585;1,159;2,277;52;-28;129.6;2003-11-19
2003-12-31;894;-597;297;39;144;404;149;806;680;36;3,039;327;18;175;762;1,181;2,501;14;-24;144.9;2004-02-04
2004-03-31;1,317;-914;402;67;143;649;105;988;1,172;145;4,37;399;16;142;821;1,61;3,527;91;-26;144.9;2004-05-05
2004-06-30;823;-538;286;8;160;433;127;798;1,175;141;4,187;270;19;147;735;1,555;3,33;81;-36;144.9;2004-08-04
2004-09-30;751;-502;249;-3;150;377;198;844;1,246;184;4,243;324;98;123;918;1,547;3,409;76;-47;144.9;2004-11-19
2004-12-31;1,362;-925;437;99;122;683;226;1,142;1,305;201;4,68;522;102;206;1,213;1,562;3,761;5;-41;157.35;2005-02-04
2005-03-31;1,788;-1,211;577;170;162;775;135;1,195;1,285;189;4,674;448;65;184;1,119;1,52;3,654;184;-34;157.35;2005-05-05
2005-06-30;933;-629;304;-27;207;433;169;944;1,234;176;4,329;277;17;273;932;1,459;3,349;128;-38;157.35;2005-08-04
2005-09-30;806;-542;265;-24;310;432;240;1,173;1,231;173;4,572;400;97;252;1,163;1,393;3,574;121;-46;157.35;2005-11-19
2005-12-31;1,578;-1,151;427;89;268;735;262;1,669;1,222;166;5,058;619;162;423;1,584;1,455;4,045;-18;-42;160.05;2006-02-04
2006-03-31;1,846;-1,297;549;149;239;717;169;1,308;1,209;165;4,723;441;135;57;943;1,637;3,612;88;-47;160.05;2006-05-05
2006-06-30;919;-612;308;7;276;434;217;1,133;1,241;168;4,618;306;127;79;796;1,643;3,476;122;-44;160.05;2006-08-04
2006-09-30;879;-599;280;-20;186;404;340;1,041;1,418;163;5,081;373;225;32;1,027;1,965;3,981;87;-59;160.05;2006-11-19
2006-12-31;1,463;-994;469;93;124;703;341;1,271;1,443;165;5,377;525;259;32;1,208;1,986;4,219;0;-54;161.85;2007-02-04
2007-03-31;2,002;-1,373;629;188;198;839;203;1,321;1,43;162;5,44;495;155;35;1,05;1,986;4,139;223;-48;161.85;2007-05-05
2007-06-30;1,077;-727;350;9;171;531;250;1,044;1,441;163;5,223;350;117;14;805;2,013;3,923;134;-52;161.85;2007-08-04
