date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2014-06-30;4031;-3395;636;73;124;847;1,095;2,101;-;217;3,659;-;-;269;1,474;57;1,997;195;-70;109.64;2014-07-21
2014-12-31;4141;-3496;645;91;90;827;1,183;2,141;-;266;3,851;-;-;361;1,607;23;2,147;201;-124;107.33;2015-02-14
2015-06-30;5074;-4337;737;86;50;860;1,108;2,056;-;256;4,152;-;-;386;1,573;38;2,362;51;-94;109.10;2015-07-21
2015-12-31;4682;-3980;702;75;75;830;1,054;1,996;-;252;4,03;-;-;339;1,526;71;2,298;250;-132;108.85;2016-02-14
2016-06-30;4848;-4126;722;105;97;827;1,029;1,985;-;250;4,088;-;-;379;1,488;25;2,36;168;-87;109.10;2016-07-21
2016-12-31;5622;-4914;708;87;85;844;1,189;2,165;-;305;4,146;-;-;401;1,662;24;2,356;149;-201;110.03;2017-02-14
2017-06-30;6298;-5433;865;117;217;1,131;1,329;2,713;-;294;4,733;-;-;472;1,907;354;2,953;55;-147;110.28;2017-07-21
2017-12-31;5,699;-5,243;456;113;168;1,336;1,628;3,17;-;329;5,116;-;-;314;2,084;694;3,313;114;-230;221.37;2018-02-14
2018-06-30;6,354;-5,775;579;168;630;1,545;1,886;4,098;-;342;6,175;-;-;365;2,371;694;3,602;31;-207;239.85;2018-07-21
2018-12-31;7,362;-6,811;551;160;285;1,146;2,308;3,807;-;337;6,053;-;-;437;2,209;709;3,444;-59;-291;243.56;2019-02-14
2019-06-30;7,581;-7,067;514;151;321;1,302;2,102;3,765;-;345;6,217;-;-;624;2,328;756;3,628;246;-258;242.02;2019-07-21
2019-12-31;9,904;-9,348;556;148;272;1,434;2,462;4,213;-;371;7,023;-;-;564;2,676;1,151;4,43;234;-330;241.96;2020-02-14
2020-06-30;9,967;-9,464;504;92;1,175;1,304;2,517;5,035;-;346;7,811;-;-;806;2,875;1,717;5,202;249;-167;241.85;2020-07-21
2020-12-31;10,743;-10,154;589;44;1,01;1,677;2,718;5,445;-;347;8,341;-;-;719;3,359;1,705;5,784;279;-268;241.76;2021-02-14
2021-06-30;12,678;-11,762;916;405;1,189;2,066;3,081;6,38;-;344;9,366;-;-;503;4,004;1,727;6,484;773;-180;241.99;2021-07-21
2021-12-31;11,376;-10,735;641;222;1,194;1,832;2,869;5,942;-;340;9,045;-;-;431;3,48;1,724;5,932;486;-237;242.16;2022-02-14
2022-06-30;12,89;-12,055;835;310;1,478;2,38;3,143;7,057;-;343;10,259;-;-;793;4,553;1,64;6,849;422;-201;241.05;2022-07-21
2022-12-31;12,546;-11,727;818;262;1,24;1,831;3,394;6,548;-;343;9,942;-;-;717;4,134;1,626;6,426;212;-290;240.40;2023-02-14
2023-06-30;10,012;-9,211;800;220;1,373;1,795;2,969;6,216;-;382;9,86;-;-;729;3,613;2,007;6,265;274;-349;240.43;2023-07-21
2023-12-31;8,254;-7,549;705;157;1,516;1,357;2,85;5,811;-;381;9,966;-;-;729;3,596;2,019;6,305;768;-536;240.43;2024-02-14
