date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2000-06-30;37;-24;13;2;29;60;15;107;-;23;154;15;-;-;30;-;31;-3;-1;23.7;2000-08-09
2000-09-30;40;-27;12;2;20;67;17;109;-;22;151;13;-;-;25;-;26;-9;0;23.7;2000-11-09
2000-12-31;43;-30;14;3;25;59;22;121;-;23;163;19;-;-;33;-;33;3;-2;23.7;2001-02-09
2001-03-31;45;-32;13;3;18;64;23;120;-;26;169;20;-;-;35;-;37;2;-7;23.7;2001-05-30
2001-06-30;49;-34;15;3;18;61;27;121;-;25;171;18;-;-;33;-;34;4;-4;24.23;2001-08-09
2001-09-30;50;-34;16;1;13;68;32;121;-;38;193;18;6;-;44;-;46;11;-10;24.23;2001-11-09
2001-12-31;50;-34;16;2;5;74;29;118;-;36;206;20;17;-;53;-;56;-6;-7;24.23;2002-02-09
2002-03-31;47;-35;13;-3;6;80;30;126;19;44;239;16;10;-;44;-;47;-14;-4;24.23;2002-05-30
2002-06-30;43;-29;14;-2;8;80;34;132;19;42;245;20;18;-;50;-;54;-2;-6;26.015;2002-08-09
2002-09-30;40;-32;8;-4;8;74;31;127;19;40;240;18;18;-;50;-;53;5;-4;26.015;2002-11-09
2002-12-31;49;-40;9;-3;4;81;33;136;19;38;245;24;14;-;57;-;59;4;-4;26.015;2003-02-09
2003-03-31;54;-40;14;-1;4;81;30;125;19;35;237;22;10;-;51;-;53;6;-3;26.015;2003-05-30
2003-07-01;59;-43;16;0;6;86;32;139;19;34;246;24;8;-;58;-;61;4;-1;27.56;2003-08-10
2003-10-01;64;-48;17;2;11;87;29;144;19;32;249;20;6;-;59;-;61;9;-3;27.56;2003-11-10
2004-01-01;72;-52;20;7;20;89;27;152;19;30;254;26;-;-;55;-;58;18;-3;27.56;2004-02-10
2004-04-01;83;-64;20;4;19;111;30;174;19;28;273;33;-;-;67;-;70;-2;-2;27.56;2004-05-31
2004-07-01;84;-63;21;4;19;113;30;177;19;26;274;35;-;-;61;-;65;1;-2;28.15;2004-08-10
2004-10-01;83;-63;20;4;11;126;31;187;19;24;281;37;-;-;64;-;69;-3;-5;28.15;2004-11-10
2004-12-31;88;-69;20;5;9;138;36;202;19;23;294;40;-;-;70;-;74;-2;-2;28.15;2005-02-09
2005-04-01;91;-68;23;7;15;141;37;210;19;21;302;39;-;-;71;-;76;8;-2;28.15;2005-05-31
2005-07-01;100;-76;24;5;19;155;36;222;19;19;314;41;-;-;77;-;82;7;-4;28.86;2005-08-10
2005-09-30;104;-78;26;6;28;158;36;234;19;18;327;42;-;-;81;-;88;12;-4;28.86;2005-11-09
2005-12-31;112;-84;28;7;22;157;40;233;28;26;345;44;-;-;85;-;93;11;-5;28.86;2006-02-09
2006-03-31;118;-88;30;6;37;145;50;245;28;24;363;51;-;-;92;-;100;22;-11;28.86;2006-05-30
2006-06-30;129;-98;31;5;46;151;49;261;49;28;407;45;-;-;104;-;116;8;-2;30.89;2006-08-09
2006-09-30;132;-97;34;7;47;164;45;274;49;26;416;53;-;-;104;-;116;6;-6;30.89;2006-11-09
2006-12-31;124;-90;34;10;77;155;51;300;49;23;443;45;-;-;115;-;127;29;-4;30.89;2007-02-09
