date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2009-03-31;2,496;-1,992;504;132;624;1,388;2,187;4,668;-;539;11,003;-;-;833;2,422;3,002;6,755;618;-350;289;2009-04-25
2009-06-30;2,488;-2,146;341;175;319;1,188;1,638;3,473;-;587;10,397;-;-;717;2,071;2,474;5,882;658;-181;289;2009-07-25
2009-09-30;2,352;-2,012;340;58;180;1,008;1,518;3,064;-;626;10,617;-;-;957;2,377;1,98;5,818;426;-199;289;2009-10-25
2009-12-31;2,425;-1,969;456;250;168;1,024;1,356;3,171;-;620;10,644;-;-;564;2,043;2,405;5,689;196;-239;289;2010-02-09
2010-03-31;2,669;-1,925;743;262;175;1,208;1,376;3,263;-;852;10,828;-;-;511;2,145;2,23;5,608;413;-194;288;2010-04-25
2010-06-30;2,52;-1,857;662;603;387;1,031;1,318;3,373;-;811;9,987;-;-;346;1,71;2,086;4,812;96;-170;288;2010-07-25
2010-09-30;2,685;-2,108;578;315;445;1,171;1,423;3,727;-;832;10,806;-;-;323;1,947;2,09;5,123;336;-126;288;2010-10-25
2010-12-31;2,961;-2,252;710;265;506;1,141;1,657;3,936;-;848;11,245;-;-;369;2,123;1,913;5,201;329;-139;288;2011-02-09
2011-03-31;3,462;-2,554;908;507;595;1,556;1,74;4,466;-;898;12,066;-;-;133;2,229;1,92;5,377;455;-146;287;2011-04-25
2011-06-30;3,427;-2,596;831;411;585;1,483;1,825;4,495;-;900;12,223;-;-;258;2,307;1,909;5,379;212;-144;287;2011-07-25
2011-09-30;3,855;-2,66;1,195;649;1,22;1,424;1,938;5,101;-;844;12,268;-;-;184;2,237;1,883;5,206;556;-118;287;2011-10-25
2011-12-31;3,6;-2,516;1,084;588;982;1,452;2,122;5,049;-;864;12,365;-;-;189;2,04;1,72;4,899;92;-163;287;2012-02-09
2012-03-31;3,682;-2,732;950;517;1,548;1,768;1,876;5,817;-;1,271;14,076;-;-;183;2,32;1,976;6,016;702;-92;282;2012-04-25
2012-06-30;3,638;-2,598;1,039;484;1,384;1,516;2,006;5,533;-;1,273;13,758;-;-;362;2,57;1,689;5,932;613;-204;282;2012-07-25
2012-09-30;3,526;-2,655;872;450;1,544;1,562;2,169;5,764;-;1,267;14,298;-;-;369;2,708;1,677;6,024;454;-157;282;2012-10-25
2012-12-31;3,692;-2,812;880;369;1,8;1,454;2,158;5,887;-;1,35;14,519;-;-;274;2,554;1,669;5,964;507;-237;282;2013-02-09
2013-03-31;3,675;-2,714;961;419;2,102;1,687;2,198;6,436;-;1,324;14,699;-;-;215;2,757;1,528;5,943;713;-178;278;2013-04-25
2013-06-30;3,982;-3,053;928;340;1,633;1,584;1,849;5,582;-;1,295;13,911;-;-;234;2,449;1,489;5,582;396;-203;278;2013-07-25
2013-09-30;3,442;-2,615;828;278;1,146;1,425;2,452;5,497;-;1,414;14,466;-;-;213;2,487;1,496;5,669;665;-247;278;2013-10-25
2013-12-31;3,397;-2,65;747;18;1,125;1,539;2,164;5,387;-;1,388;14,606;-;-;713;3,176;962;5,766;319;-368;278;2014-02-09
2014-03-31;3,573;-2,662;911;309;1,131;1,824;2,186;5,715;-;1,408;14,916;-;-;598;3,204;966;5,808;393;-243;275;2014-04-25
2014-06-30;3,887;-2,862;1,025;397;1,008;1,59;2,372;5,585;-;1,426;15,039;-;-;597;3,401;958;6,075;596;-266;275;2014-07-25
