date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2013-03-31;2,952;-1,358;1,594;-260;849;721;159;3,218;311;313;9,021;-;-;487;3,668;3,253;12,571;261;-114;284;2013-05-10
2013-06-30;3,057;-1,325;1,732;-23;790;697;165;3,272;311;314;9,238;-;-;389;3,724;3,397;12,769;411;-264;284;2013-08-09
2013-09-30;3,479;-1,487;1,992;299;812;696;151;3,467;311;312;9,481;-;-;439;3,362;3,713;12,599;-9;-240;284;2013-11-09
2013-12-31;2,894;-1,297;1,597;-6;750;589;136;3,288;311;304;9,47;-;-;374;3,19;3,959;10,93;68;-344;284;2014-02-24
2014-03-31;3,065;-1,214;1,851;-341;875;756;151;3,591;311;302;9,964;-;-;413;3,776;4,191;11,975;344;-310;293;2014-05-10
2014-06-30;3,305;-1,846;1,459;223;861;761;150;3,819;311;303;10,522;-;-;409;4,045;4,324;12,409;386;-422;293;2014-08-09
2014-09-30;3,798;-1,987;1,811;323;897;703;161;3,666;311;301;10,545;-;-;424;3,502;4,557;12,012;191;-383;293;2014-11-09
2014-12-31;3,104;-1,318;1,786;-100;661;656;163;3,478;311;305;10,648;-;-;484;3,537;4,732;11,849;33;-386;293;2015-02-24
2015-03-31;3,249;-1,047;2,202;-309;1,035;776;153;4,145;311;305;11,581;-;-;555;4,24;5,252;12,854;808;-425;292;2015-05-10
2015-06-30;3,414;-1,717;1,697;296;1,077;822;147;4,293;311;308;12,374;-;-;528;4,346;5,093;12,823;514;-210;292;2015-08-09
2015-09-30;4,023;-1,785;2,238;437;910;751;163;4,386;311;310;12,755;-;-;562;3,855;5,576;12,869;471;-566;292;2015-11-09
2015-12-31;3,182;-1,57;1,612;-116;572;654;182;4,125;311;314;13,127;-;-;524;3,829;5,87;13,114;232;-614;292;2016-02-24
2016-03-31;3,343;-1,542;1,801;101;908;758;163;4,282;311;312;13,503;-;-;457;4,538;5,991;14,235;974;-1,116;277;2016-05-10
