date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2014-03-31;1,72;-1,363;357;95;1,06;1,232;644;4,05;583;-;12,629;-;-;735;4,988;4,092;10,53;-237;-301;152.61;2014-05-10
2014-06-30;1,697;-1,348;349;32;853;994;605;10,417;379;-;12,778;-;-;482;9,365;858;10,671;-34;-492;152.61;2014-08-09
2014-09-30;2,004;-1,584;420;61;1,144;1,493;754;11,932;377;2,259;16,518;-;-;3,013;12,814;880;14,389;100;-403;152.61;2014-11-09
2014-12-31;2,818;-2,603;215;1,147;1,702;1,251;947;5,044;2,895;311;10,227;-;-;8;5,409;880;6,913;436;-457;152.61;2015-03-01
2015-03-31;2,257;-1,92;337;105;1,098;1,21;1,168;4,685;2,917;312;9,868;-;-;41;4,801;865;6,3;-691;-16;150.99;2015-05-10
2015-06-30;2,25;-1,949;302;31;934;1,177;1,031;4,404;2,946;278;9,618;-;-;243;4,729;864;6,213;-234;-25;150.99;2015-08-09
2015-09-30;2,433;-2,048;385;233;1,456;1,067;1,065;4,909;3,249;283;10,093;-;-;100;4,843;865;6,355;167;-31;150.99;2015-11-09
2015-12-31;2,646;-2,238;409;69;1,582;1,201;1,138;5,198;3,387;273;10,503;-;-;8;5,09;875;6,635;244;-44;150.99;2016-02-29
2016-03-31;1,988;-1,696;292;127;1,388;1,07;1,283;4,92;3,263;243;10,036;-;-;14;4,613;871;6,173;-240;-28;150.28;2016-05-10
2016-06-30;2,103;-1,762;341;92;1,065;952;1,517;4,608;3,138;217;9,625;-;-;13;4,314;872;5,857;-82;-30;150.28;2016-08-09
2016-09-30;2,169;-1,956;213;35;896;851;1,327;4,246;3,142;207;9,244;-;-;7;4,077;821;5,507;187;-57;150.28;2016-11-09
2016-12-31;2,211;-1,851;361;2;1,055;936;1,328;4,189;3,268;194;9,298;-;-;21;3,962;822;5,425;240;-37;150.28;2017-03-01
2017-03-31;1,849;-1,556;293;95;811;874;1,557;4,04;3,247;177;9,14;-;-;22;3,815;819;5,254;-187;-32;163.03;2017-05-10
2017-06-30;1,935;-1,633;302;134;737;872;1,519;5,558;3,239;163;10,322;-;-;16;5,136;641;6,312;-83;-21;163.03;2017-08-09
2017-09-30;2,633;-2,01;623;101;642;1,547;1,797;5,056;6,229;837;13,793;-;-;695;5,044;2,611;8,69;-343;-36;163.03;2017-11-09
2017-12-31;2,918;-3,269;-351;52;707;1,446;1,44;4,616;6,323;1,09;13,763;-;-;334;4,503;2,799;8,537;376;-36;163.03;2018-03-01
2018-03-31;2,431;-2,203;229;78;647;2,873;119;4,35;6,485;1,063;13,798;-;-;538;4,651;2,816;8,736;-147;-31;175.55;2018-05-10
2018-06-30;2,527;-2,312;216;83;721;2,938;119;4,473;6,366;1,012;13,802;-;-;673;4,761;2,827;8,779;-60;-37;175.55;2018-08-09
2018-09-30;2,563;-2,323;240;121;736;3,25;108;4,815;6,228;944;13,912;-;-;1,108;5,388;2,487;8,981;16;-36;175.55;2018-11-09
2018-12-31;2,563;-2,702;-139;-1,599;634;3,255;104;4,657;5,37;921;12,94;-;-;1,177;5,608;2,491;9,289;-112;-48;175.55;2019-03-01
2019-03-31;2,363;-2,265;99;-18;615;3,389;121;4,812;5,309;866;13,508;-;-;1,65;5,896;2,544;10,059;-249;-33;175.55;2019-05-10
