date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2013-06-30;150;-111;39;9;131;219;11;392;61;28;610;-;0;0;166;1;181;17;-2;90.08;2013-08-04
2013-09-30;155;-115;40;10;184;224;11;447;60;29;663;-;2;1;161;41;217;-4;-2;90.08;2013-11-04
2013-12-31;178;-130;48;19;59;271;22;375;148;106;763;-;1;3;218;16;273;28;-3;90.08;2014-02-04
2014-03-31;201;-147;54;12;77;264;24;388;152;111;778;-;1;4;220;1;261;22;-4;90.08;2014-05-20
2014-06-30;191;-137;54;9;82;283;22;400;146;104;767;-;1;4;207;1;246;-14;-5;92.31;2014-08-04
2014-09-30;207;-151;56;7;97;338;44;501;392;207;1,222;-;1;3;272;349;691;17;-3;92.31;2014-11-04
2014-12-31;249;-186;63;8;108;350;43;516;401;199;1,241;-;1;6;296;321;686;31;-5;92.31;2015-02-04
2015-03-31;289;-217;72;14;106;338;42;505;406;184;1,221;-;2;3;298;286;650;46;-6;92.31;2015-05-20
2015-06-30;254;-193;61;10;113;368;40;537;403;181;1,247;-;2;4;303;298;662;-9;-4;92.66;2015-08-04
2015-09-30;264;-197;67;13;97;412;48;576;437;190;1,338;-;2;4;308;323;699;-20;-4;92.66;2015-11-04
2015-12-31;275;-205;70;15;136;430;46;628;446;188;1,392;-;2;5;334;337;733;32;-3;92.66;2016-02-04
2016-03-31;247;-186;61;1;170;399;46;637;432;177;1,368;-;2;5;333;316;717;34;-4;92.66;2016-05-20
2016-07-01;265;-201;65;12;223;370;44;666;424;168;1,384;-;2;5;346;315;728;58;-3;92.81;2016-08-05
2016-10-01;243;-182;61;8;227;345;49;653;435;168;1,381;-;2;6;318;320;709;4;-4;92.81;2016-11-05
2017-01-01;237;-176;61;7;204;379;55;654;424;159;1,369;-;2;1;309;329;703;-14;-4;92.81;2017-02-05
2017-03-31;266;-202;64;8;287;311;48;662;423;156;1,375;-;1;1;297;326;689;81;-6;92.81;2017-05-20
2017-07-01;264;-197;67;12;279;323;53;679;435;155;1,396;-;1;1;295;318;687;-3;-4;94.04;2017-08-05
2017-10-01;275;-204;71;14;306;317;55;701;430;150;1,407;-;1;1;307;304;691;38;-6;94.04;2017-11-05
2017-12-31;278;-206;72;7;308;347;45;719;439;147;1,443;-;0;1;322;306;712;6;-8;94.04;2018-02-04
2018-03-31;298;-220;78;15;330;378;59;789;459;149;1,542;-;3;0;366;315;784;20;-8;94.04;2018-05-20
2018-07-01;300;-222;78;17;325;405;56;806;449;140;1,544;-;3;0;357;322;775;0;-6;94.05;2018-08-05
2018-09-30;284;-210;74;11;354;377;53;809;439;131;1,526;-;1;0;348;316;750;40;-6;94.05;2018-11-04
2018-12-31;321;-237;85;25;374;444;55;894;477;142;1,675;-;1;0;442;335;874;62;-16;94.05;2019-02-04
2019-03-31;349;-256;93;18;225;431;68;757;552;214;1,689;-;2;19;458;328;900;26;-13;94.05;2019-05-20
2019-06-30;339;-247;93;16;155;459;75;726;550;208;1,72;-;3;16;419;322;916;-40;-9;92.46;2019-08-04
2019-09-30;341;-251;90;19;191;449;82;754;551;197;1,75;-;3;14;435;326;932;58;-13;92.46;2019-11-04
2019-12-31;367;-274;93;4;118;486;79;714;596;192;1,753;-;4;14;443;323;926;-7;-16;92.46;2020-02-04
2020-03-31;382;-292;90;13;359;523;68;985;608;220;2,098;-;5;16;463;598;1,23;10;-18;92.46;2020-05-20
2020-06-30;325;-250;74;10;399;482;84;1,005;599;209;2,082;-;5;15;457;588;1,205;47;-6;92.38;2020-08-04
2020-09-30;336;-247;89;12;163;511;74;781;605;204;1,853;-;6;15;466;331;958;20;-6;92.38;2020-11-04
2020-12-31;370;-268;101;19;225;525;68;850;608;197;1,906;-;1;14;518;316;1,002;79;-7;92.38;2021-02-04
2021-03-31;400;-290;110;24;188;559;138;930;663;278;2,205;-;1;15;663;431;1,31;39;-13;92.38;2021-05-20
2021-06-30;511;-372;139;29;216;758;143;1,172;743;307;2,566;-;1;23;881;532;1,635;48;-14;92.63;2021-08-04
2021-09-30;522;-378;144;30;181;731;144;1,132;786;318;2,566;-;1;20;854;522;1,593;56;-11;92.63;2021-11-04
2021-12-31;547;-389;158;23;200;720;206;1,206;1,017;632;3,191;-;3;20;893;1,074;2,223;82;-11;92.63;2022-02-04
2022-03-31;603;-429;174;40;135;710;208;1,147;1,025;568;3,069;-;2;20;845;1,017;2,088;30;-16;92.63;2022-05-20
2022-07-01;611;-441;170;39;140;811;226;1,273;1,023;553;3,166;-;3;19;878;1,087;2,181;-32;-12;92.24;2022-08-05
2022-10-01;589;-427;162;30;95;922;237;1,35;1,05;557;3,29;-;18;20;905;1,175;2,287;-38;-9;92.24;2022-11-05
2023-01-01;647;-463;184;29;302;887;252;1,537;1,098;575;3,554;-;12;20;946;1,306;2,476;116;-25;92.24;2023-02-05
2023-03-31;731;-519;212;30;160;927;257;1,452;1,118;593;3,544;-;6;24;1,044;1,156;2,417;81;-33;92.24;2023-05-20
2023-07-01;754;-540;214;48;124;1,012;270;1,507;1,103;570;3,561;-;3;24;948;881;2,035;-108;-23;99.54;2023-08-05
2023-10-01;736;-526;210;51;187;1,104;280;1,681;1,113;567;3,767;-;3;24;973;1,008;2,201;8;-22;99.54;2023-11-05
2023-12-31;752;-536;216;47;261;1,147;313;1,849;1,238;682;4,178;-;5;27;1,09;1,22;2,563;111;-18;99.54;2024-02-04
