date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2000-04-01;2,239;-1,999;240;101;486;446;4,018;10,315;-;-;11,847;-;1,744;-;5,635;3,264;9,528;-399;-67;27.36;2000-05-06
2000-07-01;2,309;-2,052;257;171;394;312;4,477;10,699;-;-;12,269;-;1,832;-;5,629;3,674;10,004;-148;-56;54.72;2000-08-05
2000-10-01;2,584;-2,309;275;151;352;596;4,562;10,825;-;-;12,404;-;1,633;-;5,483;3,839;10,07;-71;-89;54.72;2000-11-05
2001-01-01;3,65;-3,275;375;229;917;568;4,282;11,756;-;-;13,622;-;1,69;-;5,962;4,093;11,077;1,222;-68;54.72;2001-03-02
2001-04-01;2,58;-2,299;281;156;389;505;4,798;11,859;-;-;14,508;-;2,134;-;6,13;4,684;11,871;-451;-73;54.76;2001-05-06
2001-07-01;3,204;-2,854;351;188;432;1,366;5,556;14,109;1,642;-;18,632;-;2,547;-;8,81;5,672;15,874;-611;-169;54.76;2001-08-05
2001-10-01;3,197;-2,874;323;-236;165;1,318;5,772;12,606;1,707;-;17,67;-;2,617;-;9,133;4,693;15,191;-236;-148;54.76;2001-11-05
2002-01-01;4,992;-4,71;282;-79;292;1,199;3,895;10,576;1,711;-;17,179;-;1,915;-;9,072;4,955;15,075;1,077;-371;54.76;2002-03-02
2002-04-01;3,191;-2,895;296;113;446;1,375;6,283;13,353;1,788;-;18,537;-;2,001;-;8,848;5,524;15,71;-407;-85;55.6;2002-05-06
2002-07-01;3,417;-3,097;319;28;346;1,357;6,929;14,702;1,946;-;20,267;-;2,392;-;9,569;6,41;17,348;-90;-105;55.6;2002-08-05
2002-10-01;3,13;-2,863;267;82;1,002;1,346;6,651;15,406;1,965;-;20,908;-;3,108;-;10,044;6,414;17,889;411;-96;55.6;2002-11-05
2003-01-01;3,813;-2,714;1,099;-682;667;1,485;3,461;12,119;2,133;-;19,147;-;1,686;-;4,952;5,868;17,345;1,331;-175;55.6;2003-03-02
2003-04-01;3,335;-3,065;269;55;869;1,751;4,001;12,181;2,231;-;19,575;-;1,772;-;9,722;5,752;16,928;-1,237;-124;55.2;2003-05-06
2003-07-01;3,841;-3,563;279;70;499;1,642;4,15;11,173;2,228;-;18,902;-;1,372;-;9,162;5,591;16,208;-131;-46;55.2;2003-08-05
2003-10-01;3,485;-3,205;280;127;283;1,705;4,303;11,214;2,299;-;19,312;-;1,143;-;9,141;5,686;16,479;174;-74;55.2;2003-11-05
2004-01-01;4,882;-3,457;1,425;-418;1,223;1,841;4,346;11,477;2,294;-;19,308;-;233;-;3,856;6,097;16,853;607;-58;55.2;2004-03-01
2004-04-01;3,497;-3,207;290;-182;1,732;1,67;4,123;11,442;2,244;-;19,446;-;394;-;3,661;6,772;17,249;-286;-64;66.84;2004-05-06
2004-07-01;3,847;-3,387;460;20;2,241;1,803;4,147;11,635;2,263;-;19,373;-;232;-;3,524;6,794;17,193;254;-50;66.84;2004-08-05
2004-10-01;3,607;-3,129;478;8;2,009;1,748;4,283;11,78;2,38;-;19,628;-;135;-;3,389;6,845;17,387;-39;-124;66.84;2004-11-05
2005-01-01;4,595;-4,031;564;32;2,344;1,513;4,013;12,243;2,357;-;20,13;-;-;-;3,419;5,716;17,832;839;-67;66.84;2005-03-02
2005-04-01;3,757;-3,277;480;41;2,133;1,628;4,191;12,028;2,346;-;20,077;-;-;-;3,225;5,683;17,728;-129;-65;70;2005-05-06
2005-07-01;3,633;-3,125;508;10;2,306;1,781;4,128;10,037;2,209;-;17,739;-;-;-;3,037;5,173;15,358;-708;-74;70;2005-08-05
2005-10-01;3,301;-2,842;459;-1;2,479;1,631;4,112;9,832;2,173;-;17,041;-;-;-;2,822;4,956;14,704;361;-46;70;2005-11-05
2006-01-01;4,035;-3,475;560;85;2,917;1,684;3,805;10,1;2,142;-;17,482;-;-;-;3,393;4,747;15,057;790;-144;70;2006-03-02
2006-04-01;3,539;-3,05;489;21;2,152;1,767;4,217;9,877;2,212;-;17,4;-;-;-;3,514;4,489;14,906;-386;-110;69.92;2006-05-06
2006-07-01;3,523;-2,997;526;57;1,794;1,968;4,001;8,965;2,247;-;16,476;1,9;-;-;6,765;3,867;13,901;203;-54;69.92;2006-08-05
