date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2000-03-31;323;-287;36;25;164;325;108;712;144;-;1,224;-;-;1;527;271;845;71;0;219;2000-05-25
2000-06-30;286;-240;46;31;235;305;111;750;143;-;1,296;-;-;1;578;273;916;67;-30;219;2000-07-30
2000-09-30;132;-106;26;18;231;277;106;721;142;-;1,26;-;-;1;549;260;849;31;-4;219;2000-10-30
2000-12-31;244;-205;40;28;168;322;112;783;141;-;1,346;-;-;1;597;277;906;28;-14;219;2001-01-30
2001-03-31;229;-189;40;29;157;246;99;657;19;-;1,372;-;-;2;507;263;908;44;-28;215.6;2001-05-25
2001-06-30;242;-191;51;33;68;339;149;570;231;-;1,357;-;-;2;538;285;865;-45;-43;215.6;2001-07-30
2001-09-30;255;-200;55;34;121;404;161;725;406;-;1,965;-;-;2;645;655;1,399;48;-66;215.6;2001-10-30
2001-12-31;280;-216;64;40;54;375;130;609;418;-;2,299;-;-;2;561;1,031;1,697;30;-79;215.6;2002-01-30
2002-03-31;63;-40;23;10;89;378;131;674;376;163;2,378;-;-;38;699;889;1,766;124;-63;217.6;2002-05-25
2002-06-30;276;-213;63;37;53;378;137;642;372;174;2,429;-;-;37;641;927;1,763;-32;-73;217.6;2002-07-30
2002-09-30;252;-209;43;23;63;374;138;643;382;177;2,416;-;-;14;561;915;1,7;40;-58;217.6;2002-10-30
2002-12-31;290;-235;55;32;69;397;158;679;391;181;2,515;-;-;14;550;976;1,758;22;-52;217.6;2003-01-30
2003-03-31;312;-252;60;39;17;373;136;573;367;172;2,357;-;-;13;570;798;1,606;125;-41;219.4;2003-05-25
2003-06-30;209;-189;20;12;41;340;164;594;341;159;2,241;-;-;11;487;819;1,528;-55;-25;219.4;2003-07-30
2003-09-30;213;-193;21;11;115;319;172;675;344;159;2,251;-;-;11;472;658;1,354;15;-28;219.4;2003-10-30
2003-12-31;255;-232;24;15;88;398;182;738;343;157;2,326;-;-;14;494;672;1,417;-38;-8;219.4;2004-01-30
