date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2004-12-31;1,022;-208;814;129;353;435;134;992;-;-;10,5;-;-;276;1,288;3,075;6,517;195;-157;795.5;2005-01-30
2005-03-31;1,014;-242;772;81;275;528;160;1,034;-;-;10,598;-;9;280;1,302;3,079;6,553;78;-143;800.5;2005-04-25
2005-06-30;1,106;-246;860;123;132;483;164;846;-;-;10,532;-;-;29;1,052;3,103;6,401;359;-209;800.5;2005-07-25
2005-09-30;1,105;-241;864;202;87;543;162;861;-;-;10,635;-;-;30;1,127;2,974;6,389;274;-232;800.5;2005-10-25
2005-12-31;1,167;-273;894;137;122;524;140;894;-;-;10,891;-;-;30;1,117;2,971;6,507;339;-300;800.5;2006-01-30
2006-03-31;1,111;-260;850;111;48;531;153;854;-;-;10,949;-;-;173;1,2;2,828;6,49;174;-192;794;2006-04-25
2006-06-30;1,131;-259;872;378;44;517;182;848;-;-;10,947;-;-;166;1,175;2,733;6,234;282;-177;794;2006-07-25
2006-09-30;1,151;-253;899;164;46;555;185;901;-;-;11,11;-;-;185;1,2;2,728;6,334;278;-220;794;2006-10-25
2006-12-31;1,19;-273;918;146;124;616;159;1,005;-;-;11,416;-;-;191;1,239;2,814;6,559;314;-205;794;2007-01-30
2007-03-31;1,116;-289;827;129;26;608;162;906;-;-;11,375;-;78;32;1,16;2,748;6,436;228;-204;778;2007-04-25
2007-06-30;1,216;-307;909;257;392;567;171;1,259;-;-;11,689;-;-;31;1,089;3,047;6,71;365;-158;778;2007-07-25
2007-09-30;1,188;-285;903;219;339;609;188;1,253;-;-;11,802;-;-;31;1,129;2,896;6,64;341;-206;778;2007-10-25
2007-12-31;1,188;-289;899;342;378;543;180;1,168;-;-;13,365;-;230;31;1,345;4,146;7,907;343;-267;778;2008-01-30
2008-03-31;1,147;-342;805;91;71;585;177;904;-;-;13,375;-;67;31;1,183;4,268;7,844;159;-127;777.5;2008-04-25
2008-06-30;1,22;-363;857;155;11;681;200;1,029;-;-;13,678;-;255;238;1,536;4,017;8,012;183;-237;777.5;2008-07-25
2008-09-30;1,265;-387;878;174;98;747;232;1,136;-;-;14,05;-;280;248;1,637;4,14;8,244;279;-242;777.5;2008-10-25
2008-12-31;1,3;-349;951;188;11;647;216;1,122;-;237;15,157;-;150;44;1,309;4,686;9,388;322;-209;777.5;2009-01-30
2009-03-31;1,11;-314;795;59;8;569;192;1,495;-;245;16,037;-;132;65;1,253;4,785;9,533;135;-123;834;2009-04-25
2009-06-30;1,031;-226;805;135;17;489;204;1,185;-;225;15,385;-;56;387;1,36;3,978;8,778;134;-246;834;2009-07-25
2009-09-30;1,118;-231;887;209;9;499;169;1,409;-;207;15,321;-;58;390;1,396;3,701;8,576;402;-196;834;2009-10-25
2009-12-31;1,143;-253;891;146;679;655;133;1,642;-;202;14,155;-;-;605;1,606;4,138;9,497;-220;-139;834;2010-01-30
2010-03-31;1,167;-295;872;101;724;706;123;1,744;-;195;14,174;-;-;612;1,595;4,023;9,382;184;-91;846;2010-04-25
2010-06-30;1,234;-284;950;167;374;441;137;1,152;-;204;13,739;-;-;40;1,02;4,16;8,857;187;-168;846;2010-07-25
2010-09-30;1,286;-264;1,023;197;268;533;125;1,085;-;197;13,531;-;-;41;1,08;4,389;8,459;-250;-185;846;2010-10-25
2010-12-31;1,294;-307;987;186;361;459;114;1,204;-;190;13,676;-;-;282;1,29;4,033;8,851;381;-282;846;2011-01-30
2011-03-31;1,163;-349;815;34;311;520;122;1,154;-;185;13,523;-;-;280;1,309;3,941;8,623;135;-133;853;2011-04-25
2011-06-30;1,265;-348;916;128;268;509;137;1,108;-;183;13,556;-;-;279;1,27;3,919;8,551;212;-218;853;2011-07-25
2011-09-30;1,341;-347;994;187;97;531;150;951;-;199;14,008;-;-;304;1,335;4,043;8,808;325;-352;853;2011-10-25
2011-12-31;1,408;-376;1,032;221;47;518;138;856;-;192;14,11;-;27;50;1,21;4,695;9,461;-161;-401;853;2012-01-30
2012-03-31;1,376;-383;993;142;77;526;171;1,028;-;188;14,236;-;-;51;1,11;4,681;9,41;201;-233;866;2012-04-25
