date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2013-05-01;448;-287;161;46;40;6;332;402;728;112;1,458;-;-;-;94;264;488;13;-20;432.27;2013-06-10
2013-07-30;511;-324;187;60;87;5;340;463;728;112;1,538;-;-;70;204;287;626;98;-30;432.27;2013-09-08
2013-11-01;523;-329;194;62;99;4;366;478;728;113;1,568;-;-;167;295;221;654;77;-25;432.27;2013-12-11
2014-02-01;582;-359;223;83;72;6;365;459;728;129;1,567;59;-;3;164;395;703;120;-33;432.27;2014-04-02
2014-05-01;501;-324;178;53;37;7;362;431;728;130;1,549;-;-;7;122;536;801;18;-19;401.88;2014-06-10
2014-07-30;573;-366;207;69;28;6;370;416;728;131;1,541;-;-;5;136;580;863;107;-17;401.88;2014-09-08
2014-11-01;588;-372;216;73;23;9;399;458;728;132;1,591;-;-;8;138;601;895;63;-19;401.88;2014-12-11
2015-02-01;669;-410;259;100;40;10;409;548;728;134;1,701;69;-;4;216;561;960;168;-30;401.88;2015-04-02
2015-05-01;566;-362;204;65;64;8;450;592;728;134;1,753;-;-;7;159;675;1,017;1;-20;385.26;2015-06-10
2015-07-30;653;-403;251;96;54;8;460;598;728;135;1,768;-;-;4;154;686;1,031;125;-22;385.26;2015-09-08
2015-11-01;665;-399;266;100;75;10;487;616;728;135;1,795;-;-;7;194;791;1,171;114;-21;385.26;2015-12-11
2016-01-31;767;-454;313;125;59;11;470;617;728;137;1,814;53;-;4;227;921;1,347;210;-31;385.26;2016-03-31
2016-05-01;641;-404;237;83;59;9;453;535;728;137;1,767;-;-;7;205;1,061;1,44;38;-49;360.72;2016-06-10
2016-07-30;729;-449;280;106;108;13;436;574;728;138;1,829;-;-;279;472;919;1,577;166;-37;360.72;2016-09-08
2016-10-31;739;-447;292;110;70;13;475;581;728;138;1,864;-;-;285;479;990;1,663;98;-43;360.72;2016-12-10
2017-01-31;855;-501;353;146;62;15;466;559;728;140;1,864;-;-;279;513;1,05;1,763;202;-37;360.72;2017-04-01
2017-04-30;705;-440;265;95;54;13;468;576;728;140;1,884;-;-;285;465;1,17;1,848;84;-20;342.51;2017-06-09
2017-07-30;813;-491;322;132;79;13;472;573;728;140;1,891;-;-;5;281;1,469;1,951;180;-29;342.51;2017-09-08
2017-10-31;811;-486;325;130;77;14;517;617;728;144;1,949;-;-;13;254;1,504;1,964;121;-31;342.51;2017-12-10
2018-01-31;938;-549;389;163;55;12;491;565;728;143;3,069;-;-;546;860;1,261;3,401;252;-51;342.51;2018-04-01
2018-04-30;756;-425;331;102;91;16;513;639;728;148;2,053;-;-;415;609;1,369;2,199;60;-64;342.51;2018-06-09
2018-07-30;869;-478;391;140;182;27;523;751;728;149;2,172;-;-;407;636;1,369;2,23;219;-27;328.4;2018-09-08
2018-10-31;864;-482;383;132;79;35;571;708;728;149;2,142;-;-;415;641;1,485;2,359;129;-33;328.4;2018-12-10
2019-02-01;1,06;-580;480;171;50;36;581;689;728;149;3,36;-;-;164;443;1,891;3,677;279;-57;328.4;2019-04-02
2019-05-01;828;-479;349;104;55;34;578;711;728;150;3,417;-;-;488;691;1,572;3,636;94;-31;317.18;2019-06-10
2019-07-30;946;-533;413;143;139;39;602;807;728;151;3,536;-;-;468;681;1,567;3,642;183;-30;317.18;2019-09-08
2019-11-01;948;-534;414;139;64;38;658;775;728;152;3,696;-;-;479;803;1,567;3,809;203;-40;317.18;2019-12-11
2020-02-01;1,065;-589;477;179;91;35;624;765;728;153;3,717;-;-;789;1,093;1,27;3,809;252;-40;317.18;2020-04-01
2020-05-01;845;-495;350;86;523;29;608;1,214;728;154;4,178;-;386;485;1,176;1,547;4,168;185;-48;312.46;2020-06-10
2020-07-30;1,014;-568;446;143;218;23;586;841;728;157;3,883;-;164;1,02;1,561;745;3,769;282;-35;312.46;2020-09-08
2020-11-01;1,064;-595;470;162;445;27;603;1,087;728;158;4,154;-;51;1,032;1,373;1,044;3,892;201;-34;312.46;2020-12-11
2021-01-31;1,104;-601;503;174;439;21;631;1,1;728;162;4,224;-;-;1,015;1,321;1,044;3,889;220;-52;312.46;2021-04-01
2021-05-01;954;-551;403;114;49;21;629;729;728;161;3,876;-;139;746;1,168;1,044;3,736;134;-30;304.42;2021-06-10
2021-07-30;1,029;-583;447;146;132;22;586;759;728;163;3,949;-;-;220;474;1,791;3,812;265;-45;304.42;2021-09-08
2021-10-31;1,122;-624;499;183;97;26;599;736;728;163;3,999;-;-;213;559;1,789;3,98;354;-35;304.42;2021-12-10
2022-01-31;1,225;-672;553;220;71;26;591;717;728;164;4,064;-;89;459;912;1,539;4,13;314;-49;304.42;2022-04-01
2022-05-01;1,073;-621;452;146;72;33;647;787;728;163;4,194;-;137;491;979;1,536;4,211;159;-31;291.01;2022-06-10
2022-07-30;1,217;-687;530;193;71;35;823;951;728;163;4,401;-;397;467;1,25;1,536;4,524;143;-37;291.01;2022-09-08
2022-10-31;1,29;-731;559;202;559;41;1,007;1,658;728;162;5,179;-;244;479;1,119;2,233;5,138;139;-36;291.01;2022-12-10
2023-01-31;1,473;-816;658;261;101;56;957;1,157;728;165;4,82;-;-;729;1,163;1,742;4,791;428;-53;291.01;2023-04-01
2023-04-30;1,295;-749;546;180;252;47;938;1,268;728;165;4,994;-;-;741;1,124;1,742;4,776;283;-47;284.17;2023-06-09
2023-07-30;1,456;-817;639;246;253;34;911;1,231;728;166;5,001;-;-;747;1,124;1,742;4,796;400;-42;284.17;2023-09-08
2023-10-31;1,478;-808;670;261;730;35;940;1,735;728;165;5,675;-;-;754;1,152;2,24;5,349;370;-130;284.17;2023-12-10
2024-01-31;1,639;-881;759;324;313;32;917;1,309;727;168;5,263;-;-;256;678;2,24;4,882;478;-60;284.17;2024-03-31
