date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2004-12-31;7;-5;2;1;0;4;3;8;2;-;30;-;-;-;4;12;19;-1;-1;1.66;2005-02-21
2005-03-31;9;-6;3;1;0;6;3;9;2;-;31;-;-;-;5;12;20;1;-1;2.59;2005-05-10
2005-06-30;12;-8;4;1;0;6;3;10;2;-;36;-;-;-;6;15;25;2;-5;2.59;2005-08-09
2005-09-30;16;-12;4;1;1;11;7;19;11;0;68;-;-;-;11;26;43;1;-3;2.59;2005-11-09
2005-12-31;21;-16;5;0;-;12;8;20;10;1;74;-;0;-;12;31;49;0;-7;2.59;2006-02-21
2006-03-31;20;-14;6;1;0;12;8;21;10;0;78;-;-;-;11;35;52;2;-4;3.87;2006-05-10
2006-06-30;22;-15;7;1;1;11;7;21;10;0;78;-;-;-;10;35;51;7;-1;3.87;2006-08-09
2006-09-30;21;-14;7;1;2;10;10;23;10;0;81;-;-;-;10;35;53;-1;-2;3.87;2006-11-09
2006-12-31;23;-16;7;1;5;11;11;27;12;1;90;-;-;-;13;41;60;4;0;3.87;2007-02-21
2007-03-31;22;-16;6;1;2;13;17;34;26;1;112;-;-;-;13;44;63;-1;-;5.64;2007-05-10
2007-06-30;28;-18;10;2;4;12;18;36;27;1;117;-;-;-;14;46;67;4;-6;5.64;2007-08-09
2007-09-30;27;-17;10;2;0;15;19;36;27;1;121;-;-;-;12;48;69;0;-4;5.64;2007-11-09
2007-12-31;29;-19;11;3;1;15;19;36;22;7;122;-;-;-;13;39;60;5;-1;5.64;2008-02-21
2008-03-31;34;-23;11;1;4;19;24;48;39;7;154;-;-;-;20;63;91;4;-;5.83;2008-05-10
2008-06-30;41;-28;13;3;1;21;24;47;42;7;156;-;-;2;23;61;92;1;-4;5.83;2008-08-09
2008-09-30;42;-28;14;2;7;21;23;53;37;10;164;-;2;2;24;65;99;8;-3;5.83;2008-11-09
2008-12-31;41;-27;14;-3;4;22;25;53;35;9;161;-;2;2;27;62;99;6;-2;5.83;2009-02-21
2009-03-31;37;-25;12;1;5;19;26;52;36;9;161;-;2;2;26;62;98;4;-1;11.21;2009-05-10
2009-06-30;56;-35;21;4;10;21;29;61;49;9;234;-;-;3;36;81;135;10;-1;11.21;2009-08-09
